,Report_Date,DRC_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,164.2097652765946,12519.811587772476,False,1,1.7173577937730546,25039.623175544963
1,2020-01-23,0,0,164.2097652765946,12519.811587772476,False,2,1.8212541416601629,25039.623175544963
2,2020-01-24,0,0,164.2097652765946,12519.811587772476,False,3,1.9314355039190705,25039.623175544963
3,2020-01-25,0,0,164.2097652765946,12519.811587772476,False,4,2.0482820202457344,25039.623175544963
4,2020-01-26,0,0,164.2097652765946,12519.811587772476,False,5,2.17219681498308,25039.623175544963
5,2020-01-27,0,0,164.2097652765946,12519.811587772476,False,6,2.303607385918294,25039.623175544963
6,2020-01-28,0,0,164.2097652765946,12519.811587772476,False,7,2.4429670768780816,25039.623175544963
7,2020-01-29,0,0,164.2097652765946,12519.811587772476,False,8,2.590756639163534,25039.623175544963
8,2020-01-30,0,0,164.2097652765946,12519.811587772476,False,9,2.747485887167761,25039.623175544963
9,2020-01-31,0,0,164.2097652765946,12519.811587772476,False,10,2.913695453838717,25039.623175544963
10,2020-02-01,0,0,164.2097652765946,12519.811587772476,False,11,3.0899586519878337,25039.623175544963
11,2020-02-02,0,0,164.2097652765946,12519.811587772476,False,12,3.2768834478030633,25039.623175544963
12,2020-02-03,0,0,164.2097652765946,12519.811587772476,False,13,3.475114553304022,25039.623175544963
13,2020-02-04,0,0,164.2097652765946,12519.811587772476,False,14,3.685335644878242,25039.623175544963
14,2020-02-05,0,0,164.2097652765946,12519.811587772476,False,15,3.908271715462319,25039.623175544963
15,2020-02-06,0,0,164.2097652765946,12519.811587772476,False,16,4.144691568381368,25039.623175544963
16,2020-02-07,0,0,164.2097652765946,12519.811587772476,False,17,4.395410461336013,25039.623175544963
17,2020-02-08,0,0,164.2097652765946,12519.811587772476,False,18,4.661292909529616,25039.623175544963
18,2020-02-09,0,0,164.2097652765946,12519.811587772476,False,19,4.943255657461151,25039.623175544963
19,2020-02-10,0,0,164.2097652765946,12519.811587772476,False,20,5.242270829472629,25039.623175544963
20,2020-02-11,0,0,164.2097652765946,12519.811587772476,False,21,5.559369269735955,25039.623175544963
21,2020-02-12,0,0,164.2097652765946,12519.811587772476,False,22,5.895644082994425,25039.623175544963
22,2020-02-13,0,0,164.2097652765946,12519.811587772476,False,23,6.252254388040407,25039.623175544963
23,2020-02-14,0,0,164.2097652765946,12519.811587772476,False,24,6.630429296615248,25039.623175544963
24,2020-02-15,0,0,164.2097652765946,12519.811587772476,False,25,7.031472131161961,25039.623175544963
25,2020-02-16,0,0,164.2097652765946,12519.811587772476,False,26,7.456764895647963,25039.623175544963
26,2020-02-17,0,0,164.2097652765946,12519.811587772476,False,27,7.907773014506292,25039.623175544963
27,2020-02-18,0,0,164.2097652765946,12519.811587772476,False,28,8.38605035562146,25039.623175544963
28,2020-02-19,0,0,164.2097652765946,12519.811587772476,False,29,8.893244554212993,25039.623175544963
29,2020-02-20,0,0,164.2097652765946,12519.811587772476,False,30,9.431102655448099,25039.623175544963
30,2020-02-21,0,0,164.2097652765946,12519.811587772476,False,31,10.001477094647258,25039.623175544963
31,2020-02-22,0,0,164.2097652765946,12519.811587772476,False,32,10.606332035035836,25039.623175544963
32,2020-02-23,0,0,164.2097652765946,12519.811587772476,False,33,11.247750084143282,25039.623175544963
33,2020-02-24,0,0,164.2097652765946,12519.811587772476,False,34,11.927939411162429,25039.623175544963
34,2020-02-25,0,0,164.2097652765946,12519.811587772476,False,35,12.649241288857278,25039.623175544963
35,2020-02-26,0,0,164.2097652765946,12519.811587772476,False,36,13.414138084951672,25039.623175544963
36,2020-02-27,0,0,164.2097652765946,12519.811587772476,False,37,14.225261729346318,25039.623175544963
37,2020-02-28,0,0,164.2097652765946,12519.811587772476,False,38,15.085402685000583,25039.623175544963
38,2020-02-29,0,0,164.2097652765946,12519.811587772476,False,39,15.99751945188181,25039.623175544963
39,2020-03-01,0,0,164.2097652765946,12519.811587772476,False,40,16.96474863503125,25039.623175544963
40,2020-03-02,0,0,164.2097652765946,12519.811587772476,False,41,17.990415609525243,25039.623175544963
41,2020-03-03,0,0,164.2097652765946,12519.811587772476,False,42,19.078045816926483,25039.623175544963
42,2020-03-04,0,0,164.2097652765946,12519.811587772476,False,43,20.231376729724996,25039.623175544963
43,2020-03-05,0,0,164.2097652765946,12519.811587772476,False,44,21.45437052226614,25039.623175544963
44,2020-03-06,0,0,164.2097652765946,12519.811587772476,False,45,22.751227488754903,25039.623175544963
45,2020-03-07,0,0,164.2097652765946,12519.811587772476,False,46,24.126400251115495,25039.623175544963
46,2020-03-08,0,0,164.2097652765946,12519.811587772476,False,47,25.584608801774547,25039.623175544963
47,2020-03-09,0,0,164.2097652765946,12519.811587772476,False,48,27.130856428827602,25039.623175544963
48,2020-03-10,0,0,164.2097652765946,12519.811587772476,False,49,28.770446573543303,25039.623175544963
49,2020-03-11,1,1,164.2097652765946,12519.811587772476,False,50,30.50900067275905,25039.623175544963
50,2020-03-12,1,1,164.2097652765946,12519.811587772476,False,51,32.35247704142742,25039.623175544963
51,2020-03-13,2,2,164.2097652765946,12519.811587772476,False,52,34.30719085338299,25039.623175544963
52,2020-03-14,2,2,164.2097652765946,12519.811587772476,False,53,36.37983528131524,25039.623175544963
53,2020-03-15,2,2,164.2097652765946,12519.811587772476,False,54,38.57750385995235,25039.623175544963
54,2020-03-16,2,2,164.2097652765946,12519.811587772476,False,55,40.90771413958141,25039.623175544963
55,2020-03-17,3,3,164.2097652765946,12519.811587772476,False,56,43.37843270024781,25039.623175544963
56,2020-03-18,4,4,164.2097652765946,12519.811587772476,False,57,45.998101600287015,25039.623175544963
57,2020-03-19,14,14,164.2097652765946,12519.811587772476,False,58,48.775666336237244,25039.623175544963
58,2020-03-20,18,18,164.2097652765946,12519.811587772476,False,59,51.72060539465428,25039.623175544963
59,2020-03-21,23,22,164.2097652765946,12519.811587772476,False,60,54.842961479889055,25039.623175544963
60,2020-03-22,30,29,164.2097652765946,12519.811587772476,False,61,58.15337450548142,25039.623175544963
61,2020-03-23,36,35,164.2097652765946,12519.811587772476,False,62,61.66311644045359,25039.623175544963
62,2020-03-24,45,43,164.2097652765946,12519.811587772476,False,63,65.38412810543711,25039.623175544963
63,2020-03-25,48,46,164.2097652765946,12519.811587772476,False,64,69.32905801721243,25039.623175544963
64,2020-03-26,51,48,164.2097652765946,12519.811587772476,False,65,73.5113033838568,25039.623175544963
65,2020-03-27,51,46,164.2097652765946,12519.811587772476,False,66,77.94505335625142,25039.623175544963
66,2020-03-28,65,57,164.2097652765946,12519.811587772476,False,67,82.6453346451572,25039.623175544963
67,2020-03-29,65,57,164.2097652765946,12519.811587772476,False,68,87.62805961638857,25039.623175544963
68,2020-03-30,81,71,164.2097652765946,12519.811587772476,False,69,92.91007697974702,25039.623175544963
69,2020-03-31,98,88,164.2097652765946,12519.811587772476,False,70,98.50922519026707,25039.623175544963
70,2020-04-01,109,97,164.2097652765946,12519.811587772476,False,71,104.44438868291142,25039.623175544963
71,2020-04-02,134,118,164.2097652765946,12519.811587772476,False,72,110.73555706405683,25039.623175544963
72,2020-04-03,134,118,164.2097652765946,12519.811587772476,False,73,117.40388738485778,25039.623175544963
73,2020-04-04,154,133,164.2097652765946,12519.811587772476,False,74,124.4717696227622,25039.623175544963
74,2020-04-05,154,133,164.2097652765946,12519.811587772476,False,75,131.96289549798115,25039.623175544963
75,2020-04-06,161,138,164.2097652765946,12519.811587772476,False,76,139.9023307514602,25039.623175544963
76,2020-04-07,180,153,164.2097652765946,12519.811587772476,False,77,148.31659100972743,25039.623175544963
77,2020-04-08,180,153,164.2097652765946,12519.811587772476,False,78,157.2337213597543,25039.623175544963
78,2020-04-09,180,153,164.2097652765946,12519.811587772476,False,79,166.683379753486,25039.623175544963
79,2020-04-10,215,182,164.2097652765946,12519.811587772476,False,80,176.6969243567911,25039.623175544963
80,2020-04-11,223,187,164.2097652765946,12519.811587772476,False,81,187.307504951031,25039.623175544963
81,2020-04-12,234,198,164.2097652765946,12519.811587772476,False,82,198.5501584870284,25039.623175544963
82,2020-04-13,235,198,164.2097652765946,12519.811587772476,False,83,210.46190888065001,25039.623175544963
83,2020-04-14,241,201,164.2097652765946,12519.811587772476,False,84,223.08187112623347,25039.623175544963
84,2020-04-15,254,212,164.2097652765946,12519.811587772476,False,85,236.45135978835708,25039.623175544963
85,2020-04-16,267,222,164.2097652765946,12519.811587772476,False,86,250.6140019136246,25039.623175544963
86,2020-04-17,287,239,164.2097652765946,12519.811587772476,False,87,265.61585438183477,25039.623175544963
87,2020-04-18,307,256,164.2097652765946,12519.811587772476,False,88,281.505525689704,25039.623175544963
88,2020-04-19,327,276,164.2097652765946,12519.811587772476,False,89,298.3343021297579,25039.623175544963
89,2020-04-20,332,280,164.2097652765946,12519.811587772476,False,90,316.156278291608,25039.623175544963
90,2020-04-21,350,290,164.2097652765946,12519.811587772476,False,91,335.0284917720481,25039.623175544963
91,2020-04-22,359,289,164.2097652765946,12519.811587772476,False,92,355.0110619336727,25039.623175544963
92,2020-04-23,377,305,164.2097652765946,12519.811587772476,False,93,376.1673324984213,25039.623175544963
93,2020-04-24,394,321,164.2097652765946,12519.811587772476,False,94,398.56401770193594,25039.623175544963
94,2020-04-25,416,339,164.2097652765946,12519.811587772476,False,95,422.2713516662064,25039.623175544963
95,2020-04-26,442,364,164.2097652765946,12519.811587772476,False,96,447.36324057093725,25039.623175544963
96,2020-04-27,459,381,164.2097652765946,12519.811587772476,False,97,473.9174171176734,25039.623175544963
97,2020-04-28,471,385,164.2097652765946,12519.811587772476,False,98,502.01559668417354,25039.623175544963
98,2020-04-29,491,402,164.2097652765946,12519.811587772476,False,99,531.7436344590959,25039.623175544963
99,2020-04-30,572,468,164.2097652765946,12519.811587772476,False,100,563.1916827279114,25039.623175544963
100,2020-05-01,604,497,164.2097652765946,12519.811587772476,False,101,596.454347349398,25039.623175544963
101,2020-05-02,674,566,164.2097652765946,12519.811587772476,False,102,631.6308423173316,25039.623175544963
102,2020-05-03,674,566,164.2097652765946,12519.811587772476,False,103,668.8251411434034,25039.623175544963
103,2020-05-04,682,568,164.2097652765946,12519.811587772476,False,104,708.1461236244268,25039.623175544963
104,2020-05-05,705,581,164.2097652765946,12519.811587772476,False,105,749.7077163690284,25039.623175544963
105,2020-05-06,797,670,164.2097652765946,12519.811587772476,False,106,793.629025255999,25039.623175544963
106,2020-05-07,863,724,164.2097652765946,12519.811587772476,False,107,840.0344577781854,25039.623175544963
107,2020-05-08,937,768,164.2097652765946,12519.811587772476,False,108,889.0538329924061,25039.623175544963
108,2020-05-09,937,768,164.2097652765946,12519.811587772476,False,109,940.8224765478456,25039.623175544963
109,2020-05-10,991,814,164.2097652765946,12519.811587772476,False,110,995.4812980035946,25039.623175544963
110,2020-05-11,1024,842,164.2097652765946,12519.811587772476,False,111,1053.1768473717784,25039.623175544963
111,2020-05-12,1102,912,164.2097652765946,12519.811587772476,False,112,1114.0613475379268,25039.623175544963
112,2020-05-13,1169,971,164.2097652765946,12519.811587772476,False,113,1178.2926989173984,25039.623175544963
113,2020-05-14,1242,1035,164.2097652765946,12519.811587772476,False,114,1246.034452409029,25039.623175544963
114,2020-05-15,1298,1036,164.2097652765946,12519.811587772476,False,115,1317.4557464088093,25039.623175544963
115,2020-05-16,1455,1124,164.2097652765946,12519.811587772476,False,116,1392.7312033523526,25039.623175544963
116,2020-05-17,1455,1124,164.2097652765946,12519.811587772476,False,117,1472.0407809712678,25039.623175544963
117,2020-05-18,1538,1205,164.2097652765946,12519.811587772476,False,118,1555.5695731825604,25039.623175544963
118,2020-05-19,1629,1278,164.2097652765946,12519.811587772476,False,119,1643.5075552903295,25039.623175544963
119,2020-05-20,1731,1368,164.2097652765946,12519.811587772476,False,120,1736.0492679751544,25039.623175544963
120,2020-05-21,1835,1471,164.2097652765946,12519.811587772476,False,121,1833.3934343898661,25039.623175544963
121,2020-05-22,1945,1570,164.2097652765946,12519.811587772476,False,122,1935.74250458355,25039.623175544963
122,2020-05-23,2025,1650,164.2097652765946,12519.811587772476,False,123,2043.3021214526184,25039.623175544963
123,2020-05-24,2141,1761,164.2097652765946,12519.811587772476,False,124,2156.2805024840677,25039.623175544963
124,2020-05-25,2297,1893,164.2097652765946,12519.811587772476,False,125,2274.887731728112,25039.623175544963
125,2020-05-26,2403,1995,164.2097652765946,12519.811587772476,False,126,2399.334956732915,25039.623175544963
126,2020-05-27,2546,2113,164.2097652765946,12519.811587772476,False,127,2529.8334856113543,25039.623175544963
127,2020-05-28,2660,2210,164.2097652765946,12519.811587772476,False,128,2666.593780007238,25039.623175544963
