,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,active_patients,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,24.400998226840464,-369.31278295302104,400.97928837734696,0.0,2.9362981259355473e-08,1.2325880795602646e-08,0.9972022191053531,-343.99902039231847,377.8638167770082,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
1,2020-01-23,19.779025527272935,-346.1982450661356,396.4397407103897,0.0,1.5957559334631125e-06,7.689575047739312e-07,-8.95248498810933,-370.8943719132764,344.89109187235624,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
2,2020-01-24,-24.658354606338904,-413.95640359354974,305.17180228591945,0.0,1.651861751921613e-05,8.628978474789756e-06,18.67750931803992,-349.73682158315466,402.49295236485756,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
3,2020-01-25,-11.238496206649081,-372.75678855559124,386.61021064300394,0.0,8.672269918334765e-05,4.797187744871742e-05,38.21379068153161,-328.41719125828376,391.01546168095535,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
4,2020-01-26,21.317947215779903,-370.3828344868594,371.5693688000054,0.0,0.0003138568201656377,0.00018149923821643397,2.4775382298025237,-361.27087874896716,397.42959997140105,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
5,2020-01-27,18.435835659505088,-353.0462237406484,383.60400983289594,0.0,0.0008977181431771985,0.0005383240124356074,-0.8060589931681932,-352.12542632991097,358.85008000451654,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
6,2020-01-28,7.413177383123496,-372.282537379621,385.8820818904203,0.0,0.002182869737770386,0.0013497610708960185,-8.137192018292367,-389.7998707525293,322.2187621616753,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
7,2020-01-29,28.832069303308938,-359.35157887507125,387.25754535402393,0.0,0.0047130172374673885,0.0029927541205037964,4.5700297311882965,-334.587342568577,349.0928336432894,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
8,2020-01-30,24.564006459317987,-342.79656106613425,381.829006170542,0.0,0.009292810691172711,0.00604088677962293,-5.0792331635342425,-350.8826462153108,352.2841167041653,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
9,2020-01-31,-19.491229359019904,-382.349721786301,359.1419360894905,0.0,0.017056801947158008,0.011322934010588237,22.876422192768647,-327.1266589729299,387.03838552716223,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
10,2020-02-01,-5.658745050325283,-417.7919390062641,367.35933179610095,0.0,0.029545332267549473,0.01998891598411112,42.765716992482666,-333.9808695364376,394.0713937630136,2020-05-28,0.0,107.78881509603916,True,128,17213.902560030674
