,Report_Date,Cyprus_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,75.94160401399655,453.02511669322234,True,1,0.02861930859456497,905.8803039463952
1,2020-01-23,0,0,75.94160401399655,453.02511669322234,True,2,0.03286323055897024,905.8803039463952
2,2020-01-24,0,0,75.94160401399655,453.02511669322234,True,3,0.037736452263954584,905.8803039463952
3,2020-01-25,0,0,75.94160401399655,453.02511669322234,True,4,0.043332279554806896,905.8803039463952
4,2020-01-26,0,0,75.94160401399655,453.02511669322234,True,5,0.049757850011149234,905.8803039463952
5,2020-01-27,0,0,75.94160401399655,453.02511669322234,True,6,0.05713618252710926,905.8803039463952
6,2020-01-28,0,0,75.94160401399655,453.02511669322234,True,7,0.06560853032741201,905.8803039463952
7,2020-01-29,0,0,75.94160401399655,453.02511669322234,True,8,0.07533708225640898,905.8803039463952
8,2020-01-30,0,0,75.94160401399655,453.02511669322234,True,9,0.08650806377495553,905.8803039463952
9,2020-01-31,0,0,75.94160401399655,453.02511669322234,True,10,0.09933529666008507,905.8803039463952
10,2020-02-01,0,0,75.94160401399655,453.02511669322234,True,11,0.11406428506211456,905.8803039463952
11,2020-02-02,0,0,75.94160401399655,453.02511669322234,True,12,0.13097690548939708,905.8803039463952
12,2020-02-03,0,0,75.94160401399655,453.02511669322234,True,13,0.15039678963967254,905.8803039463952
13,2020-02-04,0,0,75.94160401399655,453.02511669322234,True,14,0.1726955019795402,905.8803039463952
14,2020-02-05,0,0,75.94160401399655,453.02511669322234,True,15,0.19829962881668606,905.8803039463952
15,2020-02-06,0,0,75.94160401399655,453.02511669322234,True,16,0.2276989125685134,905.8803039463952
16,2020-02-07,0,0,75.94160401399655,453.02511669322234,True,17,0.26145558429249044,905.8803039463952
17,2020-02-08,0,0,75.94160401399655,453.02511669322234,True,18,0.3002150696285507,905.8803039463952
18,2020-02-09,0,0,75.94160401399655,453.02511669322234,True,19,0.34471826846929243,905.8803039463952
19,2020-02-10,0,0,75.94160401399655,453.02511669322234,True,20,0.39581563731470815,905.8803039463952
20,2020-02-11,0,0,75.94160401399655,453.02511669322234,True,21,0.4544833358191178,905.8803039463952
21,2020-02-12,0,0,75.94160401399655,453.02511669322234,True,22,0.5218417359721884,905.8803039463952
22,2020-02-13,0,0,75.94160401399655,453.02511669322234,True,23,0.599176634183426,905.8803039463952
23,2020-02-14,0,0,75.94160401399655,453.02511669322234,True,24,0.6879635538021586,905.8803039463952
24,2020-02-15,0,0,75.94160401399655,453.02511669322234,True,25,0.7898955788674994,905.8803039463952
25,2020-02-16,0,0,75.94160401399655,453.02511669322234,True,26,0.9069152197183354,905.8803039463952
26,2020-02-17,0,0,75.94160401399655,453.02511669322234,True,27,1.0412508780620162,905.8803039463952
27,2020-02-18,0,0,75.94160401399655,453.02511669322234,True,28,1.1954585537167977,905.8803039463952
28,2020-02-19,0,0,75.94160401399655,453.02511669322234,True,29,1.372469517930936,905.8803039463952
29,2020-02-20,0,0,75.94160401399655,453.02511669322234,True,30,1.5756447692095947,905.8803039463952
30,2020-02-21,0,0,75.94160401399655,453.02511669322234,True,31,1.8088371869755115,905.8803039463952
31,2020-02-22,0,0,75.94160401399655,453.02511669322234,True,32,2.0764624058148264,905.8803039463952
32,2020-02-23,0,0,75.94160401399655,453.02511669322234,True,33,2.38357954765689,905.8803039463952
33,2020-02-24,0,0,75.94160401399655,453.02511669322234,True,34,2.7359830694119234,905.8803039463952
34,2020-02-25,0,0,75.94160401399655,453.02511669322234,True,35,3.1403071067319566,905.8803039463952
35,2020-02-26,0,0,75.94160401399655,453.02511669322234,True,36,3.604143816674665,905.8803039463952
36,2020-02-27,0,0,75.94160401399655,453.02511669322234,True,37,4.136177337287201,905.8803039463952
37,2020-02-28,0,0,75.94160401399655,453.02511669322234,True,38,4.746335082179015,905.8803039463952
38,2020-02-29,0,0,75.94160401399655,453.02511669322234,True,39,5.445958161487995,905.8803039463952
39,2020-03-01,0,0,75.94160401399655,453.02511669322234,True,40,6.247992751560119,905.8803039463952
40,2020-03-02,0,0,75.94160401399655,453.02511669322234,True,41,7.167204203118695,905.8803039463952
41,2020-03-03,0,0,75.94160401399655,453.02511669322234,True,42,8.220415553918171,905.8803039463952
42,2020-03-04,0,0,75.94160401399655,453.02511669322234,True,43,9.42677186070407,905.8803039463952
43,2020-03-05,0,0,75.94160401399655,453.02511669322234,True,44,10.808031340343538,905.8803039463952
44,2020-03-06,0,0,75.94160401399655,453.02511669322234,True,45,12.388883652621562,905.8803039463952
45,2020-03-07,0,0,75.94160401399655,453.02511669322234,True,46,14.197294694553696,905.8803039463952
46,2020-03-08,0,0,75.94160401399655,453.02511669322234,True,47,16.26487591934158,905.8803039463952
47,2020-03-09,2,2,75.94160401399655,453.02511669322234,True,48,18.62727433656009,905.8803039463952
48,2020-03-10,3,3,75.94160401399655,453.02511669322234,True,49,21.32457687162303,905.8803039463952
49,2020-03-11,6,6,75.94160401399655,453.02511669322234,True,50,24.40171952631556,905.8803039463952
50,2020-03-12,6,6,75.94160401399655,453.02511669322234,True,51,27.908887645892943,905.8803039463952
51,2020-03-13,14,14,75.94160401399655,453.02511669322234,True,52,31.901888425885875,905.8803039463952
52,2020-03-14,26,26,75.94160401399655,453.02511669322234,True,53,36.44247047495528,905.8803039463952
