,Report_Date,Canada_nova scotia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,84.11269946834369,526.8838697630321,True,1,0.017447342507312214,1052.93104844776
1,2020-01-23,0,0,84.11269946834369,526.8838697630321,True,2,0.019918318444841016,1052.93104844776
2,2020-01-24,0,0,84.11269946834369,526.8838697630321,True,3,0.022739238239081562,1052.93104844776
3,2020-01-25,0,0,84.11269946834369,526.8838697630321,True,4,0.025959659249651656,1052.93104844776
4,2020-01-26,0,0,84.11269946834369,526.8838697630321,True,5,0.029636156215490077,1052.93104844776
5,2020-01-27,0,0,84.11269946834369,526.8838697630321,True,6,0.03383331471316082,1052.93104844776
6,2020-01-28,0,0,84.11269946834369,526.8838697630321,True,7,0.03862486519625989,1052.93104844776
7,2020-01-29,0,0,84.11269946834369,526.8838697630321,True,8,0.04409497748972002,1052.93104844776
8,2020-01-30,0,0,84.11269946834369,526.8838697630321,True,9,0.050339738416462464,1052.93104844776
9,2020-01-31,0,0,84.11269946834369,526.8838697630321,True,10,0.05746883843123323,1052.93104844776
10,2020-02-01,0,0,84.11269946834369,526.8838697630321,True,11,0.06560749678233398,1052.93104844776
11,2020-02-02,0,0,84.11269946834369,526.8838697630321,True,12,0.07489865887851377,1052.93104844776
12,2020-02-03,0,0,84.11269946834369,526.8838697630321,True,13,0.0855055042761376,1052.93104844776
13,2020-02-04,0,0,84.11269946834369,526.8838697630321,True,14,0.09761430910097711,1052.93104844776
14,2020-02-05,0,0,84.11269946834369,526.8838697630321,True,15,0.11143771287033441,1052.93104844776
15,2020-02-06,0,0,84.11269946834369,526.8838697630321,True,16,0.12721844668743562,1052.93104844776
16,2020-02-07,0,0,84.11269946834369,526.8838697630321,True,17,0.14523358775724327,1052.93104844776
17,2020-02-08,0,0,84.11269946834369,526.8838697630321,True,18,0.16579941425211236,1052.93104844776
18,2020-02-09,0,0,84.11269946834369,526.8838697630321,True,19,0.18927694488474872,1052.93104844776
19,2020-02-10,0,0,84.11269946834369,526.8838697630321,True,20,0.2160782592908065,1052.93104844776
20,2020-02-11,0,0,84.11269946834369,526.8838697630321,True,21,0.24667370867047955,1052.93104844776
21,2020-02-12,0,0,84.11269946834369,526.8838697630321,True,22,0.2816001412960244,1052.93104844776
22,2020-02-13,0,0,84.11269946834369,526.8838697630321,True,23,0.32147028469263056,1052.93104844776
23,2020-02-14,0,0,84.11269946834369,526.8838697630321,True,24,0.3669834458014602,1052.93104844776
24,2020-02-15,0,0,84.11269946834369,526.8838697630321,True,25,0.41893771252112655,1052.93104844776
25,2020-02-16,0,0,84.11269946834369,526.8838697630321,True,26,0.4782438650106795,1052.93104844776
26,2020-02-17,0,0,84.11269946834369,526.8838697630321,True,27,0.5459412333650748,1052.93104844776
27,2020-02-18,0,0,84.11269946834369,526.8838697630321,True,28,0.6232157701126952,1052.93104844776
28,2020-02-19,0,0,84.11269946834369,526.8838697630321,True,29,0.7114206418289553,1052.93104844776
29,2020-02-20,0,0,84.11269946834369,526.8838697630321,True,30,0.8120996844268511,1052.93104844776
30,2020-02-21,0,0,84.11269946834369,526.8838697630321,True,31,0.9270141118051747,1052.93104844776
31,2020-02-22,0,0,84.11269946834369,526.8838697630321,True,32,1.05817291794158,1052.93104844776
32,2020-02-23,0,0,84.11269946834369,526.8838697630321,True,33,1.2078674686308355,1052.93104844776
33,2020-02-24,0,0,84.11269946834369,526.8838697630321,True,34,1.3787108412711184,1052.93104844776
34,2020-02-25,0,0,84.11269946834369,526.8838697630321,True,35,1.5736825397053724,1052.93104844776
35,2020-02-26,0,0,84.11269946834369,526.8838697630321,True,36,1.7961792863264652,1052.93104844776
36,2020-02-27,0,0,84.11269946834369,526.8838697630321,True,37,2.050072675471899,1052.93104844776
37,2020-02-28,0,0,84.11269946834369,526.8838697630321,True,38,2.3397745603221605,1052.93104844776
38,2020-02-29,0,0,84.11269946834369,526.8838697630321,True,39,2.6703111394607806,1052.93104844776
39,2020-03-01,0,0,84.11269946834369,526.8838697630321,True,40,3.047406807820917,1052.93104844776
40,2020-03-02,0,0,84.11269946834369,526.8838697630321,True,41,3.477578938094027,1052.93104844776
41,2020-03-03,0,0,84.11269946834369,526.8838697630321,True,42,3.9682448600219167,1052.93104844776
42,2020-03-04,0,0,84.11269946834369,526.8838697630321,True,43,4.527842402282754,1052.93104844776
43,2020-03-05,0,0,84.11269946834369,526.8838697630321,True,44,5.165965449205057,1052.93104844776
