,Report_Date,Iraq_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,137.004629171059,6091.8951091923955,False,1,33.746574582394025,12183.79021838479
1,2020-01-23,0,0,137.004629171059,6091.8951091923955,False,2,35.23485864585055,12183.79021838479
2,2020-01-24,0,0,137.004629171059,6091.8951091923955,False,3,36.7885799518193,12183.79021838479
3,2020-01-25,0,0,137.004629171059,6091.8951091923955,False,4,38.41059775126498,12183.79021838479
4,2020-01-26,0,0,137.004629171059,6091.8951091923955,False,5,40.10389461524144,12183.79021838479
5,2020-01-27,0,0,137.004629171059,6091.8951091923955,False,6,41.87158160816057,12183.79021838479
6,2020-01-28,0,0,137.004629171059,6091.8951091923955,False,7,43.71690366488005,12183.79021838479
7,2020-01-29,0,0,137.004629171059,6091.8951091923955,False,8,45.6432451784234,12183.79021838479
8,2020-01-30,0,0,137.004629171059,6091.8951091923955,False,9,47.6541358052561,12183.79021838479
9,2020-01-31,0,0,137.004629171059,6091.8951091923955,False,10,49.753256495140725,12183.79021838479
10,2020-02-01,0,0,137.004629171059,6091.8951091923955,False,11,51.944445752679705,12183.79021838479
11,2020-02-02,0,0,137.004629171059,6091.8951091923955,False,12,54.23170613772502,12183.79021838479
12,2020-02-03,0,0,137.004629171059,6091.8951091923955,False,13,56.61921101188794,12183.79021838479
13,2020-02-04,0,0,137.004629171059,6091.8951091923955,False,14,59.11131153841503,12183.79021838479
14,2020-02-05,0,0,137.004629171059,6091.8951091923955,False,15,61.71254394270855,12183.79021838479
15,2020-02-06,0,0,137.004629171059,6091.8951091923955,False,16,64.42763704075512,12183.79021838479
16,2020-02-07,0,0,137.004629171059,6091.8951091923955,False,17,67.26152004268458,12183.79021838479
17,2020-02-08,0,0,137.004629171059,6091.8951091923955,False,18,70.21933063860658,12183.79021838479
18,2020-02-09,0,0,137.004629171059,6091.8951091923955,False,19,73.3064233737636,12183.79021838479
19,2020-02-10,0,0,137.004629171059,6091.8951091923955,False,20,76.52837831988921,12183.79021838479
20,2020-02-11,0,0,137.004629171059,6091.8951091923955,False,21,79.89101004946855,12183.79021838479
21,2020-02-12,0,0,137.004629171059,6091.8951091923955,False,22,83.4003769193555,12183.79021838479
22,2020-02-13,0,0,137.004629171059,6091.8951091923955,False,23,87.06279066990638,12183.79021838479
23,2020-02-14,0,0,137.004629171059,6091.8951091923955,False,24,90.8848263454351,12183.79021838479
24,2020-02-15,0,0,137.004629171059,6091.8951091923955,False,25,94.873332541375,12183.79021838479
25,2020-02-16,0,0,137.004629171059,6091.8951091923955,False,26,99.03544198304041,12183.79021838479
26,2020-02-17,0,0,137.004629171059,6091.8951091923955,False,27,103.37858244031194,12183.79021838479
27,2020-02-18,0,0,137.004629171059,6091.8951091923955,False,28,107.91048798191095,12183.79021838479
28,2020-02-19,0,0,137.004629171059,6091.8951091923955,False,29,112.63921057218067,12183.79021838479
29,2020-02-20,0,0,137.004629171059,6091.8951091923955,False,30,117.57313201243599,12183.79021838479
30,2020-02-21,0,0,137.004629171059,6091.8951091923955,False,31,122.72097622798023,12183.79021838479
31,2020-02-22,0,0,137.004629171059,6091.8951091923955,False,32,128.0918219008007,12183.79021838479
32,2020-02-23,0,0,137.004629171059,6091.8951091923955,False,33,133.69511544673583,12183.79021838479
33,2020-02-24,1,1,137.004629171059,6091.8951091923955,False,34,139.54068433454614,12183.79021838479
34,2020-02-25,1,1,137.004629171059,6091.8951091923955,False,35,145.63875074280483,12183.79021838479
35,2020-02-26,5,5,137.004629171059,6091.8951091923955,False,36,151.99994554884242,12183.79021838479
36,2020-02-27,7,7,137.004629171059,6091.8951091923955,False,37,158.63532264211554,12183.79021838479
37,2020-02-28,7,7,137.004629171059,6091.8951091923955,False,38,165.55637355231573,12183.79021838479
38,2020-02-29,13,13,137.004629171059,6091.8951091923955,False,39,172.77504238026893,12183.79021838479
39,2020-03-01,19,19,137.004629171059,6091.8951091923955,False,40,180.30374101719036,12183.79021838479
40,2020-03-02,26,26,137.004629171059,6091.8951091923955,False,41,188.15536463513425,12183.79021838479
41,2020-03-03,32,32,137.004629171059,6091.8951091923955,False,42,196.34330742849795,12183.79021838479
42,2020-03-04,35,33,137.004629171059,6091.8951091923955,False,43,204.88147858318874,12183.79021838479
43,2020-03-05,35,33,137.004629171059,6091.8951091923955,False,44,213.78431844652306,12183.79021838479
44,2020-03-06,40,37,137.004629171059,6091.8951091923955,False,45,223.0668148670823,12183.79021838479
45,2020-03-07,54,50,137.004629171059,6091.8951091923955,False,46,232.74451966957952,12183.79021838479
46,2020-03-08,60,54,137.004629171059,6091.8951091923955,False,47,242.83356522528265,12183.79021838479
47,2020-03-09,60,51,137.004629171059,6091.8951091923955,False,48,253.3506810736676,12183.79021838479
48,2020-03-10,71,61,137.004629171059,6091.8951091923955,False,49,264.3132105457309,12183.79021838479
49,2020-03-11,71,49,137.004629171059,6091.8951091923955,False,50,275.7391273337459,12183.79021838479
50,2020-03-12,71,48,137.004629171059,6091.8951091923955,False,51,287.64705194619984,12183.79021838479
51,2020-03-13,101,68,137.004629171059,6091.8951091923955,False,52,300.05626798016544,12183.79021838479
52,2020-03-14,110,74,137.004629171059,6091.8951091923955,False,53,312.98673813644723,12183.79021838479
53,2020-03-15,116,80,137.004629171059,6091.8951091923955,False,54,326.45911989546465,12183.79021838479
54,2020-03-16,124,88,137.004629171059,6091.8951091923955,False,55,340.49478076400504,12183.79021838479
55,2020-03-17,154,111,137.004629171059,6091.8951091923955,False,56,355.1158129946693,12183.79021838479
56,2020-03-18,164,109,137.004629171059,6091.8951091923955,False,57,370.3450476710521,12183.79021838479
57,2020-03-19,192,136,137.004629171059,6091.8951091923955,False,58,386.20606804243835,12183.79021838479
58,2020-03-20,208,142,137.004629171059,6091.8951091923955,False,59,402.7232219820715,12183.79021838479
59,2020-03-21,214,146,137.004629171059,6091.8951091923955,False,60,419.9216334328489,12183.79021838479
60,2020-03-22,233,156,137.004629171059,6091.8951091923955,False,61,437.8272126936602,12183.79021838479
61,2020-03-23,266,186,137.004629171059,6091.8951091923955,False,62,456.4666653885146,12183.79021838479
62,2020-03-24,316,214,137.004629171059,6091.8951091923955,False,63,475.86749994913777,12183.79021838479
63,2020-03-25,346,214,137.004629171059,6091.8951091923955,False,64,496.05803342989765,12183.79021838479
64,2020-03-26,382,241,137.004629171059,6091.8951091923955,False,65,517.067395461784,12183.79021838479
65,2020-03-27,458,296,137.004629171059,6091.8951091923955,False,66,538.9255301397961,12183.79021838479
66,2020-03-28,506,333,137.004629171059,6091.8951091923955,False,67,561.6631956255356,12183.79021838479
67,2020-03-29,547,362,137.004629171059,6091.8951091923955,False,68,585.3119612341613,12183.79021838479
68,2020-03-30,630,432,137.004629171059,6091.8951091923955,False,69,609.9042017622464,12183.79021838479
69,2020-03-31,694,474,137.004629171059,6091.8951091923955,False,70,635.4730888005768,12183.79021838479
70,2020-04-01,728,494,137.004629171059,6091.8951091923955,False,71,662.0525787637205,12183.79021838479
71,2020-04-02,772,516,137.004629171059,6091.8951091923955,False,72,689.6773973563874,12183.79021838479
72,2020-04-03,820,540,137.004629171059,6091.8951091923955,False,73,718.3830201854241,12183.79021838479
73,2020-04-04,878,563,137.004629171059,6091.8951091923955,False,74,748.2056492158796,12183.79021838479
