,Report_Date,Australia_western australia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.45509825038323,278.1116677781856,True,1,0.006597318266389245,556.2156294781557
1,2020-01-23,0,67.45509825038323,278.1116677781856,True,2,0.007825099325598108,556.2156294781557
2,2020-01-24,0,67.45509825038323,278.1116677781856,True,3,0.009281370373362867,556.2156294781557
3,2020-01-25,0,67.45509825038323,278.1116677781856,True,4,0.01100865183298179,556.2156294781557
4,2020-01-26,0,67.45509825038323,278.1116677781856,True,5,0.013057376256483056,556.2156294781557
5,2020-01-27,0,67.45509825038323,278.1116677781856,True,6,0.015487360343465558,556.2156294781557
6,2020-01-28,0,67.45509825038323,278.1116677781856,True,7,0.018369550718506125,556.2156294781557
7,2020-01-29,0,67.45509825038323,278.1116677781856,True,8,0.02178809433685803,556.2156294781557
8,2020-01-30,0,67.45509825038323,278.1116677781856,True,9,0.025842793823465746,556.2156294781557
9,2020-01-31,0,67.45509825038323,278.1116677781856,True,10,0.030652019228635228,556.2156294781557
10,2020-02-01,0,67.45509825038323,278.1116677781856,True,11,0.036356160924148666,556.2156294781557
11,2020-02-02,0,67.45509825038323,278.1116677781856,True,12,0.04312172404257139,556.2156294781557
12,2020-02-03,0,67.45509825038323,278.1116677781856,True,13,0.05114618342337884,556.2156294781557
13,2020-02-04,0,67.45509825038323,278.1116677781856,True,14,0.06066373999404092,556.2156294781557
14,2020-02-05,0,67.45509825038323,278.1116677781856,True,15,0.07195214549520351,556.2156294781557
15,2020-02-06,0,67.45509825038323,278.1116677781856,True,16,0.08534079317517312,556.2156294781557
16,2020-02-07,0,67.45509825038323,278.1116677781856,True,17,0.1012203083706231,556.2156294781557
17,2020-02-08,0,67.45509825038323,278.1116677781856,True,18,0.1200539157383435,556.2156294781557
18,2020-02-09,0,67.45509825038323,278.1116677781856,True,19,0.14239091044686383,556.2156294781557
19,2020-02-10,0,67.45509825038323,278.1116677781856,True,20,0.16888262019648342,556.2156294781557
20,2020-02-11,0,67.45509825038323,278.1116677781856,True,21,0.20030131503129878,556.2156294781557
21,2020-02-12,0,67.45509825038323,278.1116677781856,True,22,0.23756260427582876,556.2156294781557
22,2020-02-13,0,67.45509825038323,278.1116677781856,True,23,0.2817519565444937,556.2156294781557
23,2020-02-14,0,67.45509825038323,278.1116677781856,True,24,0.3341560918490192,556.2156294781557
24,2020-02-15,0,67.45509825038323,278.1116677781856,True,25,0.39630012681810406,556.2156294781557
25,2020-02-16,0,67.45509825038323,278.1116677781856,True,26,0.4699915076078575,556.2156294781557
26,2020-02-17,0,67.45509825038323,278.1116677781856,True,27,0.55737194303642,556.2156294781557
27,2020-02-18,0,67.45509825038323,278.1116677781856,True,28,0.6609787556847855,556.2156294781557
28,2020-02-19,0,67.45509825038323,278.1116677781856,True,29,0.7838173039005126,556.2156294781557
29,2020-02-20,0,67.45509825038323,278.1116677781856,True,30,0.9294463951411317,556.2156294781557
30,2020-02-21,0,67.45509825038323,278.1116677781856,True,31,1.102078912375018,556.2156294781557
31,2020-02-22,0,67.45509825038323,278.1116677781856,True,32,1.306700210307475,556.2156294781557
32,2020-02-23,0,67.45509825038323,278.1116677781856,True,33,1.549207204582163,556.2156294781557
33,2020-02-24,0,67.45509825038323,278.1116677781856,True,34,1.8365714686151764,556.2156294781557
34,2020-02-25,0,67.45509825038323,278.1116677781856,True,35,2.177030057471839,556.2156294781557
35,2020-02-26,0,67.45509825038323,278.1116677781856,True,36,2.5803081759974154,556.2156294781557
36,2020-02-27,0,67.45509825038323,278.1116677781856,True,37,3.0578781671189725,556.2156294781557
