,Report_Date,Ireland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.71539662015823,5340.773799390719,False,1,0.12435575567143063,10681.547598781437
1,2020-01-23,0,75.71539662015823,5340.773799390719,False,2,0.1447777515243275,10681.547598781437
2,2020-01-24,0,75.71539662015823,5340.773799390719,False,3,0.16855344283882379,10681.547598781437
3,2020-01-25,0,75.71539662015823,5340.773799390719,False,4,0.19623355390301397,10681.547598781437
4,2020-01-26,0,75.71539662015823,5340.773799390719,False,5,0.22845923904719712,10681.547598781437
5,2020-01-27,0,75.71539662015823,5340.773799390719,False,6,0.26597692906384196,10681.547598781437
6,2020-01-28,0,75.71539662015823,5340.773799390719,False,7,0.3096556142052467,10681.547598781437
7,2020-01-29,0,75.71539662015823,5340.773799390719,False,8,0.36050696334713,10681.547598781437
8,2020-01-30,0,75.71539662015823,5340.773799390719,False,9,0.41970874433043537,10681.547598781437
9,2020-01-31,0,75.71539662015823,5340.773799390719,False,10,0.4886320865915089,10681.547598781437
10,2020-02-01,0,75.71539662015823,5340.773799390719,False,11,0.5688732156904365,10681.547598781437
11,2020-02-02,0,75.71539662015823,5340.773799390719,False,12,0.6622903922514779,10681.547598781437
12,2020-02-03,0,75.71539662015823,5340.773799390719,False,13,0.7710469074579128,10681.547598781437
13,2020-02-04,0,75.71539662015823,5340.773799390719,False,14,0.8976611262805307,10681.547598781437
14,2020-02-05,0,75.71539662015823,5340.773799390719,False,15,1.0450647311675991,10681.547598781437
15,2020-02-06,0,75.71539662015823,5340.773799390719,False,16,1.216670506567272,10681.547598781437
16,2020-02-07,0,75.71539662015823,5340.773799390719,False,17,1.4164512225218326,10681.547598781437
17,2020-02-08,0,75.71539662015823,5340.773799390719,False,18,1.649031428421346,10681.547598781437
18,2020-02-09,0,75.71539662015823,5340.773799390719,False,19,1.9197942612932797,10681.547598781437
19,2020-02-10,0,75.71539662015823,5340.773799390719,False,20,2.2350057129920056,10681.547598781437
20,2020-02-11,0,75.71539662015823,5340.773799390719,False,21,2.6019591944874083,10681.547598781437
21,2020-02-12,0,75.71539662015823,5340.773799390719,False,22,3.029143691275085,10681.547598781437
22,2020-02-13,0,75.71539662015823,5340.773799390719,False,23,3.5264393309705278,10681.547598781437
23,2020-02-14,0,75.71539662015823,5340.773799390719,False,24,4.105344792815059,10681.547598781437
24,2020-02-15,0,75.71539662015823,5340.773799390719,False,25,4.779241690776932,10681.547598781437
25,2020-02-16,0,75.71539662015823,5340.773799390719,False,26,5.563701870146029,10681.547598781437
26,2020-02-17,0,75.71539662015823,5340.773799390719,False,27,6.476844486267815,10681.547598781437
27,2020-02-18,0,75.71539662015823,5340.773799390719,False,28,7.539750798846103,10681.547598781437
28,2020-02-19,0,75.71539662015823,5340.773799390719,False,29,8.776945832615754,10681.547598781437
29,2020-02-20,0,75.71539662015823,5340.773799390719,False,30,10.216957442398066,10681.547598781437
30,2020-02-21,0,75.71539662015823,5340.773799390719,False,31,11.892964894977304,10681.547598781437
31,2020-02-22,0,75.71539662015823,5340.773799390719,False,32,13.843550858467172,10681.547598781437
32,2020-02-23,0,75.71539662015823,5340.773799390719,False,33,16.11357268630957,10681.547598781437
33,2020-02-24,0,75.71539662015823,5340.773799390719,False,34,18.755171108062154,10681.547598781437
34,2020-02-25,0,75.71539662015823,5340.773799390719,False,35,21.82893689597794,10681.547598781437
35,2020-02-26,0,75.71539662015823,5340.773799390719,False,36,25.405258757334803,10681.547598781437
36,2020-02-27,0,75.71539662015823,5340.773799390719,False,37,29.565878583216126,10681.547598781437
37,2020-02-28,0,75.71539662015823,5340.773799390719,False,38,34.40568321642426,10681.547598781437
38,2020-02-29,1,75.71539662015823,5340.773799390719,False,39,40.03476500132013,10681.547598781437
39,2020-03-01,1,75.71539662015823,5340.773799390719,False,40,46.58078641512501,10681.547598781437
40,2020-03-02,1,75.71539662015823,5340.773799390719,False,41,54.191686855445504,10681.547598781437
41,2020-03-03,2,75.71539662015823,5340.773799390719,False,42,63.03877188384653,10681.547598781437
42,2020-03-04,6,75.71539662015823,5340.773799390719,False,43,73.3202264904195,10681.547598781437
43,2020-03-05,6,75.71539662015823,5340.773799390719,False,44,85.26509367986378,10681.547598781437
44,2020-03-06,18,75.71539662015823,5340.773799390719,False,45,99.13775710833127,10681.547598781437
45,2020-03-07,18,75.71539662015823,5340.773799390719,False,46,115.24296057969896,10681.547598781437
46,2020-03-08,19,75.71539662015823,5340.773799390719,False,47,133.93138656583164,10681.547598781437
47,2020-03-09,21,75.71539662015823,5340.773799390719,False,48,155.6057987690561,10681.547598781437
48,2020-03-10,34,75.71539662015823,5340.773799390719,False,49,180.7277278405997,10681.547598781437
49,2020-03-11,43,75.71539662015823,5340.773799390719,False,50,209.82464191300997,10681.547598781437
50,2020-03-12,43,75.71539662015823,5340.773799390719,False,51,243.49749124061717,10681.547598781437
51,2020-03-13,90,75.71539662015823,5340.773799390719,False,52,282.42844509061626,10681.547598781437
52,2020-03-14,129,75.71539662015823,5340.773799390719,False,53,327.38854484766387,10681.547598781437
53,2020-03-15,129,75.71539662015823,5340.773799390719,False,54,379.24487584019084,10681.547598781437
54,2020-03-16,169,75.71539662015823,5340.773799390719,False,55,438.966708064022,10681.547598781437
55,2020-03-17,223,75.71539662015823,5340.773799390719,False,56,507.629870879016,10681.547598781437
56,2020-03-18,292,75.71539662015823,5340.773799390719,False,57,586.4184103402036,10681.547598781437
57,2020-03-19,557,75.71539662015823,5340.773799390719,False,58,676.6223371997095,10681.547598781437
