,Report_Date,Pakistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,78.03746680016394,4183.609592243784,True,1,0.11673820096296668,7709.632035050465
1,2020-01-23,0,78.03746680016394,4183.609592243784,True,2,0.13497024401720287,7709.632035050465
2,2020-01-24,0,78.03746680016394,4183.609592243784,True,3,0.15604969427544946,7709.632035050465
3,2020-01-25,0,78.03746680016394,4183.609592243784,True,4,0.18042123046683758,7709.632035050465
4,2020-01-26,0,78.03746680016394,4183.609592243784,True,5,0.20859897064212635,7709.632035050465
5,2020-01-27,0,78.03746680016394,4183.609592243784,True,6,0.24117731352341384,7709.632035050465
6,2020-01-28,0,78.03746680016394,4183.609592243784,True,7,0.27884347179783675,7709.632035050465
7,2020-01-29,0,78.03746680016394,4183.609592243784,True,8,0.3223919611767506,7709.632035050465
8,2020-01-30,0,78.03746680016394,4183.609592243784,True,9,0.37274135010157405,7709.632035050465
9,2020-01-31,0,78.03746680016394,4183.609592243784,True,10,0.43095362240135804,7709.632035050465
10,2020-02-01,0,78.03746680016394,4183.609592243784,True,11,0.4982565599728293,7709.632035050465
11,2020-02-02,0,78.03746680016394,4183.609592243784,True,12,0.5760696157859694,7709.632035050465
12,2020-02-03,0,78.03746680016394,4183.609592243784,True,13,0.6660338205102776,7709.632035050465
13,2020-02-04,0,78.03746680016394,4183.609592243784,True,14,0.7700463502940343,7709.632035050465
14,2020-02-05,0,78.03746680016394,4183.609592243784,True,15,0.8903004804153047,7709.632035050465
15,2020-02-06,0,78.03746680016394,4183.609592243784,True,16,1.0293317616119622,7709.632035050465
16,2020-02-07,0,78.03746680016394,4183.609592243784,True,17,1.1900713851231393,7709.632035050465
17,2020-02-08,0,78.03746680016394,4183.609592243784,True,18,1.37590785138849,7709.632035050465
18,2020-02-09,0,78.03746680016394,4183.609592243784,True,19,1.5907582288637605,7709.632035050465
19,2020-02-10,0,78.03746680016394,4183.609592243784,True,20,1.8391504868293937,7709.632035050465
20,2020-02-11,0,78.03746680016394,4183.609592243784,True,21,2.1263186131438645,7709.632035050465
21,2020-02-12,0,78.03746680016394,4183.609592243784,True,22,2.458312488862509,7709.632035050465
22,2020-02-13,0,78.03746680016394,4183.609592243784,True,23,2.842124791273148,7709.632035050465
23,2020-02-14,0,78.03746680016394,4183.609592243784,True,24,3.2858375405279694,7709.632035050465
24,2020-02-15,0,78.03746680016394,4183.609592243784,True,25,3.798791298612249,7709.632035050465
25,2020-02-16,0,78.03746680016394,4183.609592243784,True,26,4.3917804794352095,7709.632035050465
26,2020-02-17,0,78.03746680016394,4183.609592243784,True,27,5.077278742515216,7709.632035050465
27,2020-02-18,0,78.03746680016394,4183.609592243784,True,28,5.869699027785824,7709.632035050465
28,2020-02-19,0,78.03746680016394,4183.609592243784,True,29,6.785693453669099,7709.632035050465
29,2020-02-20,0,78.03746680016394,4183.609592243784,True,30,7.844499053254374,7709.632035050465
30,2020-02-21,0,78.03746680016394,4183.609592243784,True,31,9.06833617272799,7709.632035050465
31,2020-02-22,0,78.03746680016394,4183.609592243784,True,32,10.48286731029394,7709.632035050465
32,2020-02-23,0,78.03746680016394,4183.609592243784,True,33,12.117725239894126,7709.632035050465
33,2020-02-24,0,78.03746680016394,4183.609592243784,True,34,14.007120447413115,7709.632035050465
34,2020-02-25,0,78.03746680016394,4183.609592243784,True,35,16.19053920997424,7709.632035050465
35,2020-02-26,2,78.03746680016394,4183.609592243784,True,36,18.713545068838833,7709.632035050465
36,2020-02-27,2,78.03746680016394,4183.609592243784,True,37,21.628697973593493,7709.632035050465
37,2020-02-28,2,78.03746680016394,4183.609592243784,True,38,24.996606989709463,7709.632035050465
38,2020-02-29,4,78.03746680016394,4183.609592243784,True,39,28.887134128566057,7709.632035050465
39,2020-03-01,4,78.03746680016394,4183.609592243784,True,40,33.380768523810595,7709.632035050465
40,2020-03-02,4,78.03746680016394,4183.609592243784,True,41,38.57019175805559,7709.632035050465
41,2020-03-03,5,78.03746680016394,4183.609592243784,True,42,44.562056519791234,7709.632035050465
42,2020-03-04,5,78.03746680016394,4183.609592243784,True,43,51.479001773024486,7709.632035050465
43,2020-03-05,5,78.03746680016394,4183.609592243784,True,44,59.461928017701304,7709.632035050465
44,2020-03-06,6,78.03746680016394,4183.609592243784,True,45,68.67255568963647,7709.632035050465
45,2020-03-07,6,78.03746680016394,4183.609592243784,True,46,79.29628786952162,7709.632035050465
46,2020-03-08,6,78.03746680016394,4183.609592243784,True,47,91.54539468223601,7709.632035050465
47,2020-03-09,6,78.03746680016394,4183.609592243784,True,48,105.66253034535963,7709.632035050465
48,2020-03-10,16,78.03746680016394,4183.609592243784,True,49,121.92458384626002,7709.632035050465
49,2020-03-11,19,78.03746680016394,4183.609592243784,True,50,140.64684953657857,7709.632035050465
50,2020-03-12,20,78.03746680016394,4183.609592243784,True,51,162.1874831215803,7709.632035050465
51,2020-03-13,28,78.03746680016394,4183.609592243784,True,52,186.95217991442257,7709.632035050465
