,Report_Date,Sao Tome and Principe_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,97.18877986626487,5.427717001840099e-05,False,1,5.958536226407176e-09,1.4919098729637603e-08
1,2020-01-23,0,97.18877986626487,5.427717001840099e-05,False,2,6.598268189466832e-09,1.4919098729637603e-08
2,2020-01-24,0,97.18877986626487,5.427717001840099e-05,False,3,7.306679677301821e-09,1.4919098729637603e-08
3,2020-01-25,0,97.18877986626487,5.427717001840099e-05,False,4,8.091142852344884e-09,1.4919098729637603e-08
4,2020-01-26,0,97.18877986626487,5.427717001840099e-05,False,5,8.959820979257693e-09,1.4919098729637603e-08
5,2020-01-27,0,97.18877986626487,5.427717001840099e-05,False,6,9.921753264081098e-09,1.4919098729637603e-08
6,2020-01-28,0,97.18877986626487,5.427717001840099e-05,False,7,1.0986948779564713e-08,1.4919098729637603e-08
7,2020-01-29,0,97.18877986626487,5.427717001840099e-05,False,8,1.2166490447053362e-08,1.4919098729637603e-08
8,2020-01-30,0,97.18877986626487,5.427717001840099e-05,False,9,1.347265014832021e-08,1.4919098729637603e-08
9,2020-01-31,0,97.18877986626487,5.427717001840099e-05,False,10,1.4919016154543217e-08,1.4919098729637603e-08
10,2020-02-01,0,97.18877986626487,5.427717001840099e-05,False,11,1.652063418532175e-08,1.4919098729637603e-08
11,2020-02-02,0,97.18877986626487,5.427717001840099e-05,False,12,1.8294163549427396e-08,1.4919098729637603e-08
12,2020-02-03,0,97.18877986626487,5.427717001840099e-05,False,13,2.0258049972193015e-08,1.4919098729637603e-08
13,2020-02-04,0,97.18877986626487,5.427717001840099e-05,False,14,2.2432716883504514e-08,1.4919098729637603e-08
14,2020-02-05,0,97.18877986626487,5.427717001840099e-05,False,15,2.4840777126836714e-08,1.4919098729637603e-08
15,2020-02-06,0,97.18877986626487,5.427717001840099e-05,False,16,2.7507267255372567e-08,1.4919098729637603e-08
16,2020-02-07,0,97.18877986626487,5.427717001840099e-05,False,17,3.045990680781469e-08,1.4919098729637603e-08
17,2020-02-08,0,97.18877986626487,5.427717001840099e-05,False,18,3.372938520604151e-08,1.4919098729637603e-08
18,2020-02-09,0,97.18877986626487,5.427717001840099e-05,False,19,3.734967919144167e-08,1.4919098729637603e-08
19,2020-02-10,0,97.18877986626487,5.427717001840099e-05,False,20,4.1358404018904924e-08,1.4919098729637603e-08
20,2020-02-11,0,97.18877986626487,5.427717001840099e-05,False,21,4.579720195954923e-08,1.4919098729637603e-08
21,2020-02-12,0,97.18877986626487,5.427717001840099e-05,False,22,5.0712172027981674e-08,1.4919098729637603e-08
22,2020-02-13,0,97.18877986626487,5.427717001840099e-05,False,23,5.615434525004346e-08,1.4919098729637603e-08
23,2020-02-14,0,97.18877986626487,5.427717001840099e-05,False,24,6.218021022554877e-08,1.4919098729637603e-08
24,2020-02-15,0,97.18877986626487,5.427717001840099e-05,False,25,6.885229422059646e-08,1.4919098729637603e-08
25,2020-02-16,0,97.18877986626487,5.427717001840099e-05,False,26,7.623980554882258e-08,1.4919098729637603e-08
26,2020-02-17,0,97.18877986626487,5.427717001840099e-05,False,27,8.441934357374899e-08,1.4919098729637603e-08
27,2020-02-18,0,97.18877986626487,5.427717001840099e-05,False,28,9.347568328846268e-08,1.4919098729637603e-08
28,2020-02-19,0,97.18877986626487,5.427717001840099e-05,False,29,1.0350264210746672e-07,1.4919098729637603e-08
29,2020-02-20,0,97.18877986626487,5.427717001840099e-05,False,30,1.1460403724175906e-07,1.4919098729637603e-08
30,2020-02-21,0,97.18877986626487,5.427717001840099e-05,False,31,1.2689474282483006e-07,1.4919098729637603e-08
