,Report_Date,Uganda_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,163.62094405576053,832.9436169933302,False,1,1.1256805970995976,1665.8872339865643
1,2020-01-23,0,0,163.62094405576053,832.9436169933302,False,2,1.1773199534439347,1665.8872339865643
2,2020-01-24,0,0,163.62094405576053,832.9436169933302,False,3,1.2313264561936008,1665.8872339865643
3,2020-01-25,0,0,163.62094405576053,832.9436169933302,False,4,1.287808450834244,1665.8872339865643
4,2020-01-26,0,0,163.62094405576053,832.9436169933302,False,5,1.3468792264494718,1665.8872339865643
5,2020-01-27,0,0,163.62094405576053,832.9436169933302,False,6,1.4086572398395205,1665.8872339865643
6,2020-01-28,0,0,163.62094405576053,832.9436169933302,False,7,1.4732663496642668,1665.8872339865643
7,2020-01-29,0,0,163.62094405576053,832.9436169933302,False,8,1.5408360610461131,1665.8872339865643
8,2020-01-30,0,0,163.62094405576053,832.9436169933302,False,9,1.6115017810859777,1665.8872339865643
9,2020-01-31,0,0,163.62094405576053,832.9436169933302,False,10,1.6854050857639262,1665.8872339865643
10,2020-02-01,0,0,163.62094405576053,832.9436169933302,False,11,1.7626939987148795,1665.8872339865643
11,2020-02-02,0,0,163.62094405576053,832.9436169933302,False,12,1.843523282389376,1665.8872339865643
12,2020-02-03,0,0,163.62094405576053,832.9436169933302,False,13,1.9280547421294971,1665.8872339865643
13,2020-02-04,0,0,163.62094405576053,832.9436169933302,False,14,2.0164575437108403,1665.8872339865643
14,2020-02-05,0,0,163.62094405576053,832.9436169933302,False,15,2.1089085449228167,1665.8872339865643
15,2020-02-06,0,0,163.62094405576053,832.9436169933302,False,16,2.2055926417815717,1665.8872339865643
16,2020-02-07,0,0,163.62094405576053,832.9436169933302,False,17,2.30670312999246,1665.8872339865643
17,2020-02-08,0,0,163.62094405576053,832.9436169933302,False,18,2.4124420823022525,1665.8872339865643
18,2020-02-09,0,0,163.62094405576053,832.9436169933302,False,19,2.5230207424051208,1665.8872339865643
19,2020-02-10,0,0,163.62094405576053,832.9436169933302,False,20,2.6386599360908516,1665.8872339865643
20,2020-02-11,0,0,163.62094405576053,832.9436169933302,False,21,2.759590500348794,1665.8872339865643
21,2020-02-12,0,0,163.62094405576053,832.9436169933302,False,22,2.886053731166548,1665.8872339865643
22,2020-02-13,0,0,163.62094405576053,832.9436169933302,False,23,3.0183018507884967,1665.8872339865643
23,2020-02-14,0,0,163.62094405576053,832.9436169933302,False,24,3.1565984952258197,1665.8872339865643
24,2020-02-15,0,0,163.62094405576053,832.9436169933302,False,25,3.301219222836624,1665.8872339865643
25,2020-02-16,0,0,163.62094405576053,832.9436169933302,False,26,3.452452044822144,1665.8872339865643
26,2020-02-17,0,0,163.62094405576053,832.9436169933302,False,27,3.61059797851274,1665.8872339865643
27,2020-02-18,0,0,163.62094405576053,832.9436169933302,False,28,3.775971624345307,1665.8872339865643
28,2020-02-19,0,0,163.62094405576053,832.9436169933302,False,29,3.948901767461894,1665.8872339865643
29,2020-02-20,0,0,163.62094405576053,832.9436169933302,False,30,4.129732004887537,1665.8872339865643
30,2020-02-21,0,0,163.62094405576053,832.9436169933302,False,31,4.3188213992735704,1665.8872339865643
31,2020-02-22,0,0,163.62094405576053,832.9436169933302,False,32,4.516545160220732,1665.8872339865643
32,2020-02-23,0,0,163.62094405576053,832.9436169933302,False,33,4.723295354224286,1665.8872339865643
33,2020-02-24,0,0,163.62094405576053,832.9436169933302,False,34,4.939481644310789,1665.8872339865643
34,2020-02-25,0,0,163.62094405576053,832.9436169933302,False,35,5.16553206046303,1665.8872339865643
35,2020-02-26,0,0,163.62094405576053,832.9436169933302,False,36,5.401893801955789,1665.8872339865643
36,2020-02-27,0,0,163.62094405576053,832.9436169933302,False,37,5.649034072750274,1665.8872339865643
37,2020-02-28,0,0,163.62094405576053,832.9436169933302,False,38,5.907440951119017,1665.8872339865643
38,2020-02-29,0,0,163.62094405576053,832.9436169933302,False,39,6.177624294695633,1665.8872339865643
39,2020-03-01,0,0,163.62094405576053,832.9436169933302,False,40,6.460116682164601,1665.8872339865643
40,2020-03-02,0,0,163.62094405576053,832.9436169933302,False,41,6.755474392825036,1665.8872339865643
41,2020-03-03,0,0,163.62094405576053,832.9436169933302,False,42,7.064278425278812,1665.8872339865643
42,2020-03-04,0,0,163.62094405576053,832.9436169933302,False,43,7.387135556507006,1665.8872339865643
43,2020-03-05,0,0,163.62094405576053,832.9436169933302,False,44,7.724679442609064,1665.8872339865643
44,2020-03-06,0,0,163.62094405576053,832.9436169933302,False,45,8.077571762485855,1665.8872339865643
45,2020-03-07,0,0,163.62094405576053,832.9436169933302,False,46,8.44650340575038,1665.8872339865643
46,2020-03-08,0,0,163.62094405576053,832.9436169933302,False,47,8.832195706147797,1665.8872339865643
47,2020-03-09,0,0,163.62094405576053,832.9436169933302,False,48,9.235401721758906,1665.8872339865643
48,2020-03-10,0,0,163.62094405576053,832.9436169933302,False,49,9.656907563247854,1665.8872339865643
49,2020-03-11,0,0,163.62094405576053,832.9436169933302,False,50,10.097533771394474,1665.8872339865643
50,2020-03-12,0,0,163.62094405576053,832.9436169933302,False,51,10.558136745124152,1665.8872339865643
51,2020-03-13,0,0,163.62094405576053,832.9436169933302,False,52,11.03961022121167,1665.8872339865643
52,2020-03-14,0,0,163.62094405576053,832.9436169933302,False,53,11.542886806790312,1665.8872339865643
53,2020-03-15,0,0,163.62094405576053,832.9436169933302,False,54,12.06893956574145,1665.8872339865643
