,Report_Date,Maldives_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,54.439306084565,9.549824885118726,True,1,0.0011907141814461466,19.087375776471283
1,2020-01-23,0,54.439306084565,9.549824885118726,True,2,0.0014272272111949258,19.087375776471283
2,2020-01-24,0,54.439306084565,9.549824885118726,True,3,0.001710714908345611,19.087375776471283
3,2020-01-25,0,54.439306084565,9.549824885118726,True,4,0.002050505235718313,19.087375776471283
4,2020-01-26,0,54.439306084565,9.549824885118726,True,5,0.0024577776475723997,19.087375776471283
5,2020-01-27,0,54.439306084565,9.549824885118726,True,6,0.002945930238566961,19.087375776471283
6,2020-01-28,0,54.439306084565,9.549824885118726,True,7,0.0035310195449729975,19.087375776471283
7,2020-01-29,0,54.439306084565,9.549824885118726,True,8,0.004232287307870701,19.087375776471283
8,2020-01-30,0,54.439306084565,9.549824885118726,True,9,0.00507279129729816,19.087375776471283
9,2020-01-31,0,54.439306084565,9.549824885118726,True,10,0.00608016061639535,19.087375776471283
10,2020-02-01,0,54.439306084565,9.549824885118726,True,11,0.007287499850866785,19.087375776471283
11,2020-02-02,0,54.439306084565,9.549824885118726,True,12,0.008734471111495739,19.087375776471283
12,2020-02-03,0,54.439306084565,9.549824885118726,True,13,0.01046858856149333,19.087375776471283
13,2020-02-04,0,54.439306084565,9.549824885118726,True,14,0.012546766567659403,19.087375776471283
14,2020-02-05,0,54.439306084565,9.549824885118726,True,15,0.015037170321512765,19.087375776471283
15,2020-02-06,0,54.439306084565,9.549824885118726,True,16,0.018021426813506422,19.087375776471283
16,2020-02-07,0,54.439306084565,9.549824885118726,True,17,0.021597264587763967,19.087375776471283
17,2020-02-08,0,54.439306084565,9.549824885118726,True,18,0.02588166293244999,19.087375776471283
18,2020-02-09,0,54.439306084565,9.549824885118726,True,19,0.03101460523058051,19.087375776471283
19,2020-02-10,0,54.439306084565,9.549824885118726,True,20,0.03716354722398265,19.087375776471283
20,2020-02-11,0,54.439306084565,9.549824885118726,True,21,0.0445287289641756,19.087375776471283
21,2020-02-12,0,54.439306084565,9.549824885118726,True,22,0.053349479133531975,19.087375776471283
22,2020-02-13,0,54.439306084565,9.549824885118726,True,23,0.06391168188795894,19.087375776471283
23,2020-02-14,0,54.439306084565,9.549824885118726,True,24,0.07655659871815014,19.087375776471283
24,2020-02-15,0,54.439306084565,9.549824885118726,True,25,0.09169125984235031,19.087375776471283
25,2020-02-16,0,54.439306084565,9.549824885118726,True,26,0.10980065934585895,19.087375776471283
26,2020-02-17,0,54.439306084565,9.549824885118726,True,27,0.13146200257026858,19.087375776471283
27,2020-02-18,0,54.439306084565,9.549824885118726,True,28,0.15736125845099314,19.087375776471283
28,2020-02-19,0,54.439306084565,9.549824885118726,True,29,0.18831225674780003,19.087375776471283
29,2020-02-20,0,54.439306084565,9.549824885118726,True,30,0.22527853060899403,19.087375776471283
30,2020-02-21,0,54.439306084565,9.549824885118726,True,31,0.26939802498715065,19.087375776471283
31,2020-02-22,0,54.439306084565,9.549824885118726,True,32,0.32201065250819594,19.087375776471283
32,2020-02-23,0,54.439306084565,9.549824885118726,True,33,0.3846884559805564,19.087375776471283
33,2020-02-24,0,54.439306084565,9.549824885118726,True,34,0.4592677996436973,19.087375776471283
34,2020-02-25,0,54.439306084565,9.549824885118726,True,35,0.5478825217177882,19.087375776471283
35,2020-02-26,0,54.439306084565,9.549824885118726,True,36,0.6529962961803484,19.087375776471283
36,2020-02-27,0,54.439306084565,9.549824885118726,True,37,0.7774315292174777,19.087375776471283
37,2020-02-28,0,54.439306084565,9.549824885118726,True,38,0.9243909224241361,19.087375776471283
38,2020-02-29,0,54.439306084565,9.549824885118726,True,39,1.097466364537738,19.087375776471283
39,2020-03-01,0,54.439306084565,9.549824885118726,True,40,1.3006281148876444,19.087375776471283
40,2020-03-02,0,54.439306084565,9.549824885118726,True,41,1.5381854576802378,19.087375776471283
41,2020-03-03,0,54.439306084565,9.549824885118726,True,42,1.8147084239820397,19.087375776471283
42,2020-03-04,0,54.439306084565,9.549824885118726,True,43,2.1348992816888908,19.087375776471283
43,2020-03-05,0,54.439306084565,9.549824885118726,True,44,2.5034029967994984,19.087375776471283
44,2020-03-06,0,54.439306084565,9.549824885118726,True,45,2.9245486928206526,19.087375776471283
45,2020-03-07,0,54.439306084565,9.549824885118726,True,46,3.402020272909984,19.087375776471283
46,2020-03-08,4,54.439306084565,9.549824885118726,True,47,3.938464585664043,19.087375776471283
47,2020-03-09,4,54.439306084565,9.549824885118726,True,48,4.535059849781804,19.087375776471283
48,2020-03-10,6,54.439306084565,9.549824885118726,True,49,5.191084201552716,19.087375776471283
49,2020-03-11,8,54.439306084565,9.549824885118726,True,50,5.903541032182267,19.087375776471283
50,2020-03-12,8,54.439306084565,9.549824885118726,True,51,6.6669092119255815,19.087375776471283
51,2020-03-13,9,54.439306084565,9.549824885118726,True,52,7.473086390953883,19.087375776471283
52,2020-03-14,10,54.439306084565,9.549824885118726,True,53,8.311577470932018,19.087375776471283
53,2020-03-15,13,54.439306084565,9.549824885118726,True,54,9.169947016924592,19.087375776471283
54,2020-03-16,13,54.439306084565,9.549824885118726,True,55,10.03450870913333,19.087375776471283
55,2020-03-17,13,54.439306084565,9.549824885118726,True,56,10.891177678273127,19.087375776471283
56,2020-03-18,13,54.439306084565,9.549824885118726,True,57,11.726376320364453,19.087375776471283
57,2020-03-19,13,54.439306084565,9.549824885118726,True,58,12.527872174942512,19.087375776471283
58,2020-03-20,13,54.439306084565,9.549824885118726,True,59,13.28544167364215,19.087375776471283
59,2020-03-21,13,54.439306084565,9.549824885118726,True,60,13.991290970316319,19.087375776471283
60,2020-03-22,13,54.439306084565,9.549824885118726,True,61,14.640212839283436,19.087375776471283
61,2020-03-23,13,54.439306084565,9.549824885118726,True,62,15.229503272942774,19.087375776471283
62,2020-03-24,13,54.439306084565,9.549824885118726,True,63,15.758692774499353,19.087375776471283
63,2020-03-25,13,54.439306084565,9.549824885118726,True,64,16.229161315770927,19.087375776471283
64,2020-03-26,13,54.439306084565,9.549824885118726,True,65,16.643704155571115,19.087375776471283
65,2020-03-27,16,54.439306084565,9.549824885118726,True,66,17.006103317666785,19.087375776471283
66,2020-03-28,16,54.439306084565,9.549824885118726,True,67,17.32074244716047,19.087375776471283
67,2020-03-29,17,54.439306084565,9.549824885118726,True,68,17.592285828546384,19.087375776471283
68,2020-03-30,17,54.439306084565,9.549824885118726,True,69,17.82542847735386,19.087375776471283
69,2020-03-31,18,54.439306084565,9.549824885118726,True,70,18.02471451820394,19.087375776471283
70,2020-04-01,19,54.439306084565,9.549824885118726,True,71,18.194415375862704,19.087375776471283
71,2020-04-02,19,54.439306084565,9.549824885118726,True,72,18.338456817652393,19.087375776471283
72,2020-04-03,19,54.439306084565,9.549824885118726,True,73,18.46038359812523,19.087375776471283
73,2020-04-04,19,54.439306084565,9.549824885118726,True,74,18.56335147009812,19.087375776471283
74,2020-04-05,19,54.439306084565,9.549824885118726,True,75,18.650137954341062,19.087375776471283
75,2020-04-06,19,54.439306084565,9.549824885118726,True,76,18.72316504583388,19.087375776471283
76,2020-04-07,19,54.439306084565,9.549824885118726,True,77,18.784528710696282,19.087375776471283
77,2020-04-08,19,54.439306084565,9.549824885118726,True,78,18.836031465753283,19.087375776471283
78,2020-04-09,19,54.439306084565,9.549824885118726,True,79,18.879215492115073,19.087375776471283
79,2020-04-10,19,54.439306084565,9.549824885118726,True,80,18.9153946256747,19.087375776471283
80,2020-04-11,19,54.439306084565,9.549824885118726,True,81,18.94568422603554,19.087375776471283
81,2020-04-12,20,54.439306084565,9.549824885118726,True,82,18.971028394205863,19.087375776471283
82,2020-04-13,20,54.439306084565,9.549824885118726,True,83,18.992224330675082,19.087375776471283
83,2020-04-14,20,54.439306084565,9.549824885118726,True,84,19.009943836239888,19.087375776471283
84,2020-04-15,22,54.439306084565,9.549824885118726,True,85,19.024752088523886,19.087375776471283
