,Report_Date,Angola_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,119.65953894608303,57.33047023333245,True,1,0.2565351533842538,82.51916985074428
1,2020-01-23,0,0,119.65953894608303,57.33047023333245,True,2,0.2700365168750863,82.51916985074428
2,2020-01-24,0,0,119.65953894608303,57.33047023333245,True,3,0.2842466873573577,82.51916985074428
3,2020-01-25,0,0,119.65953894608303,57.33047023333245,True,4,0.2992026857701383,82.51916985074428
4,2020-01-26,0,0,119.65953894608303,57.33047023333245,True,5,0.3149434460684399,82.51916985074428
5,2020-01-27,0,0,119.65953894608303,57.33047023333245,True,6,0.3315099118516717,82.51916985074428
6,2020-01-28,0,0,119.65953894608303,57.33047023333245,True,7,0.34894513763148866,82.51916985074428
7,2020-01-29,0,0,119.65953894608303,57.33047023333245,True,8,0.36729439493524074,82.51916985074428
8,2020-01-30,0,0,119.65953894608303,57.33047023333245,True,9,0.3866052834465023,82.51916985074428
9,2020-01-31,0,0,119.65953894608303,57.33047023333245,True,10,0.40692784738919063,82.51916985074428
10,2020-02-01,0,0,119.65953894608303,57.33047023333245,True,11,0.4283146973664984,82.51916985074428
11,2020-02-02,0,0,119.65953894608303,57.33047023333245,True,12,0.45082113787021505,82.51916985074428
12,2020-02-03,0,0,119.65953894608303,57.33047023333245,True,13,0.47450530067987806,82.51916985074428
13,2020-02-04,0,0,119.65953894608303,57.33047023333245,True,14,0.49942828437453074,82.51916985074428
14,2020-02-05,0,0,119.65953894608303,57.33047023333245,True,15,0.5256543001825239,82.51916985074428
15,2020-02-06,0,0,119.65953894608303,57.33047023333245,True,16,0.5532508243966966,82.51916985074428
16,2020-02-07,0,0,119.65953894608303,57.33047023333245,True,17,0.5822887575832694,82.51916985074428
17,2020-02-08,0,0,119.65953894608303,57.33047023333245,True,18,0.6128425908127333,82.51916985074428
18,2020-02-09,0,0,119.65953894608303,57.33047023333245,True,19,0.6449905791397791,82.51916985074428
19,2020-02-10,0,0,119.65953894608303,57.33047023333245,True,20,0.6788149225566827,82.51916985074428
