,Report_Date,China_zhejiang_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,10,11.634274686161712,607.736537688864,True,1,45.89704571694797,1215.4730745610789
1,2020-01-23,27,11.634274686161712,607.736537688864,True,2,61.40780373723984,1215.4730745610789
2,2020-01-24,43,11.634274686161712,607.736537688864,True,3,81.79378849468735,1215.4730745610789
3,2020-01-25,62,11.634274686161712,607.736537688864,True,4,108.3122874942872,1215.4730745610789
4,2020-01-26,104,11.634274686161712,607.736537688864,True,5,142.34884641949813,1215.4730745610789
5,2020-01-27,128,11.634274686161712,607.736537688864,True,6,185.29119350550826,1215.4730745610789
6,2020-01-28,173,11.634274686161712,607.736537688864,True,7,238.31113454443678,1215.4730745610789
7,2020-01-29,296,11.634274686161712,607.736537688864,True,8,302.05410247440096,1215.4730745610789
8,2020-01-30,428,11.634274686161712,607.736537688864,True,9,376.2814274830533,1215.4730745610789
9,2020-01-31,538,11.634274686161712,607.736537688864,True,10,459.5719683996671,1215.4730745610789
10,2020-02-01,599,11.634274686161712,607.736537688864,True,11,549.2327217008187,1215.4730745610789
11,2020-02-02,661,11.634274686161712,607.736537688864,True,12,641.5399321281432,1215.4730745610789
12,2020-02-03,724,11.634274686161712,607.736537688864,True,13,732.3087136124409,1215.4730745610789
13,2020-02-04,829,11.634274686161712,607.736537688864,True,14,817.6245855914445,1215.4730745610789
14,2020-02-05,895,11.634274686161712,607.736537688864,True,15,894.4790084454817,1215.4730745610789
15,2020-02-06,954,11.634274686161712,607.736537688864,True,16,961.1058497626992,1215.4730745610789
16,2020-02-07,1006,11.634274686161712,607.736537688864,True,17,1016.9723270338695,1215.4730745610789
17,2020-02-08,1048,11.634274686161712,607.736537688864,True,18,1062.5215414022844,1215.4730745610789
18,2020-02-09,1075,11.634274686161712,607.736537688864,True,19,1098.8176842865937,1215.4730745610789
19,2020-02-10,1092,11.634274686161712,607.736537688864,True,20,1127.2160251025114,1215.4730745610789
20,2020-02-11,1117,11.634274686161712,607.736537688864,True,21,1149.1186044860656,1215.4730745610789
21,2020-02-12,1131,11.634274686161712,607.736537688864,True,22,1165.8250700300835,1215.4730745610789
22,2020-02-13,1145,11.634274686161712,607.736537688864,True,23,1178.4607296575007,1215.4730745610789
23,2020-02-14,1155,11.634274686161712,607.736537688864,True,24,1187.956454692092,1215.4730745610789
24,2020-02-15,1162,11.634274686161712,607.736537688864,True,25,1195.0582009704704,1215.4730745610789
25,2020-02-16,1167,11.634274686161712,607.736537688864,True,26,1200.3503949064525,1215.4730745610789
26,2020-02-17,1171,11.634274686161712,607.736537688864,True,27,1204.2835268920753,1215.4730745610789
27,2020-02-18,1172,11.634274686161712,607.736537688864,True,28,1207.2007729790914,1215.4730745610789
28,2020-02-19,1174,11.634274686161712,607.736537688864,True,29,1209.3613187649405,1215.4730745610789
29,2020-02-20,1175,11.634274686161712,607.736537688864,True,30,1210.9596866142954,1215.4730745610789
30,2020-02-21,1203,11.634274686161712,607.736537688864,True,31,1212.1411953941895,1215.4730745610789
31,2020-02-22,1205,11.634274686161712,607.736537688864,True,32,1213.014038478335,1215.4730745610789
32,2020-02-23,1205,11.634274686161712,607.736537688864,True,33,1213.6585676379702,1215.4730745610789
33,2020-02-24,1205,11.634274686161712,607.736537688864,True,34,1214.1343480622052,1215.4730745610789
34,2020-02-25,1205,11.634274686161712,607.736537688864,True,35,1214.4854760510532,1215.4730745610789
35,2020-02-26,1205,11.634274686161712,607.736537688864,True,36,1214.7445637226149,1215.4730745610789
36,2020-02-27,1205,11.634274686161712,607.736537688864,True,37,1214.935712181503,1215.4730745610789
37,2020-02-28,1205,11.634274686161712,607.736537688864,True,38,1215.076723060048,1215.4730745610789
38,2020-02-29,1205,11.634274686161712,607.736537688864,True,39,1215.1807398095932,1215.4730745610789
39,2020-03-01,1205,11.634274686161712,607.736537688864,True,40,1215.2574637597293,1215.4730745610789
40,2020-03-02,1206,11.634274686161712,607.736537688864,True,41,1215.3140540181885,1215.4730745610789
