,Report_Date,Denmark_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.74090465912896,4542.304008150106,True,1,1.1235127763264154,8270.623633435027
1,2020-01-23,0,75.74090465912896,4542.304008150106,True,2,1.2672260364746952,8270.623633435027
2,2020-01-24,0,75.74090465912896,4542.304008150106,True,3,1.4293193735334773,8270.623633435027
3,2020-01-25,0,75.74090465912896,4542.304008150106,True,4,1.6121427034412752,8270.623633435027
4,2020-01-26,0,75.74090465912896,4542.304008150106,True,5,1.8183461675649277,8270.623633435027
5,2020-01-27,0,75.74090465912896,4542.304008150106,True,6,2.0509184312016004,8270.623633435027
6,2020-01-28,0,75.74090465912896,4542.304008150106,True,7,2.3132298517842593,8270.623633435027
7,2020-01-29,0,75.74090465912896,4542.304008150106,True,8,2.6090811316546643,8270.623633435027
8,2020-01-30,0,75.74090465912896,4542.304008150106,True,9,2.942758146722107,8270.623633435027
9,2020-01-31,0,75.74090465912896,4542.304008150106,True,10,3.3190937279630153,8270.623633435027
10,2020-02-01,0,75.74090465912896,4542.304008150106,True,11,3.743537268549185,8270.623633435027
11,2020-02-02,0,75.74090465912896,4542.304008150106,True,12,4.2222331365198595,8270.623633435027
12,2020-02-03,0,75.74090465912896,4542.304008150106,True,13,4.762108992519518,8270.623633435027
13,2020-02-04,0,75.74090465912896,4542.304008150106,True,14,5.370975245475192,8270.623633435027
14,2020-02-05,0,75.74090465912896,4542.304008150106,True,15,6.057637027523644,8270.623633435027
15,2020-02-06,0,75.74090465912896,4542.304008150106,True,16,6.832020234418682,8270.623633435027
16,2020-02-07,0,75.74090465912896,4542.304008150106,True,17,7.705313360487924,8270.623633435027
17,2020-02-08,0,75.74090465912896,4542.304008150106,True,18,8.690127059407226,8270.623633435027
18,2020-02-09,0,75.74090465912896,4542.304008150106,True,19,9.800673585018167,8270.623633435027
19,2020-02-10,0,75.74090465912896,4542.304008150106,True,20,11.052968511422366,8270.623633435027
20,2020-02-11,0,75.74090465912896,4542.304008150106,True,21,12.465057399744646,8270.623633435027
21,2020-02-12,0,75.74090465912896,4542.304008150106,True,22,14.057270371053022,8270.623633435027
22,2020-02-13,0,75.74090465912896,4542.304008150106,True,23,15.852507861278644,8270.623633435027
23,2020-02-14,0,75.74090465912896,4542.304008150106,True,24,17.876561174244202,8270.623633435027
24,2020-02-15,0,75.74090465912896,4542.304008150106,True,25,20.158471811801572,8270.623633435027
25,2020-02-16,0,75.74090465912896,4542.304008150106,True,26,22.730933943040917,8270.623633435027
26,2020-02-17,0,75.74090465912896,4542.304008150106,True,27,25.630744773294413,8270.623633435027
27,2020-02-18,0,75.74090465912896,4542.304008150106,True,28,28.89930798168856,8270.623633435027
28,2020-02-19,0,75.74090465912896,4542.304008150106,True,29,32.58319580380908,8270.623633435027
29,2020-02-20,0,75.74090465912896,4542.304008150106,True,30,36.7347757303148,8270.623633435027
30,2020-02-21,0,75.74090465912896,4542.304008150106,True,31,41.412908154846704,8270.623633435027
31,2020-02-22,0,75.74090465912896,4542.304008150106,True,32,46.6837216108663,8270.623633435027
32,2020-02-23,0,75.74090465912896,4542.304008150106,True,33,52.62147245481101,8270.623633435027
33,2020-02-24,0,75.74090465912896,4542.304008150106,True,34,59.30949594006261,8270.623633435027
34,2020-02-25,0,75.74090465912896,4542.304008150106,True,35,66.84125552845444,8270.623633435027
35,2020-02-26,0,75.74090465912896,4542.304008150106,True,36,75.32149693432964,8270.623633435027
36,2020-02-27,1,75.74090465912896,4542.304008150106,True,37,84.86751270348014,8270.623633435027
37,2020-02-28,1,75.74090465912896,4542.304008150106,True,38,95.61052198718225,8270.623633435027
38,2020-02-29,3,75.74090465912896,4542.304008150106,True,39,107.6971684462877,8270.623633435027
39,2020-03-01,4,75.74090465912896,4542.304008150106,True,40,121.29113674911811,8270.623633435027
40,2020-03-02,4,75.74090465912896,4542.304008150106,True,41,136.57488471407896,8270.623633435027
41,2020-03-03,6,75.74090465912896,4542.304008150106,True,42,153.75148356199108,8270.623633435027
42,2020-03-04,10,75.74090465912896,4542.304008150106,True,43,173.04655271519388,8270.623633435027
43,2020-03-05,10,75.74090465912896,4542.304008150106,True,44,194.71026780514748,8270.623633435027
44,2020-03-06,23,75.74090465912896,4542.304008150106,True,45,219.01941069065077,8270.623633435027
45,2020-03-07,23,75.74090465912896,4542.304008150106,True,46,246.27941798770857,8270.623633435027
46,2020-03-08,35,75.74090465912896,4542.304008150106,True,47,276.8263695120041,8270.623633435027
47,2020-03-09,90,75.74090465912896,4542.304008150106,True,48,311.0288398103389,8270.623633435027
48,2020-03-10,262,75.74090465912896,4542.304008150106,True,49,349.2895143636388,8270.623633435027
49,2020-03-11,442,75.74090465912896,4542.304008150106,True,50,392.046446987072,8270.623633435027
50,2020-03-12,615,75.74090465912896,4542.304008150106,True,51,439.77380658464057,8270.623633435027
51,2020-03-13,801,75.74090465912896,4542.304008150106,True,52,492.9819302594374,8270.623633435027
