,Report_Date,Canada_diamond princess_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,3.2613973789635695,2.477078561224173e-10,True,1,1.2057539777157129e-10,4.954157122448346e-10
1,2020-01-23,0,3.2613973789635695,2.477078561224173e-10,True,2,1.7186286919539287e-10,4.954157122448346e-10
2,2020-01-24,0,3.2613973789635695,2.477078561224173e-10,True,3,2.314930477054077e-10,4.954157122448346e-10
3,2020-01-25,0,3.2613973789635695,2.477078561224173e-10,True,4,2.930722973035362e-10,4.954157122448346e-10
4,2020-01-26,0,3.2613973789635695,2.477078561224173e-10,True,5,3.49349443693046e-10,4.954157122448346e-10
5,2020-01-27,0,3.2613973789635695,2.477078561224173e-10,True,6,3.9532022742283823e-10,4.954157122448346e-10
6,2020-01-28,0,3.2613973789635695,2.477078561224173e-10,True,7,4.295506109425846e-10,4.954157122448346e-10
7,2020-01-29,0,3.2613973789635695,2.477078561224173e-10,True,8,4.5332145336445916e-10,4.954157122448346e-10
8,2020-01-30,0,3.2613973789635695,2.477078561224173e-10,True,9,4.690401234828441e-10,4.954157122448346e-10
9,2020-01-31,0,3.2613973789635695,2.477078561224173e-10,True,10,4.791004405766878e-10,4.954157122448346e-10
10,2020-02-01,0,3.2613973789635695,2.477078561224173e-10,True,11,4.854053934353627e-10,4.954157122448346e-10
11,2020-02-02,0,3.2613973789635695,2.477078561224173e-10,True,12,4.893049068314249e-10,4.954157122448346e-10
12,2020-02-03,0,3.2613973789635695,2.477078561224173e-10,True,13,4.916970047541673e-10,4.954157122448346e-10
13,2020-02-04,0,3.2613973789635695,2.477078561224173e-10,True,14,4.931570293867325e-10,4.954157122448346e-10
14,2020-02-05,0,3.2613973789635695,2.477078561224173e-10,True,15,4.940454222722403e-10,4.954157122448346e-10
15,2020-02-06,0,3.2613973789635695,2.477078561224173e-10,True,16,4.945849780377991e-10,4.954157122448346e-10
16,2020-02-07,0,3.2613973789635695,2.477078561224173e-10,True,17,4.949122985909353e-10,4.954157122448346e-10
17,2020-02-08,0,3.2613973789635695,2.477078561224173e-10,True,18,4.951107299310684e-10,4.954157122448346e-10
18,2020-02-09,0,3.2613973789635695,2.477078561224173e-10,True,19,4.952309744783132e-10,4.954157122448346e-10
19,2020-02-10,0,3.2613973789635695,2.477078561224173e-10,True,20,4.953038212489345e-10,4.954157122448346e-10
20,2020-02-11,0,3.2613973789635695,2.477078561224173e-10,True,21,4.953479466273534e-10,4.954157122448346e-10
21,2020-02-12,0,3.2613973789635695,2.477078561224173e-10,True,22,4.953746721455286e-10,4.954157122448346e-10
22,2020-02-13,0,3.2613973789635695,2.477078561224173e-10,True,23,4.953908581377527e-10,4.954157122448346e-10
23,2020-02-14,0,3.2613973789635695,2.477078561224173e-10,True,24,4.954006606565338e-10,4.954157122448346e-10
24,2020-02-15,0,3.2613973789635695,2.477078561224173e-10,True,25,4.954065971097949e-10,4.954157122448346e-10
25,2020-02-16,0,3.2613973789635695,2.477078561224173e-10,True,26,4.954101922098421e-10,4.954157122448346e-10
26,2020-02-17,0,3.2613973789635695,2.477078561224173e-10,True,27,4.954123693761911e-10,4.954157122448346e-10
27,2020-02-18,0,3.2613973789635695,2.477078561224173e-10,True,28,4.954136878461826e-10,4.954157122448346e-10
28,2020-02-19,0,3.2613973789635695,2.477078561224173e-10,True,29,4.954144862960949e-10,4.954157122448346e-10
29,2020-02-20,0,3.2613973789635695,2.477078561224173e-10,True,30,4.954149698271515e-10,4.954157122448346e-10
30,2020-02-21,0,3.2613973789635695,2.477078561224173e-10,True,31,4.954152626470771e-10,4.954157122448346e-10
31,2020-02-22,0,3.2613973789635695,2.477078561224173e-10,True,32,4.954154399747891e-10,4.954157122448346e-10
32,2020-02-23,0,3.2613973789635695,2.477078561224173e-10,True,33,4.954155473619677e-10,4.954157122448346e-10
33,2020-02-24,0,3.2613973789635695,2.477078561224173e-10,True,34,4.954156123941242e-10,4.954157122448346e-10
34,2020-02-25,0,3.2613973789635695,2.477078561224173e-10,True,35,4.954156517766729e-10,4.954157122448346e-10
35,2020-02-26,0,3.2613973789635695,2.477078561224173e-10,True,36,4.954156756261821e-10,4.954157122448346e-10
36,2020-02-27,0,3.2613973789635695,2.477078561224173e-10,True,37,4.954156900691037e-10,4.954157122448346e-10
37,2020-02-28,0,3.2613973789635695,2.477078561224173e-10,True,38,4.9541569881553e-10,4.954157122448346e-10
38,2020-02-29,0,3.2613973789635695,2.477078561224173e-10,True,39,4.954157041122404e-10,4.954157122448346e-10
39,2020-03-01,0,3.2613973789635695,2.477078561224173e-10,True,40,4.954157073198524e-10,4.954157122448346e-10
40,2020-03-02,0,3.2613973789635695,2.477078561224173e-10,True,41,4.95415709262336e-10,4.954157122448346e-10
41,2020-03-03,0,3.2613973789635695,2.477078561224173e-10,True,42,4.954157104386763e-10,4.954157122448346e-10
42,2020-03-04,0,3.2613973789635695,2.477078561224173e-10,True,43,4.95415711151051e-10,4.954157122448346e-10
43,2020-03-05,0,3.2613973789635695,2.477078561224173e-10,True,44,4.95415711582455e-10,4.954157122448346e-10
44,2020-03-06,0,3.2613973789635695,2.477078561224173e-10,True,45,4.954157118437071e-10,4.954157122448346e-10
45,2020-03-07,0,3.2613973789635695,2.477078561224173e-10,True,46,4.954157120019175e-10,4.954157122448346e-10
46,2020-03-08,0,3.2613973789635695,2.477078561224173e-10,True,47,4.954157120977275e-10,4.954157122448346e-10
