,Report_Date,Kazakhstan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,108.92823165518807,4940.2548152930485,True,1,1.8302802068294137,8613.518182920618
1,2020-01-23,0,108.92823165518807,4940.2548152930485,True,2,1.9819428586822474,8613.518182920618
2,2020-01-24,0,108.92823165518807,4940.2548152930485,True,3,2.146170014445263,8613.518182920618
3,2020-01-25,0,108.92823165518807,4940.2548152930485,True,4,2.3240021101961856,8613.518182920618
4,2020-01-26,0,108.92823165518807,4940.2548152930485,True,5,2.516565656679952,8613.518182920618
5,2020-01-27,0,108.92823165518807,4940.2548152930485,True,6,2.7250803461807416,8613.518182920618
6,2020-01-28,0,108.92823165518807,4940.2548152930485,True,7,2.9508667437595544,8613.518182920618
7,2020-01-29,0,108.92823165518807,4940.2548152930485,True,8,3.195354610488301,8613.518182920618
8,2020-01-30,0,108.92823165518807,4940.2548152930485,True,9,3.4600919101211662,8613.518182920618
9,2020-01-31,0,108.92823165518807,4940.2548152930485,True,10,3.7467545547458676,8613.518182920618
10,2020-02-01,0,108.92823165518807,4940.2548152930485,True,11,4.05715694937151,8613.518182920618
11,2020-02-02,0,108.92823165518807,4940.2548152930485,True,12,4.393263400157229,8613.518182920618
12,2020-02-03,0,108.92823165518807,4940.2548152930485,True,13,4.7572004560886345,8613.518182920618
13,2020-02-04,0,108.92823165518807,4940.2548152930485,True,14,5.1512702593903885,8613.518182920618
14,2020-02-05,0,108.92823165518807,4940.2548152930485,True,15,5.577964985846606,8613.518182920618
15,2020-02-06,0,108.92823165518807,4940.2548152930485,True,16,6.039982462510783,8613.518182920618
16,2020-02-07,0,108.92823165518807,4940.2548152930485,True,17,6.540243057048421,8613.518182920618
17,2020-02-08,0,108.92823165518807,4940.2548152930485,True,18,7.081907940193813,8613.518182920618
18,2020-02-09,0,108.92823165518807,4940.2548152930485,True,19,7.668398830542774,8613.518182920618
19,2020-02-10,0,108.92823165518807,4940.2548152930485,True,20,8.303419339170526,8613.518182920618
20,2020-02-11,0,108.92823165518807,4940.2548152930485,True,21,8.990978040382696,8613.518182920618
21,2020-02-12,0,108.92823165518807,4940.2548152930485,True,22,9.735413404300424,8613.518182920618
22,2020-02-13,0,108.92823165518807,4940.2548152930485,True,23,10.54142073696922,8613.518182920618
23,2020-02-14,0,108.92823165518807,4940.2548152930485,True,24,11.414081284283643,8613.518182920618
24,2020-02-15,0,108.92823165518807,4940.2548152930485,True,25,12.358893667251253,8613.518182920618
25,2020-02-16,0,108.92823165518807,4940.2548152930485,True,26,13.381807827989336,8613.518182920618
26,2020-02-17,0,108.92823165518807,4940.2548152930485,True,27,14.489261678361041,8613.518182920618
27,2020-02-18,0,108.92823165518807,4940.2548152930485,True,28,15.688220656309412,8613.518182920618
28,2020-02-19,0,108.92823165518807,4940.2548152930485,True,29,16.986220408725707,8613.518182920618
29,2020-02-20,0,108.92823165518807,4940.2548152930485,True,30,18.39141283406592,8613.518182920618
30,2020-02-21,0,108.92823165518807,4940.2548152930485,True,31,19.91261573286736,8613.518182920618
31,2020-02-22,0,108.92823165518807,4940.2548152930485,True,32,21.559366329757044,8613.518182920618
32,2020-02-23,0,108.92823165518807,4940.2548152930485,True,33,23.34197894640583,8613.518182920618
33,2020-02-24,0,108.92823165518807,4940.2548152930485,True,34,25.271607121061383,8613.518182920618
34,2020-02-25,0,108.92823165518807,4940.2548152930485,True,35,27.360310486652534,8613.518182920618
35,2020-02-26,0,108.92823165518807,4940.2548152930485,True,36,29.621126735823477,8613.518182920618
36,2020-02-27,0,108.92823165518807,4940.2548152930485,True,37,32.06814901741161,8613.518182920618
37,2020-02-28,0,108.92823165518807,4940.2548152930485,True,38,34.716609124557905,8613.518182920618
38,2020-02-29,0,108.92823165518807,4940.2548152930485,True,39,37.58296684950395,8613.518182920618
39,2020-03-01,0,108.92823165518807,4940.2548152930485,True,40,40.68500589378451,8613.518182920618
40,2020-03-02,0,108.92823165518807,4940.2548152930485,True,41,44.04193673448225,8613.518182920618
41,2020-03-03,0,108.92823165518807,4940.2548152930485,True,42,47.67450685689466,8613.518182920618
42,2020-03-04,0,108.92823165518807,4940.2548152930485,True,43,51.60511877067644,8613.518182920618
43,2020-03-05,0,108.92823165518807,4940.2548152930485,True,44,55.85795622944358,8613.518182920618
44,2020-03-06,0,108.92823165518807,4940.2548152930485,True,45,60.45911907198897,8613.518182920618
45,2020-03-07,0,108.92823165518807,4940.2548152930485,True,46,65.43676709552354,8613.518182920618
46,2020-03-08,0,108.92823165518807,4940.2548152930485,True,47,70.82127335639187,8613.518182920618
47,2020-03-09,0,108.92823165518807,4940.2548152930485,True,48,76.64538726996818,8613.518182920618
48,2020-03-10,0,108.92823165518807,4940.2548152930485,True,49,82.94440784712197,8613.518182920618
49,2020-03-11,0,108.92823165518807,4940.2548152930485,True,50,89.75636735768919,8613.518182920618
50,2020-03-12,0,108.92823165518807,4940.2548152930485,True,51,97.12222564941983,8613.518182920618
51,2020-03-13,4,108.92823165518807,4940.2548152930485,True,52,105.0860752711939,8613.518182920618
52,2020-03-14,6,108.92823165518807,4940.2548152930485,True,53,113.69535744883616,8613.518182920618
53,2020-03-15,9,108.92823165518807,4940.2548152930485,True,54,123.00108883715833,8613.518182920618
54,2020-03-16,10,108.92823165518807,4940.2548152930485,True,55,133.05809881903673,8613.518182920618
55,2020-03-17,33,108.92823165518807,4940.2548152930485,True,56,143.92527693709297,8613.518182920618
56,2020-03-18,35,108.92823165518807,4940.2548152930485,True,57,155.66582982113258,8613.518182920618
57,2020-03-19,44,108.92823165518807,4940.2548152930485,True,58,168.34754670973555,8613.518182920618
58,2020-03-20,49,108.92823165518807,4940.2548152930485,True,59,182.04307235169082,8613.518182920618
59,2020-03-21,53,108.92823165518807,4940.2548152930485,True,60,196.8301857063754,8613.518182920618
60,2020-03-22,60,108.92823165518807,4940.2548152930485,True,61,212.79208243547473,8613.518182920618
61,2020-03-23,62,108.92823165518807,4940.2548152930485,True,62,230.01765868524788,8613.518182920618
62,2020-03-24,72,108.92823165518807,4940.2548152930485,True,63,248.60179309251376,8613.518182920618
63,2020-03-25,81,108.92823165518807,4940.2548152930485,True,64,268.64562330259395,8613.518182920618
64,2020-03-26,111,108.92823165518807,4940.2548152930485,True,65,290.25681255811935,8613.518182920618
65,2020-03-27,150,108.92823165518807,4940.2548152930485,True,66,313.5498010994157,8613.518182920618
66,2020-03-28,228,108.92823165518807,4940.2548152930485,True,67,338.6460362072095,8613.518182920618
67,2020-03-29,284,108.92823165518807,4940.2548152930485,True,68,365.6741737159078,8613.518182920618
68,2020-03-30,302,108.92823165518807,4940.2548152930485,True,69,394.7702427329802,8613.518182920618
69,2020-03-31,343,108.92823165518807,4940.2548152930485,True,70,426.07776412322545,8613.518182920618
70,2020-04-01,380,108.92823165518807,4940.2548152930485,True,71,459.7478120672431,8613.518182920618
71,2020-04-02,435,108.92823165518807,4940.2548152930485,True,72,495.93900669888313,8613.518182920618
72,2020-04-03,464,108.92823165518807,4940.2548152930485,True,73,534.8174244922342,8613.518182920618
73,2020-04-04,531,108.92823165518807,4940.2548152930485,True,74,576.5564117395604,8613.518182920618
74,2020-04-05,584,108.92823165518807,4940.2548152930485,True,75,621.336285183149,8613.518182920618
75,2020-04-06,662,108.92823165518807,4940.2548152930485,True,76,669.3439026944221,8613.518182920618
76,2020-04-07,697,108.92823165518807,4940.2548152930485,True,77,720.7720859049955,8613.518182920618
77,2020-04-08,727,108.92823165518807,4940.2548152930485,True,78,775.8188759737101,8613.518182920618
78,2020-04-09,781,108.92823165518807,4940.2548152930485,True,79,834.686603323898,8613.518182920618
79,2020-04-10,812,108.92823165518807,4940.2548152930485,True,80,897.5807523244854,8613.518182920618
80,2020-04-11,865,108.92823165518807,4940.2548152930485,True,81,964.708602649491,8613.518182920618
81,2020-04-12,951,108.92823165518807,4940.2548152930485,True,82,1036.277630576985,8613.518182920618
82,2020-04-13,1091,108.92823165518807,4940.2548152930485,True,83,1112.4936559313917,8613.518182920618
83,2020-04-14,1232,108.92823165518807,4940.2548152930485,True,84,1193.558723883024,8613.518182920618
84,2020-04-15,1295,108.92823165518807,4940.2548152930485,True,85,1279.668715537506,8613.518182920618
85,2020-04-16,1402,108.92823165518807,4940.2548152930485,True,86,1371.0106872954932,8613.518182920618
86,2020-04-17,1546,108.92823165518807,4940.2548152930485,True,87,1467.7599464239975,8613.518182920618
87,2020-04-18,1615,108.92823165518807,4940.2548152930485,True,88,1570.0768791852918,8613.518182920618
88,2020-04-19,1676,108.92823165518807,4940.2548152930485,True,89,1678.103558176034,8613.518182920618
89,2020-04-20,1852,108.92823165518807,4940.2548152930485,True,90,1791.9601671038295,8613.518182920618
