,Report_Date,UK_falkland islands (malvinas)_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,91.0806789545362,3.573909112707242,False,1,0.009106509195714261,0.02304091325586656
1,2020-01-23,0,91.0806789545362,3.573909112707242,False,2,0.009804809869386711,0.02304091325586656
2,2020-01-24,0,91.0806789545362,3.573909112707242,False,3,0.010556578093843933,0.02304091325586656
3,2020-01-25,0,91.0806789545362,3.573909112707242,False,4,0.011365895171455193,0.02304091325586656
4,2020-01-26,0,91.0806789545362,3.573909112707242,False,5,0.012237151933477856,0.02304091325586656
5,2020-01-27,0,91.0806789545362,3.573909112707242,False,6,0.013175071895472533,0.02304091325586656
6,2020-01-28,0,91.0806789545362,3.573909112707242,False,7,0.014184736093953728,0.02304091325586656
7,2020-01-29,0,91.0806789545362,3.573909112707242,False,8,0.01527160971814736,0.02304091325586656
8,2020-01-30,0,91.0806789545362,3.573909112707242,False,9,0.01644157065709408,0.02304091325586656
9,2020-01-31,0,91.0806789545362,3.573909112707242,False,10,0.01770094008882797,0.02304091325586656
10,2020-02-01,0,91.0806789545362,3.573909112707242,False,11,0.01905651524492739,0.02304091325586656
11,2020-02-02,0,91.0806789545362,3.573909112707242,False,12,0.020515604490321904,0.02304091325586656
12,2020-02-03,0,91.0806789545362,3.573909112707242,False,13,0.022086064864774487,0.02304091325586656
13,2020-02-04,0,91.0806789545362,3.573909112707242,False,14,0.02377634223885539,0.02304091325586656
14,2020-02-05,0,91.0806789545362,3.573909112707242,False,15,0.025595514243377523,0.02304091325586656
15,2020-02-06,0,91.0806789545362,3.573909112707242,False,16,0.02755333613704657,0.02304091325586656
16,2020-02-07,0,91.0806789545362,3.573909112707242,False,17,0.02966028978234039,0.02304091325586656
17,2020-02-08,0,91.0806789545362,3.573909112707242,False,18,0.0319276359041926,0.02304091325586656
18,2020-02-09,0,91.0806789545362,3.573909112707242,False,19,0.034367469809700776,0.02304091325586656
19,2020-02-10,0,91.0806789545362,3.573909112707242,False,20,0.0369927807495618,0.02304091325586656
20,2020-02-11,0,91.0806789545362,3.573909112707242,False,21,0.03981751510296135,0.02304091325586656
21,2020-02-12,0,91.0806789545362,3.573909112707242,False,22,0.04285664356687134,0.02304091325586656
22,2020-02-13,0,91.0806789545362,3.573909112707242,False,23,0.046126232527741215,0.02304091325586656
23,2020-02-14,0,91.0806789545362,3.573909112707242,False,24,0.049643519787948995,0.02304091325586656
24,2020-02-15,0,91.0806789545362,3.573909112707242,False,25,0.053426994810577604,0.02304091325586656
25,2020-02-16,0,91.0806789545362,3.573909112707242,False,26,0.057496483633497186,0.02304091325586656
26,2020-02-17,0,91.0806789545362,3.573909112707242,False,27,0.06187323858667257,0.02304091325586656
27,2020-02-18,0,91.0806789545362,3.573909112707242,False,28,0.06658003292429195,0.02304091325586656
28,2020-02-19,0,91.0806789545362,3.573909112707242,False,29,0.07164126045483694,0.02304091325586656
29,2020-02-20,0,91.0806789545362,3.573909112707242,False,30,0.07708304021658365,0.02304091325586656
30,2020-02-21,0,91.0806789545362,3.573909112707242,False,31,0.08293332620211144,0.02304091325586656
31,2020-02-22,0,91.0806789545362,3.573909112707242,False,32,0.08922202208195129,0.02304091325586656
32,2020-02-23,0,91.0806789545362,3.573909112707242,False,33,0.09598110081313109,0.02304091325586656
33,2020-02-24,0,91.0806789545362,3.573909112707242,False,34,0.10324472894154692,0.02304091325586656
34,2020-02-25,0,91.0806789545362,3.573909112707242,False,35,0.1110493953161277,0.02304091325586656
35,2020-02-26,0,91.0806789545362,3.573909112707242,False,36,0.11943404382585625,0.02304091325586656
36,2020-02-27,0,91.0806789545362,3.573909112707242,False,37,0.12844020964591638,0.02304091325586656
37,2020-02-28,0,91.0806789545362,3.573909112707242,False,38,0.13811215833449278,0.02304091325586656
38,2020-02-29,0,91.0806789545362,3.573909112707242,False,39,0.14849702695490413,0.02304091325586656
39,2020-03-01,0,91.0806789545362,3.573909112707242,False,40,0.1596449662065937,0.02304091325586656
40,2020-03-02,0,91.0806789545362,3.573909112707242,False,41,0.17160928233081443,0.02304091325586656
41,2020-03-03,0,91.0806789545362,3.573909112707242,False,42,0.18444657731047967,0.02304091325586656
42,2020-03-04,0,91.0806789545362,3.573909112707242,False,43,0.1982168856065981,0.02304091325586656
43,2020-03-05,0,91.0806789545362,3.573909112707242,False,44,0.21298380536422812,0.02304091325586656
44,2020-03-06,0,91.0806789545362,3.573909112707242,False,45,0.22881462167764186,0.02304091325586656
45,2020-03-07,0,91.0806789545362,3.573909112707242,False,46,0.24578041912662013,0.02304091325586656
46,2020-03-08,0,91.0806789545362,3.573909112707242,False,47,0.26395618038354896,0.02304091325586656
47,2020-03-09,0,91.0806789545362,3.573909112707242,False,48,0.2834208672453325,0.02304091325586656
48,2020-03-10,0,91.0806789545362,3.573909112707242,False,49,0.3042574799675159,0.02304091325586656
49,2020-03-11,0,91.0806789545362,3.573909112707242,False,50,0.3265530902745299,0.02304091325586656
50,2020-03-12,0,91.0806789545362,3.573909112707242,False,51,0.3503988428958355,0.02304091325586656
51,2020-03-13,0,91.0806789545362,3.573909112707242,False,52,0.3758899199416455,0.02304091325586656
52,2020-03-14,0,91.0806789545362,3.573909112707242,False,53,0.4031254618955165,0.02304091325586656
53,2020-03-15,0,91.0806789545362,3.573909112707242,False,54,0.43220843847954205,0.02304091325586656
54,2020-03-16,0,91.0806789545362,3.573909112707242,False,55,0.4632454621601845,0.02304091325586656
