,Report_Date,UK_gibraltar_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,70.5785610198672,73.14902407730844,True,1,0.0017221717547985843,146.29559970374416
1,2020-01-23,0,0,70.5785610198672,73.14902407730844,True,2,0.0020273027002965676,146.29559970374416
2,2020-01-24,0,0,70.5785610198672,73.14902407730844,True,3,0.002386495254251607,146.29559970374416
3,2020-01-25,0,0,70.5785610198672,73.14902407730844,True,4,0.0028093274478302975,146.29559970374416
4,2020-01-26,0,0,70.5785610198672,73.14902407730844,True,5,0.0033070741094148757,146.29559970374416
5,2020-01-27,0,0,70.5785610198672,73.14902407730844,True,6,0.003893007410289888,146.29559970374416
6,2020-01-28,0,0,70.5785610198672,73.14902407730844,True,7,0.004582750625042113,146.29559970374416
7,2020-01-29,0,0,70.5785610198672,73.14902407730844,True,8,0.0053946945213546385,146.29559970374416
8,2020-01-30,0,0,70.5785610198672,73.14902407730844,True,9,0.006350487456603093,146.29559970374416
9,2020-01-31,0,0,70.5785610198672,73.14902407730844,True,10,0.007475612213921195,146.29559970374416
10,2020-02-01,0,0,70.5785610198672,73.14902407730844,True,11,0.008800064909227108,146.29559970374416
11,2020-02-02,0,0,70.5785610198672,73.14902407730844,True,12,0.01035915400285892,146.29559970374416
12,2020-02-03,0,0,70.5785610198672,73.14902407730844,True,13,0.012194440624888432,146.29559970374416
13,2020-02-04,0,0,70.5785610198672,73.14902407730844,True,14,0.01435484515359954,146.29559970374416
14,2020-02-05,0,0,70.5785610198672,73.14902407730844,True,15,0.01689794936742831,146.29559970374416
15,2020-02-06,0,0,70.5785610198672,73.14902407730844,True,16,0.019891528633036257,146.29559970374416
16,2020-02-07,0,0,70.5785610198672,73.14902407730844,True,17,0.023415354625429385,146.29559970374416
17,2020-02-08,0,0,70.5785610198672,73.14902407730844,True,18,0.027563316150192144,146.29559970374416
18,2020-02-09,0,0,70.5785610198672,73.14902407730844,True,19,0.032445913926617775,146.29559970374416
19,2020-02-10,0,0,70.5785610198672,73.14902407730844,True,20,0.038193194894049425,146.29559970374416
20,2020-02-11,0,0,70.5785610198672,73.14902407730844,True,21,0.04495820295212404,146.29559970374416
21,2020-02-12,0,0,70.5785610198672,73.14902407730844,True,22,0.05292103630169822,146.29559970374416
22,2020-02-13,0,0,70.5785610198672,73.14902407730844,True,23,0.06229361701554826,146.29559970374416
23,2020-02-14,0,0,70.5785610198672,73.14902407730844,True,24,0.07332529647279028,146.29559970374416
24,2020-02-15,0,0,70.5785610198672,73.14902407730844,True,25,0.08630944121345636,146.29559970374416
