,Report_Date,Thailand_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,69.11649850366483,1465.6440149088967,True,1,0.03462541538376162,2930.566427568349
1,2020-01-23,3,69.11649850366483,1465.6440149088967,True,2,0.040901166096258164,2930.566427568349
2,2020-01-24,5,69.11649850366483,1465.6440149088967,True,3,0.048314358696605005,2930.566427568349
3,2020-01-25,7,69.11649850366483,1465.6440149088967,True,4,0.05707114024067328,2930.566427568349
4,2020-01-26,8,69.11649850366483,1465.6440149088967,True,5,0.06741501641876962,2930.566427568349
5,2020-01-27,8,69.11649850366483,1465.6440149088967,True,6,0.0796336206494449,2930.566427568349
6,2020-01-28,14,69.11649850366483,1465.6440149088967,True,7,0.09406670922243954,2930.566427568349
7,2020-01-29,14,69.11649850366483,1465.6440149088967,True,8,0.11111560437730211,2930.566427568349
8,2020-01-30,14,69.11649850366483,1465.6440149088967,True,9,0.13125434728894483,2930.566427568349
9,2020-01-31,19,69.11649850366483,1465.6440149088967,True,10,0.1550428702292633,2930.566427568349
10,2020-02-01,19,69.11649850366483,1465.6440149088967,True,11,0.18314255297171497,2930.566427568349
11,2020-02-02,19,69.11649850366483,1465.6440149088967,True,12,0.2163345943152602,2930.566427568349
12,2020-02-03,19,69.11649850366483,1465.6440149088967,True,13,0.25554170719984204,2930.566427568349
13,2020-02-04,25,69.11649850366483,1465.6440149088967,True,14,0.30185373734793564,2930.566427568349
14,2020-02-05,25,69.11649850366483,1465.6440149088967,True,15,0.356557913130947,2930.566427568349
15,2020-02-06,25,69.11649850366483,1465.6440149088967,True,16,0.42117456127136055,2930.566427568349
16,2020-02-07,25,69.11649850366483,1465.6440149088967,True,17,0.4974992723704554,2930.566427568349
17,2020-02-08,32,69.11649850366483,1465.6440149088967,True,18,0.5876526759579384,2930.566427568349
18,2020-02-09,32,69.11649850366483,1465.6440149088967,True,19,0.6941391912713807,2930.566427568349
19,2020-02-10,32,69.11649850366483,1465.6440149088967,True,20,0.8199163624630387,2930.566427568349
20,2020-02-11,33,69.11649850366483,1465.6440149088967,True,21,0.9684766713491086,2930.566427568349
21,2020-02-12,33,69.11649850366483,1465.6440149088967,True,22,1.1439440539654582,2930.566427568349
22,2020-02-13,33,69.11649850366483,1465.6440149088967,True,23,1.3511877367996212,2930.566427568349
23,2020-02-14,33,69.11649850366483,1465.6440149088967,True,24,1.595956463323475,2930.566427568349
24,2020-02-15,33,69.11649850366483,1465.6440149088967,True,25,1.8850367110206718,2930.566427568349
25,2020-02-16,34,69.11649850366483,1465.6440149088967,True,26,2.2264391140712285,2930.566427568349
26,2020-02-17,35,69.11649850366483,1465.6440149088967,True,27,2.6296180185683045,2930.566427568349
27,2020-02-18,35,69.11649850366483,1465.6440149088967,True,28,3.1057299174007977,2930.566427568349
28,2020-02-19,35,69.11649850366483,1465.6440149088967,True,29,3.6679374524693724,2930.566427568349
29,2020-02-20,35,69.11649850366483,1465.6440149088967,True,30,4.33176674351783,2930.566427568349
30,2020-02-21,35,69.11649850366483,1465.6440149088967,True,31,5.115527014121905,2930.566427568349
31,2020-02-22,35,69.11649850366483,1465.6440149088967,True,32,6.040802840638674,2930.566427568349
32,2020-02-23,35,69.11649850366483,1465.6440149088967,True,33,7.13303084644046,2930.566427568349
33,2020-02-24,35,69.11649850366483,1465.6440149088967,True,34,8.422174287550314,2930.566427568349
34,2020-02-25,37,69.11649850366483,1465.6440149088967,True,35,9.943510695752495,2930.566427568349
35,2020-02-26,40,69.11649850366483,1465.6440149088967,True,36,11.738549504943586,2930.566427568349
36,2020-02-27,40,69.11649850366483,1465.6440149088967,True,37,13.856098292891927,2930.566427568349
37,2020-02-28,41,69.11649850366483,1465.6440149088967,True,38,16.35349777876414,2930.566427568349
38,2020-02-29,42,69.11649850366483,1465.6440149088967,True,39,19.29804680952831,2930.566427568349
39,2020-03-01,42,69.11649850366483,1465.6440149088967,True,40,22.768638929362254,2930.566427568349
