,Report_Date,Thailand_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
40,2020-03-02,43,69.11649850366483,1465.6440149088967,True,41,26.857631305851616,2930.566427568349
41,2020-03-03,43,69.11649850366483,1465.6440149088967,True,42,31.672964159408238,2930.566427568349
42,2020-03-04,43,69.11649850366483,1465.6440149088967,True,43,37.34054355519679,2930.566427568349
43,2020-03-05,47,69.11649850366483,1465.6440149088967,True,44,44.00689133222363,2930.566427568349
44,2020-03-06,48,69.11649850366483,1465.6440149088967,True,45,51.84205158000115,2930.566427568349
45,2020-03-07,50,69.11649850366483,1465.6440149088967,True,46,61.04272155219742,2930.566427568349
46,2020-03-08,50,69.11649850366483,1465.6440149088967,True,47,71.83554393442729,2930.566427568349
47,2020-03-09,50,69.11649850366483,1465.6440149088967,True,48,84.48045428689773,2930.566427568349
48,2020-03-10,53,69.11649850366483,1465.6440149088967,True,49,99.27391936246924,2930.566427568349
49,2020-03-11,59,69.11649850366483,1465.6440149088967,True,50,116.55182607183347,2930.566427568349
50,2020-03-12,70,69.11649850366483,1465.6440149088967,True,51,136.69168509352602,2930.566427568349
51,2020-03-13,75,69.11649850366483,1465.6440149088967,True,52,160.11369727381697,2930.566427568349
52,2020-03-14,82,69.11649850366483,1465.6440149088967,True,53,187.28009820389425,2930.566427568349
53,2020-03-15,114,69.11649850366483,1465.6440149088967,True,54,218.69205551827736,2930.566427568349
54,2020-03-16,147,69.11649850366483,1465.6440149088967,True,55,254.88326180659035,2930.566427568349
55,2020-03-17,177,69.11649850366483,1465.6440149088967,True,56,296.409272337575,2930.566427568349
56,2020-03-18,212,69.11649850366483,1465.6440149088967,True,57,343.831623700051,2930.566427568349
57,2020-03-19,272,69.11649850366483,1465.6440149088967,True,58,397.69589363130837,2930.566427568349
58,2020-03-20,322,69.11649850366483,1465.6440149088967,True,59,458.5031899208997,2930.566427568349
59,2020-03-21,411,69.11649850366483,1465.6440149088967,True,60,526.6751510381641,2930.566427568349
60,2020-03-22,599,69.11649850366483,1465.6440149088967,True,61,602.5134422739434,2930.566427568349
61,2020-03-23,721,69.11649850366483,1465.6440149088967,True,62,686.1559218083531,2930.566427568349
62,2020-03-24,827,69.11649850366483,1465.6440149088967,True,63,777.5330223207158,2930.566427568349
63,2020-03-25,934,69.11649850366483,1465.6440149088967,True,64,876.329218026169,2930.566427568349
64,2020-03-26,1045,69.11649850366483,1465.6440149088967,True,65,981.9553815208187,2930.566427568349
65,2020-03-27,1136,69.11649850366483,1465.6440149088967,True,66,1093.5379761897677,2930.566427568349
66,2020-03-28,1245,69.11649850366483,1465.6440149088967,True,67,1209.9300293988508,2930.566427568349
67,2020-03-29,1388,69.11649850366483,1465.6440149088967,True,68,1329.7465501359359,2930.566427568349
68,2020-03-30,1524,69.11649850366483,1465.6440149088967,True,69,1451.4237008888556,2930.566427568349
69,2020-03-31,1651,69.11649850366483,1465.6440149088967,True,70,1573.2972063885527,2930.566427568349
70,2020-04-01,1771,69.11649850366483,1465.6440149088967,True,71,1693.692058041684,2930.566427568349
71,2020-04-02,1875,69.11649850366483,1465.6440149088967,True,72,1811.0134458057264,2930.566427568349
72,2020-04-03,1978,69.11649850366483,1465.6440149088967,True,73,1923.828613299877,2930.566427568349
73,2020-04-04,2067,69.11649850366483,1465.6440149088967,True,74,2030.9310546553409,2930.566427568349
74,2020-04-05,2169,69.11649850366483,1465.6440149088967,True,75,2131.381667106826,2930.566427568349
75,2020-04-06,2220,69.11649850366483,1465.6440149088967,True,76,2224.525290515934,2930.566427568349
76,2020-04-07,2258,69.11649850366483,1465.6440149088967,True,77,2309.9845959523777,2930.566427568349
77,2020-04-08,2369,69.11649850366483,1465.6440149088967,True,78,2387.635850153142,2930.566427568349
78,2020-04-09,2423,69.11649850366483,1465.6440149088967,True,79,2457.5723802110024,2930.566427568349
79,2020-04-10,2473,69.11649850366483,1465.6440149088967,True,80,2520.0616614291403,2930.566427568349
80,2020-04-11,2518,69.11649850366483,1465.6440149088967,True,81,2575.501165257947,2930.566427568349
81,2020-04-12,2551,69.11649850366483,1465.6440149088967,True,82,2624.376836590731,2930.566427568349
82,2020-04-13,2579,69.11649850366483,1465.6440149088967,True,83,2667.2266844995843,2930.566427568349
83,2020-04-14,2613,69.11649850366483,1465.6440149088967,True,84,2704.6107240021174,2930.566427568349
84,2020-04-15,2643,69.11649850366483,1465.6440149088967,True,85,2737.0875335438222,2930.566427568349
85,2020-04-16,2672,69.11649850366483,1465.6440149088967,True,86,2765.197028752523,2930.566427568349
86,2020-04-17,2700,69.11649850366483,1465.6440149088967,True,87,2789.4486683868718,2930.566427568349
87,2020-04-18,2733,69.11649850366483,1465.6440149088967,True,88,2810.3141429153898,2930.566427568349
88,2020-04-19,2765,69.11649850366483,1465.6440149088967,True,89,2828.2235828060047,2930.566427568349
89,2020-04-20,2792,69.11649850366483,1465.6440149088967,True,90,2843.5644028669776,2930.566427568349
90,2020-04-21,2811,69.11649850366483,1465.6440149088967,True,91,2856.6820248386,2930.566427568349
91,2020-04-22,2826,69.11649850366483,1465.6440149088967,True,92,2867.881861054298,2930.566427568349
92,2020-04-23,2839,69.11649850366483,1465.6440149088967,True,93,2877.432077681035,2930.566427568349
93,2020-04-24,2907,69.11649850366483,1465.6440149088967,True,94,2885.566776290295,2930.566427568349
94,2020-04-25,2907,69.11649850366483,1465.6440149088967,True,95,2892.489333036967,2930.566427568349
95,2020-04-26,2922,69.11649850366483,1465.6440149088967,True,96,2898.375715139765,2930.566427568349
96,2020-04-27,2931,69.11649850366483,1465.6440149088967,True,97,2903.3776563920583,2930.566427568349
97,2020-04-28,2938,69.11649850366483,1465.6440149088967,True,98,2907.6256197667954,2930.566427568349
98,2020-04-29,2947,69.11649850366483,1465.6440149088967,True,99,2911.231508725661,2930.566427568349
99,2020-04-30,2954,69.11649850366483,1465.6440149088967,True,100,2914.2911123455274,2930.566427568349
100,2020-05-01,2960,69.11649850366483,1465.6440149088967,True,101,2916.886285224041,2930.566427568349
101,2020-05-02,2966,69.11649850366483,1465.6440149088967,True,102,2919.0868732946683,2930.566427568349
102,2020-05-03,2969,69.11649850366483,1465.6440149088967,True,103,2920.9524027401476,2930.566427568349
103,2020-05-04,2987,69.11649850366483,1465.6440149088967,True,104,2922.533552354651,2930.566427568349
104,2020-05-05,2988,69.11649850366483,1465.6440149088967,True,105,2923.8734308829903,2930.566427568349
105,2020-05-06,2989,69.11649850366483,1465.6440149088967,True,106,2925.008680733546,2930.566427568349
106,2020-05-07,2992,69.11649850366483,1465.6440149088967,True,107,2925.97042850679,2930.566427568349
107,2020-05-08,3000,69.11649850366483,1465.6440149088967,True,108,2926.7851013473282,2930.566427568349
108,2020-05-09,3004,69.11649850366483,1465.6440149088967,True,109,2927.475126451916,2930.566427568349
