,Report_Date,China_anhui_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
109,2020-05-10,991,14.325724998205327,495.58617940482543,True,110,991.1723588078961,991.172358809648
110,2020-05-11,991,14.325724998205327,495.58617940482543,True,111,991.1723588083283,991.172358809648
111,2020-05-12,991,14.325724998205327,495.58617940482543,True,112,991.172358808654,991.172358809648
112,2020-05-13,991,14.325724998205327,495.58617940482543,True,113,991.1723588088997,991.172358809648
113,2020-05-14,991,14.325724998205327,495.58617940482543,True,114,991.1723588090846,991.172358809648
114,2020-05-15,991,14.325724998205327,495.58617940482543,True,115,991.1723588092241,991.172358809648
115,2020-05-16,991,14.325724998205327,495.58617940482543,True,116,991.1723588093291,991.172358809648
116,2020-05-17,991,14.325724998205327,495.58617940482543,True,117,991.1723588094084,991.172358809648
117,2020-05-18,991,14.325724998205327,495.58617940482543,True,118,991.1723588094679,991.172358809648
118,2020-05-19,991,14.325724998205327,495.58617940482543,True,119,991.1723588095131,991.172358809648
119,2020-05-20,991,14.325724998205327,495.58617940482543,True,120,991.172358809547,991.172358809648
120,2020-05-21,991,14.325724998205327,495.58617940482543,True,121,991.1723588095725,991.172358809648
121,2020-05-22,991,14.325724998205327,495.58617940482543,True,122,991.1723588095916,991.172358809648
122,2020-05-23,991,14.325724998205327,495.58617940482543,True,123,991.1723588096062,991.172358809648
