,Report_Date,China_anhui_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,14.325724998205327,495.58617940482543,True,1,22.356177835433506,991.172358809648
1,2020-01-23,9,14.325724998205327,495.58617940482543,True,2,29.446971196215795,991.172358809648
2,2020-01-24,15,14.325724998205327,495.58617940482543,True,3,38.69694702259844,991.172358809648
3,2020-01-25,39,14.325724998205327,495.58617940482543,True,4,50.699378052079204,991.172358809648
4,2020-01-26,60,14.325724998205327,495.58617940482543,True,5,66.16593249765616,991.172358809648
5,2020-01-27,70,14.325724998205327,495.58617940482543,True,6,85.91972233466582,991.172358809648
6,2020-01-28,106,14.325724998205327,495.58617940482543,True,7,110.86416484629994,991.172358809648
7,2020-01-29,152,14.325724998205327,495.58617940482543,True,8,141.91523561680972,991.172358809648
8,2020-01-30,200,14.325724998205327,495.58617940482543,True,9,179.88600412733405,991.172358809648
9,2020-01-31,237,14.325724998205327,495.58617940482543,True,10,225.32075924009075,991.172358809648
10,2020-02-01,297,14.325724998205327,495.58617940482543,True,11,278.29471383849966,991.172358809648
11,2020-02-02,340,14.325724998205327,495.58617940482543,True,12,338.22284732472207,991.172358809648
12,2020-02-03,408,14.325724998205327,495.58617940482543,True,13,403.74705587499744,991.172358809648
13,2020-02-04,480,14.325724998205327,495.58617940482543,True,14,472.77407465130347,991.172358809648
14,2020-02-05,530,14.325724998205327,495.58617940482543,True,15,542.6996246069604,991.172358809648
15,2020-02-06,591,14.325724998205327,495.58617940482543,True,16,610.7820685269744,991.172358809648
16,2020-02-07,665,14.325724998205327,495.58617940482543,True,17,674.5587661182016,991.172358809648
17,2020-02-08,733,14.325724998205327,495.58617940482543,True,18,732.1767854448196,991.172358809648
18,2020-02-09,779,14.325724998205327,495.58617940482543,True,19,782.55218005831,991.172358809648
19,2020-02-10,830,14.325724998205327,495.58617940482543,True,20,825.3485070738675,991.172358809648
20,2020-02-11,860,14.325724998205327,495.58617940482543,True,21,860.8278971849732,991.172358809648
21,2020-02-12,889,14.325724998205327,495.58617940482543,True,22,889.6499257041294,991.172358809648
22,2020-02-13,910,14.325724998205327,495.58617940482543,True,23,912.6798926370877,991.172358809648
23,2020-02-14,934,14.325724998205327,495.58617940482543,True,24,930.8398897314875,991.172358809648
24,2020-02-15,950,14.325724998205327,495.58617940482543,True,25,945.0108972905509,991.172358809648
25,2020-02-16,962,14.325724998205327,495.58617940482543,True,26,955.9792352562667,991.172358809648
26,2020-02-17,973,14.325724998205327,495.58617940482543,True,27,964.4151984114596,991.172358809648
27,2020-02-18,982,14.325724998205327,495.58617940482543,True,28,970.8719606562797,991.172358809648
28,2020-02-19,986,14.325724998205327,495.58617940482543,True,29,975.7954859655423,991.172358809648
29,2020-02-20,987,14.325724998205327,495.58617940482543,True,30,979.5391999163738,991.172358809648
30,2020-02-21,988,14.325724998205327,495.58617940482543,True,31,982.3796675134979,991.172358809648
31,2020-02-22,989,14.325724998205327,495.58617940482543,True,32,984.5312805102883,991.172358809648
32,2020-02-23,989,14.325724998205327,495.58617940482543,True,33,986.1590705565096,991.172358809648
33,2020-02-24,989,14.325724998205327,495.58617940482543,True,34,987.3894071866978,991.172358809648
34,2020-02-25,989,14.325724998205327,495.58617940482543,True,35,988.318674375662,991.172358809648
35,2020-02-26,989,14.325724998205327,495.58617940482543,True,36,989.0201682909894,991.172358809648
36,2020-02-27,989,14.325724998205327,495.58617940482543,True,37,989.5495038303837,991.172358809648
37,2020-02-28,990,14.325724998205327,495.58617940482543,True,38,989.9488093046068,991.172358809648
38,2020-02-29,990,14.325724998205327,495.58617940482543,True,39,990.2499567558999,991.172358809648
39,2020-03-01,990,14.325724998205327,495.58617940482543,True,40,990.4770360243194,991.172358809648
40,2020-03-02,990,14.325724998205327,495.58617940482543,True,41,990.6482419327947,991.172358809648
41,2020-03-03,990,14.325724998205327,495.58617940482543,True,42,990.7773094662456,991.172358809648
42,2020-03-04,990,14.325724998205327,495.58617940482543,True,43,990.874602748657,991.172358809648
43,2020-03-05,990,14.325724998205327,495.58617940482543,True,44,990.9479399383914,991.172358809648
44,2020-03-06,990,14.325724998205327,495.58617940482543,True,45,991.0032172931683,991.172358809648
45,2020-03-07,990,14.325724998205327,495.58617940482543,True,46,991.0448808513158,991.172358809648
46,2020-03-08,990,14.325724998205327,495.58617940482543,True,47,991.0762826841009,991.172358809648
47,2020-03-09,990,14.325724998205327,495.58617940482543,True,48,991.0999498224395,991.172358809648
48,2020-03-10,990,14.325724998205327,495.58617940482543,True,49,991.117787181618,991.172358809648
49,2020-03-11,990,14.325724998205327,495.58617940482543,True,50,991.1312306362357,991.172358809648
50,2020-03-12,990,14.325724998205327,495.58617940482543,True,51,991.141362464895,991.172358809648
51,2020-03-13,990,14.325724998205327,495.58617940482543,True,52,991.1489984002537,991.172358809648
52,2020-03-14,990,14.325724998205327,495.58617940482543,True,53,991.1547532598421,991.172358809648
53,2020-03-15,990,14.325724998205327,495.58617940482543,True,54,991.1590904231492,991.172358809648
54,2020-03-16,990,14.325724998205327,495.58617940482543,True,55,991.162359128159,991.172358809648
55,2020-03-17,990,14.325724998205327,495.58617940482543,True,56,991.1648225844524,991.172358809648
56,2020-03-18,990,14.325724998205327,495.58617940482543,True,57,991.1666791632024,991.172358809648
57,2020-03-19,990,14.325724998205327,495.58617940482543,True,58,991.1680783684429,991.172358809648
58,2020-03-20,990,14.325724998205327,495.58617940482543,True,59,991.1691328745985,991.172358809648
59,2020-03-21,990,14.325724998205327,495.58617940482543,True,60,991.1699275990048,991.172358809648
60,2020-03-22,990,14.325724998205327,495.58617940482543,True,61,991.1705265396448,991.172358809648
61,2020-03-23,990,14.325724998205327,495.58617940482543,True,62,991.1709779285327,991.172358809648
62,2020-03-24,990,14.325724998205327,495.58617940482543,True,63,991.1713181156254,991.172358809648
63,2020-03-25,990,14.325724998205327,495.58617940482543,True,64,991.1715744959623,991.172358809648
64,2020-03-26,990,14.325724998205327,495.58617940482543,True,65,991.1717677157194,991.172358809648
65,2020-03-27,990,14.325724998205327,495.58617940482543,True,66,991.1719133348056,991.172358809648
66,2020-03-28,990,14.325724998205327,495.58617940482543,True,67,991.1720230798794,991.172358809648
67,2020-03-29,990,14.325724998205327,495.58617940482543,True,68,991.1721057886832,991.172358809648
68,2020-03-30,990,14.325724998205327,495.58617940482543,True,69,991.17216812174,991.172358809648
69,2020-03-31,990,14.325724998205327,495.58617940482543,True,70,991.17221509872,991.172358809648
70,2020-04-01,990,14.325724998205327,495.58617940482543,True,71,991.1722505026726,991.172358809648
71,2020-04-02,990,14.325724998205327,495.58617940482543,True,72,991.1722771846738,991.172358809648
72,2020-04-03,990,14.325724998205327,495.58617940482543,True,73,991.172297293422,991.172358809648
73,2020-04-04,990,14.325724998205327,495.58617940482543,True,74,991.1723124482734,991.172358809648
74,2020-04-05,990,14.325724998205327,495.58617940482543,True,75,991.1723238696463,991.172358809648
75,2020-04-06,990,14.325724998205327,495.58617940482543,True,76,991.172332477303,991.172358809648
76,2020-04-07,990,14.325724998205327,495.58617940482543,True,77,991.1723389644176,991.172358809648
77,2020-04-08,990,14.325724998205327,495.58617940482543,True,78,991.1723438533968,991.172358809648
78,2020-04-09,991,14.325724998205327,495.58617940482543,True,79,991.17234753795,991.172358809648
79,2020-04-10,991,14.325724998205327,495.58617940482543,True,80,991.1723503147936,991.172358809648
80,2020-04-11,991,14.325724998205327,495.58617940482543,True,81,991.1723524075471,991.172358809648
81,2020-04-12,991,14.325724998205327,495.58617940482543,True,82,991.1723539847396,991.172358809648
82,2020-04-13,991,14.325724998205327,495.58617940482543,True,83,991.1723551733821,991.172358809648
83,2020-04-14,991,14.325724998205327,495.58617940482543,True,84,991.1723560691964,991.172358809648
84,2020-04-15,991,14.325724998205327,495.58617940482543,True,85,991.172356744322,991.172358809648
85,2020-04-16,991,14.325724998205327,495.58617940482543,True,86,991.1723572531267,991.172358809648
86,2020-04-17,991,14.325724998205327,495.58617940482543,True,87,991.1723576365847,991.172358809648
87,2020-04-18,991,14.325724998205327,495.58617940482543,True,88,991.1723579255757,991.172358809648
88,2020-04-19,991,14.325724998205327,495.58617940482543,True,89,991.1723581433724,991.172358809648
89,2020-04-20,991,14.325724998205327,495.58617940482543,True,90,991.1723583075136,991.172358809648
90,2020-04-21,991,14.325724998205327,495.58617940482543,True,91,991.1723584312178,991.172358809648
91,2020-04-22,991,14.325724998205327,495.58617940482543,True,92,991.1723585244467,991.172358809648
92,2020-04-23,991,14.325724998205327,495.58617940482543,True,93,991.1723585947082,991.172358809648
93,2020-04-24,991,14.325724998205327,495.58617940482543,True,94,991.1723586476603,991.172358809648
94,2020-04-25,991,14.325724998205327,495.58617940482543,True,95,991.1723586875676,991.172358809648
95,2020-04-26,991,14.325724998205327,495.58617940482543,True,96,991.1723587176434,991.172358809648
96,2020-04-27,991,14.325724998205327,495.58617940482543,True,97,991.17235874031,991.172358809648
97,2020-04-28,991,14.325724998205327,495.58617940482543,True,98,991.1723587573922,991.172358809648
98,2020-04-29,991,14.325724998205327,495.58617940482543,True,99,991.1723587702666,991.172358809648
99,2020-04-30,991,14.325724998205327,495.58617940482543,True,100,991.1723587799689,991.172358809648
100,2020-05-01,991,14.325724998205327,495.58617940482543,True,101,991.1723587872813,991.172358809648
101,2020-05-02,991,14.325724998205327,495.58617940482543,True,102,991.1723587927919,991.172358809648
102,2020-05-03,991,14.325724998205327,495.58617940482543,True,103,991.1723587969451,991.172358809648
103,2020-05-04,991,14.325724998205327,495.58617940482543,True,104,991.1723588000752,991.172358809648
104,2020-05-05,991,14.325724998205327,495.58617940482543,True,105,991.1723588024342,991.172358809648
105,2020-05-06,991,14.325724998205327,495.58617940482543,True,106,991.1723588042121,991.172358809648
106,2020-05-07,991,14.325724998205327,495.58617940482543,True,107,991.1723588055518,991.172358809648
107,2020-05-08,991,14.325724998205327,495.58617940482543,True,108,991.1723588065615,991.172358809648
108,2020-05-09,991,14.325724998205327,495.58617940482543,True,109,991.1723588073226,991.172358809648
