,Report_Date,Montenegro_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,72.79675346937418,163.80688759574835,True,1,0.0038374386810960427,327.60288832114907
1,2020-01-23,0,0,72.79675346937418,163.80688759574835,True,2,0.004494950970433812,327.60288832114907
2,2020-01-24,0,0,72.79675346937418,163.80688759574835,True,3,0.005265120555058875,327.60288832114907
3,2020-01-25,0,0,72.79675346937418,163.80688759574835,True,4,0.006167249314926412,327.60288832114907
4,2020-01-26,0,0,72.79675346937418,163.80688759574835,True,5,0.007223945922830199,327.60288832114907
5,2020-01-27,0,0,72.79675346937418,163.80688759574835,True,6,0.008461692270020605,327.60288832114907
6,2020-01-28,0,0,72.79675346937418,163.80688759574835,True,7,0.009911506881048561,327.60288832114907
7,2020-01-29,0,0,72.79675346937418,163.80688759574835,True,8,0.011609721912423368,327.60288832114907
8,2020-01-30,0,0,72.79675346937418,163.80688759574835,True,9,0.013598893164157466,327.60288832114907
9,2020-01-31,0,0,72.79675346937418,163.80688759574835,True,10,0.015928865850120252,327.60288832114907
10,2020-02-01,0,0,72.79675346937418,163.80688759574835,True,11,0.01865802275375667,327.60288832114907
11,2020-02-02,0,0,72.79675346937418,163.80688759574835,True,12,0.021854745935058754,327.60288832114907
12,2020-02-03,0,0,72.79675346937418,163.80688759574835,True,13,0.025599128463260894,327.60288832114907
13,2020-02-04,0,0,72.79675346937418,163.80688759574835,True,14,0.02998497885619669,327.60288832114907
14,2020-02-05,0,0,72.79675346937418,163.80688759574835,True,15,0.03512216816110474,327.60288832114907
15,2020-02-06,0,0,72.79675346937418,163.80688759574835,True,16,0.04113937808640098,327.60288832114907
16,2020-02-07,0,0,72.79675346937418,163.80688759574835,True,17,0.048187318490561355,327.60288832114907
17,2020-02-08,0,0,72.79675346937418,163.80688759574835,True,18,0.056442494085207,327.60288832114907
18,2020-02-09,0,0,72.79675346937418,163.80688759574835,True,19,0.06611161368285158,327.60288832114907
19,2020-02-10,0,0,72.79675346937418,163.80688759574835,True,20,0.07743675102390506,327.60288832114907
20,2020-02-11,0,0,72.79675346937418,163.80688759574835,True,21,0.09070138450582217,327.60288832114907
21,2020-02-12,0,0,72.79675346937418,163.80688759574835,True,22,0.1062374644130223,327.60288832114907
22,2020-02-13,0,0,72.79675346937418,163.80688759574835,True,23,0.12443368096719379,327.60288832114907
23,2020-02-14,0,0,72.79675346937418,163.80688759574835,True,24,0.14574513520013394,327.60288832114907
24,2020-02-15,0,0,72.79675346937418,163.80688759574835,True,25,0.1707046478728805,327.60288832114907
25,2020-02-16,0,0,72.79675346937418,163.80688759574835,True,26,0.19993598006481728,327.60288832114907
26,2020-02-17,0,0,72.79675346937418,163.80688759574835,True,27,0.23416928333267611,327.60288832114907
27,2020-02-18,0,0,72.79675346937418,163.80688759574835,True,28,0.27425914824026476,327.60288832114907
28,2020-02-19,0,0,72.79675346937418,163.80688759574835,True,29,0.3212056783676108,327.60288832114907
29,2020-02-20,0,0,72.79675346937418,163.80688759574835,True,30,0.37617908341112744,327.60288832114907
30,2020-02-21,0,0,72.79675346937418,163.80688759574835,True,31,0.44054836043337964,327.60288832114907
31,2020-02-22,0,0,72.79675346937418,163.80688759574835,True,32,0.5159147173534572,327.60288832114907
32,2020-02-23,0,0,72.79675346937418,163.80688759574835,True,33,0.6041504878189584,327.60288832114907
33,2020-02-24,0,0,72.79675346937418,163.80688759574835,True,34,0.7074443917439475,327.60288832114907
34,2020-02-25,0,0,72.79675346937418,163.80688759574835,True,35,0.8283541105439527,327.60288832114907
35,2020-02-26,0,0,72.79675346937418,163.80688759574835,True,36,0.9698672690999911,327.60288832114907
36,2020-02-27,0,0,72.79675346937418,163.80688759574835,True,37,1.135472045124682,327.60288832114907
37,2020-02-28,0,0,72.79675346937418,163.80688759574835,True,38,1.3292387564519283,327.60288832114907
38,2020-02-29,0,0,72.79675346937418,163.80688759574835,True,39,1.5559139008292195,327.60288832114907
39,2020-03-01,0,0,72.79675346937418,163.80688759574835,True,40,1.8210282305014294,327.60288832114907
40,2020-03-02,0,0,72.79675346937418,163.80688759574835,True,41,2.131020519820135,327.60288832114907
41,2020-03-03,0,0,72.79675346937418,163.80688759574835,True,42,2.4933787063385733,327.60288832114907
42,2020-03-04,0,0,72.79675346937418,163.80688759574835,True,43,2.9168000237519145,327.60288832114907
43,2020-03-05,0,0,72.79675346937418,163.80688759574835,True,44,3.4113715567544354,327.60288832114907
44,2020-03-06,0,0,72.79675346937418,163.80688759574835,True,45,3.9887722772115737,327.60288832114907
45,2020-03-07,0,0,72.79675346937418,163.80688759574835,True,46,4.6624969939777285,327.60288832114907
46,2020-03-08,0,0,72.79675346937418,163.80688759574835,True,47,5.448101669806655,327.60288832114907
47,2020-03-09,0,0,72.79675346937418,163.80688759574835,True,48,6.363468108058926,327.60288832114907
48,2020-03-10,0,0,72.79675346937418,163.80688759574835,True,49,7.429083942814681,327.60288832114907
49,2020-03-11,0,0,72.79675346937418,163.80688759574835,True,50,8.668331006748655,327.60288832114907
50,2020-03-12,0,0,72.79675346937418,163.80688759574835,True,51,10.107771311265076,327.60288832114907
51,2020-03-13,0,0,72.79675346937418,163.80688759574835,True,52,11.777414859695684,327.60288832114907
