,Report_Date,UK_anguilla_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.50577854816258,1.8372406011589866,True,1,4.3262049498584444e-05,3.6181774626854892
1,2020-01-23,0,70.50577854816258,1.8372406011589866,True,2,5.093570904180484e-05,3.6181774626854892
2,2020-01-24,0,70.50577854816258,1.8372406011589866,True,3,5.99704712236036e-05,3.6181774626854892
3,2020-01-25,0,70.50577854816258,1.8372406011589866,True,4,7.06077507881264e-05,3.6181774626854892
4,2020-01-26,0,70.50577854816258,1.8372406011589866,True,5,8.31317781841945e-05,3.6181774626854892
5,2020-01-27,0,70.50577854816258,1.8372406011589866,True,6,9.787719179265202e-05,3.6181774626854892
6,2020-01-28,0,70.50577854816258,1.8372406011589866,True,7,0.0001152379759392113,3.6181774626854892
7,2020-01-29,0,70.50577854816258,1.8372406011589866,True,8,0.000135677983053579,3.6181774626854892
8,2020-01-30,0,70.50577854816258,1.8372406011589866,True,9,0.00015974332047951684,3.6181774626854892
9,2020-01-31,0,70.50577854816258,1.8372406011589866,True,10,0.00018807693200719342,3.6181774626854892
10,2020-02-01,0,70.50577854816258,1.8372406011589866,True,11,0.00022143576248506749,3.6181774626854892
11,2020-02-02,0,70.50577854816258,1.8372406011589866,True,12,0.0002607109623920834,3.6181774626854892
12,2020-02-03,0,70.50577854816258,1.8372406011589866,True,13,0.0003069516697891305,3.6181774626854892
13,2020-02-04,0,70.50577854816258,1.8372406011589866,True,14,0.00036139300169866107,3.6181774626854892
14,2020-02-05,0,70.50577854816258,1.8372406011589866,True,15,0.0004254889981078652,3.6181774626854892
15,2020-02-06,0,70.50577854816258,1.8372406011589866,True,16,0.0005009513922799375,3.6181774626854892
16,2020-02-07,0,70.50577854816258,1.8372406011589866,True,17,0.0005897952341772113,3.6181774626854892
17,2020-02-08,0,70.50577854816258,1.8372406011589866,True,18,0.0006943925733646541,3.6181774626854892
18,2020-02-09,0,70.50577854816258,1.8372406011589866,True,19,0.0008175356181881464,3.6181774626854892
19,2020-02-10,0,70.50577854816258,1.8372406011589866,True,20,0.0009625110344023501,3.6181774626854892
20,2020-02-11,0,70.50577854816258,1.8372406011589866,True,21,0.0011331873346083054,3.6181774626854892
21,2020-02-12,0,70.50577854816258,1.8372406011589866,True,22,0.001334117646537264,3.6181774626854892
22,2020-02-13,0,70.50577854816258,1.8372406011589866,True,23,0.0015706605409774603,3.6181774626854892
23,2020-02-14,0,70.50577854816258,1.8372406011589866,True,24,0.0018491220575384652,3.6181774626854892
24,2020-02-15,0,70.50577854816258,1.8372406011589866,True,25,0.0021769225980223755,3.6181774626854892
25,2020-02-16,0,70.50577854816258,1.8372406011589866,True,26,0.002562792973419581,3.6181774626854892
26,2020-02-17,0,70.50577854816258,1.8372406011589866,True,27,0.0030170046028172564,3.6181774626854892
27,2020-02-18,0,70.50577854816258,1.8372406011589866,True,28,0.0035516396827713578,3.6181774626854892
28,2020-02-19,0,70.50577854816258,1.8372406011589866,True,29,0.004180908086129756,3.6181774626854892
29,2020-02-20,0,70.50577854816258,1.8372406011589866,True,30,0.00492151882162622,3.6181774626854892
30,2020-02-21,0,70.50577854816258,1.8372406011589866,True,31,0.005793115100002081,3.6181774626854892
31,2020-02-22,0,70.50577854816258,1.8372406011589866,True,32,0.006818783416070877,3.6181774626854892
32,2020-02-23,0,70.50577854816258,1.8372406011589866,True,33,0.008025648570718108,3.6181774626854892
33,2020-02-24,0,70.50577854816258,1.8372406011589866,True,34,0.009445568215248515,3.6181774626854892
34,2020-02-25,0,70.50577854816258,1.8372406011589866,True,35,0.01111594228215639,3.6181774626854892
35,2020-02-26,0,70.50577854816258,1.8372406011589866,True,36,0.01308065453052908,3.6181774626854892
36,2020-02-27,0,70.50577854816258,1.8372406011589866,True,37,0.015391165310795275,3.6181774626854892
37,2020-02-28,0,70.50577854816258,1.8372406011589866,True,38,0.01810777643049556,3.6181774626854892
38,2020-02-29,0,70.50577854816258,1.8372406011589866,True,39,0.021301090509768025,3.6181774626854892
39,2020-03-01,0,70.50577854816258,1.8372406011589866,True,40,0.025053688201319032,3.6181774626854892
40,2020-03-02,0,70.50577854816258,1.8372406011589866,True,41,0.029462046754653897,3.6181774626854892
41,2020-03-03,0,70.50577854816258,1.8372406011589866,True,42,0.03463872212282058,3.6181774626854892
