,Report_Date,Australia_queensland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.21910382536637,536.3987736247243,True,1,0.012764961686669324,1065.6450778531635
1,2020-01-23,0,66.21910382536637,536.3987736247243,True,2,0.015188869322852867,1065.6450778531635
2,2020-01-24,0,66.21910382536637,536.3987736247243,True,3,0.018073039151138347,1065.6450778531635
3,2020-01-25,0,66.21910382536637,536.3987736247243,True,4,0.021504864546881348,1065.6450778531635
4,2020-01-26,0,66.21910382536637,536.3987736247243,True,5,0.02558833156907588,1065.6450778531635
5,2020-01-27,0,66.21910382536637,536.3987736247243,True,6,0.03044716872341848,1065.6450778531635
6,2020-01-28,0,66.21910382536637,536.3987736247243,True,7,0.03622859440810611,1065.6450778531635
7,2020-01-29,1,66.21910382536637,536.3987736247243,True,8,0.04310777535913611,1065.6450778531635
8,2020-01-30,3,66.21910382536637,536.3987736247243,True,9,0.05129313085589778,1065.6450778531635
9,2020-01-31,2,66.21910382536637,536.3987736247243,True,10,0.06103264293323351,1065.6450778531635
10,2020-02-01,3,66.21910382536637,536.3987736247243,True,11,0.0726213631275902,1065.6450778531635
11,2020-02-02,2,66.21910382536637,536.3987736247243,True,12,0.08641034225508404,1065.6450778531635
12,2020-02-03,2,66.21910382536637,536.3987736247243,True,13,0.10281725243300904,1065.6450778531635
13,2020-02-04,3,66.21910382536637,536.3987736247243,True,14,0.12233902125798207,1065.6450778531635
14,2020-02-05,3,66.21910382536637,536.3987736247243,True,15,0.14556685820933118,1065.6450778531635
15,2020-02-06,4,66.21910382536637,536.3987736247243,True,16,0.17320412467847549,1065.6450778531635
16,2020-02-07,5,66.21910382536637,536.3987736247243,True,17,0.20608758355414872,1065.6450778531635
17,2020-02-08,5,66.21910382536637,536.3987736247243,True,18,0.2452126643809699,1065.6450778531635
18,2020-02-09,5,66.21910382536637,536.3987736247243,True,19,0.29176349850532957,1065.6450778531635
19,2020-02-10,5,66.21910382536637,536.3987736247243,True,20,0.3471486185160057,1065.6450778531635
20,2020-02-11,5,66.21910382536637,536.3987736247243,True,21,0.41304338135178237,1065.6450778531635
21,2020-02-12,5,66.21910382536637,536.3987736247243,True,22,0.49144036888874465,1065.6450778531635
22,2020-02-13,5,66.21910382536637,536.3987736247243,True,23,0.5847092484013852,1065.6450778531635
23,2020-02-14,5,66.21910382536637,536.3987736247243,True,24,0.6956678433507877,1065.6450778531635
24,2020-02-15,5,66.21910382536637,536.3987736247243,True,25,0.8276664783701433,1065.6450778531635
25,2020-02-16,5,66.21910382536637,536.3987736247243,True,26,0.9846880274289758,1065.6450778531635
26,2020-02-17,5,66.21910382536637,536.3987736247243,True,27,1.1714665175749484,1065.6450778531635
27,2020-02-18,5,66.21910382536637,536.3987736247243,True,28,1.3936276289442413,1065.6450778531635
