,Report_Date,Latvia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,76.71156817723424,497.5275232498685,True,1,0.6731513313386884,992.3572485484001
1,2020-01-23,0,0,76.71156817723424,497.5275232498685,True,2,0.741216397098722,992.3572485484001
2,2020-01-24,0,0,76.71156817723424,497.5275232498685,True,3,0.8161581493595046,992.3572485484001
3,2020-01-25,0,0,76.71156817723424,497.5275232498685,True,4,0.8986701472595988,992.3572485484001
4,2020-01-26,0,0,76.71156817723424,497.5275232498685,True,5,0.9895156451269037,992.3572485484001
5,2020-01-27,0,0,76.71156817723424,497.5275232498685,True,6,1.089534541965674,992.3572485484001
6,2020-01-28,0,0,76.71156817723424,497.5275232498685,True,7,1.1996510123845823,992.3572485484001
7,2020-01-29,0,0,76.71156817723424,497.5275232498685,True,8,1.3208818833281302,992.3572485484001
8,2020-01-30,0,0,76.71156817723424,497.5275232498685,True,9,1.4543458265224776,992.3572485484001
9,2020-01-31,0,0,76.71156817723424,497.5275232498685,True,10,1.601273442456161,992.3572485484001
10,2020-02-01,0,0,76.71156817723424,497.5275232498685,True,11,1.763018317981372,992.3572485484001
11,2020-02-02,0,0,76.71156817723424,497.5275232498685,True,12,1.9410691462287957,992.3572485484001
12,2020-02-03,0,0,76.71156817723424,497.5275232498685,True,13,2.13706300445346,992.3572485484001
13,2020-02-04,0,0,76.71156817723424,497.5275232498685,True,14,2.3527998926312303,992.3572485484001
14,2020-02-05,0,0,76.71156817723424,497.5275232498685,True,15,2.590258643047926,992.3572485484001
15,2020-02-06,0,0,76.71156817723424,497.5275232498685,True,16,2.8516143186854097,992.3572485484001
16,2020-02-07,0,0,76.71156817723424,497.5275232498685,True,17,3.139257225803176,992.3572485484001
17,2020-02-08,0,0,76.71156817723424,497.5275232498685,True,18,3.455813673597343,992.3572485484001
18,2020-02-09,0,0,76.71156817723424,497.5275232498685,True,19,3.8041686210065606,992.3572485484001
19,2020-02-10,0,0,76.71156817723424,497.5275232498685,True,20,4.187490357390173,992.3572485484001
20,2020-02-11,0,0,76.71156817723424,497.5275232498685,True,21,4.60925736962975,992.3572485484001
21,2020-02-12,0,0,76.71156817723424,497.5275232498685,True,22,5.0732875528281385,992.3572485484001
22,2020-02-13,0,0,76.71156817723424,497.5275232498685,True,23,5.583769924738608,992.3572485484001
23,2020-02-14,0,0,76.71156817723424,497.5275232498685,True,24,6.145299004782608,992.3572485484001
24,2020-02-15,0,0,76.71156817723424,497.5275232498685,True,25,6.762912016315085,992.3572485484001
25,2020-02-16,0,0,76.71156817723424,497.5275232498685,True,26,7.442129064831596,992.3572485484001
26,2020-02-17,0,0,76.71156817723424,497.5275232498685,True,27,8.188996434070392,992.3572485484001
27,2020-02-18,0,0,76.71156817723424,497.5275232498685,True,28,9.01013312523751,992.3572485484001
28,2020-02-19,0,0,76.71156817723424,497.5275232498685,True,29,9.912780740438658,992.3572485484001
29,2020-02-20,0,0,76.71156817723424,497.5275232498685,True,30,10.90485677814912,992.3572485484001
30,2020-02-21,0,0,76.71156817723424,497.5275232498685,True,31,11.995011364215776,992.3572485484001
31,2020-02-22,0,0,76.71156817723424,497.5275232498685,True,32,13.192687384174299,992.3572485484001
32,2020-02-23,0,0,76.71156817723424,497.5275232498685,True,33,14.508183908951628,992.3572485484001
33,2020-02-24,0,0,76.71156817723424,497.5275232498685,True,34,15.952722713325674,992.3572485484001
34,2020-02-25,0,0,76.71156817723424,497.5275232498685,True,35,17.5385175714875,992.3572485484001
