,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-0.3144187981940669,-83.046690375807,75.34356252053692,0.0,1.7792720661138675e-14,5.240311097251625e-16,-7.401467174864545,-68.8225605118538,60.18397932867475,2020-04-10,67.59730863628789,True,80,4687.38132875668
1,2020-01-23,3.513731904170472,-76.24914764114816,80.61047812968863,0.0,1.2922190643574185e-11,6.974616951140461e-13,-2.7679222540044743,-63.35127953878379,58.69915629491044,2020-04-10,67.59730863628789,True,80,4687.38132875668
2,2020-01-24,7.656500240073693,-71.56263268669679,82.4905855368068,0.0,6.094929946744232e-10,4.6885519477458075e-11,0.9072080143436168,-64.26384809061224,61.34206676975096,2020-04-10,67.59730863628789,True,80,4687.38132875668
3,2020-01-25,-9.380258147755065,-83.87768956265501,59.12787972523925,3.0,9.384906007842479e-09,9.282899566905303e-10,0.5934546568183615,-60.437939626863155,59.44118936795082,2020-04-10,67.59730863628789,True,80,4687.38132875668
4,2020-01-26,-2.511989274189702,-84.9005772104988,70.30611019882762,4.0,7.825217155961908e-08,9.406749697360381e-09,11.063940196720656,-53.121015497556115,75.32263236988281,2020-04-10,67.59730863628789,True,80,4687.38132875668
5,2020-01-27,3.58562013560426,-73.05178114809625,82.47251120035968,4.0,4.426520722969285e-07,6.240250489663205e-08,4.024907607508661,-60.28681167338125,67.31043517932542,2020-04-10,67.59730863628789,True,80,4687.38132875668
6,2020-01-28,-1.584701484553244,-80.08736428993667,79.13302829340988,4.0,1.9157907665510742e-06,3.090240371269816e-07,-6.00422178986598,-64.80748915677196,55.08388277464401,2020-04-10,67.59730863628789,True,80,4687.38132875668
7,2020-01-29,-0.14022363445808006,-73.68936216151224,76.51871413501479,7.0,6.815907851324159e-06,1.2355119277524814e-06,-7.318238250266738,-66.05319722767014,59.87328334547611,2020-04-10,67.59730863628789,True,80,4687.38132875668
8,2020-01-30,3.7193869573006904,-73.3039510485118,87.75681223528808,8.0,2.087829715188818e-05,4.194888230663965e-06,-2.6680381139105354,-65.13140561323422,60.10006367472933,2020-04-10,67.59730863628789,True,80,4687.38132875668
9,2020-01-31,7.8992963202492,-70.55699192056103,83.94202133855545,8.0,5.683163849252165e-05,1.2519958166648288e-05,1.0270801285855056,-63.90928005523265,62.153089660069085,2020-04-10,67.59730863628789,True,80,4687.38132875668
10,2020-02-01,-9.09361420457846,-85.34671551811566,67.57349859167162,8.0,0.00014060496201040256,3.3665598295879186e-05,0.737314323301935,-60.64489833882132,66.79565696781009,2020-04-10,67.59730863628789,True,80,4687.38132875668
11,2020-02-02,-2.173579836469691,-76.85450452098647,65.61589249098333,8.0,0.00032148170208433374,8.305490887845228e-05,11.236587197167685,-52.245888288358984,73.74438787049418,2020-04-10,67.59730863628789,True,80,4687.38132875668
12,2020-02-03,3.9851419600129234,-75.67813630504686,69.84893308448504,8.0,0.0006879349564833557,0.00019060530311920521,4.232101977747908,-58.66176506561495,64.34336230660242,2020-04-10,67.59730863628789,True,80,4687.38132875668
13,2020-02-04,-1.1130332853003388,-86.49695471212686,75.86030627226577,10.0,0.0013913671519838685,0.0004112969740043252,-5.755567718705428,-69.27855853464204,60.419137261247705,2020-04-10,67.59730863628789,True,80,4687.38132875668
14,2020-02-05,0.41661630528716,-76.99882647532495,80.7584737715505,12.0,0.0026805415166014546,0.0008416299302413852,-7.019829434126477,-73.08134766802458,52.36002826681667,2020-04-10,67.59730863628789,True,80,4687.38132875668
15,2020-02-06,4.376774448778703,-72.80519902499728,83.28283814673225,12.0,0.0049501355496672644,0.0016444098889095422,-2.309920347275581,-62.63435961223199,61.12754308053383,2020-04-10,67.59730863628789,True,80,4687.38132875668
16,2020-02-07,8.675381303090681,-69.01558368093129,89.57533246410563,12.0,0.008807571324491534,0.003085021131680318,1.4568518695403925,-58.04418646604831,59.55503155795799,2020-04-10,67.59730863628789,True,80,4687.38132875668
17,2020-02-08,-8.17740778890727,-85.4851612840114,68.63799417807178,16.0,0.015163086952958068,0.005583199720874118,1.2530737427963963,-62.29664833300669,64.58766058509995,2020-04-10,67.59730863628789,True,80,4687.38132875668
18,2020-02-09,-1.0919643498324703,-84.11463896997029,73.90989932743179,16.0,0.02534891053429557,0.009785327280951755,11.855533923582186,-48.94518661163319,75.10799949832841,2020-04-10,67.59730863628789,True,80,4687.38132875668
19,2020-02-10,5.262013409060764,-65.47348687737545,85.8374673072644,18.0,0.041274384536535036,0.016663438128249594,4.974873969491869,-50.86123331282078,72.63798622472436,2020-04-10,67.59730863628789,True,80,4687.38132875668
20,2020-02-11,0.39432055554150347,-69.4176264653816,79.53567384996092,18.0,0.06562496617531037,0.027648485151030015,-4.864207712667402,-69.12759390055857,58.45944259433308,2020-04-10,67.59730863628789,True,80,4687.38132875668
21,2020-02-12,2.196025691426773,-79.10857985708252,81.05221542868948,18.0,0.10211419811745837,0.044806956519094714,-5.950170752867687,-66.12759327308845,50.25310134469927,2020-04-10,67.59730863628789,True,80,4687.38132875668
