,Report_Date,S. Korea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,42.060587530140076,4638.12574914061,True,1,0.39678540758357134,9276.001084757225
1,2020-01-23,1,42.060587530140076,4638.12574914061,True,2,0.5069315943401225,9276.001084757225
2,2020-01-24,2,42.060587530140076,4638.12574914061,True,3,0.6476518272710803,9276.001084757225
3,2020-01-25,2,42.060587530140076,4638.12574914061,True,4,0.8274314081450376,9276.001084757225
4,2020-01-26,3,42.060587530140076,4638.12574914061,True,5,1.0571097353143817,9276.001084757225
5,2020-01-27,4,42.060587530140076,4638.12574914061,True,6,1.3505328666625314,9276.001084757225
6,2020-01-28,4,42.060587530140076,4638.12574914061,True,7,1.7253866340237813,9276.001084757225
7,2020-01-29,4,42.060587530140076,4638.12574914061,True,8,2.204260048511724,9276.001084757225
8,2020-01-30,4,42.060587530140076,4638.12574914061,True,9,2.8160023022344833,9276.001084757225
9,2020-01-31,11,42.060587530140076,4638.12574914061,True,10,3.5974538513369825,9276.001084757225
10,2020-02-01,12,42.060587530140076,4638.12574914061,True,11,4.59565376529687,9276.001084757225
11,2020-02-02,15,42.060587530140076,4638.12574914061,True,12,5.870652846675962,9276.001084757225
12,2020-02-03,15,42.060587530140076,4638.12574914061,True,13,7.4990962702808535,9276.001084757225
13,2020-02-04,16,42.060587530140076,4638.12574914061,True,14,9.578782171631016,9276.001084757225
14,2020-02-05,19,42.060587530140076,4638.12574914061,True,15,12.234455406413199,9276.001084757225
15,2020-02-06,23,42.060587530140076,4638.12574914061,True,16,15.625160333102075,9276.001084757225
16,2020-02-07,24,42.060587530140076,4638.12574914061,True,17,19.953554486817644,9276.001084757225
17,2020-02-08,24,42.060587530140076,4638.12574914061,True,18,25.477677333877764,9276.001084757225
18,2020-02-09,25,42.060587530140076,4638.12574914061,True,19,32.525774422419126,9276.001084757225
19,2020-02-10,27,42.060587530140076,4638.12574914061,True,20,41.51489389506474,9276.001084757225
20,2020-02-11,28,42.060587530140076,4638.12574914061,True,21,52.97409120363495,9276.001084757225
21,2020-02-12,28,42.060587530140076,4638.12574914061,True,22,67.57318205031625,9276.001084757225
22,2020-02-13,28,42.060587530140076,4638.12574914061,True,23,86.15804198554969,9276.001084757225
23,2020-02-14,28,42.060587530140076,4638.12574914061,True,24,109.79341015670609,9276.001084757225
24,2020-02-15,28,42.060587530140076,4638.12574914061,True,25,139.81392662168236,9276.001084757225
25,2020-02-16,29,42.060587530140076,4638.12574914061,True,26,177.88357991764124,9276.001084757225
26,2020-02-17,30,42.060587530140076,4638.12574914061,True,27,226.06265920281336,9276.001084757225
27,2020-02-18,31,42.060587530140076,4638.12574914061,True,28,286.8794057337454,9276.001084757225
28,2020-02-19,31,42.060587530140076,4638.12574914061,True,29,363.4004722076102,9276.001084757225
29,2020-02-20,104,42.060587530140076,4638.12574914061,True,30,459.2896168263883,9276.001084757225
30,2020-02-21,204,42.060587530140076,4638.12574914061,True,31,578.8374657824791,9276.001084757225
31,2020-02-22,433,42.060587530140076,4638.12574914061,True,32,726.9367413312858,9276.001084757225
32,2020-02-23,602,42.060587530140076,4638.12574914061,True,33,908.9680515493338,9276.001084757225
33,2020-02-24,833,42.060587530140076,4638.12574914061,True,34,1130.5538380937248,9276.001084757225
34,2020-02-25,977,42.060587530140076,4638.12574914061,True,35,1397.1375578744842,9276.001084757225
35,2020-02-26,1261,42.060587530140076,4638.12574914061,True,36,1713.3595408215522,9276.001084757225
36,2020-02-27,1766,42.060587530140076,4638.12574914061,True,37,2082.23917515886,9276.001084757225
37,2020-02-28,2337,42.060587530140076,4638.12574914061,True,38,2504.239994532946,9276.001084757225
38,2020-02-29,3150,42.060587530140076,4638.12574914061,True,39,2976.3818523542127,9276.001084757225
39,2020-03-01,3736,42.060587530140076,4638.12574914061,True,40,3491.6432360509484,9276.001084757225
40,2020-03-02,4335,42.060587530140076,4638.12574914061,True,41,4038.917616292808,9276.001084757225
41,2020-03-03,5186,42.060587530140076,4638.12574914061,True,42,4603.703414935815,9276.001084757225
42,2020-03-04,5621,42.060587530140076,4638.12574914061,True,43,5169.511947018668,9276.001084757225
43,2020-03-05,6088,42.060587530140076,4638.12574914061,True,44,5719.735639371774,9276.001084757225
44,2020-03-06,6593,42.060587530140076,4638.12574914061,True,45,6239.54466630243,9276.001084757225
45,2020-03-07,7041,42.060587530140076,4638.12574914061,True,46,6717.368975006775,9276.001084757225
46,2020-03-08,7314,42.060587530140076,4638.12574914061,True,47,7145.6808683677755,9276.001084757225
47,2020-03-09,7478,42.060587530140076,4638.12574914061,True,48,7521.033648716071,9276.001084757225
48,2020-03-10,7513,42.060587530140076,4638.12574914061,True,49,7843.517573101529,9276.001084757225
49,2020-03-11,7755,42.060587530140076,4638.12574914061,True,50,8115.893066686772,9276.001084757225
50,2020-03-12,7869,42.060587530140076,4638.12574914061,True,51,8342.650955854207,9276.001084757225
51,2020-03-13,7979,42.060587530140076,4638.12574914061,True,52,8529.174765994192,9276.001084757225
52,2020-03-14,8086,42.060587530140076,4638.12574914061,True,53,8681.091535139765,9276.001084757225
53,2020-03-15,8162,42.060587530140076,4638.12574914061,True,54,8803.82737423019,9276.001084757225
54,2020-03-16,8236,42.060587530140076,4638.12574914061,True,55,8902.342412557313,9276.001084757225
55,2020-03-17,8320,42.060587530140076,4638.12574914061,True,56,8981.00297147458,9276.001084757225
56,2020-03-18,8413,42.060587530140076,4638.12574914061,True,57,9043.547994476547,9276.001084757225
