,Report_Date,Angola_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.35895880378142,26.70544370784538,False,1,0.0006132059539261262,0.08483772535354422
1,2020-01-23,0,83.35895880378142,26.70544370784538,False,2,0.0007040235387588315,0.08483772535354422
2,2020-01-24,0,83.35895880378142,26.70544370784538,False,3,0.0008082912684284942,0.08483772535354422
3,2020-01-25,0,83.35895880378142,26.70544370784538,False,4,0.0009280010535910615,0.08483772535354422
4,2020-01-26,0,83.35895880378142,26.70544370784538,False,5,0.0010654397780058052,0.08483772535354422
5,2020-01-27,0,83.35895880378142,26.70544370784538,False,6,0.0012232329732232302,0.08483772535354422
6,2020-01-28,0,83.35895880378142,26.70544370784538,False,7,0.0014043949578057488,0.08483772535354422
7,2020-01-29,0,83.35895880378142,26.70544370784538,False,8,0.001612386397269038,0.08483772535354422
8,2020-01-30,0,83.35895880378142,26.70544370784538,False,9,0.0018511803821534176,0.08483772535354422
9,2020-01-31,0,83.35895880378142,26.70544370784538,False,10,0.002125338283646101,0.08483772535354422
10,2020-02-01,0,83.35895880378142,26.70544370784538,False,11,0.00244009683201596,0.08483772535354422
11,2020-02-02,0,83.35895880378142,26.70544370784538,False,12,0.0028014680762691864,0.08483772535354422
12,2020-02-03,0,83.35895880378142,26.70544370784538,False,13,0.0032163541278617696,0.08483772535354422
13,2020-02-04,0,83.35895880378142,26.70544370784538,False,14,0.0036926788715545937,0.08483772535354422
14,2020-02-05,0,83.35895880378142,26.70544370784538,False,15,0.004239539147754357,0.08483772535354422
15,2020-02-06,0,83.35895880378142,26.70544370784538,False,16,0.004867378278863337,0.08483772535354422
16,2020-02-07,0,83.35895880378142,26.70544370784538,False,17,0.005588185234003966,0.08483772535354422
17,2020-02-08,0,83.35895880378142,26.70544370784538,False,18,0.0064157232096628556,0.08483772535354422
18,2020-02-09,0,83.35895880378142,26.70544370784538,False,19,0.007365791957035263,0.08483772535354422
19,2020-02-10,0,83.35895880378142,26.70544370784538,False,20,0.008456528820043632,0.08483772535354422
20,2020-02-11,0,83.35895880378142,26.70544370784538,False,21,0.009708754172366309,0.08483772535354422
21,2020-02-12,0,83.35895880378142,26.70544370784538,False,22,0.011146367770020182,0.08483772535354422
22,2020-02-13,0,83.35895880378142,26.70544370784538,False,23,0.012796803482384368,0.08483772535354422
23,2020-02-14,0,83.35895880378142,26.70544370784538,False,24,0.014691550945093997,0.08483772535354422
24,2020-02-15,0,83.35895880378142,26.70544370784538,False,25,0.016866753910961953,0.08483772535354422
25,2020-02-16,0,83.35895880378142,26.70544370784538,False,26,0.019363896480059848,0.08483772535354422
26,2020-02-17,0,83.35895880378142,26.70544370784538,False,27,0.022230589989551488,0.08483772535354422
27,2020-02-18,0,83.35895880378142,26.70544370784538,False,28,0.025521475162335657,0.08483772535354422
28,2020-02-19,0,83.35895880378142,26.70544370784538,False,29,0.029299256177810686,0.08483772535354422
29,2020-02-20,0,83.35895880378142,26.70544370784538,False,30,0.03363588566711179,0.08483772535354422
30,2020-02-21,0,83.35895880378142,26.70544370784538,False,31,0.03861392227995297,0.08483772535354422
31,2020-02-22,0,83.35895880378142,26.70544370784538,False,32,0.0443280854532352,0.08483772535354422
32,2020-02-23,0,83.35895880378142,26.70544370784538,False,33,0.05088703536619755,0.08483772535354422
33,2020-02-24,0,83.35895880378142,26.70544370784538,False,34,0.058415409826161856,0.08483772535354422
34,2020-02-25,0,83.35895880378142,26.70544370784538,False,35,0.06705615402402582,0.08483772535354422
35,2020-02-26,0,83.35895880378142,26.70544370784538,False,36,0.07697318375652669,0.08483772535354422
36,2020-02-27,0,83.35895880378142,26.70544370784538,False,37,0.08835442785231308,0.08483772535354422
37,2020-02-28,0,83.35895880378142,26.70544370784538,False,38,0.10141530116830329,0.08483772535354422
38,2020-02-29,0,83.35895880378142,26.70544370784538,False,39,0.1164026656306117,0.08483772535354422
