,Report_Date,China_tibet_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,8.450016784779468,0.5008984044362319,True,1,3.912708397204737e-05,1.0017968088724636
1,2020-01-23,0,0,8.450016784779468,0.5008984044362319,True,2,0.00015280691105304788,1.0017968088724636
2,2020-01-24,0,0,8.450016784779468,0.5008984044362319,True,3,0.0005965754055181539,1.0017968088724636
3,2020-01-25,0,0,8.450016784779468,0.5008984044362319,True,4,0.002326104774630062,1.0017968088724636
4,2020-01-26,0,0,8.450016784779468,0.5008984044362319,True,5,0.00902451051414164,1.0017968088724636
5,2020-01-27,0,0,8.450016784779468,0.5008984044362319,True,6,0.03434917209657522,1.0017968088724636
6,2020-01-28,0,0,8.450016784779468,0.5008984044362319,True,7,0.12200645359014714,1.0017968088724636
7,2020-01-29,0,0,8.450016784779468,0.5008984044362319,True,8,0.35197545888987414,1.0017968088724636
8,2020-01-30,1,1,8.450016784779468,0.5008984044362319,True,9,0.6802544553957222,1.0017968088724636
9,2020-01-31,1,1,8.450016784779468,0.5008984044362319,True,10,0.8936487247326851,1.0017968088724636
10,2020-02-01,1,1,8.450016784779468,0.5008984044362319,True,11,0.9716899867489908,1.0017968088724636
11,2020-02-02,1,1,8.450016784779468,0.5008984044362319,True,12,0.9939123755177289,1.0017968088724636
12,2020-02-03,1,1,8.450016784779468,0.5008984044362319,True,13,0.9997662944503288,1.0017968088724636
13,2020-02-04,1,1,8.450016784779468,0.5008984044362319,True,14,1.0012761579269347,1.0017968088724636
14,2020-02-05,1,1,8.450016784779468,0.5008984044362319,True,15,1.0016634567859426,1.0017968088724636
15,2020-02-06,1,1,8.450016784779468,0.5008984044362319,True,16,1.0017626638010189,1.0017968088724636
16,2020-02-07,1,1,8.450016784779468,0.5008984044362319,True,17,1.0017880666020158,1.0017968088724636
17,2020-02-08,1,1,8.450016784779468,0.5008984044362319,True,18,1.0017945706035853,1.0017968088724636
18,2020-02-09,1,1,8.450016784779468,0.5008984044362319,True,19,1.0017962358149948,1.0017968088724636
19,2020-02-10,1,1,8.450016784779468,0.5008984044362319,True,20,1.0017966621544088,1.0017968088724636
20,2020-02-11,1,1,8.450016784779468,0.5008984044362319,True,21,1.0017967713087252,1.0017968088724636
21,2020-02-12,1,0,8.450016784779468,0.5008984044362319,True,22,1.0017967992551446,1.0017968088724636
