,Report_Date,Mali_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,106.03315697664203,614.4545626657124,True,1,0.1006682048223015,1162.5851613772545
1,2020-01-23,0,0,106.03315697664203,614.4545626657124,True,2,0.11010235950278943,1162.5851613772545
2,2020-01-24,0,0,106.03315697664203,614.4545626657124,True,3,0.12042055252055972,1162.5851613772545
3,2020-01-25,0,0,106.03315697664203,614.4545626657124,True,4,0.13170560670687242,1162.5851613772545
4,2020-01-26,0,0,106.03315697664203,614.4545626657124,True,5,0.14404810097368034,1162.5851613772545
5,2020-01-27,0,0,106.03315697664203,614.4545626657124,True,6,0.1575470959901496,1162.5851613772545
6,2020-01-28,0,0,106.03315697664203,614.4545626657124,True,7,0.1723109276266956,1162.5851613772545
7,2020-01-29,0,0,106.03315697664203,614.4545626657124,True,8,0.18845807446980922,1162.5851613772545
8,2020-01-30,0,0,106.03315697664203,614.4545626657124,True,9,0.20611810629228247,1162.5851613772545
9,2020-01-31,0,0,106.03315697664203,614.4545626657124,True,10,0.22543272099740977,1162.5851613772545
10,2020-02-01,0,0,106.03315697664203,614.4545626657124,True,11,0.24655687824692377,1162.5851613772545
11,2020-02-02,0,0,106.03315697664203,614.4545626657124,True,12,0.269660038735741,1162.5851613772545
12,2020-02-03,0,0,106.03315697664203,614.4545626657124,True,13,0.29492751889736524,1162.5851613772545
13,2020-02-04,0,0,106.03315697664203,614.4545626657124,True,14,0.3225619717177137,1162.5851613772545
14,2020-02-05,0,0,106.03315697664203,614.4545626657124,True,15,0.35278500530833107,1162.5851613772545
15,2020-02-06,0,0,106.03315697664203,614.4545626657124,True,16,0.3858389519489751,1162.5851613772545
16,2020-02-07,0,0,106.03315697664203,614.4545626657124,True,17,0.42198880146139295,1162.5851613772545
17,2020-02-08,0,0,106.03315697664203,614.4545626657124,True,18,0.461524314028209,1162.5851613772545
18,2020-02-09,0,0,106.03315697664203,614.4545626657124,True,19,0.5047623289311036,1162.5851613772545
19,2020-02-10,0,0,106.03315697664203,614.4545626657124,True,20,0.5520492871592264,1162.5851613772545
20,2020-02-11,0,0,106.03315697664203,614.4545626657124,True,21,0.6037639874408585,1162.5851613772545
21,2020-02-12,0,0,106.03315697664203,614.4545626657124,True,22,0.6603205969878719,1162.5851613772545
22,2020-02-13,0,0,106.03315697664203,614.4545626657124,True,23,0.7221719401231561,1162.5851613772545
23,2020-02-14,0,0,106.03315697664203,614.4545626657124,True,24,0.7898130899956841,1162.5851613772545
24,2020-02-15,0,0,106.03315697664203,614.4545626657124,True,25,0.8637852907864689,1162.5851613772545
25,2020-02-16,0,0,106.03315697664203,614.4545626657124,True,26,0.944680240181438,1162.5851613772545
26,2020-02-17,0,0,106.03315697664203,614.4545626657124,True,27,1.0331447644444898,1162.5851613772545
27,2020-02-18,0,0,106.03315697664203,614.4545626657124,True,28,1.129885921175601,1162.5851613772545
28,2020-02-19,0,0,106.03315697664203,614.4545626657124,True,29,1.2356765677943577,1162.5851613772545
29,2020-02-20,0,0,106.03315697664203,614.4545626657124,True,30,1.3513614369573943,1162.5851613772545
30,2020-02-21,0,0,106.03315697664203,614.4545626657124,True,31,1.4778637635065164,1162.5851613772545
31,2020-02-22,0,0,106.03315697664203,614.4545626657124,True,32,1.616192511158707,1162.5851613772545
32,2020-02-23,0,0,106.03315697664203,614.4545626657124,True,33,1.767450250993503,1162.5851613772545
33,2020-02-24,0,0,106.03315697664203,614.4545626657124,True,34,1.9328417478681525,1162.5851613772545
34,2020-02-25,0,0,106.03315697664203,614.4545626657124,True,35,2.1136833151935375,1162.5851613772545
35,2020-02-26,0,0,106.03315697664203,614.4545626657124,True,36,2.311413003026193,1162.5851613772545
36,2020-02-27,0,0,106.03315697664203,614.4545626657124,True,37,2.527601689159809,1162.5851613772545
37,2020-02-28,0,0,106.03315697664203,614.4545626657124,True,38,2.763965147811721,1162.5851613772545
38,2020-02-29,0,0,106.03315697664203,614.4545626657124,True,39,3.022377175564734,1162.5851613772545
39,2020-03-01,0,0,106.03315697664203,614.4545626657124,True,40,3.304883859399289,1162.5851613772545
40,2020-03-02,0,0,106.03315697664203,614.4545626657124,True,41,3.6137190768780347,1162.5851613772545
41,2020-03-03,0,0,106.03315697664203,614.4545626657124,True,42,3.951321323749654,1162.5851613772545
42,2020-03-04,0,0,106.03315697664203,614.4545626657124,True,43,4.3203519693252685,1162.5851613772545
43,2020-03-05,0,0,106.03315697664203,614.4545626657124,True,44,4.723715044827821,1162.5851613772545
44,2020-03-06,0,0,106.03315697664203,614.4545626657124,True,45,5.164578674370812,1162.5851613772545
45,2020-03-07,0,0,106.03315697664203,614.4545626657124,True,46,5.646398262099827,1162.5851613772545
46,2020-03-08,0,0,106.03315697664203,614.4545626657124,True,47,6.172941552097955,1162.5851613772545
47,2020-03-09,0,0,106.03315697664203,614.4545626657124,True,48,6.748315679633039,1162.5851613772545
48,2020-03-10,0,0,106.03315697664203,614.4545626657124,True,49,7.376996332870277,1162.5851613772545
49,2020-03-11,0,0,106.03315697664203,614.4545626657124,True,50,8.063859142878297,1162.5851613772545
50,2020-03-12,0,0,106.03315697664203,614.4545626657124,True,51,8.8142134161301,1162.5851613772545
51,2020-03-13,0,0,106.03315697664203,614.4545626657124,True,52,9.633838317159627,1162.5851613772545
52,2020-03-14,0,0,106.03315697664203,614.4545626657124,True,53,10.529021598890958,1162.5851613772545
53,2020-03-15,0,0,106.03315697664203,614.4545626657124,True,54,11.506600963601436,1162.5851613772545
54,2020-03-16,0,0,106.03315697664203,614.4545626657124,True,55,12.574008117566388,1162.5851613772545
55,2020-03-17,0,0,106.03315697664203,614.4545626657124,True,56,13.739315556066414,1162.5851613772545
56,2020-03-18,0,0,106.03315697664203,614.4545626657124,True,57,15.011286081355026,1162.5851613772545
57,2020-03-19,0,0,106.03315697664203,614.4545626657124,True,58,16.39942501294309,1162.5851613772545
58,2020-03-20,0,0,106.03315697664203,614.4545626657124,True,59,17.91403499552254,1162.5851613772545
59,2020-03-21,0,0,106.03315697664203,614.4545626657124,True,60,19.56627324319355,1162.5851613772545
60,2020-03-22,0,0,106.03315697664203,614.4545626657124,True,61,21.368210977345694,1162.5851613772545
61,2020-03-23,0,0,106.03315697664203,614.4545626657124,True,62,23.332894717354247,1162.5851613772545
62,2020-03-24,0,0,106.03315697664203,614.4545626657124,True,63,25.474408965801747,1162.5851613772545
63,2020-03-25,2,2,106.03315697664203,614.4545626657124,True,64,27.807939690708533,1162.5851613772545
64,2020-03-26,4,4,106.03315697664203,614.4545626657124,True,65,30.349837843682323,1162.5851613772545
65,2020-03-27,11,11,106.03315697664203,614.4545626657124,True,66,33.11768196243879,1162.5851613772545
66,2020-03-28,18,18,106.03315697664203,614.4545626657124,True,67,36.13033868643577,1162.5851613772545
67,2020-03-29,18,17,106.03315697664203,614.4545626657124,True,68,39.408019763394314,1162.5851613772545
68,2020-03-30,25,23,106.03315697664203,614.4545626657124,True,69,42.972333840837734,1162.5851613772545
69,2020-03-31,28,26,106.03315697664203,614.4545626657124,True,70,46.84633101996569,1162.5851613772545
70,2020-04-01,31,28,106.03315697664203,614.4545626657124,True,71,51.054537799995735,1162.5851613772545
71,2020-04-02,36,33,106.03315697664203,614.4545626657124,True,72,55.62297966213917,1162.5851613772545
72,2020-04-03,39,36,106.03315697664203,614.4545626657124,True,73,60.57918813856791,1162.5851613772545
73,2020-04-04,41,37,106.03315697664203,614.4545626657124,True,74,65.95218879104159,1162.5851613772545
74,2020-04-05,45,39,106.03315697664203,614.4545626657124,True,75,71.77246609801989,1162.5851613772545
75,2020-04-06,47,33,106.03315697664203,614.4545626657124,True,76,78.07190083437722,1162.5851613772545
76,2020-04-07,56,39,106.03315697664203,614.4545626657124,True,77,84.8836751459333,1162.5851613772545
77,2020-04-08,59,36,106.03315697664203,614.4545626657124,True,78,92.2421401997232,1162.5851613772545
78,2020-04-09,74,45,106.03315697664203,614.4545626657124,True,79,100.18264106481278,1162.5851613772545
79,2020-04-10,87,58,106.03315697664203,614.4545626657124,True,80,108.74129338915652,1162.5851613772545
80,2020-04-11,87,58,106.03315697664203,614.4545626657124,True,81,117.954706534094,1162.5851613772545
