,Report_Date,China_hunan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,4,12.913071771236453,509.2289775976474,True,1,33.0172689985028,1018.4579551952945
1,2020-01-23,9,9,12.913071771236453,509.2289775976474,True,2,43.443614184425904,1018.4579551952945
2,2020-01-24,24,24,12.913071771236453,509.2289775976474,True,3,56.972087851062014,1018.4579551952945
3,2020-01-25,43,43,12.913071771236453,509.2289775976474,True,4,74.39193929798647,1018.4579551952945
4,2020-01-26,69,69,12.913071771236453,509.2289775976474,True,5,96.60295621396493,1018.4579551952945
5,2020-01-27,100,100,12.913071771236453,509.2289775976474,True,6,124.57043006084116,1018.4579551952945
6,2020-01-28,143,143,12.913071771236453,509.2289775976474,True,7,159.23614824420497,1018.4579551952945
7,2020-01-29,221,221,12.913071771236453,509.2289775976474,True,8,201.375467349907,1018.4579551952945
8,2020-01-30,277,275,12.913071771236453,509.2289775976474,True,9,251.40342223769758,1018.4579551952945
9,2020-01-31,332,330,12.913071771236453,509.2289775976474,True,10,309.15734234791415,1018.4579551952945
10,2020-02-01,389,381,12.913071771236453,509.2289775976474,True,11,373.7147775567058,1018.4579551952945
11,2020-02-02,463,447,12.913071771236453,509.2289775976474,True,12,443.32720912136296,1018.4579551952945
12,2020-02-03,521,499,12.913071771236453,509.2289775976474,True,13,515.5381600697037,1018.4579551952945
13,2020-02-04,593,562,12.913071771236453,509.2289775976474,True,14,587.4962242696178,1018.4579551952945
14,2020-02-05,661,607,12.913071771236453,509.2289775976474,True,15,656.3893509054376,1018.4579551952945
15,2020-02-06,711,630,12.913071771236453,509.2289775976474,True,16,719.8666730904906,1018.4579551952945
16,2020-02-07,772,660,12.913071771236453,509.2289775976474,True,17,776.3205634407268,1018.4579551952945
17,2020-02-08,803,646,12.913071771236453,509.2289775976474,True,18,824.969745576218,1018.4579551952945
18,2020-02-09,838,651,12.913071771236453,509.2289775976474,True,19,865.7670255231985,1018.4579551952945
19,2020-02-10,879,670,12.913071771236453,509.2289775976474,True,20,899.2056119380995,1018.4579551952945
20,2020-02-11,912,664,12.913071771236453,509.2289775976474,True,21,926.1024747583913,1018.4579551952945
