,Report_Date,Senegal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,116.08879070091155,2354.923339297839,True,1,0.2660966761383408,3805.6989173294974
1,2020-01-23,0,116.08879070091155,2354.923339297839,True,2,0.28969927480189994,3805.6989173294974
2,2020-01-24,0,116.08879070091155,2354.923339297839,True,3,0.3153952681089514,3805.6989173294974
3,2020-01-25,0,116.08879070091155,2354.923339297839,True,4,0.3433703003665367,3805.6989173294974
4,2020-01-26,0,116.08879070091155,2354.923339297839,True,5,0.373826474190394,3805.6989173294974
5,2020-01-27,0,116.08879070091155,2354.923339297839,True,6,0.406983808725942,3805.6989173294974
6,2020-01-28,0,116.08879070091155,2354.923339297839,True,7,0.44308182690377823,3805.6989173294974
7,2020-01-29,0,116.08879070091155,2354.923339297839,True,8,0.48238128311703654,3805.6989173294974
8,2020-01-30,0,116.08879070091155,2354.923339297839,True,9,0.5251660437072069,3805.6989173294974
9,2020-01-31,0,116.08879070091155,2354.923339297839,True,10,0.5717451337309096,3805.6989173294974
10,2020-02-01,0,116.08879070091155,2354.923339297839,True,11,0.6224549646599543,3805.6989173294974
11,2020-02-02,0,116.08879070091155,2354.923339297839,True,12,0.677661758948683,3805.6989173294974
12,2020-02-03,0,116.08879070091155,2354.923339297839,True,13,0.7377641887946264,3805.6989173294974
13,2020-02-04,0,116.08879070091155,2354.923339297839,True,14,0.8031962479300494,3805.6989173294974
14,2020-02-05,0,116.08879070091155,2354.923339297839,True,15,0.8744303769229048,3805.6989173294974
15,2020-02-06,0,116.08879070091155,2354.923339297839,True,16,0.9519808642466732,3805.6989173294974
16,2020-02-07,0,116.08879070091155,2354.923339297839,True,17,1.0364075473109113,3805.6989173294974
17,2020-02-08,0,116.08879070091155,2354.923339297839,True,18,1.1283198397403258,3805.6989173294974
18,2020-02-09,0,116.08879070091155,2354.923339297839,True,19,1.228381113462852,3805.6989173294974
19,2020-02-10,0,116.08879070091155,2354.923339297839,True,20,1.3373134666305715,3805.6989173294974
20,2020-02-11,0,116.08879070091155,2354.923339297839,True,21,1.4559029110662276,3805.6989173294974
21,2020-02-12,0,116.08879070091155,2354.923339297839,True,22,1.5850050158184512,3805.6989173294974
22,2020-02-13,0,116.08879070091155,2354.923339297839,True,23,1.7255510465373993,3805.6989173294974
23,2020-02-14,0,116.08879070091155,2354.923339297839,True,24,1.8785546437671756,3805.6989173294974
24,2020-02-15,0,116.08879070091155,2354.923339297839,True,25,2.045119086910859,3805.6989173294974
25,2020-02-16,0,116.08879070091155,2354.923339297839,True,26,2.2264451945779467,3805.6989173294974
26,2020-02-17,0,116.08879070091155,2354.923339297839,True,27,2.4238399162931565,3805.6989173294974
27,2020-02-18,0,116.08879070091155,2354.923339297839,True,28,2.638725675151186,3805.6989173294974
28,2020-02-19,0,116.08879070091155,2354.923339297839,True,29,2.8726505259663853,3805.6989173294974
29,2020-02-20,0,116.08879070091155,2354.923339297839,True,30,3.1272991988120644,3805.6989173294974
30,2020-02-21,0,116.08879070091155,2354.923339297839,True,31,3.40450510359429,3805.6989173294974
31,2020-02-22,0,116.08879070091155,2354.923339297839,True,32,3.7062633774827973,3805.6989173294974
32,2020-02-23,0,116.08879070091155,2354.923339297839,True,33,4.0347450636498685,3805.6989173294974
33,2020-02-24,0,116.08879070091155,2354.923339297839,True,34,4.392312516868829,3805.6989173294974
34,2020-02-25,0,116.08879070091155,2354.923339297839,True,35,4.781536139118388,3805.6989173294974
35,2020-02-26,0,116.08879070091155,2354.923339297839,True,36,5.205212556446209,3805.6989173294974
36,2020-02-27,0,116.08879070091155,2354.923339297839,True,37,5.666384356981342,3805.6989173294974
37,2020-02-28,0,116.08879070091155,2354.923339297839,True,38,6.16836151916295,3805.6989173294974
38,2020-02-29,0,116.08879070091155,2354.923339297839,True,39,6.714744668979854,3805.6989173294974
39,2020-03-01,0,116.08879070091155,2354.923339297839,True,40,7.309450315292512,3805.6989173294974
40,2020-03-02,1,116.08879070091155,2354.923339297839,True,41,7.956738223129372,3805.6989173294974
41,2020-03-03,2,116.08879070091155,2354.923339297839,True,42,8.661241096194912,3805.6989173294974
42,2020-03-04,4,116.08879070091155,2354.923339297839,True,43,9.427996751666399,3805.6989173294974
43,2020-03-05,4,116.08879070091155,2354.923339297839,True,44,10.26248298264337,3805.6989173294974
44,2020-03-06,4,116.08879070091155,2354.923339297839,True,45,11.17065531628125,3805.6989173294974
45,2020-03-07,4,116.08879070091155,2354.923339297839,True,46,12.158987888596496,3805.6989173294974
46,2020-03-08,4,116.08879070091155,2354.923339297839,True,47,13.234517670055505,3805.6989173294974
47,2020-03-09,4,116.08879070091155,2354.923339297839,True,48,14.404892289196281,3805.6989173294974
48,2020-03-10,4,116.08879070091155,2354.923339297839,True,49,15.678421714482257,3805.6989173294974
49,2020-03-11,4,116.08879070091155,2354.923339297839,True,50,17.064134067102696,3805.6989173294974
50,2020-03-12,4,116.08879070091155,2354.923339297839,True,51,18.571835849203516,3805.6989173294974
51,2020-03-13,10,116.08879070091155,2354.923339297839,True,52,20.212176882676072,3805.6989173294974
52,2020-03-14,10,116.08879070091155,2354.923339297839,True,53,21.99672026268355,3805.6989173294974
53,2020-03-15,24,116.08879070091155,2354.923339297839,True,54,23.938017637003117,3805.6989173294974
54,2020-03-16,24,116.08879070091155,2354.923339297839,True,55,26.04969012632712,3805.6989173294974
55,2020-03-17,26,116.08879070091155,2354.923339297839,True,56,28.346515201087556,3805.6989173294974
56,2020-03-18,31,116.08879070091155,2354.923339297839,True,57,30.844519826177695,3805.6989173294974
57,2020-03-19,31,116.08879070091155,2354.923339297839,True,58,33.56108017499982,3805.6989173294974
58,2020-03-20,38,116.08879070091155,2354.923339297839,True,59,36.51502819721953,3805.6989173294974
59,2020-03-21,47,116.08879070091155,2354.923339297839,True,60,39.72676529888005,3805.6989173294974
60,2020-03-22,67,116.08879070091155,2354.923339297839,True,61,43.21838335728277,3805.6989173294974
61,2020-03-23,79,116.08879070091155,2354.923339297839,True,62,47.01379324414493,3805.6989173294974
62,2020-03-24,86,116.08879070091155,2354.923339297839,True,63,51.13886096654967,3805.6989173294974
63,2020-03-25,99,116.08879070091155,2354.923339297839,True,64,55.621551453301045,3805.6989173294974
64,2020-03-26,105,116.08879070091155,2354.923339297839,True,65,60.49207991129631,3805.6989173294974
65,2020-03-27,119,116.08879070091155,2354.923339297839,True,66,65.78307054883888,3805.6989173294974
66,2020-03-28,130,116.08879070091155,2354.923339297839,True,67,71.52972230641366,3805.6989173294974
67,2020-03-29,142,116.08879070091155,2354.923339297839,True,68,77.76998104588672,3805.6989173294974
68,2020-03-30,162,116.08879070091155,2354.923339297839,True,69,84.54471742150876,3805.6989173294974
69,2020-03-31,175,116.08879070091155,2354.923339297839,True,70,91.89790938524371,3805.6989173294974
70,2020-04-01,190,116.08879070091155,2354.923339297839,True,71,99.8768279592495,3805.6989173294974
71,2020-04-02,195,116.08879070091155,2354.923339297839,True,72,108.5322245340247,3805.6989173294974
72,2020-04-03,207,116.08879070091155,2354.923339297839,True,73,117.91851751597723,3805.6989173294974
73,2020-04-04,219,116.08879070091155,2354.923339297839,True,74,128.09397564730926,3805.6989173294974
74,2020-04-05,222,116.08879070091155,2354.923339297839,True,75,139.12089474898409,3805.6989173294974
75,2020-04-06,226,116.08879070091155,2354.923339297839,True,76,151.0657639898486,3805.6989173294974
76,2020-04-07,237,116.08879070091155,2354.923339297839,True,77,163.99941705889037,3805.6989173294974
77,2020-04-08,244,116.08879070091155,2354.923339297839,True,78,177.9971628123217,3805.6989173294974
78,2020-04-09,250,116.08879070091155,2354.923339297839,True,79,193.1388890848553,3805.6989173294974
79,2020-04-10,265,116.08879070091155,2354.923339297839,True,80,209.50913240121065,3805.6989173294974
80,2020-04-11,278,116.08879070091155,2354.923339297839,True,81,227.19710531070783,3805.6989173294974
81,2020-04-12,280,116.08879070091155,2354.923339297839,True,82,246.2966720123226,3805.6989173294974
82,2020-04-13,291,116.08879070091155,2354.923339297839,True,83,266.90626186533336,3805.6989173294974
83,2020-04-14,299,116.08879070091155,2354.923339297839,True,84,289.12870932676543,3805.6989173294974
84,2020-04-15,314,116.08879070091155,2354.923339297839,True,85,313.07100786757843,3805.6989173294974
85,2020-04-16,335,116.08879070091155,2354.923339297839,True,86,338.84396455411854,3805.6989173294974
86,2020-04-17,342,116.08879070091155,2354.923339297839,True,87,366.5617413131468,3805.6989173294974
87,2020-04-18,350,116.08879070091155,2354.923339297839,True,88,396.34126851618635,3805.6989173294974
88,2020-04-19,367,116.08879070091155,2354.923339297839,True,89,428.3015165257194,3805.6989173294974
89,2020-04-20,377,116.08879070091155,2354.923339297839,True,90,462.56261135983567,3805.6989173294974
90,2020-04-21,412,116.08879070091155,2354.923339297839,True,91,499.24478178306674,3805.6989173294974
91,2020-04-22,442,116.08879070091155,2354.923339297839,True,92,538.4671270564861,3805.6989173294974
92,2020-04-23,479,116.08879070091155,2354.923339297839,True,93,580.3461974174412,3805.6989173294974
93,2020-04-24,545,116.08879070091155,2354.923339297839,True,94,624.9943832371969,3805.6989173294974
94,2020-04-25,614,116.08879070091155,2354.923339297839,True,95,672.5181138304182,3805.6989173294974
95,2020-04-26,671,116.08879070091155,2354.923339297839,True,96,723.0158731335331,3805.6989173294974
96,2020-04-27,736,116.08879070091155,2354.923339297839,True,97,776.5760469438522,3805.6989173294974
97,2020-04-28,823,116.08879070091155,2354.923339297839,True,98,833.2746250564126,3805.6989173294974
98,2020-04-29,882,116.08879070091155,2354.923339297839,True,99,893.172791293407,3805.6989173294974
99,2020-04-30,933,116.08879070091155,2354.923339297839,True,100,956.3144448196784,3805.6989173294974
100,2020-05-01,1024,116.08879070091155,2354.923339297839,True,101,1022.7237068767075,3805.6989173294974
101,2020-05-02,1115,116.08879070091155,2354.923339297839,True,102,1092.4024776119873,3805.6989173294974
102,2020-05-03,1182,116.08879070091155,2354.923339297839,True,103,1165.328117367882,3805.6989173294974
103,2020-05-04,1271,116.08879070091155,2354.923339297839,True,104,1241.4513348536102,3805.6989173294974
104,2020-05-05,1329,116.08879070091155,2354.923339297839,True,105,1320.6943702172207,3805.6989173294974
105,2020-05-06,1433,116.08879070091155,2354.923339297839,True,106,1402.9495633114238,3805.6989173294974
106,2020-05-07,1492,116.08879070091155,2354.923339297839,True,107,1488.078395621488,3805.6989173294974
107,2020-05-08,1551,116.08879070091155,2354.923339297839,True,108,1575.9110877597377,3805.6989173294974
108,2020-05-09,1634,116.08879070091155,2354.923339297839,True,109,1666.2468227377308,3805.6989173294974
109,2020-05-10,1709,116.08879070091155,2354.923339297839,True,110,1758.8546483431717,3805.6989173294974
110,2020-05-11,1886,116.08879070091155,2354.923339297839,True,111,1853.475090213086,3805.6989173294974
111,2020-05-12,1995,116.08879070091155,2354.923339297839,True,112,1949.8224813844022,3805.6989173294974
112,2020-05-13,2105,116.08879070091155,2354.923339297839,True,113,2047.5879854270047,3805.6989173294974
113,2020-05-14,2189,116.08879070091155,2354.923339297839,True,114,2146.443260308704,3805.6989173294974
114,2020-05-15,2310,116.08879070091155,2354.923339297839,True,115,2246.0446807640055,3805.6989173294974
115,2020-05-16,2429,116.08879070091155,2354.923339297839,True,116,2346.0380101168735,3805.6989173294974
116,2020-05-17,2480,116.08879070091155,2354.923339297839,True,117,2446.0633901603214,3805.6989173294974
117,2020-05-18,2544,116.08879070091155,2354.923339297839,True,118,2545.760501492464,3805.6989173294974
118,2020-05-19,2617,116.08879070091155,2354.923339297839,True,119,2644.7737378968004,3805.6989173294974
119,2020-05-20,2714,116.08879070091155,2354.923339297839,True,120,2742.757237624601,3805.6989173294974
120,2020-05-21,2812,116.08879070091155,2354.923339297839,True,121,2839.3796218467696,3805.6989173294974
121,2020-05-22,2909,116.08879070091155,2354.923339297839,True,122,2934.328305509818,3805.6989173294974
