,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,active_patients,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-0.6216791196496245,-20.130253702107254,17.449300593964455,0.0,7.442713893669046e-12,9.727795771121182e-13,-1.0627866423505963,-19.09058875956478,16.242348434197403,2020-05-28,0.0,64.5708760588968,True,128,296.38584008696085
1,2020-01-23,1.8529170174515386,-16.85822464627774,22.101705053062496,2.0,1.3640368124731104e-09,2.518181781197756e-10,1.6093116498284148,-16.443722375565773,19.542307849908635,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
2,2020-01-24,-0.20227950696453312,-20.466760167002004,18.111239026619376,2.0,2.8750914635043473e-08,6.495971030907977e-09,1.2287944323631366,-17.90175064050602,19.688369806992746,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
3,2020-01-25,-0.41622339540540965,-19.383631240675324,18.515294067134455,2.0,2.4998897590944103e-07,6.518680727857962e-08,1.0745806186816134,-16.309796278555975,17.5232909926415,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
4,2020-01-26,0.37714826295463505,-18.973099123399813,19.053021895486133,2.0,1.3380570871419314e-06,3.899380233358312e-07,-0.015324949515303221,-16.8495295523742,17.86860373755999,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
5,2020-01-27,0.560416964581967,-18.374190237351385,20.145396443072165,2.0,5.269221125181574e-06,1.68157681285762e-06,0.18420395187627658,-17.36396583931269,17.922372225828173,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
6,2020-01-28,0.07828289204761305,-19.877337372651876,18.91177754897386,2.0,1.678964574100104e-05,5.785831345949567e-06,-0.31631809023214774,-18.729923736343913,17.37637693785565,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
7,2020-01-29,-0.4170671362047731,-19.492827812364613,18.98658527951737,2.0,4.581583001972647e-05,1.6874554629927968e-05,-0.748051225546437,-18.38247308056145,17.53220394847001,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
8,2020-01-30,2.083209046289936,-16.916345817640313,22.86617543489468,2.0,0.000111063625674184,4.3378412194279784e-05,1.9606383178712752,-15.025897076272683,20.172334682691584,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
9,2020-01-31,0.05690836061956245,-18.957688950558236,19.053252935440987,2.0,0.0002452274375767876,0.00010094110903104172,1.6209507897673134,-15.747673469187676,18.59755904594178,2020-05-28,2.0,64.5708760588968,True,128,296.38584008696085
10,2020-02-01,-0.12452312040375957,-19.298074881203906,18.909240528967683,6.0,0.0005020560414236179,0.00021670747541710064,1.5122921914538647,-16.42110609299029,17.861064724804404,2020-05-28,5.0,64.5708760588968,True,128,296.38584008696085
11,2020-02-02,0.7054277236409159,-19.612237239958436,18.852927767387122,6.0,0.0009656946291837286,0.0004353000420823034,0.4732094792451892,-17.689199232024414,18.057311988096423,2020-05-28,5.0,64.5708760588968,True,128,296.38584008696085
12,2020-02-03,0.9298479933791075,-17.37044012842232,20.794096520702517,8.0,0.0017626844021876146,0.0008268810695497411,0.7294320004848579,-17.286269682044058,17.4962472941408,2020-05-28,7.0,64.5708760588968,True,128,296.38584008696085
13,2020-02-04,0.4940055122766775,-18.129243721573648,19.664917963932066,8.0,0.0030770313311901435,0.0014977392826431598,0.2921450479072387,-16.446993078048767,17.806025903764542,2020-05-28,7.0,64.5708760588968,True,128,296.38584008696085
14,2020-02-05,0.050724168605212894,-19.142062702918654,19.179348720161048,8.0,0.005168774503940405,0.0026038826761844982,-0.06906603034471503,-18.2702388039543,18.509385327283745,2020-05-28,7.0,64.5708760588968,True,128,296.38584008696085
