,Report_Date,Honduras_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.63748967053947,373.55973134611907,True,1,0.008633154874814987,610.610996336583
1,2020-01-23,0,79.63748967053947,373.55973134611907,True,2,0.009975926755674786,610.610996336583
2,2020-01-24,0,79.63748967053947,373.55973134611907,True,3,0.011527545637454357,610.610996336583
3,2020-01-25,0,79.63748967053947,373.55973134611907,True,4,0.013320493298871774,610.610996336583
4,2020-01-26,0,79.63748967053947,373.55973134611907,True,5,0.015392303017102663,610.610996336583
5,2020-01-27,0,79.63748967053947,373.55973134611907,True,6,0.01778634504484736,610.610996336583
6,2020-01-28,0,79.63748967053947,373.55973134611907,True,7,0.020552734183557807,610.610996336583
7,2020-01-29,0,79.63748967053947,373.55973134611907,True,8,0.023749378418050145,610.610996336583
8,2020-01-30,0,79.63748967053947,373.55973134611907,True,9,0.02744319051902417,610.610996336583
9,2020-01-31,0,79.63748967053947,373.55973134611907,True,10,0.03171148791593255,610.610996336583
10,2020-02-01,0,79.63748967053947,373.55973134611907,True,11,0.03664361006294441,610.610996336583
11,2020-02-02,0,79.63748967053947,373.55973134611907,True,12,0.04234278704571315,610.610996336583
12,2020-02-03,0,79.63748967053947,373.55973134611907,True,13,0.0489282983986284,610.610996336583
13,2020-02-04,0,79.63748967053947,373.55973134611907,True,14,0.056537967127340036,610.610996336583
14,2020-02-05,0,79.63748967053947,373.55973134611907,True,15,0.06533104088146771,610.610996336583
15,2020-02-06,0,79.63748967053947,373.55973134611907,True,16,0.07549152023736985,610.610996336583
16,2020-02-07,0,79.63748967053947,373.55973134611907,True,17,0.0872320032908497,610.610996336583
17,2020-02-08,0,79.63748967053947,373.55973134611907,True,18,0.10079812640804166,610.610996336583
18,2020-02-09,0,79.63748967053947,373.55973134611907,True,19,0.11647369324886177,610.610996336583
19,2020-02-10,0,79.63748967053947,373.55973134611907,True,20,0.13458659830008923,610.610996336583
20,2020-02-11,0,79.63748967053947,373.55973134611907,True,21,0.15551566740599093,610.610996336583
21,2020-02-12,0,79.63748967053947,373.55973134611907,True,22,0.17969855647153302,610.610996336583
22,2020-02-13,0,79.63748967053947,373.55973134611907,True,23,0.20764087098510178,610.610996336583
23,2020-02-14,0,79.63748967053947,373.55973134611907,True,24,0.23992669365674693,610.610996336583
24,2020-02-15,0,79.63748967053947,373.55973134611907,True,25,0.27723073573427554,610.610996336583
25,2020-02-16,0,79.63748967053947,373.55973134611907,True,26,0.3203323599335147,610.610996336583
26,2020-02-17,0,79.63748967053947,373.55973134611907,True,27,0.370131759943488,610.610996336583
27,2020-02-18,0,79.63748967053947,373.55973134611907,True,28,0.42766862373749254,610.610996336583
28,2020-02-19,0,79.63748967053947,373.55973134611907,True,29,0.49414365608278693,610.610996336583
29,2020-02-20,0,79.63748967053947,373.55973134611907,True,30,0.5709433903847123,610.610996336583
30,2020-02-21,0,79.63748967053947,373.55973134611907,True,31,0.6596687820483312,610.610996336583
31,2020-02-22,0,79.63748967053947,373.55973134611907,True,32,0.7621681456285085,610.610996336583
32,2020-02-23,0,79.63748967053947,373.55973134611907,True,33,0.8805750768881608,610.610996336583
33,2020-02-24,0,79.63748967053947,373.55973134611907,True,34,1.0173520891539076,610.610996336583
34,2020-02-25,0,79.63748967053947,373.55973134611907,True,35,1.175340791583303,610.610996336583
35,2020-02-26,0,79.63748967053947,373.55973134611907,True,36,1.3578195454561965,610.610996336583
36,2020-02-27,0,79.63748967053947,373.55973134611907,True,37,1.5685696533481652,610.610996336583
37,2020-02-28,0,79.63748967053947,373.55973134611907,True,38,1.8119512644900446,610.610996336583
38,2020-02-29,0,79.63748967053947,373.55973134611907,True,39,2.09299031645927,610.610996336583
39,2020-03-01,0,79.63748967053947,373.55973134611907,True,40,2.4174779762016003,610.610996336583
40,2020-03-02,0,79.63748967053947,373.55973134611907,True,41,2.7920841883561405,610.610996336583
41,2020-03-03,0,79.63748967053947,373.55973134611907,True,42,3.2244870799961363,610.610996336583
42,2020-03-04,0,79.63748967053947,373.55973134611907,True,43,3.7235200994511937,610.610996336583
43,2020-03-05,0,79.63748967053947,373.55973134611907,True,44,4.299338870357758,610.610996336583
44,2020-03-06,0,79.63748967053947,373.55973134611907,True,45,4.963609803085883,610.610996336583
45,2020-03-07,0,79.63748967053947,373.55973134611907,True,46,5.729722500395385,610.610996336583
46,2020-03-08,0,79.63748967053947,373.55973134611907,True,47,6.6130278905427256,610.610996336583
47,2020-03-09,0,79.63748967053947,373.55973134611907,True,48,7.631103776656033,610.610996336583
48,2020-03-10,0,79.63748967053947,373.55973134611907,True,49,8.804049050683473,610.610996336583
49,2020-03-11,2,79.63748967053947,373.55973134611907,True,50,10.154807112601947,610.610996336583
50,2020-03-12,2,79.63748967053947,373.55973134611907,True,51,11.709517971369829,610.610996336583
51,2020-03-13,2,79.63748967053947,373.55973134611907,True,52,13.497896972838562,610.610996336583
52,2020-03-14,2,79.63748967053947,373.55973134611907,True,53,15.553635968443093,610.610996336583
53,2020-03-15,3,79.63748967053947,373.55973134611907,True,54,17.914819851694908,610.610996336583
54,2020-03-16,6,79.63748967053947,373.55973134611907,True,55,20.62434757366204,610.610996336583
55,2020-03-17,8,79.63748967053947,373.55973134611907,True,56,23.73034182128168,610.610996336583
56,2020-03-18,9,79.63748967053947,373.55973134611907,True,57,27.286525330537934,610.610996336583
57,2020-03-19,12,79.63748967053947,373.55973134611907,True,58,31.352534177703134,610.610996336583
58,2020-03-20,24,79.63748967053947,373.55973134611907,True,59,35.99412930210823,610.610996336583
59,2020-03-21,24,79.63748967053947,373.55973134611907,True,60,41.28325707839822,610.610996336583
60,2020-03-22,26,79.63748967053947,373.55973134611907,True,61,47.297898345198554,610.610996336583
61,2020-03-23,30,79.63748967053947,373.55973134611907,True,62,54.12163365832448,610.610996336583
62,2020-03-24,30,79.63748967053947,373.55973134611907,True,63,61.842841937368306,610.610996336583
63,2020-03-25,36,79.63748967053947,373.55973134611907,True,64,70.55344204442595,610.610996336583
64,2020-03-26,52,79.63748967053947,373.55973134611907,True,65,80.34708487198462,610.610996336583
65,2020-03-27,68,79.63748967053947,373.55973134611907,True,66,91.31671070162152,610.610996336583
66,2020-03-28,95,79.63748967053947,373.55973134611907,True,67,103.55140700799286,610.610996336583
67,2020-03-29,110,79.63748967053947,373.55973134611907,True,68,117.13253974314168,610.610996336583
68,2020-03-30,139,79.63748967053947,373.55973134611907,True,69,132.12918994410032,610.610996336583
69,2020-03-31,141,79.63748967053947,373.55973134611907,True,70,148.59300874646752,610.610996336583
70,2020-04-01,172,79.63748967053947,373.55973134611907,True,71,166.55270537415086,610.610996336583
71,2020-04-02,219,79.63748967053947,373.55973134611907,True,72,186.00849683907265,610.610996336583
72,2020-04-03,222,79.63748967053947,373.55973134611907,True,73,206.92696073558656,610.610996336583
73,2020-04-04,264,79.63748967053947,373.55973134611907,True,74,229.23682289616926,610.610996336583
74,2020-04-05,268,79.63748967053947,373.55973134611907,True,75,252.82625461659646,610.610996336583
75,2020-04-06,298,79.63748967053947,373.55973134611907,True,76,277.5422248155441,610.610996336583
76,2020-04-07,305,79.63748967053947,373.55973134611907,True,77,303.19233333184934,610.610996336583
77,2020-04-08,312,79.63748967053947,373.55973134611907,True,78,329.5493400555251,610.610996336583
