,Report_Date,China_jiangsu_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,1,14.711688630576027,322.59522019736926,True,1,20.91584052571155,645.1904403947032
1,2020-01-23,5,5,14.711688630576027,322.59522019736926,True,2,26.552264163212104,645.1904403947032
2,2020-01-24,9,9,14.711688630576027,322.59522019736926,True,3,33.62578322452376,645.1904403947032
3,2020-01-25,18,17,14.711688630576027,322.59522019736926,True,4,42.454369800317515,645.1904403947032
4,2020-01-26,33,32,14.711688630576027,322.59522019736926,True,5,53.39854410206282,645.1904403947032
5,2020-01-27,47,46,14.711688630576027,322.59522019736926,True,6,66.85106776440975,645.1904403947032
6,2020-01-28,70,69,14.711688630576027,322.59522019736926,True,7,83.21608382633795,645.1904403947032
7,2020-01-29,99,98,14.711688630576027,322.59522019736926,True,8,102.87461827744055,645.1904403947032
8,2020-01-30,129,128,14.711688630576027,322.59522019736926,True,9,126.1348326494955,645.1904403947032
9,2020-01-31,168,163,14.711688630576027,322.59522019736926,True,10,153.1688615900385,645.1904403947032
10,2020-02-01,202,196,14.711688630576027,322.59522019736926,True,11,183.9436735702673,645.1904403947032
11,2020-02-02,236,229,14.711688630576027,322.59522019736926,True,12,218.16013846094688,645.1904403947032
12,2020-02-03,271,263,14.711688630576027,322.59522019736926,True,13,255.21960147248785,645.1904403947032
13,2020-02-04,308,296,14.711688630576027,322.59522019736926,True,14,294.2367420482942,645.1904403947032
14,2020-02-05,341,318,14.711688630576027,322.59522019736926,True,15,334.10832967925836,645.1904403947032
15,2020-02-06,373,339,14.711688630576027,322.59522019736926,True,16,373.6308027744946,645.1904403947032
16,2020-02-07,408,365,14.711688630576027,322.59522019736926,True,17,411.6419762649621,645.1904403947032
17,2020-02-08,439,388,14.711688630576027,322.59522019736926,True,18,447.152677961136,645.1904403947032
18,2020-02-09,468,397,14.711688630576027,322.59522019736926,True,19,479.4381389642274,645.1904403947032
19,2020-02-10,492,411,14.711688630576027,322.59522019736926,True,20,508.07418827654584,645.1904403947032
20,2020-02-11,515,422,14.711688630576027,322.59522019736926,True,21,532.9214501597218,645.1904403947032
21,2020-02-12,543,418,14.711688630576027,322.59522019736926,True,22,554.0735575882434,645.1904403947032
22,2020-02-13,570,431,14.711688630576027,322.59522019736926,True,23,571.7893809609842,645.1904403947032
23,2020-02-14,593,436,14.711688630576027,322.59522019736926,True,24,586.4260407416056,645.1904403947032
24,2020-02-15,604,418,14.711688630576027,322.59522019736926,True,25,598.382977622252,645.1904403947032
25,2020-02-16,617,399,14.711688630576027,322.59522019736926,True,26,608.061045979266,645.1904403947032
26,2020-02-17,626,368,14.711688630576027,322.59522019736926,True,27,615.8362087290163,645.1904403947032
27,2020-02-18,629,349,14.711688630576027,322.59522019736926,True,28,622.0451713169857,645.1904403947032
28,2020-02-19,631,313,14.711688630576027,322.59522019736926,True,29,626.9796592127074,645.1904403947032
29,2020-02-20,631,275,14.711688630576027,322.59522019736926,True,30,630.8863234886563,645.1904403947032
30,2020-02-21,631,258,14.711688630576027,322.59522019736926,True,31,633.9699097262478,645.1904403947032
31,2020-02-22,631,230,14.711688630576027,322.59522019736926,True,32,636.3980211942611,645.1904403947032
32,2020-02-23,631,213,14.711688630576027,322.59522019736926,True,33,638.306397367292,645.1904403947032
33,2020-02-24,631,179,14.711688630576027,322.59522019736926,True,34,639.8040702873204,645.1904403947032
34,2020-02-25,631,173,14.711688630576027,322.59522019736926,True,35,640.9780639721238,645.1904403947032
35,2020-02-26,631,153,14.711688630576027,322.59522019736926,True,36,641.8974952138374,645.1904403947032
36,2020-02-27,631,133,14.711688630576027,322.59522019736926,True,37,642.6170488077057,645.1904403947032
37,2020-02-28,631,116,14.711688630576027,322.59522019736926,True,38,643.1798625820237,645.1904403947032
38,2020-02-29,631,108,14.711688630576027,322.59522019736926,True,39,643.6198869652454,645.1904403947032
39,2020-03-01,631,95,14.711688630576027,322.59522019736926,True,40,643.9637936107974,645.1904403947032
40,2020-03-02,631,88,14.711688630576027,322.59522019736926,True,41,644.2325065390086,645.1904403947032
41,2020-03-03,631,69,14.711688630576027,322.59522019736926,True,42,644.4424227828728,645.1904403947032
42,2020-03-04,631,54,14.711688630576027,322.59522019736926,True,43,644.6063808636405,645.1904403947032
43,2020-03-05,631,48,14.711688630576027,322.59522019736926,True,44,644.7344263807631,645.1904403947032
44,2020-03-06,631,37,14.711688630576027,322.59522019736926,True,45,644.8344155131517,645.1904403947032
45,2020-03-07,631,25,14.711688630576027,322.59522019736926,True,46,644.9124897128002,645.1904403947032
46,2020-03-08,631,19,14.711688630576027,322.59522019736926,True,47,644.9734484529563,645.1904403947032
47,2020-03-09,631,10,14.711688630576027,322.59522019736926,True,48,645.0210415416811,645.1904403947032
48,2020-03-10,631,4,14.711688630576027,322.59522019736926,True,49,645.058198124561,645.1904403947032
49,2020-03-11,631,4,14.711688630576027,322.59522019736926,True,50,645.0872059469152,645.1904403947032
50,2020-03-12,631,2,14.711688630576027,322.59522019736926,True,51,645.1098515930031,645.1904403947032
51,2020-03-13,631,1,14.711688630576027,322.59522019736926,True,52,645.1275301444267,645.1904403947032
52,2020-03-14,631,1,14.711688630576027,322.59522019736926,True,53,645.1413308941953,645.1904403947032
53,2020-03-15,631,0,14.711688630576027,322.59522019736926,True,54,645.1521043252791,645.1904403947032
54,2020-03-16,631,0,14.711688630576027,322.59522019736926,True,55,645.1605144370034,645.1904403947032
55,2020-03-17,631,0,14.711688630576027,322.59522019736926,True,56,645.1670796173328,645.1904403947032
56,2020-03-18,631,0,14.711688630576027,322.59522019736926,True,57,645.1722045639078,645.1904403947032
57,2020-03-19,631,0,14.711688630576027,322.59522019736926,True,58,645.1762052115171,645.1904403947032
58,2020-03-20,631,0,14.711688630576027,322.59522019736926,True,59,645.1793281965852,645.1904403947032
59,2020-03-21,631,0,14.711688630576027,322.59522019736926,True,60,645.181766054918,645.1904403947032
60,2020-03-22,633,2,14.711688630576027,322.59522019736926,True,61,645.183669087396,645.1904403947032
61,2020-03-23,633,2,14.711688630576027,322.59522019736926,True,62,645.1851546237858,645.1904403947032
62,2020-03-24,636,5,14.711688630576027,322.59522019736926,True,63,645.1863142549788,645.1904403947032
63,2020-03-25,638,7,14.711688630576027,322.59522019736926,True,64,645.187219479047,645.1904403947032
64,2020-03-26,640,9,14.711688630576027,322.59522019736926,True,65,645.1879261089164,645.1904403947032
65,2020-03-27,641,10,14.711688630576027,322.59522019736926,True,66,645.1884777132274,645.1904403947032
66,2020-03-28,641,10,14.711688630576027,322.59522019736926,True,67,645.1889083024212,645.1904403947032
67,2020-03-29,644,13,14.711688630576027,322.59522019736926,True,68,645.1892444255953,645.1904403947032
68,2020-03-30,645,14,14.711688630576027,322.59522019736926,True,69,645.1895068073745,645.1904403947032
69,2020-03-31,646,15,14.711688630576027,322.59522019736926,True,70,645.1897116256952,645.1904403947032
70,2020-04-01,646,15,14.711688630576027,322.59522019736926,True,71,645.1898715092735,645.1904403947032
71,2020-04-02,647,16,14.711688630576027,322.59522019736926,True,72,645.1899963162508,645.1904403947032
72,2020-04-03,651,19,14.711688630576027,322.59522019736926,True,73,645.1900937420168,645.1904403947032
73,2020-04-04,651,19,14.711688630576027,322.59522019736926,True,74,645.1901697936873,645.1904403947032
74,2020-04-05,651,18,14.711688630576027,322.59522019736926,True,75,645.1902291604905,645.1904403947032
75,2020-04-06,651,18,14.711688630576027,322.59522019736926,True,76,645.1902755028934,645.1904403947032
76,2020-04-07,651,18,14.711688630576027,322.59522019736926,True,77,645.1903116782997,645.1904403947032
77,2020-04-08,651,18,14.711688630576027,322.59522019736926,True,78,645.1903399172322,645.1904403947032
78,2020-04-09,651,18,14.711688630576027,322.59522019736926,True,79,645.1903619608626,645.1904403947032
79,2020-04-10,651,17,14.711688630576027,322.59522019736926,True,80,645.1903791683699,645.1904403947032
80,2020-04-11,652,16,14.711688630576027,322.59522019736926,True,81,645.1903926007445,645.1904403947032
81,2020-04-12,653,15,14.711688630576027,322.59522019736926,True,82,645.1904030862079,645.1904403947032
82,2020-04-13,653,15,14.711688630576027,322.59522019736926,True,83,645.1904112712789,645.1904403947032
83,2020-04-14,653,12,14.711688630576027,322.59522019736926,True,84,645.1904176606376,645.1904403947032
84,2020-04-15,653,11,14.711688630576027,322.59522019736926,True,85,645.1904226482432,645.1904403947032
85,2020-04-16,653,11,14.711688630576027,322.59522019736926,True,86,645.1904265416243,645.1904403947032
86,2020-04-17,653,10,14.711688630576027,322.59522019736926,True,87,645.1904295808415,645.1904403947032
87,2020-04-18,653,10,14.711688630576027,322.59522019736926,True,88,645.1904319532886,645.1904403947032
88,2020-04-19,653,10,14.711688630576027,322.59522019736926,True,89,645.1904338052476,645.1904403947032
