,Report_Date,UK_bermuda_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
45,2020-03-07,0,0,83.30836741391825,64.33666394198636,True,46,1.6200909712108684,128.45872829237175
46,2020-03-08,0,0,83.30836741391825,64.33666394198636,True,47,1.8181921445479616,128.45872829237175
47,2020-03-09,0,0,83.30836741391825,64.33666394198636,True,48,2.040127733963943,128.45872829237175
48,2020-03-10,0,0,83.30836741391825,64.33666394198636,True,49,2.288664891041111,128.45872829237175
49,2020-03-11,0,0,83.30836741391825,64.33666394198636,True,50,2.5668661811563176,128.45872829237175
50,2020-03-12,0,0,83.30836741391825,64.33666394198636,True,51,2.878114444028733,128.45872829237175
51,2020-03-13,0,0,83.30836741391825,64.33666394198636,True,52,3.2261379583471403,128.45872829237175
52,2020-03-14,0,0,83.30836741391825,64.33666394198636,True,53,3.6150353422445245,128.45872829237175
53,2020-03-15,0,0,83.30836741391825,64.33666394198636,True,54,4.049299438831106,128.45872829237175
54,2020-03-16,0,0,83.30836741391825,64.33666394198636,True,55,4.533839218248069,128.45872829237175
55,2020-03-17,0,0,83.30836741391825,64.33666394198636,True,56,5.073998472634345,128.45872829237175
56,2020-03-18,0,0,83.30836741391825,64.33666394198636,True,57,5.675569787728645,128.45872829237175
57,2020-03-19,2,2,83.30836741391825,64.33666394198636,True,58,6.344801947175218,128.45872829237175
58,2020-03-20,2,2,83.30836741391825,64.33666394198636,True,59,7.088398569818162,128.45872829237175
59,2020-03-21,2,2,83.30836741391825,64.33666394198636,True,60,7.913505409086929,128.45872829237175
60,2020-03-22,6,6,83.30836741391825,64.33666394198636,True,61,8.827683377498614,128.45872829237175
61,2020-03-23,6,6,83.30836741391825,64.33666394198636,True,62,9.838864028638588,128.45872829237175
62,2020-03-24,6,6,83.30836741391825,64.33666394198636,True,63,10.955283975769497,128.45872829237175
63,2020-03-25,7,7,83.30836741391825,64.33666394198636,True,64,12.185394605672917,128.45872829237175
64,2020-03-26,15,13,83.30836741391825,64.33666394198636,True,65,13.537743527208754,128.45872829237175
65,2020-03-27,17,15,83.30836741391825,64.33666394198636,True,66,15.020824557227796,128.45872829237175
66,2020-03-28,17,15,83.30836741391825,64.33666394198636,True,67,16.642893780562776,128.45872829237175
67,2020-03-29,22,20,83.30836741391825,64.33666394198636,True,68,18.411750414297735,128.45872829237175
68,2020-03-30,27,25,83.30836741391825,64.33666394198636,True,69,20.334482934875183,128.45872829237175
69,2020-03-31,32,22,83.30836741391825,64.33666394198636,True,70,22.41718323464934,128.45872829237175
70,2020-04-01,32,22,83.30836741391825,64.33666394198636,True,71,24.66463445412072,128.45872829237175
71,2020-04-02,35,24,83.30836741391825,64.33666394198636,True,72,27.079981501667362,128.45872829237175
72,2020-04-03,35,21,83.30836741391825,64.33666394198636,True,73,29.664396937994347,128.45872829237175
73,2020-04-04,35,21,83.30836741391825,64.33666394198636,True,74,32.41675856584795,128.45872829237175
74,2020-04-05,37,23,83.30836741391825,64.33666394198636,True,75,35.33335830921606,128.45872829237175
75,2020-04-06,39,20,83.30836741391825,64.33666394198636,True,76,38.40766428047238,128.45872829237175
76,2020-04-07,39,20,83.30836741391825,64.33666394198636,True,77,41.63015876928955,128.45872829237175
77,2020-04-08,39,13,83.30836741391825,64.33666394198636,True,78,44.98827373691241,128.45872829237175
78,2020-04-09,48,19,83.30836741391825,64.33666394198636,True,79,48.46644190410562,128.45872829237175
79,2020-04-10,48,19,83.30836741391825,64.33666394198636,True,80,52.04627557825072,128.45872829237175
80,2020-04-11,48,19,83.30836741391825,64.33666394198636,True,81,55.70687721812053,128.45872829237175
81,2020-04-12,57,24,83.30836741391825,64.33666394198636,True,82,59.42527601267843,128.45872829237175
82,2020-04-13,57,22,83.30836741391825,64.33666394198636,True,83,63.17697443298593,128.45872829237175
83,2020-04-14,57,22,83.30836741391825,64.33666394198636,True,84,66.93657901823363,128.45872829237175
84,2020-04-15,81,43,83.30836741391825,64.33666394198636,True,85,70.67848183872229,128.45872829237175
85,2020-04-16,81,43,83.30836741391825,64.33666394198636,True,86,74.37755422423703,128.45872829237175
86,2020-04-17,83,43,83.30836741391825,64.33666394198636,True,87,78.00981315503479,128.45872829237175
87,2020-04-18,83,43,83.30836741391825,64.33666394198636,True,88,81.55302335907147,128.45872829237175
88,2020-04-19,86,46,83.30836741391825,64.33666394198636,True,89,84.98720425703097,128.45872829237175
89,2020-04-20,86,44,83.30836741391825,64.33666394198636,True,90,88.29501957812869,128.45872829237175
90,2020-04-21,86,44,83.30836741391825,64.33666394198636,True,91,91.46203755626549,128.45872829237175
91,2020-04-22,99,55,83.30836741391825,64.33666394198636,True,92,94.47685983955759,128.45872829237175
92,2020-04-23,99,55,83.30836741391825,64.33666394198636,True,93,97.33112646312749,128.45872829237175
93,2020-04-24,99,55,83.30836741391825,64.33666394198636,True,94,100.01941159044543,128.45872829237175
94,2020-04-25,109,65,83.30836741391825,64.33666394198636,True,95,102.53902974168432,128.45872829237175
95,2020-04-26,109,65,83.30836741391825,64.33666394198636,True,96,104.88977479562782,128.45872829237175
96,2020-04-27,110,60,83.30836741391825,64.33666394198636,True,97,107.0736143879214,128.45872829237175
97,2020-04-28,110,60,83.30836741391825,64.33666394198636,True,98,109.0943608619473,128.45872829237175
98,2020-04-29,111,57,83.30836741391825,64.33666394198636,True,99,110.95733719385703,128.45872829237175
99,2020-04-30,114,60,83.30836741391825,64.33666394198636,True,100,112.66905285272341,128.45872829237175
100,2020-05-01,114,60,83.30836741391825,64.33666394198636,True,101,114.2369008493658,128.45872829237175
101,2020-05-02,114,56,83.30836741391825,64.33666394198636,True,102,115.66888364773405,128.45872829237175
102,2020-05-03,115,57,83.30836741391825,64.33666394198636,True,103,116.97337241733462,128.45872829237175
103,2020-05-04,115,54,83.30836741391825,64.33666394198636,True,104,118.1589014392714,128.45872829237175
104,2020-05-05,115,54,83.30836741391825,64.33666394198636,True,105,119.23399739505706,128.45872829237175
105,2020-05-06,118,52,83.30836741391825,64.33666394198636,True,106,120.20704175140744,128.45872829237175
106,2020-05-07,118,50,83.30836741391825,64.33666394198636,True,107,121.08616344679267,128.45872829237175
107,2020-05-08,118,50,83.30836741391825,64.33666394198636,True,108,121.87915850428776,128.45872829237175
108,2020-05-09,118,47,83.30836741391825,64.33666394198636,True,109,122.593432950487,128.45872829237175
109,2020-05-10,118,47,83.30836741391825,64.33666394198636,True,110,123.23596542552013,128.45872829237175
110,2020-05-11,119,45,83.30836741391825,64.33666394198636,True,111,123.8132860479984,128.45872829237175
111,2020-05-12,121,47,83.30836741391825,64.33666394198636,True,112,124.33146838739923,128.45872829237175
112,2020-05-13,121,47,83.30836741391825,64.33666394198636,True,113,124.7961317449255,128.45872829237175
113,2020-05-14,122,47,83.30836741391825,64.33666394198636,True,114,125.21245131491156,128.45872829237175
114,2020-05-15,122,47,83.30836741391825,64.33666394198636,True,115,125.5851741660846,128.45872829237175
115,2020-05-16,123,41,83.30836741391825,64.33666394198636,True,116,125.9186393281365,128.45872829237175
116,2020-05-17,123,41,83.30836741391825,64.33666394198636,True,117,126.21680058385434,128.45872829237175
117,2020-05-18,125,39,83.30836741391825,64.33666394198636,True,118,126.48325084544089,128.45872829237175
118,2020-05-19,125,38,83.30836741391825,64.33666394198636,True,119,126.72124723426963,128.45872829237175
119,2020-05-20,125,36,83.30836741391825,64.33666394198636,True,120,126.93373618725421,128.45872829237175
120,2020-05-21,125,36,83.30836741391825,64.33666394198636,True,121,127.12337808289155,128.45872829237175
121,2020-05-22,128,38,83.30836741391825,64.33666394198636,True,122,127.29257101929853,128.45872829237175
122,2020-05-23,128,38,83.30836741391825,64.33666394198636,True,123,127.4434734889944,128.45872829237175
123,2020-05-24,133,43,83.30836741391825,64.33666394198636,True,124,127.57802578456953,128.45872829237175
124,2020-05-25,133,35,83.30836741391825,64.33666394198636,True,125,127.69797003932668,128.45872829237175
125,2020-05-26,139,39,83.30836741391825,64.33666394198636,True,126,127.80486886076123,128.45872829237175
126,2020-05-27,139,39,83.30836741391825,64.33666394198636,True,127,127.9001225552716,128.45872829237175
127,2020-05-28,140,39,83.30836741391825,64.33666394198636,True,128,127.9849849722822,128.45872829237175
