,Report_Date,UK_bermuda_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,83.30836741391825,64.33666394198636,True,1,0.008511399939053317,128.45872829237175
1,2020-01-23,0,0,83.30836741391825,64.33666394198636,True,2,0.009566993740965072,128.45872829237175
2,2020-01-24,0,0,83.30836741391825,64.33666394198636,True,3,0.010753492582464124,128.45872829237175
3,2020-01-25,0,0,83.30836741391825,64.33666394198636,True,4,0.012087127220977718,128.45872829237175
4,2020-01-26,0,0,83.30836741391825,64.33666394198636,True,5,0.01358614008669453,128.45872829237175
5,2020-01-27,0,0,83.30836741391825,64.33666394198636,True,6,0.015271034413351951,128.45872829237175
6,2020-01-28,0,0,83.30836741391825,64.33666394198636,True,7,0.017164854169343314,128.45872829237175
7,2020-01-29,0,0,83.30836741391825,64.33666394198636,True,8,0.01929349858313869,128.45872829237175
8,2020-01-30,0,0,83.30836741391825,64.33666394198636,True,9,0.02168607552069539,128.45872829237175
9,2020-01-31,0,0,83.30836741391825,64.33666394198636,True,10,0.02437529849191686,128.45872829237175
10,2020-02-01,0,0,83.30836741391825,64.33666394198636,True,11,0.027397932644734477,128.45872829237175
11,2020-02-02,0,0,83.30836741391825,64.33666394198636,True,12,0.03079529575614228,128.45872829237175
12,2020-02-03,0,0,83.30836741391825,64.33666394198636,True,13,0.03461382095734145,128.45872829237175
13,2020-02-04,0,0,83.30836741391825,64.33666394198636,True,14,0.03890568874365223,128.45872829237175
14,2020-02-05,0,0,83.30836741391825,64.33666394198636,True,15,0.04372953672844987,128.45872829237175
15,2020-02-06,0,0,83.30836741391825,64.33666394198636,True,16,0.04915125661435237,128.45872829237175
16,2020-02-07,0,0,83.30836741391825,64.33666394198636,True,17,0.05524488898538653,128.45872829237175
17,2020-02-08,0,0,83.30836741391825,64.33666394198636,True,18,0.062093627782924245,128.45872829237175
18,2020-02-09,0,0,83.30836741391825,64.33666394198636,True,19,0.06979094772871813,128.45872829237175
19,2020-02-10,0,0,83.30836741391825,64.33666394198636,True,20,0.0784418695140889,128.45872829237175
20,2020-02-11,0,0,83.30836741391825,64.33666394198636,True,21,0.0881643792996511,128.45872829237175
21,2020-02-12,0,0,83.30836741391825,64.33666394198636,True,22,0.09909102097987359,128.45872829237175
22,2020-02-13,0,0,83.30836741391825,64.33666394198636,True,23,0.1113706817765096,128.45872829237175
23,2020-02-14,0,0,83.30836741391825,64.33666394198636,True,24,0.12517059404967956,128.45872829237175
24,2020-02-15,0,0,83.30836741391825,64.33666394198636,True,25,0.1406785787697464,128.45872829237175
25,2020-02-16,0,0,83.30836741391825,64.33666394198636,True,26,0.1581055588904083,128.45872829237175
26,2020-02-17,0,0,83.30836741391825,64.33666394198636,True,27,0.17768837391476544,128.45872829237175
27,2020-02-18,0,0,83.30836741391825,64.33666394198636,True,28,0.19969293025916088,128.45872829237175
28,2020-02-19,0,0,83.30836741391825,64.33666394198636,True,29,0.22441772559695722,128.45872829237175
29,2020-02-20,0,0,83.30836741391825,64.33666394198636,True,30,0.25219778920152314,128.45872829237175
30,2020-02-21,0,0,83.30836741391825,64.33666394198636,True,31,0.28340908439012374,128.45872829237175
31,2020-02-22,0,0,83.30836741391825,64.33666394198636,True,32,0.3184734234703465,128.45872829237175
32,2020-02-23,0,0,83.30836741391825,64.33666394198636,True,33,0.35786395006263605,128.45872829237175
33,2020-02-24,0,0,83.30836741391825,64.33666394198636,True,34,0.4021112482476647,128.45872829237175
34,2020-02-25,0,0,83.30836741391825,64.33666394198636,True,35,0.4518101425666555,128.45872829237175
35,2020-02-26,0,0,83.30836741391825,64.33666394198636,True,36,0.5076272573486232,128.45872829237175
36,2020-02-27,0,0,83.30836741391825,64.33666394198636,True,37,0.5703094079636133,128.45872829237175
37,2020-02-28,0,0,83.30836741391825,64.33666394198636,True,38,0.6406929001558078,128.45872829237175
38,2020-02-29,0,0,83.30836741391825,64.33666394198636,True,39,0.7197138162670765,128.45872829237175
39,2020-03-01,0,0,83.30836741391825,64.33666394198636,True,40,0.8084193684953622,128.45872829237175
40,2020-03-02,0,0,83.30836741391825,64.33666394198636,True,41,0.9079803987988393,128.45872829237175
41,2020-03-03,0,0,83.30836741391825,64.33666394198636,True,42,1.0197051019659817,128.45872829237175
42,2020-03-04,0,0,83.30836741391825,64.33666394198636,True,43,1.1450540418573893,128.45872829237175
43,2020-03-05,0,0,83.30836741391825,64.33666394198636,True,44,1.285656519811471,128.45872829237175
44,2020-03-06,0,0,83.30836741391825,64.33666394198636,True,45,1.4433283373698524,128.45872829237175
