,Report_Date,Latvia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
33,2020-02-24,0,69.7298509840601,387.358411148293,True,34,2.1180405754617366,717.0902023493405
34,2020-02-25,0,69.7298509840601,387.358411148293,True,35,2.4970456275632005,717.0902023493405
35,2020-02-26,0,69.7298509840601,387.358411148293,True,36,2.9436119636192943,717.0902023493405
36,2020-02-27,0,69.7298509840601,387.358411148293,True,37,3.4696824400801245,717.0902023493405
37,2020-02-28,0,69.7298509840601,387.358411148293,True,38,4.089271959683601,717.0902023493405
38,2020-02-29,0,69.7298509840601,387.358411148293,True,39,4.818811769452581,717.0902023493405
39,2020-03-01,0,69.7298509840601,387.358411148293,True,40,5.677545035637348,717.0902023493405
40,2020-03-02,1,69.7298509840601,387.358411148293,True,41,6.687978966870624,717.0902023493405
41,2020-03-03,1,69.7298509840601,387.358411148293,True,42,7.8763982799536985,717.0902023493405
42,2020-03-04,1,69.7298509840601,387.358411148293,True,43,9.273443754588257,717.0902023493405
43,2020-03-05,1,69.7298509840601,387.358411148293,True,44,10.914757754141986,717.0902023493405
44,2020-03-06,1,69.7298509840601,387.358411148293,True,45,12.841695571599256,717.0902023493405
45,2020-03-07,1,69.7298509840601,387.358411148293,True,46,15.102096874683971,717.0902023493405
46,2020-03-08,2,69.7298509840601,387.358411148293,True,47,17.751104853812038,717.0902023493405
47,2020-03-09,6,69.7298509840601,387.358411148293,True,48,20.852011306294354,717.0902023493405
48,2020-03-10,8,69.7298509840601,387.358411148293,True,49,24.47709313253137,717.0902023493405
49,2020-03-11,10,69.7298509840601,387.358411148293,True,50,28.70838887540746,717.0902023493405
50,2020-03-12,10,69.7298509840601,387.358411148293,True,51,33.6383424109627,717.0902023493405
51,2020-03-13,17,69.7298509840601,387.358411148293,True,52,39.37021441866987,717.0902023493405
52,2020-03-14,26,69.7298509840601,387.358411148293,True,53,46.01813118262037,717.0902023493405
53,2020-03-15,30,69.7298509840601,387.358411148293,True,54,53.70660606478206,717.0902023493405
54,2020-03-16,34,69.7298509840601,387.358411148293,True,55,62.5693348325614,717.0902023493405
55,2020-03-17,49,69.7298509840601,387.358411148293,True,56,72.74703753554775,717.0902023493405
56,2020-03-18,71,69.7298509840601,387.358411148293,True,57,84.38410554059004,717.0902023493405
57,2020-03-19,86,69.7298509840601,387.358411148293,True,58,97.62382483185029,717.0902023493405
58,2020-03-20,111,69.7298509840601,387.358411148293,True,59,112.60200093070083,717.0902023493405
59,2020-03-21,124,69.7298509840601,387.358411148293,True,60,129.43892302702983,717.0902023493405
60,2020-03-22,139,69.7298509840601,387.358411148293,True,61,148.22978841929432,717.0902023493405
61,2020-03-23,180,69.7298509840601,387.358411148293,True,62,169.03396699268154,717.0902023493405
62,2020-03-24,197,69.7298509840601,387.358411148293,True,63,191.8638053390381,717.0902023493405
63,2020-03-25,221,69.7298509840601,387.358411148293,True,64,216.6740116070777,717.0902023493405
64,2020-03-26,244,69.7298509840601,387.358411148293,True,65,243.35295624800975,717.0902023493405
65,2020-03-27,280,69.7298509840601,387.358411148293,True,66,271.71737806444077,717.0902023493405
66,2020-03-28,305,69.7298509840601,387.358411148293,True,67,301.51190329260237,717.0902023493405
67,2020-03-29,347,69.7298509840601,387.358411148293,True,68,332.41440098758443,717.0902023493405
68,2020-03-30,376,69.7298509840601,387.358411148293,True,69,364.0475104611762,717.0902023493405
69,2020-03-31,398,69.7298509840601,387.358411148293,True,70,395.99577763730287,717.0902023493405
70,2020-04-01,446,69.7298509840601,387.358411148293,True,71,427.8269060348209,717.0902023493405
71,2020-04-02,458,69.7298509840601,387.358411148293,True,72,459.11488808065843,717.0902023493405
72,2020-04-03,493,69.7298509840601,387.358411148293,True,73,489.4624300136069,717.0902023493405
73,2020-04-04,509,69.7298509840601,387.358411148293,True,74,518.5202170466532,717.0902023493405
74,2020-04-05,533,69.7298509840601,387.358411148293,True,75,546.0011471799006,717.0902023493405
