,Report_Date,Latvia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.7298509840601,387.358411148293,True,1,0.009137831921234086,717.0902023493405
1,2020-01-23,0,69.7298509840601,387.358411148293,True,2,0.010778232498347026,717.0902023493405
2,2020-01-24,0,69.7298509840601,387.358411148293,True,3,0.012713108823990536,717.0902023493405
3,2020-01-25,0,69.7298509840601,387.358411148293,True,4,0.014995321684786341,717.0902023493405
4,2020-01-26,0,69.7298509840601,387.358411148293,True,5,0.017687220067767243,717.0902023493405
5,2020-01-27,0,69.7298509840601,387.358411148293,True,6,0.02086234394712759,717.0902023493405
6,2020-01-28,0,69.7298509840601,387.358411148293,True,7,0.024607432545993953,717.0902023493405
7,2020-01-29,0,69.7298509840601,387.358411148293,True,8,0.029024792830239416,717.0902023493405
8,2020-01-30,0,69.7298509840601,387.358411148293,True,9,0.034235092789330894,717.0902023493405
9,2020-01-31,0,69.7298509840601,387.358411148293,True,10,0.040380655603576704,717.0902023493405
10,2020-02-01,0,69.7298509840601,387.358411148293,True,11,0.04762934439655186,717.0902023493405
11,2020-02-02,0,69.7298509840601,387.358411148293,True,12,0.056179143288034604,717.0902023493405
12,2020-02-03,0,69.7298509840601,387.358411148293,True,13,0.06626355932095095,717.0902023493405
13,2020-02-04,0,69.7298509840601,387.358411148293,True,14,0.07815799203255595,717.0902023493405
14,2020-02-05,0,69.7298509840601,387.358411148293,True,15,0.09218724355642494,717.0902023493405
15,2020-02-06,0,69.7298509840601,387.358411148293,True,16,0.10873437285598897,717.0902023493405
16,2020-02-07,0,69.7298509840601,387.358411148293,True,17,0.12825113379237083,717.0902023493405
17,2020-02-08,0,69.7298509840601,387.358411148293,True,18,0.1512702791372354,717.0902023493405
18,2020-02-09,0,69.7298509840601,387.358411148293,True,19,0.17842006241902109,717.0902023493405
19,2020-02-10,0,69.7298509840601,387.358411148293,True,20,0.2104413278663999,717.0902023493405
20,2020-02-11,0,69.7298509840601,387.358411148293,True,21,0.2482076470978487,717.0902023493405
21,2020-02-12,0,69.7298509840601,387.358411148293,True,22,0.2927490412147839,717.0902023493405
22,2020-02-13,0,69.7298509840601,387.358411148293,True,23,0.34527992042058103,717.0902023493405
23,2020-02-14,0,69.7298509840601,387.358411148293,True,24,0.40723198227241847,717.0902023493405
24,2020-02-15,0,69.7298509840601,387.358411148293,True,25,0.48029293647498955,717.0902023493405
25,2020-02-16,0,69.7298509840601,387.358411148293,True,26,0.5664520712665642,717.0902023493405
26,2020-02-17,0,69.7298509840601,387.358411148293,True,27,0.668053846642877,717.0902023493405
27,2020-02-18,0,69.7298509840601,387.358411148293,True,28,0.7878608957550142,717.0902023493405
28,2020-02-19,0,69.7298509840601,387.358411148293,True,29,0.9291280406607934,717.0902023493405
29,2020-02-20,0,69.7298509840601,387.358411148293,True,30,1.0956891848933838,717.0902023493405
30,2020-02-21,0,69.7298509840601,387.358411148293,True,31,1.2920592352709093,717.0902023493405
31,2020-02-22,0,69.7298509840601,387.358411148293,True,32,1.5235535303604555,717.0902023493405
32,2020-02-23,0,69.7298509840601,387.358411148293,True,33,1.7964276128754104,717.0902023493405
