,Report_Date,Armenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.33875588444727,642.0728326961151,True,1,0.015056652956082602,1265.964713938356
1,2020-01-23,0,72.33875588444727,642.0728326961151,True,2,0.017654149673529563,1265.964713938356
2,2020-01-24,0,72.33875588444727,642.0728326961151,True,3,0.02069974600897727,1265.964713938356
3,2020-01-25,0,72.33875588444727,642.0728326961151,True,4,0.024270741862095532,1265.964713938356
4,2020-01-26,0,72.33875588444727,642.0728326961151,True,5,0.028457770819068202,1265.964713938356
5,2020-01-27,0,72.33875588444727,642.0728326961151,True,6,0.03336709973903562,1265.964713938356
6,2020-01-28,0,72.33875588444727,642.0728326961151,True,7,0.039123324794845094,1265.964713938356
7,2020-01-29,0,72.33875588444727,642.0728326961151,True,8,0.04587253226437888,1265.964713938356
8,2020-01-30,0,72.33875588444727,642.0728326961151,True,9,0.05378600411394262,1265.964713938356
9,2020-01-31,0,72.33875588444727,642.0728326961151,True,10,0.06306456217277685,1265.964713938356
10,2020-02-01,0,72.33875588444727,642.0728326961151,True,11,0.0739436608096646,1265.964713938356
11,2020-02-02,0,72.33875588444727,642.0728326961151,True,12,0.08669935688786694,1265.964713938356
12,2020-02-03,0,72.33875588444727,642.0728326961151,True,13,0.10165530785840379,1265.964713938356
13,2020-02-04,0,72.33875588444727,642.0728326961151,True,14,0.11919097469576242,1265.964713938356
14,2020-02-05,0,72.33875588444727,642.0728326961151,True,15,0.13975123661463404,1265.964713938356
15,2020-02-06,0,72.33875588444727,642.0728326961151,True,16,0.16385765986319772,1265.964713938356
16,2020-02-07,0,72.33875588444727,642.0728326961151,True,17,0.19212170421650343,1265.964713938356
17,2020-02-08,0,72.33875588444727,642.0728326961151,True,18,0.22526019907469574,1265.964713938356
18,2020-02-09,0,72.33875588444727,642.0728326961151,True,19,0.2641134774387061,1265.964713938356
19,2020-02-10,0,72.33875588444727,642.0728326961151,True,20,0.3096666217950812,1265.964713938356
20,2020-02-11,0,72.33875588444727,642.0728326961151,True,21,0.3630743525875313,1265.964713938356
21,2020-02-12,0,72.33875588444727,642.0728326961151,True,22,0.4256901791930259,1265.964713938356
22,2020-02-13,0,72.33875588444727,642.0728326961151,True,23,0.49910053709332897,1265.964713938356
23,2020-02-14,0,72.33875588444727,642.0728326961151,True,24,0.5851647554246888,1265.964713938356
24,2020-02-15,0,72.33875588444727,642.0728326961151,True,25,0.6860618387429278,1265.964713938356
25,2020-02-16,0,72.33875588444727,642.0728326961151,True,26,0.8043452083609347,1265.964713938356
26,2020-02-17,0,72.33875588444727,642.0728326961151,True,27,0.9430067349465742,1265.964713938356
27,2020-02-18,0,72.33875588444727,642.0728326961151,True,28,1.1055516083611399,1265.964713938356
28,2020-02-19,0,72.33875588444727,642.0728326961151,True,29,1.296085836249865,1265.964713938356
29,2020-02-20,0,72.33875588444727,642.0728326961151,True,30,1.5194184429447286,1265.964713938356
30,2020-02-21,0,72.33875588444727,642.0728326961151,True,31,1.7811807578803733,1265.964713938356
31,2020-02-22,0,72.33875588444727,642.0728326961151,True,32,2.087965540516896,1265.964713938356
32,2020-02-23,0,72.33875588444727,642.0728326961151,True,33,2.4474890882969533,1265.964713938356
33,2020-02-24,0,72.33875588444727,642.0728326961151,True,34,2.8687799153912317,1265.964713938356
34,2020-02-25,0,72.33875588444727,642.0728326961151,True,35,3.3623980702787697,1265.964713938356
35,2020-02-26,0,72.33875588444727,642.0728326961151,True,36,3.9406896730387855,1265.964713938356
36,2020-02-27,0,72.33875588444727,642.0728326961151,True,37,4.618081786343449,1265.964713938356
37,2020-02-28,0,72.33875588444727,642.0728326961151,True,38,5.4114232670622275,1265.964713938356
38,2020-02-29,0,72.33875588444727,642.0728326961151,True,39,6.340377746068657,1265.964713938356
39,2020-03-01,1,72.33875588444727,642.0728326961151,True,40,7.427875304197296,1265.964713938356
40,2020-03-02,1,72.33875588444727,642.0728326961151,True,41,8.700629682382827,1265.964713938356
41,2020-03-03,1,72.33875588444727,642.0728326961151,True,42,10.189727884517584,1265.964713938356
42,2020-03-04,1,72.33875588444727,642.0728326961151,True,43,11.931298664405993,1265.964713938356
43,2020-03-05,1,72.33875588444727,642.0728326961151,True,44,13.967265445021825,1265.964713938356
44,2020-03-06,1,72.33875588444727,642.0728326961151,True,45,16.346187446966425,1265.964713938356
