,Report_Date,Taiwan*_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,87.38439161898768,967.4733436475224,False,1,0.7945355549800346,1934.9466872950445
1,2020-01-23,1,87.38439161898768,967.4733436475224,False,2,0.869556397028408,1934.9466872950445
2,2020-01-24,3,87.38439161898768,967.4733436475224,False,3,0.9516572967401843,1934.9466872950445
3,2020-01-25,3,87.38439161898768,967.4733436475224,False,4,1.0415057421522953,1934.9466872950445
4,2020-01-26,4,87.38439161898768,967.4733436475224,False,5,1.1398320139475866,1934.9466872950445
5,2020-01-27,5,87.38439161898768,967.4733436475224,False,6,1.2474350656079463,1934.9466872950445
6,2020-01-28,8,87.38439161898768,967.4733436475224,False,7,1.3651889488768112,1934.9466872950445
7,2020-01-29,8,87.38439161898768,967.4733436475224,False,8,1.4940498340441328,1934.9466872950445
8,2020-01-30,9,87.38439161898768,967.4733436475224,False,9,1.6350636788515642,1934.9466872950445
9,2020-01-31,10,87.38439161898768,967.4733436475224,False,10,1.7893746044282908,1934.9466872950445
10,2020-02-01,10,87.38439161898768,967.4733436475224,False,11,1.9582340416246908,1934.9466872950445
11,2020-02-02,10,87.38439161898768,967.4733436475224,False,12,2.14301071642659,1934.9466872950445
12,2020-02-03,10,87.38439161898768,967.4733436475224,False,13,2.3452015488199924,1934.9466872950445
13,2020-02-04,11,87.38439161898768,967.4733436475224,False,14,2.5664435455447645,1934.9466872950445
14,2020-02-05,11,87.38439161898768,967.4733436475224,False,15,2.808526773631798,1934.9466872950445
15,2020-02-06,16,87.38439161898768,967.4733436475224,False,16,3.073408508462675,1934.9466872950445
16,2020-02-07,16,87.38439161898768,967.4733436475224,False,17,3.363228657318022,1934.9466872950445
17,2020-02-08,17,87.38439161898768,967.4733436475224,False,18,3.6803265669764462,1934.9466872950445
18,2020-02-09,18,87.38439161898768,967.4733436475224,False,19,4.027259331865169,1934.9466872950445
19,2020-02-10,18,87.38439161898768,967.4733436475224,False,20,4.40682172750786,1934.9466872950445
20,2020-02-11,18,87.38439161898768,967.4733436475224,False,21,4.822067902509685,1934.9466872950445
21,2020-02-12,18,87.38439161898768,967.4733436475224,False,22,5.276334970988528,1934.9466872950445
22,2020-02-13,18,87.38439161898768,967.4733436475224,False,23,5.773268656104022,1934.9466872950445
23,2020-02-14,18,87.38439161898768,967.4733436475224,False,24,6.316851144021065,1934.9466872950445
24,2020-02-15,18,87.38439161898768,967.4733436475224,False,25,6.911431316103442,1934.9466872950445
25,2020-02-16,20,87.38439161898768,967.4733436475224,False,26,7.561757535153347,1934.9466872950445
26,2020-02-17,22,87.38439161898768,967.4733436475224,False,27,8.27301316882731,1934.9466872950445
27,2020-02-18,22,87.38439161898768,967.4733436475224,False,28,9.050855039638899,1934.9466872950445
28,2020-02-19,23,87.38439161898768,967.4733436475224,False,29,9.901454995798034,1934.9466872950445
29,2020-02-20,24,87.38439161898768,967.4733436475224,False,30,10.83154480004153,1934.9466872950445
30,2020-02-21,26,87.38439161898768,967.4733436475224,False,31,11.848464533981304,1934.9466872950445
31,2020-02-22,26,87.38439161898768,967.4733436475224,False,32,12.960214712614514,1934.9466872950445
32,2020-02-23,28,87.38439161898768,967.4733436475224,False,33,14.175512296642262,1934.9466872950445
33,2020-02-24,30,87.38439161898768,967.4733436475224,False,34,15.50385077810488,1934.9466872950445
34,2020-02-25,31,87.38439161898768,967.4733436475224,False,35,16.95556449635121,1934.9466872950445
35,2020-02-26,32,87.38439161898768,967.4733436475224,False,36,18.54189731509326,1934.9466872950445
36,2020-02-27,32,87.38439161898768,967.4733436475224,False,37,20.275075755594273,1934.9466872950445
37,2020-02-28,34,87.38439161898768,967.4733436475224,False,38,22.16838663397315,1934.9466872950445
38,2020-02-29,39,87.38439161898768,967.4733436475224,False,39,24.236259189963246,1934.9466872950445
39,2020-03-01,40,87.38439161898768,967.4733436475224,False,40,26.49435161771125,1934.9466872950445
40,2020-03-02,41,87.38439161898768,967.4733436475224,False,41,28.959641813479973,1934.9466872950445
41,2020-03-03,42,87.38439161898768,967.4733436475224,False,42,31.650522037227727,1934.9466872950445
42,2020-03-04,42,87.38439161898768,967.4733436475224,False,43,34.58689704143745,1934.9466872950445
43,2020-03-05,44,87.38439161898768,967.4733436475224,False,44,37.79028504740716,1934.9466872950445
44,2020-03-06,45,87.38439161898768,967.4733436475224,False,45,41.28392074236858,1934.9466872950445
45,2020-03-07,45,87.38439161898768,967.4733436475224,False,46,45.09285922596353,1934.9466872950445
46,2020-03-08,45,87.38439161898768,967.4733436475224,False,47,49.24407954741105,1934.9466872950445
47,2020-03-09,45,87.38439161898768,967.4733436475224,False,48,53.7665861408986,1934.9466872950445
48,2020-03-10,47,87.38439161898768,967.4733436475224,False,49,58.691506082472166,1934.9466872950445
49,2020-03-11,48,87.38439161898768,967.4733436475224,False,50,64.05217965385307,1934.9466872950445
50,2020-03-12,49,87.38439161898768,967.4733436475224,False,51,69.88424120524023,1934.9466872950445
51,2020-03-13,50,87.38439161898768,967.4733436475224,False,52,76.22568676009621,1934.9466872950445
52,2020-03-14,53,87.38439161898768,967.4733436475224,False,53,83.11692420249734,1934.9466872950445
53,2020-03-15,59,87.38439161898768,967.4733436475224,False,54,90.60080123756468,1934.9466872950445
54,2020-03-16,67,87.38439161898768,967.4733436475224,False,55,98.7226056279175,1934.9466872950445
55,2020-03-17,77,87.38439161898768,967.4733436475224,False,56,107.53003149976978,1934.9466872950445
56,2020-03-18,100,87.38439161898768,967.4733436475224,False,57,117.07310480391737,1934.9466872950445
57,2020-03-19,108,87.38439161898768,967.4733436475224,False,58,127.40406034050778,1934.9466872950445
58,2020-03-20,135,87.38439161898768,967.4733436475224,False,59,138.57716215291197,1934.9466872950445
59,2020-03-21,153,87.38439161898768,967.4733436475224,False,60,150.64845861697907,1934.9466872950445
60,2020-03-22,169,87.38439161898768,967.4733436475224,False,61,163.67546326102874,1934.9466872950445
61,2020-03-23,195,87.38439161898768,967.4733436475224,False,62,177.71675232482895,1934.9466872950445
62,2020-03-24,215,87.38439161898768,967.4733436475224,False,63,192.83147038972658,1934.9466872950445
63,2020-03-25,235,87.38439161898768,967.4733436475224,False,64,209.07873618377997,1934.9466872950445
64,2020-03-26,252,87.38439161898768,967.4733436475224,False,65,226.51694198784395,1934.9466872950445
65,2020-03-27,267,87.38439161898768,967.4733436475224,False,66,245.20294204380346,1934.9466872950445
66,2020-03-28,283,87.38439161898768,967.4733436475224,False,67,265.1911280890759,1934.9466872950445
67,2020-03-29,298,87.38439161898768,967.4733436475224,False,68,286.53239368741924,1934.9466872950445
68,2020-03-30,306,87.38439161898768,967.4733436475224,False,69,309.272993437408,1934.9466872950445
69,2020-03-31,322,87.38439161898768,967.4733436475224,False,70,333.4533084103124,1934.9466872950445
70,2020-04-01,329,87.38439161898768,967.4733436475224,False,71,359.106535226218,1934.9466872950445
