,Report_Date,UAE_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,90.3205726155973,7176.93763277058,False,1,0.16305138790101417,14353.87526554116
1,2020-01-23,0,90.3205726155973,7176.93763277058,False,2,0.1852175697965942,14353.87526554116
2,2020-01-24,0,90.3205726155973,7176.93763277058,False,3,0.21039711100228622,14353.87526554116
3,2020-01-25,0,90.3205726155973,7176.93763277058,False,4,0.23899964679373853,14353.87526554116
4,2020-01-26,0,90.3205726155973,7176.93763277058,False,5,0.27149049443445694,14353.87526554116
5,2020-01-27,0,90.3205726155973,7176.93763277058,False,6,0.3083982209829963,14353.87526554116
6,2020-01-28,0,90.3205726155973,7176.93763277058,False,7,0.35032323933608167,14353.87526554116
7,2020-01-29,4,90.3205726155973,7176.93763277058,False,8,0.397947572122609,14353.87526554116
8,2020-01-30,4,90.3205726155973,7176.93763277058,False,9,0.45204594199405396,14353.87526554116
9,2020-01-31,4,90.3205726155973,7176.93763277058,False,10,0.5134983683465221,14353.87526554116
10,2020-02-01,4,90.3205726155973,7176.93763277058,False,11,0.5833044749022207,14353.87526554116
11,2020-02-02,5,90.3205726155973,7176.93763277058,False,12,0.6625997402627487,14353.87526554116
12,2020-02-03,5,90.3205726155973,7176.93763277058,False,13,0.7526739549638667,14353.87526554116
13,2020-02-04,5,90.3205726155973,7176.93763277058,False,14,0.8549921842097582,14353.87526554116
14,2020-02-05,5,90.3205726155973,7176.93763277058,False,15,0.9712185759078421,14353.87526554116
15,2020-02-06,5,90.3205726155973,7176.93763277058,False,16,1.1032433994997877,14353.87526554116
16,2020-02-07,5,90.3205726155973,7176.93763277058,False,17,1.2532137531096161,14353.87526554116
17,2020-02-08,7,90.3205726155973,7176.93763277058,False,18,1.4235684355169251,14353.87526554116
18,2020-02-09,7,90.3205726155973,7176.93763277058,False,19,1.617077546326642,14353.87526554116
19,2020-02-10,8,90.3205726155973,7176.93763277058,False,20,1.8368874534756907,14353.87526554116
20,2020-02-11,8,90.3205726155973,7176.93763277058,False,21,2.0865718530487616,14353.87526554116
21,2020-02-12,8,90.3205726155973,7176.93763277058,False,22,2.370189743569269,14353.87526554116
22,2020-02-13,8,90.3205726155973,7176.93763277058,False,23,2.692351246943333,14353.87526554116
23,2020-02-14,8,90.3205726155973,7176.93763277058,False,24,3.0582923326924236,14353.87526554116
24,2020-02-15,8,90.3205726155973,7176.93763277058,False,25,3.4739596428306867,14353.87526554116
25,2020-02-16,9,90.3205726155973,7176.93763277058,False,26,3.9461067737465263,14353.87526554116
26,2020-02-17,9,90.3205726155973,7176.93763277058,False,27,4.482403550975819,14353.87526554116
27,2020-02-18,9,90.3205726155973,7176.93763277058,False,28,5.091560035280753,14353.87526554116
28,2020-02-19,9,90.3205726155973,7176.93763277058,False,29,5.783467226694495,14353.87526554116
29,2020-02-20,9,90.3205726155973,7176.93763277058,False,30,6.569356690131406,14353.87526554116
30,2020-02-21,9,90.3205726155973,7176.93763277058,False,31,7.461981615023228,14353.87526554116
31,2020-02-22,13,90.3205726155973,7176.93763277058,False,32,8.475822145697691,14353.87526554116
32,2020-02-23,13,90.3205726155973,7176.93763277058,False,33,9.627318182566334,14353.87526554116
33,2020-02-24,13,90.3205726155973,7176.93763277058,False,34,10.935133260516627,14353.87526554116
34,2020-02-25,13,90.3205726155973,7176.93763277058,False,35,12.420453564214833,14353.87526554116
35,2020-02-26,13,90.3205726155973,7176.93763277058,False,36,14.107326644347935,14353.87526554116
36,2020-02-27,13,90.3205726155973,7176.93763277058,False,37,16.023044958071665,14353.87526554116
37,2020-02-28,19,90.3205726155973,7176.93763277058,False,38,18.198579974673248,14353.87526554116
38,2020-02-29,21,90.3205726155973,7176.93763277058,False,39,20.669073266681785,14353.87526554116
39,2020-03-01,21,90.3205726155973,7176.93763277058,False,40,23.47439174936649,14353.87526554116
40,2020-03-02,21,90.3205726155973,7176.93763277058,False,41,26.65975503825363,14353.87526554116
