,Report_Date,UAE_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
41,2020-03-03,27,90.3205726155973,7176.93763277058,False,42,30.27644376329242,14353.87526554116
42,2020-03-04,27,90.3205726155973,7176.93763277058,False,43,34.38259860486298,14353.87526554116
43,2020-03-05,29,90.3205726155973,7176.93763277058,False,44,39.04412079196017,14353.87526554116
44,2020-03-06,29,90.3205726155973,7176.93763277058,False,45,44.33568581187355,14353.87526554116
45,2020-03-07,45,90.3205726155973,7176.93763277058,False,46,50.341883101105864,14353.87526554116
46,2020-03-08,45,90.3205726155973,7176.93763277058,False,47,57.15849548657579,14353.87526554116
47,2020-03-09,45,90.3205726155973,7176.93763277058,False,48,64.89393307854066,14353.87526554116
48,2020-03-10,74,90.3205726155973,7176.93763277058,False,49,73.67083711924413,14353.87526554116
49,2020-03-11,74,90.3205726155973,7176.93763277058,False,50,83.62786987921905,14353.87526554116
50,2020-03-12,85,90.3205726155973,7176.93763277058,False,51,94.92170695388384,14353.87526554116
51,2020-03-13,85,90.3205726155973,7176.93763277058,False,52,107.72924809916378,14353.87526554116
52,2020-03-14,85,90.3205726155973,7176.93763277058,False,53,122.25006186577004,14353.87526554116
53,2020-03-15,98,90.3205726155973,7176.93763277058,False,54,138.70907750404913,14353.87526554116
54,2020-03-16,98,90.3205726155973,7176.93763277058,False,55,157.3595346077054,14353.87526554116
55,2020-03-17,98,90.3205726155973,7176.93763277058,False,56,178.48619636229955,14353.87526554116
56,2020-03-18,113,90.3205726155973,7176.93763277058,False,57,202.40882559249215,14353.87526554116
57,2020-03-19,140,90.3205726155973,7176.93763277058,False,58,229.48591349071063,14353.87526554116
58,2020-03-20,140,90.3205726155973,7176.93763277058,False,59,260.11863828183664,14353.87526554116
59,2020-03-21,153,90.3205726155973,7176.93763277058,False,60,294.75501434567434,14353.87526554116
60,2020-03-22,153,90.3205726155973,7176.93763277058,False,61,333.8941705899103,14353.87526554116
61,2020-03-23,198,90.3205726155973,7176.93763277058,False,62,378.09066916906306,14353.87526554116
62,2020-03-24,248,90.3205726155973,7176.93763277058,False,63,427.9587409741905,14353.87526554116
63,2020-03-25,333,90.3205726155973,7176.93763277058,False,64,484.17627171729254,14353.87526554116
64,2020-03-26,333,90.3205726155973,7176.93763277058,False,65,547.4883211260309,14353.87526554116
65,2020-03-27,405,90.3205726155973,7176.93763277058,False,66,618.7098973445407,14353.87526554116
66,2020-03-28,468,90.3205726155973,7176.93763277058,False,67,698.7276393487119,14353.87526554116
67,2020-03-29,570,90.3205726155973,7176.93763277058,False,68,788.499983290229,14353.87526554116
68,2020-03-30,611,90.3205726155973,7176.93763277058,False,69,889.0553069319005,14353.87526554116
69,2020-03-31,664,90.3205726155973,7176.93763277058,False,70,1001.4874645298505,14353.87526554116
70,2020-04-01,814,90.3205726155973,7176.93763277058,False,71,1126.9480501381393,14353.87526554116
71,2020-04-02,1024,90.3205726155973,7176.93763277058,False,72,1266.6346711308984,14353.87526554116
72,2020-04-03,1264,90.3205726155973,7176.93763277058,False,73,1421.7744902817553,14353.87526554116
73,2020-04-04,1505,90.3205726155973,7176.93763277058,False,74,1593.602322395352,14353.87526554116
74,2020-04-05,1799,90.3205726155973,7176.93763277058,False,75,1783.332671958643,14353.87526554116
75,2020-04-06,2076,90.3205726155973,7176.93763277058,False,76,1992.1252950686485,14353.87526554116
76,2020-04-07,2359,90.3205726155973,7176.93763277058,False,77,2221.0441843922918,14353.87526554116
77,2020-04-08,2659,90.3205726155973,7176.93763277058,False,78,2471.0103268804437,14353.87526554116
78,2020-04-09,2990,90.3205726155973,7176.93763277058,False,79,2742.7491753206036,14353.87526554116
79,2020-04-10,3360,90.3205726155973,7176.93763277058,False,80,3036.7344922694356,14353.87526554116
