,Report_Date,Canada_british columbia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.30447466869873,753.783651525235,True,1,0.017934168053246873,1487.1465472006346
1,2020-01-23,0,66.30447466869873,753.783651525235,True,2,0.02133486735921703,1487.1465472006346
2,2020-01-24,0,66.30447466869873,753.783651525235,True,3,0.02538040065115389,1487.1465472006346
3,2020-01-25,0,66.30447466869873,753.783651525235,True,4,0.03019303558738952,1487.1465472006346
4,2020-01-26,0,66.30447466869873,753.783651525235,True,5,0.035918221255595406,1487.1465472006346
5,2020-01-27,0,66.30447466869873,753.783651525235,True,6,0.042728982496423276,1487.1465472006346
6,2020-01-28,1,66.30447466869873,753.783651525235,True,7,0.05083114690235415,1487.1465472006346
7,2020-01-29,1,66.30447466869873,753.783651525235,True,8,0.06046956214043938,1487.1465472006346
8,2020-01-30,1,66.30447466869873,753.783651525235,True,9,0.07193549103928276,1487.1465472006346
9,2020-01-31,1,66.30447466869873,753.783651525235,True,10,0.08557540727903892,1487.1465472006346
10,2020-02-01,1,66.30447466869873,753.783651525235,True,11,0.10180145657395774,1487.1465472006346
11,2020-02-02,1,66.30447466869873,753.783651525235,True,12,0.12110389817661656,1487.1465472006346
12,2020-02-03,1,66.30447466869873,753.783651525235,True,13,0.14406590082213164,1487.1465472006346
13,2020-02-04,1,66.30447466869873,753.783651525235,True,14,0.17138113759239068,1487.1465472006346
14,2020-02-05,2,66.30447466869873,753.783651525235,True,15,0.20387470764385596,1487.1465472006346
15,2020-02-06,2,66.30447466869873,753.783651525235,True,16,0.24252801169251242,1487.1465472006346
16,2020-02-07,4,66.30447466869873,753.783651525235,True,17,0.2885083253818171,1487.1465472006346
17,2020-02-08,4,66.30447466869873,753.783651525235,True,18,0.34320395344168775,1487.1465472006346
18,2020-02-09,4,66.30447466869873,753.783651525235,True,19,0.40826601168365556,1487.1465472006346
19,2020-02-10,4,66.30447466869873,753.783651525235,True,20,0.4856580777796952,1487.1465472006346
20,2020-02-11,4,66.30447466869873,753.783651525235,True,21,0.5777151805228199,1487.1465472006346
21,2020-02-12,4,66.30447466869873,753.783651525235,True,22,0.6872138666818718,1487.1465472006346
22,2020-02-13,4,66.30447466869873,753.783651525235,True,23,0.817455401233794,1487.1465472006346
23,2020-02-14,4,66.30447466869873,753.783651525235,True,24,0.9723645280682484,1487.1465472006346
24,2020-02-15,4,66.30447466869873,753.783651525235,True,25,1.156606652350966,1487.1465472006346
25,2020-02-16,4,66.30447466869873,753.783651525235,True,26,1.3757268113796222,1487.1465472006346
26,2020-02-17,5,66.30447466869873,753.783651525235,True,27,1.636314387136947,1487.1465472006346
27,2020-02-18,5,66.30447466869873,753.783651525235,True,28,1.9461981899635277,1487.1465472006346
28,2020-02-19,5,66.30447466869873,753.783651525235,True,29,2.314677317198231,1487.1465472006346
29,2020-02-20,5,66.30447466869873,753.783651525235,True,30,2.7527940697363893,1487.1465472006346
30,2020-02-21,6,66.30447466869873,753.783651525235,True,31,3.2736561960948003,1487.1465472006346
