,Report_Date,Singapore_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,128.64097941794563,86332.68755618072,False,1,1.8882885957048774,172665.3751123616
1,2020-01-23,1,128.64097941794563,86332.68755618072,False,2,2.06507480851293,172665.3751123616
2,2020-01-24,3,128.64097941794563,86332.68755618072,False,3,2.2584119639686655,172665.3751123616
3,2020-01-25,3,128.64097941794563,86332.68755618072,False,4,2.469849539243011,172665.3751123616
4,2020-01-26,4,128.64097941794563,86332.68755618072,False,5,2.701082063175223,172665.3751123616
5,2020-01-27,5,128.64097941794563,86332.68755618072,False,6,2.953962693407681,172665.3751123616
6,2020-01-28,7,128.64097941794563,86332.68755618072,False,7,3.230518064048897,172665.3751123616
7,2020-01-29,7,128.64097941794563,86332.68755618072,False,8,3.5329645226962425,172665.3751123616
8,2020-01-30,10,128.64097941794563,86332.68755618072,False,9,3.8637258867518645,172665.3751123616
9,2020-01-31,13,128.64097941794563,86332.68755618072,False,10,4.22545286110195,172665.3751123616
10,2020-02-01,16,128.64097941794563,86332.68755618072,False,11,4.621044272497065,172665.3751123616
11,2020-02-02,18,128.64097941794563,86332.68755618072,False,12,5.053670290474343,172665.3751123616
12,2020-02-03,18,128.64097941794563,86332.68755618072,False,13,5.526797820515353,172665.3751123616
13,2020-02-04,24,128.64097941794563,86332.68755618072,False,14,6.044218272461323,172665.3751123616
14,2020-02-05,28,128.64097941794563,86332.68755618072,False,15,6.61007792614626,172665.3751123616
15,2020-02-06,28,128.64097941794563,86332.68755618072,False,16,7.228911136907059,172665.3751123616
16,2020-02-07,30,128.64097941794563,86332.68755618072,False,17,7.905676646249992,172665.3751123616
17,2020-02-08,33,128.64097941794563,86332.68755618072,False,18,8.645797287671794,172665.3751123616
18,2020-02-09,40,128.64097941794563,86332.68755618072,False,19,9.45520340464365,172665.3751123616
19,2020-02-10,45,128.64097941794563,86332.68755618072,False,20,10.340380327277744,172665.3751123616
20,2020-02-11,47,128.64097941794563,86332.68755618072,False,21,11.308420286437302,172665.3751123616
21,2020-02-12,50,128.64097941794563,86332.68755618072,False,22,12.367079179271661,172665.3751123616
22,2020-02-13,58,128.64097941794563,86332.68755618072,False,23,13.524838638628747,172665.3751123616
23,2020-02-14,67,128.64097941794563,86332.68755618072,False,24,14.790973900813825,172665.3751123616
24,2020-02-15,72,128.64097941794563,86332.68755618072,False,25,16.175628012046126,172665.3751123616
25,2020-02-16,75,128.64097941794563,86332.68755618072,False,26,17.689892964063038,172665.3751123616
26,2020-02-17,77,128.64097941794563,86332.68755618072,False,27,19.345898404013763,172665.3751123616
27,2020-02-18,81,128.64097941794563,86332.68755618072,False,28,21.156908623481897,172665.3751123616
28,2020-02-19,84,128.64097941794563,86332.68755618072,False,29,23.137428596625735,172665.3751123616
29,2020-02-20,84,128.64097941794563,86332.68755618072,False,30,25.30331990850913,172665.3751123616
30,2020-02-21,85,128.64097941794563,86332.68755618072,False,31,27.671927492238776,172665.3751123616
31,2020-02-22,85,128.64097941794563,86332.68755618072,False,32,30.262218178091643,172665.3751123616
32,2020-02-23,89,128.64097941794563,86332.68755618072,False,33,33.094932150020384,172665.3751123616
33,2020-02-24,89,128.64097941794563,86332.68755618072,False,34,36.192748505426096,172665.3751123616
34,2020-02-25,91,128.64097941794563,86332.68755618072,False,35,39.58046622359692,172665.3751123616
35,2020-02-26,93,128.64097941794563,86332.68755618072,False,36,43.285201967493464,172665.3751123616
36,2020-02-27,93,128.64097941794563,86332.68755618072,False,37,47.33660627343912,172665.3751123616
37,2020-02-28,93,128.64097941794563,86332.68755618072,False,38,51.76709982462509,172665.3751123616
38,2020-02-29,102,128.64097941794563,86332.68755618072,False,39,56.61213165810743,172665.3751123616
39,2020-03-01,106,128.64097941794563,86332.68755618072,False,40,61.9104613221602,172665.3751123616
40,2020-03-02,108,128.64097941794563,86332.68755618072,False,41,67.70446718251938,172665.3751123616
41,2020-03-03,110,128.64097941794563,86332.68755618072,False,42,74.0404832733378,172665.3751123616
42,2020-03-04,110,128.64097941794563,86332.68755618072,False,43,80.96916730276119,172665.3751123616
43,2020-03-05,117,128.64097941794563,86332.68755618072,False,44,88.54590265517915,172665.3751123616
44,2020-03-06,130,128.64097941794563,86332.68755618072,False,45,96.83123748370956,172665.3751123616
45,2020-03-07,138,128.64097941794563,86332.68755618072,False,46,105.89136425868689,172665.3751123616
46,2020-03-08,150,128.64097941794563,86332.68755618072,False,47,115.7986434322434,172665.3751123616
47,2020-03-09,150,128.64097941794563,86332.68755618072,False,48,126.63217519690001,172665.3751123616
48,2020-03-10,160,128.64097941794563,86332.68755618072,False,49,138.478423658855,172665.3751123616
49,2020-03-11,178,128.64097941794563,86332.68755618072,False,50,151.431898115768,172665.3751123616
50,2020-03-12,178,128.64097941794563,86332.68755618072,False,51,165.5958965256508,172665.3751123616
51,2020-03-13,200,128.64097941794563,86332.68755618072,False,52,181.0833166792672,172665.3751123616
52,2020-03-14,212,128.64097941794563,86332.68755618072,False,53,198.0175410443584,172665.3751123616
53,2020-03-15,226,128.64097941794563,86332.68755618072,False,54,216.53340173699965,172665.3751123616
54,2020-03-16,243,128.64097941794563,86332.68755618072,False,55,236.77823259415942,172665.3751123616
55,2020-03-17,266,128.64097941794563,86332.68755618072,False,56,258.9130158723967,172665.3751123616
56,2020-03-18,313,128.64097941794563,86332.68755618072,False,57,283.1136316804978,172665.3751123616
57,2020-03-19,345,128.64097941794563,86332.68755618072,False,58,309.5722188679809,172665.3751123616
58,2020-03-20,385,128.64097941794563,86332.68755618072,False,59,338.49865673532906,172665.3751123616
59,2020-03-21,432,128.64097941794563,86332.68755618072,False,60,370.1221776031243,172665.3751123616
60,2020-03-22,455,128.64097941794563,86332.68755618072,False,61,404.69312097233484,172665.3751123616
61,2020-03-23,509,128.64097941794563,86332.68755618072,False,62,442.48484072181344,172665.3751123616
62,2020-03-24,558,128.64097941794563,86332.68755618072,False,63,483.795777514703,172665.3751123616
63,2020-03-25,631,128.64097941794563,86332.68755618072,False,64,528.9517093139206,172665.3751123616
64,2020-03-26,683,128.64097941794563,86332.68755618072,False,65,578.3081936264794,172665.3751123616
65,2020-03-27,732,128.64097941794563,86332.68755618072,False,66,632.2532157922415,172665.3751123616
66,2020-03-28,802,128.64097941794563,86332.68755618072,False,67,691.2100582860685,172665.3751123616
67,2020-03-29,844,128.64097941794563,86332.68755618072,False,68,755.6404065899429,172665.3751123616
68,2020-03-30,879,128.64097941794563,86332.68755618072,False,69,826.0477076847776,172665.3751123616
69,2020-03-31,926,128.64097941794563,86332.68755618072,False,70,902.9807975751236,172665.3751123616
70,2020-04-01,1000,128.64097941794563,86332.68755618072,False,71,987.0378144511784,172665.3751123616
71,2020-04-02,1049,128.64097941794563,86332.68755618072,False,72,1078.8704140597333,172665.3751123616
72,2020-04-03,1114,128.64097941794563,86332.68755618072,False,73,1179.1883035372198,172665.3751123616
73,2020-04-04,1189,128.64097941794563,86332.68755618072,False,74,1288.7641092799604,172665.3751123616
74,2020-04-05,1309,128.64097941794563,86332.68755618072,False,75,1408.4385933016385,172665.3751123616
75,2020-04-06,1375,128.64097941794563,86332.68755618072,False,76,1539.1262308527964,172665.3751123616
76,2020-04-07,1481,128.64097941794563,86332.68755618072,False,77,1681.8211597309898,172665.3751123616
77,2020-04-08,1623,128.64097941794563,86332.68755618072,False,78,1837.6035085525746,172665.3751123616
78,2020-04-09,1910,128.64097941794563,86332.68755618072,False,79,2007.6461071252586,172665.3751123616
79,2020-04-10,2108,128.64097941794563,86332.68755618072,False,80,2193.2215767681755,172665.3751123616
80,2020-04-11,2299,128.64097941794563,86332.68755618072,False,81,2395.7097917608403,172665.3751123616
81,2020-04-12,2532,128.64097941794563,86332.68755618072,False,82,2616.605694824606,172665.3751123616
82,2020-04-13,2918,128.64097941794563,86332.68755618072,False,83,2857.5274393830127,172665.3751123616
83,2020-04-14,3252,128.64097941794563,86332.68755618072,False,84,3120.224819016278,172665.3751123616
84,2020-04-15,3699,128.64097941794563,86332.68755618072,False,85,3406.587929700751,172665.3751123616
