,Report_Date,Morocco_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.48563572146827,1387.7907942157437,False,1,0.03208151039791952,2775.5815884314875
1,2020-01-23,0,79.48563572146827,1387.7907942157437,False,2,0.03708159909263729,2775.5815884314875
2,2020-01-24,0,79.48563572146827,1387.7907942157437,False,3,0.04286096845627786,2775.5815884314875
3,2020-01-25,0,79.48563572146827,1387.7907942157437,False,4,0.04954106796310961,2775.5815884314875
4,2020-01-26,0,79.48563572146827,1387.7907942157437,False,5,0.05726227340837525,2775.5815884314875
5,2020-01-27,0,79.48563572146827,1387.7907942157437,False,6,0.0661868358727689,2775.5815884314875
6,2020-01-28,0,79.48563572146827,1387.7907942157437,False,7,0.07650229002016307,2775.5815884314875
7,2020-01-29,0,79.48563572146827,1387.7907942157437,False,8,0.08842539322318846,2775.5815884314875
8,2020-01-30,0,79.48563572146827,1387.7907942157437,False,9,0.10220667812198511,2775.5815884314875
9,2020-01-31,0,79.48563572146827,1387.7907942157437,False,10,0.1181357140530112,2775.5815884314875
10,2020-02-01,0,79.48563572146827,1387.7907942157437,False,11,0.13654718760178342,2775.5815884314875
11,2020-02-02,0,79.48563572146827,1387.7907942157437,False,12,0.15782792964040987,2775.5815884314875
12,2020-02-03,0,79.48563572146827,1387.7907942157437,False,13,0.1824250359581871,2775.5815884314875
13,2020-02-04,0,79.48563572146827,1387.7907942157437,False,14,0.21085525138422664,2775.5815884314875
14,2020-02-05,0,79.48563572146827,1387.7907942157437,False,15,0.243715813597788,2775.5815884314875
15,2020-02-06,0,79.48563572146827,1387.7907942157437,False,16,0.2816969831557132,2775.5815884314875
16,2020-02-07,0,79.48563572146827,1387.7907942157437,False,17,0.3255965212456242,2775.5815884314875
17,2020-02-08,0,79.48563572146827,1387.7907942157437,False,18,0.3763364169948566,2775.5815884314875
18,2020-02-09,0,79.48563572146827,1387.7907942157437,False,19,0.4349822126242499,2775.5815884314875
19,2020-02-10,0,79.48563572146827,1387.7907942157437,False,20,0.5027653282404416,2775.5815884314875
20,2020-02-11,0,79.48563572146827,1387.7907942157437,False,21,0.5811088496427358,2775.5815884314875
21,2020-02-12,0,79.48563572146827,1387.7907942157437,False,22,0.6716573133525094,2775.5815884314875
22,2020-02-13,0,79.48563572146827,1387.7907942157437,False,23,0.7763111044794279,2775.5815884314875
23,2020-02-14,0,79.48563572146827,1387.7907942157437,False,24,0.8972661765119655,2775.5815884314875
24,2020-02-15,0,79.48563572146827,1387.7907942157437,False,25,1.0370599093331527,2775.5815884314875
25,2020-02-16,0,79.48563572146827,1387.7907942157437,False,26,1.198624044581074,2775.5815884314875
26,2020-02-17,0,79.48563572146827,1387.7907942157437,False,27,1.3853457779611105,2775.5815884314875
27,2020-02-18,0,79.48563572146827,1387.7907942157437,False,28,1.6011382485363397,2775.5815884314875
28,2020-02-19,0,79.48563572146827,1387.7907942157437,False,29,1.850521847827012,2775.5815884314875
29,2020-02-20,0,79.48563572146827,1387.7907942157437,False,30,2.1387179793591433,2775.5815884314875
30,2020-02-21,0,79.48563572146827,1387.7907942157437,False,31,2.471757134857209,2775.5815884314875
31,2020-02-22,0,79.48563572146827,1387.7907942157437,False,32,2.856603419365217,2775.5815884314875
32,2020-02-23,0,79.48563572146827,1387.7907942157437,False,33,3.3012979569239524,2775.5815884314875
33,2020-02-24,0,79.48563572146827,1387.7907942157437,False,34,3.815123943509121,2775.5815884314875
34,2020-02-25,0,79.48563572146827,1387.7907942157437,False,35,4.408796486732698,2775.5815884314875
35,2020-02-26,0,79.48563572146827,1387.7907942157437,False,36,5.094680783469377,2775.5815884314875
36,2020-02-27,0,79.48563572146827,1387.7907942157437,False,37,5.8870426368916124,2775.5815884314875
37,2020-02-28,0,79.48563572146827,1387.7907942157437,False,38,6.802335801157805,2775.5815884314875
38,2020-02-29,0,79.48563572146827,1387.7907942157437,False,39,7.859531160030892,2775.5815884314875
39,2020-03-01,0,79.48563572146827,1387.7907942157437,False,40,9.080493285650883,2775.5815884314875
40,2020-03-02,1,79.48563572146827,1387.7907942157437,False,41,10.490410470349355,2775.5815884314875
41,2020-03-03,1,79.48563572146827,1387.7907942157437,False,42,12.118284854568133,2775.5815884314875
42,2020-03-04,1,79.48563572146827,1387.7907942157437,False,43,13.997489753587756,2775.5815884314875
43,2020-03-05,2,79.48563572146827,1387.7907942157437,False,44,16.166401666376792,2775.5815884314875
44,2020-03-06,2,79.48563572146827,1387.7907942157437,False,45,18.66911466387387,2775.5815884314875
45,2020-03-07,2,79.48563572146827,1387.7907942157437,False,46,21.556244809040923,2775.5815884314875
46,2020-03-08,2,79.48563572146827,1387.7907942157437,False,47,24.885831832904593,2775.5815884314875
47,2020-03-09,2,79.48563572146827,1387.7907942157437,False,48,28.72434431518715,2775.5815884314875
48,2020-03-10,3,79.48563572146827,1387.7907942157437,False,49,33.147792880895366,2775.5815884314875
49,2020-03-11,5,79.48563572146827,1387.7907942157437,False,50,38.24295315092285,2775.5815884314875
50,2020-03-12,6,79.48563572146827,1387.7907942157437,False,51,44.10869602984961,2775.5815884314875
51,2020-03-13,7,79.48563572146827,1387.7907942157437,False,52,50.85741695182905,2775.5815884314875
52,2020-03-14,17,79.48563572146827,1387.7907942157437,False,53,58.61654742396054,2775.5815884314875
53,2020-03-15,28,79.48563572146827,1387.7907942157437,False,54,67.53012101052569,2775.5815884314875
54,2020-03-16,29,79.48563572146827,1387.7907942157437,False,55,77.76035112827726,2775.5815884314875
