,Report_Date,Belize_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,90.38618233412075,22.255297576713552,False,1,0.002021880330186425,0.06662151887622741
1,2020-01-23,0,90.38618233412075,22.255297576713552,False,2,0.0022611873761618786,0.06662151887622741
2,2020-01-24,0,90.38618233412075,22.255297576713552,False,3,0.00252881687408704,0.06662151887622741
3,2020-01-25,0,90.38618233412075,22.255297576713552,False,4,0.0028281204374741775,0.06662151887622741
4,2020-01-26,0,90.38618233412075,22.255297576713552,False,5,0.0031628462008733496,0.06662151887622741
5,2020-01-27,0,90.38618233412075,22.255297576713552,False,6,0.0035371857059248663,0.06662151887622741
6,2020-01-28,0,90.38618233412075,22.255297576713552,False,7,0.0039558263250252645,0.06662151887622741
7,2020-01-29,0,90.38618233412075,22.255297576713552,False,8,0.004424009875047744,0.06662151887622741
8,2020-01-30,0,90.38618233412075,22.255297576713552,False,9,0.004947598150028281,0.06662151887622741
9,2020-01-31,0,90.38618233412075,22.255297576713552,False,10,0.00553314618706092,0.06662151887622741
10,2020-02-01,0,90.38618233412075,22.255297576713552,False,11,0.006187984174842014,0.06662151887622741
11,2020-02-02,0,90.38618233412075,22.255297576713552,False,12,0.006920309020471343,0.06662151887622741
12,2020-02-03,0,90.38618233412075,22.255297576713552,False,13,0.0077392867084834375,0.06662151887622741
13,2020-02-04,0,90.38618233412075,22.255297576713552,False,14,0.008655166717995792,0.06662151887622741
14,2020-02-05,0,90.38618233412075,22.255297576713552,False,15,0.009679409910810649,0.06662151887622741
15,2020-02-06,0,90.38618233412075,22.255297576713552,False,16,0.010824831466929008,0.06662151887622741
16,2020-02-07,0,90.38618233412075,22.255297576713552,False,17,0.012105760626022692,0.06662151887622741
17,2020-02-08,0,90.38618233412075,22.255297576713552,False,18,0.013538219195923695,0.06662151887622741
18,2020-02-09,0,90.38618233412075,22.255297576713552,False,19,0.01514012101426591,0.06662151887622741
19,2020-02-10,0,90.38618233412075,22.255297576713552,False,20,0.016931494799373316,0.06662151887622741
20,2020-02-11,0,90.38618233412075,22.255297576713552,False,21,0.01893473310383746,0.06662151887622741
21,2020-02-12,0,90.38618233412075,22.255297576713552,False,22,0.021174870391662614,0.06662151887622741
22,2020-02-13,0,90.38618233412075,22.255297576713552,False,23,0.023679893600257487,0.06662151887622741
23,2020-02-14,0,90.38618233412075,22.255297576713552,False,24,0.026481088924971256,0.06662151887622741
24,2020-02-15,0,90.38618233412075,22.255297576713552,False,25,0.029613428979512437,0.06662151887622741
25,2020-02-16,0,90.38618233412075,22.255297576713552,False,26,0.03311600494377256,0.06662151887622741
26,2020-02-17,0,90.38618233412075,22.255297576713552,False,27,0.0370325088146957,0.06662151887622741
27,2020-02-18,0,90.38618233412075,22.255297576713552,False,28,0.04141177142927684,0.06662151887622741
28,2020-02-19,0,90.38618233412075,22.255297576713552,False,29,0.046308362534826716,0.06662151887622741
29,2020-02-20,0,90.38618233412075,22.255297576713552,False,30,0.051783259843368165,0.06662151887622741
30,2020-02-21,0,90.38618233412075,22.255297576713552,False,31,0.05790459472707637,0.06662151887622741
31,2020-02-22,0,90.38618233412075,22.255297576713552,False,32,0.0647484829920575,0.06662151887622741
32,2020-02-23,0,90.38618233412075,22.255297576713552,False,33,0.07239995000954817,0.06662151887622741
33,2020-02-24,0,90.38618233412075,22.255297576713552,False,34,0.08095396038655785,0.06662151887622741
34,2020-02-25,0,90.38618233412075,22.255297576713552,False,35,0.0905165633199924,0.06662151887622741
35,2020-02-26,0,90.38618233412075,22.255297576713552,False,36,0.10120616579486592,0.06662151887622741
36,2020-02-27,0,90.38618233412075,22.255297576713552,False,37,0.11315494685056376,0.06662151887622741
37,2020-02-28,0,90.38618233412075,22.255297576713552,False,38,0.1265104272372741,0.06662151887622741
38,2020-02-29,0,90.38618233412075,22.255297576713552,False,39,0.14143720990019315,0.06662151887622741
39,2020-03-01,0,90.38618233412075,22.255297576713552,False,40,0.15811890783750787,0.06662151887622741
40,2020-03-02,0,90.38618233412075,22.255297576713552,False,41,0.17676027694615695,0.06662151887622741
41,2020-03-03,0,90.38618233412075,22.255297576713552,False,42,0.1975895724525519,0.06662151887622741
42,2020-03-04,0,90.38618233412075,22.255297576713552,False,43,0.22086114836546544,0.06662151887622741
43,2020-03-05,0,90.38618233412075,22.255297576713552,False,44,0.2468583200096203,0.06662151887622741
44,2020-03-06,0,90.38618233412075,22.255297576713552,False,45,0.27589651000442894,0.06662151887622741
45,2020-03-07,0,90.38618233412075,22.255297576713552,False,46,0.3083266979203184,0.06662151887622741
46,2020-03-08,0,90.38618233412075,22.255297576713552,False,47,0.34453919312143116,0.06662151887622741
47,2020-03-09,0,90.38618233412075,22.255297576713552,False,48,0.38496774879713264,0.06662151887622741
48,2020-03-10,0,90.38618233412075,22.255297576713552,False,49,0.4300940326603855,0.06662151887622741
49,2020-03-11,0,90.38618233412075,22.255297576713552,False,50,0.48045246596158253,0.06662151887622741
50,2020-03-12,0,90.38618233412075,22.255297576713552,False,51,0.5366354369851124,0.06662151887622741
51,2020-03-13,0,90.38618233412075,22.255297576713552,False,52,0.5992988876485036,0.06662151887622741
52,2020-03-14,0,90.38618233412075,22.255297576713552,False,53,0.6691682617214734,0.06662151887622741
53,2020-03-15,0,90.38618233412075,22.255297576713552,False,54,0.7470447899555638,0.06662151887622741
54,2020-03-16,0,90.38618233412075,22.255297576713552,False,55,0.8338120704128977,0.06662151887622741
55,2020-03-17,0,90.38618233412075,22.255297576713552,False,56,0.9304428807744933,0.06662151887622741
56,2020-03-18,0,90.38618233412075,22.255297576713552,False,57,1.0380061325961794,0.06662151887622741
57,2020-03-19,0,90.38618233412075,22.255297576713552,False,58,1.157673844520725,0.06662151887622741
58,2020-03-20,0,90.38618233412075,22.255297576713552,False,59,1.2907279715012345,0.06662151887622741
59,2020-03-21,0,90.38618233412075,22.255297576713552,False,60,1.4385668793548805,0.06662151887622741
60,2020-03-22,0,90.38618233412075,22.255297576713552,False,61,1.6027111978113469,0.06662151887622741
61,2020-03-23,1,90.38618233412075,22.255297576713552,False,62,1.7848087202937386,0.06662151887622741
62,2020-03-24,1,90.38618233412075,22.255297576713552,False,63,1.9866379450791833,0.06662151887622741
63,2020-03-25,2,90.38618233412075,22.255297576713552,False,64,2.2101097710321467,0.06662151887622741
64,2020-03-26,2,90.38618233412075,22.255297576713552,False,65,2.457266773569068,0.06662151887622741
65,2020-03-27,2,90.38618233412075,22.255297576713552,False,66,2.7302793960122234,0.06662151887622741
66,2020-03-28,2,90.38618233412075,22.255297576713552,False,67,3.0314383028633745,0.06662151887622741
67,2020-03-29,2,90.38618233412075,22.255297576713552,False,68,3.363142061755164,0.06662151887622741
68,2020-03-30,3,90.38618233412075,22.255297576713552,False,69,3.7278792594333763,0.06662151887622741
69,2020-03-31,3,90.38618233412075,22.255297576713552,False,70,4.1282041264196305,0.06662151887622741
70,2020-04-01,3,90.38618233412075,22.255297576713552,False,71,4.566704760232877,0.06662151887622741
71,2020-04-02,3,90.38618233412075,22.255297576713552,False,72,5.045963116059313,0.06662151887622741
72,2020-04-03,4,90.38618233412075,22.255297576713552,False,73,5.568506096209421,0.06662151887622741
73,2020-04-04,4,90.38618233412075,22.255297576713552,False,74,6.136747335513697,0.06662151887622741
74,2020-04-05,5,90.38618233412075,22.255297576713552,False,75,6.752919666749381,0.06662151887622741
75,2020-04-06,7,90.38618233412075,22.255297576713552,False,76,7.418998770447284,0.06662151887622741
76,2020-04-07,7,90.38618233412075,22.255297576713552,False,77,8.136619169266455,0.06662151887622741
77,2020-04-08,8,90.38618233412075,22.255297576713552,False,78,8.906984505925974,0.06662151887622741
78,2020-04-09,9,90.38618233412075,22.255297576713552,False,79,9.730774912994892,0.06662151887622741
79,2020-04-10,10,90.38618233412075,22.255297576713552,False,80,10.60805518644997,0.06662151887622741
80,2020-04-11,13,90.38618233412075,22.255297576713552,False,81,11.538188331307769,0.06662151887622741
81,2020-04-12,14,90.38618233412075,22.255297576713552,False,82,12.519759752364372,0.06662151887622741
82,2020-04-13,18,90.38618233412075,22.255297576713552,False,83,13.55051779634711,0.06662151887622741
83,2020-04-14,18,90.38618233412075,22.255297576713552,False,84,14.627336392042384,0.06662151887622741
84,2020-04-15,18,90.38618233412075,22.255297576713552,False,85,15.74620507792641,0.06662151887622741
85,2020-04-16,18,90.38618233412075,22.255297576713552,False,86,16.902250687842514,0.06662151887622741
86,2020-04-17,18,90.38618233412075,22.255297576713552,False,87,18.08979338114491,0.06662151887622741
87,2020-04-18,18,90.38618233412075,22.255297576713552,False,88,19.302437628840146,0.06662151887622741
88,2020-04-19,18,90.38618233412075,22.255297576713552,False,89,20.533196358506547,0.06662151887622741
