,Report_Date,Eritrea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.47346497168522,20.169891593575954,True,1,0.00047284547459553833,40.31491956376779
1,2020-01-23,0,72.47346497168522,20.169891593575954,True,2,0.0005542543730629626,40.31491956376779
2,2020-01-24,0,72.47346497168522,20.169891593575954,True,3,0.0006496790597084454,40.31491956376779
3,2020-01-25,0,72.47346497168522,20.169891593575954,True,4,0.0007615324826190402,40.31491956376779
4,2020-01-26,0,72.47346497168522,20.169891593575954,True,5,0.0008926429697315838,40.31491956376779
5,2020-01-27,0,72.47346497168522,20.169891593575954,True,6,0.0010463257230899513,40.31491956376779
6,2020-01-28,0,72.47346497168522,20.169891593575954,True,7,0.001226466614119725,40.31491956376779
7,2020-01-29,0,72.47346497168522,20.169891593575954,True,8,0.001437620394733021,40.31491956376779
8,2020-01-30,0,72.47346497168522,20.169891593575954,True,9,0.0016851258020408235,40.31491956376779
9,2020-01-31,0,72.47346497168522,20.169891593575954,True,10,0.001975240459479092,40.31491956376779
10,2020-02-01,0,72.47346497168522,20.169891593575954,True,11,0.0023152989747739715,40.31491956376779
11,2020-02-02,0,72.47346497168522,20.169891593575954,True,12,0.0027138982176592,40.31491956376779
12,2020-02-03,0,72.47346497168522,20.169891593575954,True,13,0.00318111444192574,40.31491956376779
13,2020-02-04,0,72.47346497168522,20.169891593575954,True,14,0.0037287577138917123,40.31491956376779
14,2020-02-05,0,72.47346497168522,20.169891593575954,True,15,0.004370670042106015,40.31491956376779
15,2020-02-06,0,72.47346497168522,20.169891593575954,True,16,0.005123074693541797,40.31491956376779
16,2020-02-07,0,72.47346497168522,20.169891593575954,True,17,0.006004985455779243,40.31491956376779
17,2020-02-08,0,72.47346497168522,20.169891593575954,True,18,0.007038686092895644,40.31491956376779
18,2020-02-09,0,72.47346497168522,20.169891593575954,True,19,0.008250291979796508,40.31491956376779
19,2020-02-10,0,72.47346497168522,20.169891593575954,True,20,0.009670407925600946,40.31491956376779
20,2020-02-11,0,72.47346497168522,20.169891593575954,True,21,0.011334898557372224,40.31491956376779
21,2020-02-12,0,72.47346497168522,20.169891593575954,True,22,0.0132857903833923,40.31491956376779
22,2020-02-13,0,72.47346497168522,20.169891593575954,True,23,0.01557232784984185,40.31491956376779
23,2020-02-14,0,72.47346497168522,20.169891593575954,True,24,0.018252209413291535,40.31491956376779
24,2020-02-15,0,72.47346497168522,20.169891593575954,True,25,0.02139303394889388,40.31491956376779
25,2020-02-16,0,72.47346497168522,20.169891593575954,True,26,0.02507399278361634,40.31491956376779
26,2020-02-17,0,72.47346497168522,20.169891593575954,True,27,0.029387848375824983,40.31491956376779
27,2020-02-18,0,72.47346497168522,20.169891593575954,True,28,0.034443247253913296,40.31491956376779
28,2020-02-19,0,72.47346497168522,20.169891593575954,True,29,0.04036742237845329,40.31491956376779
29,2020-02-20,0,72.47346497168522,20.169891593575954,True,30,0.0473093487057298,40.31491956376779
30,2020-02-21,0,72.47346497168522,20.169891593575954,True,31,0.055443425500815255,40.31491956376779
31,2020-02-22,0,72.47346497168522,20.169891593575954,True,32,0.06497376995560859,40.31491956376779
32,2020-02-23,0,72.47346497168522,20.169891593575954,True,33,0.0761392189625138,40.31491956376779
33,2020-02-24,0,72.47346497168522,20.169891593575954,True,34,0.08921914947960437,40.31491956376779
34,2020-02-25,0,72.47346497168522,20.169891593575954,True,35,0.10454024272265658,40.31491956376779
35,2020-02-26,0,72.47346497168522,20.169891593575954,True,36,0.1224843332404176,40.31491956376779
36,2020-02-27,0,72.47346497168522,20.169891593575954,True,37,0.14349750040655496,40.31491956376779
37,2020-02-28,0,72.47346497168522,20.169891593575954,True,38,0.1681005763819825,40.31491956376779
38,2020-02-29,0,72.47346497168522,20.169891593575954,True,39,0.19690126020286744,40.31491956376779
39,2020-03-01,0,72.47346497168522,20.169891593575954,True,40,0.23060804088739745,40.31491956376779
40,2020-03-02,0,72.47346497168522,20.169891593575954,True,41,0.2700461412235171,40.31491956376779
41,2020-03-03,0,72.47346497168522,20.169891593575954,True,42,0.3161756952095229,40.31491956376779
42,2020-03-04,0,72.47346497168522,20.169891593575954,True,43,0.370112361807747,40.31491956376779
43,2020-03-05,0,72.47346497168522,20.169891593575954,True,44,0.4331505500571135,40.31491956376779
44,2020-03-06,0,72.47346497168522,20.169891593575954,True,45,0.506789378061436,40.31491956376779
45,2020-03-07,0,72.47346497168522,20.169891593575954,True,46,0.5927614009277662,40.31491956376779
46,2020-03-08,0,72.47346497168522,20.169891593575954,True,47,0.6930640075214357,40.31491956376779
47,2020-03-09,0,72.47346497168522,20.169891593575954,True,48,0.8099931868338272,40.31491956376779
48,2020-03-10,0,72.47346497168522,20.169891593575954,True,49,0.9461790822991448,40.31491956376779
49,2020-03-11,0,72.47346497168522,20.169891593575954,True,50,1.1046223638532038,40.31491956376779
50,2020-03-12,0,72.47346497168522,20.169891593575954,True,51,1.288729928101409,40.31491956376779
51,2020-03-13,0,72.47346497168522,20.169891593575954,True,52,1.5023477621377335,40.31491956376779
52,2020-03-14,0,72.47346497168522,20.169891593575954,True,53,1.7497879565201526,40.31491956376779
53,2020-03-15,0,72.47346497168522,20.169891593575954,True,54,2.035845819895728,40.31491956376779
54,2020-03-16,0,72.47346497168522,20.169891593575954,True,55,2.3658018472755016,40.31491956376779
55,2020-03-17,0,72.47346497168522,20.169891593575954,True,56,2.7454019805858656,40.31491956376779
56,2020-03-18,0,72.47346497168522,20.169891593575954,True,57,3.180808288103459,40.31491956376779
57,2020-03-19,0,72.47346497168522,20.169891593575954,True,58,3.6785110762590745,40.31491956376779
58,2020-03-20,0,72.47346497168522,20.169891593575954,True,59,4.245192836381245,40.31491956376779
59,2020-03-21,1,72.47346497168522,20.169891593575954,True,60,4.887534741848527,40.31491956376779
60,2020-03-22,1,72.47346497168522,20.169891593575954,True,61,5.611958176174401,40.31491956376779
61,2020-03-23,1,72.47346497168522,20.169891593575954,True,62,6.4242975698405,40.31491956376779
62,2020-03-24,1,72.47346497168522,20.169891593575954,True,63,7.3294071657532704,40.31491956376779
63,2020-03-25,4,72.47346497168522,20.169891593575954,True,64,8.330713468167449,40.31491956376779
64,2020-03-26,6,72.47346497168522,20.169891593575954,True,65,9.429736776980734,40.31491956376779
65,2020-03-27,6,72.47346497168522,20.169891593575954,True,66,10.625618278598235,40.31491956376779
66,2020-03-28,6,72.47346497168522,20.169891593575954,True,67,11.914701569761569,40.31491956376779
67,2020-03-29,12,72.47346497168522,20.169891593575954,True,68,13.29022620966262,40.31491956376779
68,2020-03-30,12,72.47346497168522,20.169891593575954,True,69,14.74219243203662,40.31491956376779
69,2020-03-31,15,72.47346497168522,20.169891593575954,True,70,16.257447451506945,40.31491956376779
70,2020-04-01,15,72.47346497168522,20.169891593575954,True,71,17.820023488158576,40.31491956376779
71,2020-04-02,22,72.47346497168522,20.169891593575954,True,72,19.411727133320255,40.31491956376779
72,2020-04-03,22,72.47346497168522,20.169891593575954,True,73,21.0129436718458,40.31491956376779
73,2020-04-04,29,72.47346497168522,20.169891593575954,True,74,22.603585726239317,40.31491956376779
74,2020-04-05,29,72.47346497168522,20.169891593575954,True,75,24.16409106938932,40.31491956376779
75,2020-04-06,31,72.47346497168522,20.169891593575954,True,76,25.676365844356507,40.31491956376779
76,2020-04-07,31,72.47346497168522,20.169891593575954,True,77,27.124578979941845,40.31491956376779
77,2020-04-08,33,72.47346497168522,20.169891593575954,True,78,28.495738807647154,40.31491956376779
78,2020-04-09,33,72.47346497168522,20.169891593575954,True,79,29.78001743336853,40.31491956376779
79,2020-04-10,34,72.47346497168522,20.169891593575954,True,80,30.97082429857262,40.31491956376779
80,2020-04-11,34,72.47346497168522,20.169891593575954,True,81,32.06466041545848,40.31491956376779
81,2020-04-12,34,72.47346497168522,20.169891593575954,True,82,33.06080446197046,40.31491956376779
82,2020-04-13,34,72.47346497168522,20.169891593575954,True,83,33.96089002195228,40.31491956376779
83,2020-04-14,34,72.47346497168522,20.169891593575954,True,84,34.7684312526051,40.31491956376779
84,2020-04-15,35,72.47346497168522,20.169891593575954,True,85,35.488345260014505,40.31491956376779
85,2020-04-16,35,72.47346497168522,20.169891593575954,True,86,36.126506954219,40.31491956376779
86,2020-04-17,35,72.47346497168522,20.169891593575954,True,87,36.689359118167985,40.31491956376779
87,2020-04-18,39,72.47346497168522,20.169891593575954,True,88,37.1835888920132,40.31491956376779
88,2020-04-19,39,72.47346497168522,20.169891593575954,True,89,37.615872886285956,40.31491956376779
89,2020-04-20,39,72.47346497168522,20.169891593575954,True,90,37.99268694011222,40.31491956376779
90,2020-04-21,39,72.47346497168522,20.169891593575954,True,91,38.320172865356106,40.31491956376779
91,2020-04-22,39,72.47346497168522,20.169891593575954,True,92,38.604052844094355,40.31491956376779
92,2020-04-23,39,72.47346497168522,20.169891593575954,True,93,38.84958189542787,40.31491956376779
93,2020-04-24,39,72.47346497168522,20.169891593575954,True,94,39.061529474746045,40.31491956376779
94,2020-04-25,39,72.47346497168522,20.169891593575954,True,95,39.244182398843186,40.31491956376779
95,2020-04-26,39,72.47346497168522,20.169891593575954,True,96,39.40136260650267,40.31491956376779
96,2020-04-27,39,72.47346497168522,20.169891593575954,True,97,39.536454573793485,40.31491956376779
97,2020-04-28,39,72.47346497168522,20.169891593575954,True,98,39.652438395874604,40.31491956376779
98,2020-04-29,39,72.47346497168522,20.169891593575954,True,99,39.75192557052997,40.31491956376779
99,2020-04-30,39,72.47346497168522,20.169891593575954,True,100,39.83719535905212,40.31491956376779
100,2020-05-01,39,72.47346497168522,20.169891593575954,True,101,39.910230266106396,40.31491956376779
101,2020-05-02,39,72.47346497168522,20.169891593575954,True,102,39.97274969205435,40.31491956376779
102,2020-05-03,39,72.47346497168522,20.169891593575954,True,103,40.02624119351603,40.31491956376779
103,2020-05-04,39,72.47346497168522,20.169891593575954,True,104,40.07198906544073,40.31491956376779
104,2020-05-05,39,72.47346497168522,20.169891593575954,True,105,40.11110015317604,40.31491956376779
105,2020-05-06,39,72.47346497168522,20.169891593575954,True,106,40.14452693532373,40.31491956376779
106,2020-05-07,39,72.47346497168522,20.169891593575954,True,107,40.173088003464564,40.31491956376779
107,2020-05-08,39,72.47346497168522,20.169891593575954,True,108,40.19748611581294,40.31491956376779
108,2020-05-09,39,72.47346497168522,20.169891593575954,True,109,40.21832402838582,40.31491956376779
