,Report_Date,Vietnam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,63.10991116616469,138.54289562904012,True,1,0.02555930258281445,276.4759782352537
1,2020-01-23,2,63.10991116616469,138.54289562904012,True,2,0.02968304277261535,276.4759782352537
2,2020-01-24,2,63.10991116616469,138.54289562904012,True,3,0.034472024797363505,276.4759782352537
3,2020-01-25,2,63.10991116616469,138.54289562904012,True,4,0.04003353661578119,276.4759782352537
4,2020-01-26,2,63.10991116616469,138.54289562904012,True,5,0.046492159161975105,276.4759782352537
5,2020-01-27,2,63.10991116616469,138.54289562904012,True,6,0.053992550166602246,276.4759782352537
6,2020-01-28,2,63.10991116616469,138.54289562904012,True,7,0.06270267489345058,276.4759782352537
7,2020-01-29,2,63.10991116616469,138.54289562904012,True,8,0.0728175551123577,276.4759782352537
8,2020-01-30,2,63.10991116616469,138.54289562904012,True,9,0.08456361886190616,276.4759782352537
9,2020-01-31,2,63.10991116616469,138.54289562904012,True,10,0.09820374650452657,276.4759782352537
10,2020-02-01,6,63.10991116616469,138.54289562904012,True,11,0.11404312348630787,276.4759782352537
11,2020-02-02,6,63.10991116616469,138.54289562904012,True,12,0.13243602735563026,276.4759782352537
12,2020-02-03,8,63.10991116616469,138.54289562904012,True,13,0.1537936962688155,276.4759782352537
13,2020-02-04,8,63.10991116616469,138.54289562904012,True,14,0.17859344874519892,276.4759782352537
14,2020-02-05,8,63.10991116616469,138.54289562904012,True,15,0.20738925018142423,276.4759782352537
15,2020-02-06,10,63.10991116616469,138.54289562904012,True,16,0.24082395096822787,276.4759782352537
16,2020-02-07,10,63.10991116616469,138.54289562904012,True,17,0.279643454355859,276.4759782352537
17,2020-02-08,13,63.10991116616469,138.54289562904012,True,18,0.324713109865316,276.4759782352537
18,2020-02-09,13,63.10991116616469,138.54289562904012,True,19,0.3770366703929433,276.4759782352537
19,2020-02-10,14,63.10991116616469,138.54289562904012,True,20,0.43777819849529226,276.4759782352537
20,2020-02-11,15,63.10991116616469,138.54289562904012,True,21,0.5082873598487725,276.4759782352537
21,2020-02-12,15,63.10991116616469,138.54289562904012,True,22,0.5901285995543436,276.4759782352537
22,2020-02-13,16,63.10991116616469,138.54289562904012,True,23,0.6851147595254556,276.4759782352537
23,2020-02-14,16,63.10991116616469,138.54289562904012,True,24,0.7953457619740455,276.4759782352537
24,2020-02-15,16,63.10991116616469,138.54289562904012,True,25,0.9232530537239274,276.4759782352537
25,2020-02-16,16,63.10991116616469,138.54289562904012,True,26,1.0716505766347588,276.4759782352537
26,2020-02-17,16,63.10991116616469,138.54289562904012,True,27,1.243793097567101,276.4759782352537
27,2020-02-18,16,63.10991116616469,138.54289562904012,True,28,1.443442792247811,276.4759782352537
28,2020-02-19,16,63.10991116616469,138.54289562904012,True,29,1.6749450241845159,276.4759782352537
29,2020-02-20,16,63.10991116616469,138.54289562904012,True,30,1.943314282707474,276.4759782352537
30,2020-02-21,16,63.10991116616469,138.54289562904012,True,31,2.2543312298994236,276.4759782352537
31,2020-02-22,16,63.10991116616469,138.54289562904012,True,32,2.6146517364926254,276.4759782352537
