,Report_Date,China_liaoning_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,12.179576201403954,65.50559036936484,True,1,10.777902086677859,131.01117977819524
1,2020-01-23,3,12.179576201403954,65.50559036936484,True,2,13.113309242033662,131.01117977819524
2,2020-01-24,4,12.179576201403954,65.50559036936484,True,3,15.887893345173039,131.01117977819524
3,2020-01-25,17,12.179576201403954,65.50559036936484,True,4,19.15416244476466,131.01117977819524
4,2020-01-26,21,12.179576201403954,65.50559036936484,True,5,22.95800988367963,131.01117977819524
5,2020-01-27,27,12.179576201403954,65.50559036936484,True,6,27.332680440292062,131.01117977819524
6,2020-01-28,34,12.179576201403954,65.50559036936484,True,7,32.2918269151977,131.01117977819524
7,2020-01-29,39,12.179576201403954,65.50559036936484,True,8,37.82250239609607,131.01117977819524
8,2020-01-30,41,12.179576201403954,65.50559036936484,True,9,43.879387291693725,131.01117977819524
9,2020-01-31,48,12.179576201403954,65.50559036936484,True,10,50.38182433455574,131.01117977819524
10,2020-02-01,64,12.179576201403954,65.50559036936484,True,11,57.21510941176151,131.01117977819524
11,2020-02-02,70,12.179576201403954,65.50559036936484,True,12,64.23681933569159,131.01117977819524
12,2020-02-03,74,12.179576201403954,65.50559036936484,True,13,71.28781883303436,131.01117977819524
13,2020-02-04,81,12.179576201403954,65.50559036936484,True,14,78.20631462175669,131.01117977819524
14,2020-02-05,89,12.179576201403954,65.50559036936484,True,15,84.8424089441945,131.01117977819524
15,2020-02-06,94,12.179576201403954,65.50559036936484,True,16,91.07044923814503,131.01117977819524
16,2020-02-07,99,12.179576201403954,65.50559036936484,True,17,96.7971459085855,131.01117977819524
17,2020-02-08,105,12.179576201403954,65.50559036936484,True,18,101.96463383450624,131.01117977819524
18,2020-02-09,107,12.179576201403954,65.50559036936484,True,19,106.54889193684738,131.01117977819524
19,2020-02-10,108,12.179576201403954,65.50559036936484,True,20,110.55479356786651,131.01117977819524
20,2020-02-11,111,12.179576201403954,65.50559036936484,True,21,114.00937236436057,131.01117977819524
21,2020-02-12,116,12.179576201403954,65.50559036936484,True,22,116.95473337548523,131.01117977819524
22,2020-02-13,117,12.179576201403954,65.50559036936484,True,23,119.44162516190482,131.01117977819524
23,2020-02-14,119,12.179576201403954,65.50559036936484,True,24,121.52422168174057,131.01117977819524
24,2020-02-15,119,12.179576201403954,65.50559036936484,True,25,123.25627670434297,131.01117977819524
25,2020-02-16,121,12.179576201403954,65.50559036936484,True,26,124.68855907846162,131.01117977819524
26,2020-02-17,121,12.179576201403954,65.50559036936484,True,27,125.8673475736733,131.01117977819524
27,2020-02-18,121,12.179576201403954,65.50559036936484,True,28,126.83372602803514,131.01117977819524
28,2020-02-19,121,12.179576201403954,65.50559036936484,True,29,127.62343631936552,131.01117977819524
29,2020-02-20,121,12.179576201403954,65.50559036936484,True,30,128.26708886334103,131.01117977819524
30,2020-02-21,121,12.179576201403954,65.50559036936484,True,31,128.79057882292338,131.01117977819524
31,2020-02-22,121,12.179576201403954,65.50559036936484,True,32,129.21560068965616,131.01117977819524
32,2020-02-23,121,12.179576201403954,65.50559036936484,True,33,129.56019012730215,131.01117977819524
33,2020-02-24,121,12.179576201403954,65.50559036936484,True,34,129.8392492415491,131.01117977819524
34,2020-02-25,121,12.179576201403954,65.50559036936484,True,35,130.06503075925247,131.01117977819524
35,2020-02-26,121,12.179576201403954,65.50559036936484,True,36,130.2475695737998,131.01117977819524
36,2020-02-27,121,12.179576201403954,65.50559036936484,True,37,130.3950583649848,131.01117977819524
37,2020-02-28,121,12.179576201403954,65.50559036936484,True,38,130.5141689220058,131.01117977819524
38,2020-02-29,121,12.179576201403954,65.50559036936484,True,39,130.61032347049172,131.01117977819524
39,2020-03-01,122,12.179576201403954,65.50559036936484,True,40,130.68792152390157,131.01117977819524
40,2020-03-02,122,12.179576201403954,65.50559036936484,True,41,130.75052810368695,131.01117977819524
41,2020-03-03,125,12.179576201403954,65.50559036936484,True,42,130.80102897760327,131.01117977819524
42,2020-03-04,125,12.179576201403954,65.50559036936484,True,43,130.84175809681057,131.01117977819524
43,2020-03-05,125,12.179576201403954,65.50559036936484,True,44,130.87460182403092,131.01117977819524
44,2020-03-06,125,12.179576201403954,65.50559036936484,True,45,130.90108392966079,131.01117977819524
45,2020-03-07,125,12.179576201403954,65.50559036936484,True,46,130.92243474275045,131.01117977819524
46,2020-03-08,125,12.179576201403954,65.50559036936484,True,47,130.93964730595405,131.01117977819524
47,2020-03-09,125,12.179576201403954,65.50559036936484,True,48,130.95352290897864,131.01117977819524
48,2020-03-10,125,12.179576201403954,65.50559036936484,True,49,130.96470796551716,131.01117977819524
49,2020-03-11,125,12.179576201403954,65.50559036936484,True,50,130.9737238508235,131.01117977819524
50,2020-03-12,125,12.179576201403954,65.50559036936484,True,51,130.98099102512518,131.01117977819524
51,2020-03-13,125,12.179576201403954,65.50559036936484,True,52,130.98684852516035,131.01117977819524
52,2020-03-14,125,12.179576201403954,65.50559036936484,True,53,130.9915697053872,131.01117977819524
53,2020-03-15,125,12.179576201403954,65.50559036936484,True,54,130.9953749453911,131.01117977819524
54,2020-03-16,125,12.179576201403954,65.50559036936484,True,55,130.99844190490364,131.01117977819524
55,2020-03-17,125,12.179576201403954,65.50559036936484,True,56,131.00091379758067,131.01117977819524
56,2020-03-18,125,12.179576201403954,65.50559036936484,True,57,131.0029060649224,131.01117977819524
57,2020-03-19,125,12.179576201403954,65.50559036936484,True,58,131.00451175879073,131.01117977819524
58,2020-03-20,126,12.179576201403954,65.50559036936484,True,59,131.00580588182535,131.01117977819524
59,2020-03-21,126,12.179576201403954,65.50559036936484,True,60,131.00684888713792,131.01117977819524
60,2020-03-22,127,12.179576201403954,65.50559036936484,True,61,131.0076894998826,131.01117977819524
61,2020-03-23,127,12.179576201403954,65.50559036936484,True,62,131.0083669919398,131.01117977819524
62,2020-03-24,127,12.179576201403954,65.50559036936484,True,63,131.00891301560924,131.01117977819524
63,2020-03-25,127,12.179576201403954,65.50559036936484,True,64,131.00935308173862,131.01117977819524
64,2020-03-26,128,12.179576201403954,65.50559036936484,True,65,131.0097077511901,131.01117977819524
