,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-0.03936345308794695,-0.47551272573165765,0.3883513578622284,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
1,2020-01-23,-0.008234491435926989,-0.4292307467607625,0.37129684290430165,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
2,2020-01-24,-0.05337719767982585,-0.4659188675269585,0.3399288218602389,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
3,2020-01-25,0.08045701084914929,-0.3388793262222573,0.4805592126691648,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
4,2020-01-26,0.029938060687577206,-0.3609119227139434,0.4795886733963726,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
5,2020-01-27,-0.0228115462748898,-0.4601097852224674,0.36421378749891886,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
6,2020-01-28,0.01341052445611354,-0.40004817421055267,0.4426915418453804,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
7,2020-01-29,-0.03935896856851198,-0.4492656515730215,0.37807156275461823,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
8,2020-01-30,-0.008228943270616473,-0.42776348196695235,0.39552501431892034,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
9,2020-01-31,-0.053370333592201516,-0.4644887522568736,0.3591101856776837,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
10,2020-02-01,0.08046550297114038,-0.3330269747476837,0.47996125641377396,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
11,2020-02-02,0.029948566981583706,-0.36729368794705475,0.4408175709856432,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
12,2020-02-03,-0.02279854808674982,-0.4269177215559631,0.38630022461617586,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
13,2020-02-04,0.013426605565506948,-0.36681903137658006,0.4286191721916699,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
14,2020-02-05,-0.03933907333268365,-0.4663896901364029,0.38204571061651293,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
15,2020-02-06,-0.008204329278831406,-0.4358946426926694,0.38634501560630474,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
16,2020-02-07,-0.05333988166000585,-0.4842195252487257,0.3596679650745099,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
17,2020-02-08,0.08050317746833963,-0.33192115788272936,0.4911423887492802,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
18,2020-02-09,0.02999517706104252,-0.36855191058516634,0.4525484593354927,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
19,2020-02-10,-0.022740883135851927,-0.45325913079135755,0.3653185290452133,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
20,2020-02-11,0.013497947296662335,-0.4172707565064803,0.4221664962667035,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
21,2020-02-12,-0.03925081109914829,-0.4245984020110165,0.4036234766897817,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
22,2020-02-13,-0.008095133556390794,-0.4209035100716091,0.43400604142152865,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
23,2020-02-14,-0.05320478778738317,-0.4767005776650061,0.36403634999947876,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
24,2020-02-15,0.08067031147541723,-0.3237796807882592,0.4888051573551814,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
25,2020-02-16,0.030201949640503607,-0.37023915219948744,0.4576287591300924,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
26,2020-02-17,-0.022485071812906387,-0.4536362436701405,0.37188505917552855,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
27,2020-02-18,0.01381442634982935,-0.38457372275709406,0.4562329004090108,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
28,2020-02-19,-0.03885927826936123,-0.46314693968083576,0.37094990986901094,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
29,2020-02-20,-0.0076107505154739885,-0.4363525323770091,0.4095437948840509,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
30,2020-02-21,-0.05260553974543327,-0.45652513994988053,0.36199280968235603,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
31,2020-02-22,0.08141165678205795,-0.3382790680698901,0.509930090125921,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
32,2020-02-23,0.03111907729957261,-0.38511536531453905,0.41639825040794876,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
33,2020-02-24,-0.021350496676285066,-0.4377566162675466,0.3843012912624727,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
34,2020-02-25,0.0152179818346461,-0.4234339831332025,0.4388613049251623,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
35,2020-02-26,-0.03712300904374705,-0.4263366896257619,0.39340698839470795,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
36,2020-02-27,-0.005462951628889184,-0.3883403242291608,0.3816362956747895,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
37,2020-02-28,-0.049948753404868304,-0.4225681448861256,0.380576990027248,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
38,2020-02-29,0.0846979242937638,-0.34429846980543627,0.48196841135762797,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
39,2020-03-01,0.035183777330556026,-0.38737289382038054,0.4299478765597499,0.0,2020-04-08,74.25057062789969,True,78,4.958427214405475
