,Report_Date,Romania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.04603736181204,5196.913663035442,True,1,0.12023329563722898,8641.201733226768
1,2020-01-23,0,79.04603736181204,5196.913663035442,True,2,0.13908434239921053,8641.201733226768
2,2020-01-24,0,79.04603736181204,5196.913663035442,True,3,0.16089094703108375,8641.201733226768
3,2020-01-25,0,79.04603736181204,5196.913663035442,True,4,0.18611648065409167,8641.201733226768
4,2020-01-26,0,79.04603736181204,5196.913663035442,True,5,0.21529695628758871,8641.201733226768
5,2020-01-27,0,79.04603736181204,5196.913663035442,True,6,0.24905241502607003,8641.201733226768
6,2020-01-28,0,79.04603736181204,5196.913663035442,True,7,0.2881000963321725,8641.201733226768
7,2020-01-29,0,79.04603736181204,5196.913663035442,True,8,0.3332696717989564,8641.201733226768
8,2020-01-30,0,79.04603736181204,5196.913663035442,True,9,0.3855208654069303,8641.201733226768
9,2020-01-31,0,79.04603736181204,5196.913663035442,True,10,0.4459638337776735,8641.201733226768
10,2020-02-01,0,79.04603736181204,5196.913663035442,True,11,0.5158827382588206,8641.201733226768
11,2020-02-02,0,79.04603736181204,5196.913663035442,True,12,0.5967630080769364,8641.201733226768
12,2020-02-03,0,79.04603736181204,5196.913663035442,True,13,0.6903228716612795,8641.201733226768
13,2020-02-04,0,79.04603736181204,5196.913663035442,True,14,0.7985498231785273,8641.201733226768
14,2020-02-05,0,79.04603736181204,5196.913663035442,True,15,0.9237427951721395,8641.201733226768
15,2020-02-06,0,79.04603736181204,5196.913663035442,True,16,1.068560928089815,8641.201733226768
16,2020-02-07,0,79.04603736181204,5196.913663035442,True,17,1.2360799658393316,8641.201733226768
17,2020-02-08,0,79.04603736181204,5196.913663035442,True,18,1.4298574661209613,8641.201733226768
18,2020-02-09,0,79.04603736181204,5196.913663035442,True,19,1.6540081983264525,8641.201733226768
19,2020-02-10,0,79.04603736181204,5196.913663035442,True,20,1.9132913139019931,8641.201733226768
20,2020-02-11,0,79.04603736181204,5196.913663035442,True,21,2.2132111183796552,8641.201733226768
21,2020-02-12,0,79.04603736181204,5196.913663035442,True,22,2.5601335554811278,8641.201733226768
22,2020-02-13,0,79.04603736181204,5196.913663035442,True,23,2.9614208370977972,8641.201733226768
23,2020-02-14,0,79.04603736181204,5196.913663035442,True,24,3.4255870245336593,8641.201733226768
24,2020-02-15,0,79.04603736181204,5196.913663035442,True,25,3.962477792868165,8641.201733226768
25,2020-02-16,0,79.04603736181204,5196.913663035442,True,26,4.583478099127949,8641.201733226768
26,2020-02-17,0,79.04603736181204,5196.913663035442,True,27,5.301752034415242,8641.201733226768
27,2020-02-18,0,79.04603736181204,5196.913663035442,True,28,6.1325197792836,8641.201733226768
28,2020-02-19,0,79.04603736181204,5196.913663035442,True,29,7.093377310283009,8641.201733226768
29,2020-02-20,0,79.04603736181204,5196.913663035442,True,30,8.204665334164387,8641.201733226768
30,2020-02-21,0,79.04603736181204,5196.913663035442,True,31,9.489894865635378,8641.201733226768
31,2020-02-22,0,79.04603736181204,5196.913663035442,True,32,10.976237925824043,8641.201733226768
32,2020-02-23,0,79.04603736181204,5196.913663035442,True,33,12.69509303240081,8641.201733226768
33,2020-02-24,0,79.04603736181204,5196.913663035442,True,34,14.682736488202071,8641.201733226768
34,2020-02-25,0,79.04603736181204,5196.913663035442,True,35,16.981071960603437,8641.201733226768
35,2020-02-26,1,79.04603736181204,5196.913663035442,True,36,19.638492482556863,8641.201733226768
36,2020-02-27,1,79.04603736181204,5196.913663035442,True,37,22.71087079612565,8641.201733226768
37,2020-02-28,3,79.04603736181204,5196.913663035442,True,38,26.262695889877815,8641.201733226768
38,2020-02-29,3,79.04603736181204,5196.913663035442,True,39,30.368375629435214,8641.201733226768
39,2020-03-01,3,79.04603736181204,5196.913663035442,True,40,35.11372750482311,8641.201733226768
40,2020-03-02,3,79.04603736181204,5196.913663035442,True,41,40.59768165324452,8641.201733226768
41,2020-03-03,3,79.04603736181204,5196.913663035442,True,42,46.93422236178318,8641.201733226768
42,2020-03-04,4,79.04603736181204,5196.913663035442,True,43,54.25459606571995,8641.201733226768
43,2020-03-05,6,79.04603736181204,5196.913663035442,True,44,62.709815227866166,8641.201733226768
44,2020-03-06,9,79.04603736181204,5196.913663035442,True,45,72.47348812530821,8641.201733226768
45,2020-03-07,9,79.04603736181204,5196.913663035442,True,46,83.74500409039265,8641.201733226768
46,2020-03-08,15,79.04603736181204,5196.913663035442,True,47,96.75310162699314,8641.201733226768
47,2020-03-09,15,79.04603736181204,5196.913663035442,True,48,111.75984235690447,8641.201733226768
48,2020-03-10,25,79.04603736181204,5196.913663035442,True,49,129.0650060423402,8641.201733226768
49,2020-03-11,45,79.04603736181204,5196.913663035442,True,50,149.01090982592208,8641.201733226768
50,2020-03-12,49,79.04603736181204,5196.913663035442,True,51,171.98763688330317,8641.201733226768
51,2020-03-13,89,79.04603736181204,5196.913663035442,True,52,198.4386341221876,8641.201733226768
52,2020-03-14,123,79.04603736181204,5196.913663035442,True,53,228.86660326837367,8641.201733226768
53,2020-03-15,131,79.04603736181204,5196.913663035442,True,54,263.83956221638454,8641.201733226768
54,2020-03-16,158,79.04603736181204,5196.913663035442,True,55,303.99689121568315,8641.201733226768
55,2020-03-17,184,79.04603736181204,5196.913663035442,True,56,350.0550985936993,8641.201733226768
56,2020-03-18,260,79.04603736181204,5196.913663035442,True,57,402.8129408627255,8641.201733226768
57,2020-03-19,277,79.04603736181204,5196.913663035442,True,58,463.1554106613534,8641.201733226768
58,2020-03-20,308,79.04603736181204,5196.913663035442,True,59,532.0559632075342,8641.201733226768
59,2020-03-21,367,79.04603736181204,5196.913663035442,True,60,610.5761909012517,8641.201733226768
60,2020-03-22,433,79.04603736181204,5196.913663035442,True,61,699.8619840991664,8641.201733226768
61,2020-03-23,576,79.04603736181204,5196.913663035442,True,62,801.1350481638816,8641.201733226768
62,2020-03-24,794,79.04603736181204,5196.913663035442,True,63,915.6785057352855,8641.201733226768
63,2020-03-25,906,79.04603736181204,5196.913663035442,True,64,1044.8152326661834,8641.201733226768
64,2020-03-26,1029,79.04603736181204,5196.913663035442,True,65,1189.8776020145526,8641.201733226768
65,2020-03-27,1292,79.04603736181204,5196.913663035442,True,66,1352.1674996748725,8641.201733226768
66,2020-03-28,1452,79.04603736181204,5196.913663035442,True,67,1532.9058909347464,8641.201733226768
67,2020-03-29,1815,79.04603736181204,5196.913663035442,True,68,1733.1719195213639,8641.201733226768
68,2020-03-30,2109,79.04603736181204,5196.913663035442,True,69,1953.8325502155278,8641.201733226768
69,2020-03-31,2245,79.04603736181204,5196.913663035442,True,70,2195.465121502535,8641.201733226768
70,2020-04-01,2460,79.04603736181204,5196.913663035442,True,71,2458.2767862393785,8641.201733226768
71,2020-04-02,2738,79.04603736181204,5196.913663035442,True,72,2742.026524072193,8641.201733226768
72,2020-04-03,3183,79.04603736181204,5196.913663035442,True,73,3045.956944859633,8641.201733226768
73,2020-04-04,3613,79.04603736181204,5196.913663035442,True,74,3368.744116281272,8641.201733226768
74,2020-04-05,3864,79.04603736181204,5196.913663035442,True,75,3708.4737556845203,8641.201733226768
75,2020-04-06,4057,79.04603736181204,5196.913663035442,True,76,4062.6509981409095,8641.201733226768
76,2020-04-07,4417,79.04603736181204,5196.913663035442,True,77,4428.24843515272,8641.201733226768
77,2020-04-08,4761,79.04603736181204,5196.913663035442,True,78,4801.79333701546,8641.201733226768
78,2020-04-09,5202,79.04603736181204,5196.913663035442,True,79,5179.49038379486,8641.201733226768
79,2020-04-10,5467,79.04603736181204,5196.913663035442,True,80,5557.371580963905,8641.201733226768
