,Report_Date,Ukraine_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,96.66359812186246,9336.782193566207,False,1,0.2103527098890745,18673.56438713241
1,2020-01-23,0,96.66359812186246,9336.782193566207,False,2,0.23695903487967304,18673.56438713241
2,2020-01-24,0,96.66359812186246,9336.782193566207,False,3,0.26693059538678715,18673.56438713241
3,2020-01-25,0,96.66359812186246,9336.782193566207,False,4,0.300693022001303,18673.56438713241
4,2020-01-26,0,96.66359812186246,9336.782193566207,False,5,0.33872577503499596,18673.56438713241
5,2020-01-27,0,96.66359812186246,9336.782193566207,False,6,0.38156895145714037,18673.56438713241
6,2020-01-28,0,96.66359812186246,9336.782193566207,False,7,0.42983095233778595,18673.56438713241
7,2020-01-29,0,96.66359812186246,9336.782193566207,False,8,0.4841971195119143,18673.56438713241
8,2020-01-30,0,96.66359812186246,9336.782193566207,False,9,0.5454394638951435,18673.56438713241
9,2020-01-31,0,96.66359812186246,9336.782193566207,False,10,0.6144276233238073,18673.56438713241
10,2020-02-01,0,96.66359812186246,9336.782193566207,False,11,0.6921412051758814,18673.56438713241
11,2020-02-02,0,96.66359812186246,9336.782193566207,False,12,0.7796836885967932,18673.56438713241
12,2020-02-03,0,96.66359812186246,9336.782193566207,False,13,0.8782980831778633,18673.56438713241
13,2020-02-04,0,96.66359812186246,9336.782193566207,False,14,0.9893845657205851,18673.56438713241
14,2020-02-05,0,96.66359812186246,9336.782193566207,False,15,1.1145203446100451,18673.56438713241
15,2020-02-06,0,96.66359812186246,9336.782193566207,False,16,1.2554820327000435,18673.56438713241
16,2020-02-07,0,96.66359812186246,9336.782193566207,False,17,1.4142708449118826,18673.56438713241
17,2020-02-08,0,96.66359812186246,9336.782193566207,False,18,1.5931409764510536,18673.56438713241
18,2020-02-09,0,96.66359812186246,9336.782193566207,False,19,1.7946315621914006,18673.56438713241
19,2020-02-10,0,96.66359812186246,9336.782193566207,False,20,2.021602667968913,18673.56438713241
20,2020-02-11,0,96.66359812186246,9336.782193566207,False,21,2.2772758209419197,18673.56438713241
21,2020-02-12,0,96.66359812186246,9336.782193566207,False,22,2.565279649564154,18673.56438713241
22,2020-02-13,0,96.66359812186246,9336.782193566207,False,23,2.8897012749211344,18673.56438713241
23,2020-02-14,0,96.66359812186246,9336.782193566207,False,24,3.2551441751322945,18673.56438713241
24,2020-02-15,0,96.66359812186246,9336.782193566207,False,25,3.666793334258585,18673.56438713241
25,2020-02-16,0,96.66359812186246,9336.782193566207,False,26,4.130488587827749,18673.56438713241
26,2020-02-17,0,96.66359812186246,9336.782193566207,False,27,4.6528071899691374,18673.56438713241
27,2020-02-18,0,96.66359812186246,9336.782193566207,False,28,5.241156753639662,18673.56438713241
28,2020-02-19,0,96.66359812186246,9336.782193566207,False,29,5.903879857065445,18673.56438713241
29,2020-02-20,0,96.66359812186246,9336.782193566207,False,30,6.650371768009936,18673.56438713241
30,2020-02-21,0,96.66359812186246,9336.782193566207,False,31,7.491212914653072,18673.56438713241
31,2020-02-22,0,96.66359812186246,9336.782193566207,False,32,8.43831792972794,18673.56438713241
