,Report_Date,San Marino_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,58.43552803442223,138.53659072061535,True,1,0.017070824490867356,275.2006681349848
1,2020-01-23,0,58.43552803442223,138.53659072061535,True,2,0.020209455363563694,275.2006681349848
2,2020-01-24,0,58.43552803442223,138.53659072061535,True,3,0.023925103068671013,275.2006681349848
3,2020-01-25,0,58.43552803442223,138.53659072061535,True,4,0.02832382838244424,275.2006681349848
4,2020-01-26,0,58.43552803442223,138.53659072061535,True,5,0.033531178952860625,275.2006681349848
5,2020-01-27,0,58.43552803442223,138.53659072061535,True,6,0.0396957664570961,275.2006681349848
6,2020-01-28,0,58.43552803442223,138.53659072061535,True,7,0.046993499114056446,275.2006681349848
7,2020-01-29,0,58.43552803442223,138.53659072061535,True,8,0.05563258909646786,275.2006681349848
8,2020-01-30,0,58.43552803442223,138.53659072061535,True,9,0.06585947598419464,275.2006681349848
9,2020-01-31,0,58.43552803442223,138.53659072061535,True,10,0.07796583281504992,275.2006681349848
10,2020-02-01,0,58.43552803442223,138.53659072061535,True,11,0.09229685116188636,275.2006681349848
11,2020-02-02,0,58.43552803442223,138.53659072061535,True,12,0.10926103672897045,275.2006681349848
12,2020-02-03,0,58.43552803442223,138.53659072061535,True,13,0.12934178805105168,275.2006681349848
13,2020-02-04,0,58.43552803442223,138.53659072061535,True,14,0.1531110789353608,275.2006681349848
14,2020-02-05,0,58.43552803442223,138.53659072061535,True,15,0.1812456213565491,275.2006681349848
15,2020-02-06,0,58.43552803442223,138.53659072061535,True,16,0.21454595074357918,275.2006681349848
16,2020-02-07,0,58.43552803442223,138.53659072061535,True,17,0.253958951213771,275.2006681349848
17,2020-02-08,0,58.43552803442223,138.53659072061535,True,18,0.3006044255870408,275.2006681349848
18,2020-02-09,0,58.43552803442223,138.53659072061535,True,19,0.3558064152127468,275.2006681349848
19,2020-02-10,0,58.43552803442223,138.53659072061535,True,20,0.4211300889093898,275.2006681349848
20,2020-02-11,0,58.43552803442223,138.53659072061535,True,21,0.49842514953527267,275.2006681349848
21,2020-02-12,0,58.43552803442223,138.53659072061535,True,22,0.5898768512634535,275.2006681349848
22,2020-02-13,0,58.43552803442223,138.53659072061535,True,23,0.6980658800841908,275.2006681349848
23,2020-02-14,0,58.43552803442223,138.53659072061535,True,24,0.8260385226454482,275.2006681349848
24,2020-02-15,0,58.43552803442223,138.53659072061535,True,25,0.9773887305082883,275.2006681349848
25,2020-02-16,0,58.43552803442223,138.53659072061535,True,26,1.1563538715184383,275.2006681349848
26,2020-02-17,0,58.43552803442223,138.53659072061535,True,27,1.367926136271241,275.2006681349848
27,2020-02-18,0,58.43552803442223,138.53659072061535,True,28,1.6179817184846992,275.2006681349848
28,2020-02-19,0,58.43552803442223,138.53659072061535,True,29,1.9134299879223895,275.2006681349848
29,2020-02-20,0,58.43552803442223,138.53659072061535,True,30,2.2623848861305706,275.2006681349848
30,2020-02-21,0,58.43552803442223,138.53659072061535,True,31,2.674360645843885,275.2006681349848
31,2020-02-22,0,58.43552803442223,138.53659072061535,True,32,3.160493591044585,275.2006681349848
32,2020-02-23,0,58.43552803442223,138.53659072061535,True,33,3.7337911164212962,275.2006681349848
33,2020-02-24,0,58.43552803442223,138.53659072061535,True,34,4.409407839451341,275.2006681349848
34,2020-02-25,0,58.43552803442223,138.53659072061535,True,35,5.204947193163808,275.2006681349848
35,2020-02-26,0,58.43552803442223,138.53659072061535,True,36,6.140784166108611,275.2006681349848
36,2020-02-27,1,58.43552803442223,138.53659072061535,True,37,7.240401236325865,275.2006681349848
37,2020-02-28,1,58.43552803442223,138.53659072061535,True,38,8.530724488991105,275.2006681349848
38,2020-02-29,1,58.43552803442223,138.53659072061535,True,39,10.042440139385342,275.2006681349848
39,2020-03-01,1,58.43552803442223,138.53659072061535,True,40,11.810262924076852,275.2006681349848
40,2020-03-02,8,58.43552803442223,138.53659072061535,True,41,13.87311691345603,275.2006681349848
41,2020-03-03,10,58.43552803442223,138.53659072061535,True,42,16.274176336056694,275.2006681349848
42,2020-03-04,16,58.43552803442223,138.53659072061535,True,43,19.0606995507828,275.2006681349848
43,2020-03-05,21,58.43552803442223,138.53659072061535,True,44,22.283574657894253,275.2006681349848
44,2020-03-06,21,58.43552803442223,138.53659072061535,True,45,25.996482771904056,275.2006681349848
45,2020-03-07,23,58.43552803442223,138.53659072061535,True,46,30.25457844468585,275.2006681349848
46,2020-03-08,36,58.43552803442223,138.53659072061535,True,47,35.11259144437172,275.2006681349848
47,2020-03-09,36,58.43552803442223,138.53659072061535,True,48,40.622276761087754,275.2006681349848
48,2020-03-10,51,58.43552803442223,138.53659072061535,True,49,46.82918753846894,275.2006681349848
49,2020-03-11,62,58.43552803442223,138.53659072061535,True,50,53.76882450205688,275.2006681349848
50,2020-03-12,69,58.43552803442223,138.53659072061535,True,51,61.462326919276116,275.2006681349848
51,2020-03-13,80,58.43552803442223,138.53659072061535,True,52,69.91200753095562,275.2006681349848
52,2020-03-14,80,58.43552803442223,138.53659072061535,True,53,79.09717874573508,275.2006681349848
53,2020-03-15,101,58.43552803442223,138.53659072061535,True,54,88.9708379096841,275.2006681349848
54,2020-03-16,109,58.43552803442223,138.53659072061535,True,55,99.45783391048488,275.2006681349848
55,2020-03-17,109,58.43552803442223,138.53659072061535,True,56,110.45508394944571,275.2006681349848
56,2020-03-18,119,58.43552803442223,138.53659072061535,True,57,121.83422196558848,275.2006681349848
