,Report_Date,Russia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,110.66948233930282,215968.78285344873,True,1,4.792870896254406,408166.1081299295
1,2020-01-23,0,0,110.66948233930282,215968.78285344873,True,2,5.318323805812098,408166.1081299295
2,2020-01-24,0,0,110.66948233930282,215968.78285344873,True,3,5.9013824789815805,408166.1081299295
3,2020-01-25,0,0,110.66948233930282,215968.78285344873,True,4,6.548362093185213,408166.1081299295
4,2020-01-26,0,0,110.66948233930282,215968.78285344873,True,5,7.266270101029344,408166.1081299295
5,2020-01-27,0,0,110.66948233930282,215968.78285344873,True,6,8.062882108368486,408166.1081299295
6,2020-01-28,0,0,110.66948233930282,215968.78285344873,True,7,8.946826066868812,408166.1081299295
7,2020-01-29,0,0,110.66948233930282,215968.78285344873,True,8,9.927675691628915,408166.1081299295
8,2020-01-30,0,0,110.66948233930282,215968.78285344873,True,9,11.016054114014477,408166.1081299295
9,2020-01-31,2,2,110.66948233930282,215968.78285344873,True,10,12.22374889032878,408166.1081299295
10,2020-02-01,2,2,110.66948233930282,215968.78285344873,True,11,13.56383960945158,408166.1081299295
11,2020-02-02,2,2,110.66948233930282,215968.78285344873,True,12,15.050839478440729,408166.1081299295
12,2020-02-03,2,2,110.66948233930282,215968.78285344873,True,13,16.700852415748923,408166.1081299295
13,2020-02-04,2,2,110.66948233930282,215968.78285344873,True,14,18.5317473487614,408166.1081299295
14,2020-02-05,2,2,110.66948233930282,215968.78285344873,True,15,20.563351597579132,408166.1081299295
15,2020-02-06,2,2,110.66948233930282,215968.78285344873,True,16,22.817665432312392,408166.1081299295
16,2020-02-07,2,2,110.66948233930282,215968.78285344873,True,17,25.319100118775125,408166.1081299295
17,2020-02-08,2,2,110.66948233930282,215968.78285344873,True,18,28.094742019772827,408166.1081299295
18,2020-02-09,2,2,110.66948233930282,215968.78285344873,True,19,31.174645598794942,408166.1081299295
19,2020-02-10,2,2,110.66948233930282,215968.78285344873,True,20,34.592158482774316,408166.1081299295
20,2020-02-11,2,2,110.66948233930282,215968.78285344873,True,21,38.38428208387641,408166.1081299295
21,2020-02-12,2,0,110.66948233930282,215968.78285344873,True,22,42.59207166057723,408166.1081299295
22,2020-02-13,2,0,110.66948233930282,215968.78285344873,True,23,47.261080119489364,408166.1081299295
23,2020-02-14,2,0,110.66948233930282,215968.78285344873,True,24,52.44185032580199,408166.1081299295
24,2020-02-15,2,0,110.66948233930282,215968.78285344873,True,25,58.190461206545095,408166.1081299295
25,2020-02-16,2,0,110.66948233930282,215968.78285344873,True,26,64.56913350237112,408166.1081299295
26,2020-02-17,2,0,110.66948233930282,215968.78285344873,True,27,71.64690165587103,408166.1081299295
27,2020-02-18,2,0,110.66948233930282,215968.78285344873,True,28,79.50035902386348,408166.1081299295
28,2020-02-19,2,0,110.66948233930282,215968.78285344873,True,29,88.21448437445441,408166.1081299295
29,2020-02-20,2,0,110.66948233930282,215968.78285344873,True,30,97.88355848443618,408166.1081299295
