,Report_Date,Chile_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,195.4304078510817,2293740.6209250344,False,1,48.65799953270602,4587481.24185007
1,2020-01-23,0,195.4304078510817,2293740.6209250344,False,2,51.6105545186291,4587481.24185007
2,2020-01-24,0,195.4304078510817,2293740.6209250344,False,3,54.742267649171744,4587481.24185007
3,2020-01-25,0,195.4304078510817,2293740.6209250344,False,4,58.064009797739864,4587481.24185007
4,2020-01-26,0,195.4304078510817,2293740.6209250344,False,5,61.58731142204173,4587481.24185007
5,2020-01-27,0,195.4304078510817,2293740.6209250344,False,6,65.32440257982522,4587481.24185007
6,2020-01-28,0,195.4304078510817,2293740.6209250344,False,7,69.28825537177192,4587481.24185007
7,2020-01-29,0,195.4304078510817,2293740.6209250344,False,8,73.49262895870169,4587481.24185007
8,2020-01-30,0,195.4304078510817,2293740.6209250344,False,9,77.95211730915564,4587481.24185007
9,2020-01-31,0,195.4304078510817,2293740.6209250344,False,10,82.68219984287701,4587481.24185007
10,2020-02-01,0,195.4304078510817,2293740.6209250344,False,11,87.69929514573371,4587481.24185007
11,2020-02-02,0,195.4304078510817,2293740.6209250344,False,12,93.02081794225543,4587481.24185007
12,2020-02-03,0,195.4304078510817,2293740.6209250344,False,13,98.66523952323018,4587481.24185007
13,2020-02-04,0,195.4304078510817,2293740.6209250344,False,14,104.65215183775712,4587481.24185007
14,2020-02-05,0,195.4304078510817,2293740.6209250344,False,15,111.00233547182714,4587481.24185007
15,2020-02-06,0,195.4304078510817,2293740.6209250344,False,16,117.73783174894143,4587481.24185007
16,2020-02-07,0,195.4304078510817,2293740.6209250344,False,17,124.88201920252878,4587481.24185007
17,2020-02-08,0,195.4304078510817,2293740.6209250344,False,18,132.4596946850318,4587481.24185007
18,2020-02-09,0,195.4304078510817,2293740.6209250344,False,19,140.49715939455322,4587481.24185007
19,2020-02-10,0,195.4304078510817,2293740.6209250344,False,20,149.02231011694047,4587481.24185007
20,2020-02-11,0,195.4304078510817,2293740.6209250344,False,21,158.06473599919624,4587481.24185007
21,2020-02-12,0,195.4304078510817,2293740.6209250344,False,22,167.65582118919775,4587481.24185007
22,2020-02-13,0,195.4304078510817,2293740.6209250344,False,23,177.82885369695245,4587481.24185007
23,2020-02-14,0,195.4304078510817,2293740.6209250344,False,24,188.61914085407895,4587481.24185007
24,2020-02-15,0,195.4304078510817,2293740.6209250344,False,25,200.06413177095726,4587481.24185007
25,2020-02-16,0,195.4304078510817,2293740.6209250344,False,26,212.20354721511066,4587481.24185007
26,2020-02-17,0,195.4304078510817,2293740.6209250344,False,27,225.07951735995405,4587481.24185007
27,2020-02-18,0,195.4304078510817,2293740.6209250344,False,28,238.73672788014596,4587481.24185007
28,2020-02-19,0,195.4304078510817,2293740.6209250344,False,29,253.22257489851543,4587481.24185007
29,2020-02-20,0,195.4304078510817,2293740.6209250344,False,30,268.58732931998446,4587481.24185007
30,2020-02-21,0,195.4304078510817,2293740.6209250344,False,31,284.88431112018907,4587481.24185007
31,2020-02-22,0,195.4304078510817,2293740.6209250344,False,32,302.1700741907092,4587481.24185007
32,2020-02-23,0,195.4304078510817,2293740.6209250344,False,33,320.50460237907504,4587481.24185007
33,2020-02-24,0,195.4304078510817,2293740.6209250344,False,34,339.9515174001399,4587481.24185007
34,2020-02-25,0,195.4304078510817,2293740.6209250344,False,35,360.5782993361268,4587481.24185007
35,2020-02-26,0,195.4304078510817,2293740.6209250344,False,36,382.45652048580206,4587481.24185007
36,2020-02-27,0,195.4304078510817,2293740.6209250344,False,37,405.6620933689405,4587481.24185007
37,2020-02-28,0,195.4304078510817,2293740.6209250344,False,38,430.27553374069043,4587481.24185007
38,2020-02-29,0,195.4304078510817,2293740.6209250344,False,39,456.3822395217526,4587481.24185007
39,2020-03-01,0,195.4304078510817,2293740.6209250344,False,40,484.0727866046556,4587481.24185007
40,2020-03-02,0,195.4304078510817,2293740.6209250344,False,41,513.4432425539889,4587481.24185007
41,2020-03-03,1,195.4304078510817,2293740.6209250344,False,42,544.5954992794484,4587481.24185007
42,2020-03-04,1,195.4304078510817,2293740.6209250344,False,43,577.637625825146,4587481.24185007
43,2020-03-05,4,195.4304078510817,2293740.6209250344,False,44,612.6842424870377,4587481.24185007
44,2020-03-06,4,195.4304078510817,2293740.6209250344,False,45,649.8569175427739,4587481.24185007
45,2020-03-07,4,195.4304078510817,2293740.6209250344,False,46,689.2845879549475,4587481.24185007
46,2020-03-08,8,195.4304078510817,2293740.6209250344,False,47,731.1040054899397,4587481.24185007
47,2020-03-09,8,195.4304078510817,2293740.6209250344,False,48,775.4602097804807,4587481.24185007
48,2020-03-10,13,195.4304078510817,2293740.6209250344,False,49,822.507029951038,4587481.24185007
49,2020-03-11,23,195.4304078510817,2293740.6209250344,False,50,872.40761652139,4587481.24185007
50,2020-03-12,23,195.4304078510817,2293740.6209250344,False,51,925.335005405621,4587481.24185007
51,2020-03-13,43,195.4304078510817,2293740.6209250344,False,52,981.4727159315403,4587481.24185007
52,2020-03-14,61,195.4304078510817,2293740.6209250344,False,53,1041.0153849195083,4587481.24185007
53,2020-03-15,74,195.4304078510817,2293740.6209250344,False,54,1104.1694389802346,4587481.24185007
54,2020-03-16,155,195.4304078510817,2293740.6209250344,False,55,1171.1538073185714,4587481.24185007
55,2020-03-17,201,195.4304078510817,2293740.6209250344,False,56,1242.2006774651222,4587481.24185007
56,2020-03-18,238,195.4304078510817,2293740.6209250344,False,57,1317.5562964999222,4587481.24185007
57,2020-03-19,238,195.4304078510817,2293740.6209250344,False,58,1397.4818204829853,4587481.24185007
58,2020-03-20,434,195.4304078510817,2293740.6209250344,False,59,1482.254214965571,4587481.24185007
59,2020-03-21,537,195.4304078510817,2293740.6209250344,False,60,1572.167209623977,4587481.24185007
60,2020-03-22,632,195.4304078510817,2293740.6209250344,False,61,1667.5323102350776,4587481.24185007
61,2020-03-23,746,195.4304078510817,2293740.6209250344,False,62,1768.6798714000397,4587481.24185007
62,2020-03-24,922,195.4304078510817,2293740.6209250344,False,63,1875.9602336202943,4587481.24185007
63,2020-03-25,1142,195.4304078510817,2293740.6209250344,False,64,1989.7449285382525,4587481.24185007
64,2020-03-26,1306,195.4304078510817,2293740.6209250344,False,65,2110.42795637516,4587481.24185007
65,2020-03-27,1610,195.4304078510817,2293740.6209250344,False,66,2238.427139830169,4587481.24185007
66,2020-03-28,1909,195.4304078510817,2293740.6209250344,False,67,2374.1855589489755,4587481.24185007
67,2020-03-29,2139,195.4304078510817,2293740.6209250344,False,68,2518.1730717275695,4587481.24185007
68,2020-03-30,2449,195.4304078510817,2293740.6209250344,False,69,2670.887925487439,4587481.24185007
69,2020-03-31,2738,195.4304078510817,2293740.6209250344,False,70,2832.858464343578,4587481.24185007
70,2020-04-01,3031,195.4304078510817,2293740.6209250344,False,71,3004.6449383862987,4587481.24185007
71,2020-04-02,3404,195.4304078510817,2293740.6209250344,False,72,3186.8414205128724,4587481.24185007
72,2020-04-03,3737,195.4304078510817,2293740.6209250344,False,73,3380.077837175971,4587481.24185007
73,2020-04-04,4161,195.4304078510817,2293740.6209250344,False,74,3585.0221196631433,4587481.24185007
74,2020-04-05,4471,195.4304078510817,2293740.6209250344,False,75,3802.3824828860043,4587481.24185007
75,2020-04-06,4815,195.4304078510817,2293740.6209250344,False,76,4032.9098390396944,4587481.24185007
76,2020-04-07,5116,195.4304078510817,2293740.6209250344,False,77,4277.400353893083,4587481.24185007
77,2020-04-08,5546,195.4304078510817,2293740.6209250344,False,78,4536.698153888731,4587481.24185007
78,2020-04-09,5972,195.4304078510817,2293740.6209250344,False,79,4811.698192668919,4587481.24185007
79,2020-04-10,6501,195.4304078510817,2293740.6209250344,False,80,5103.349286100809,4587481.24185007
80,2020-04-11,6927,195.4304078510817,2293740.6209250344,False,81,5412.657325350032,4587481.24185007
81,2020-04-12,7213,195.4304078510817,2293740.6209250344,False,82,5740.688678048081,4587481.24185007
82,2020-04-13,7525,195.4304078510817,2293740.6209250344,False,83,6088.573788114653,4587481.24185007
83,2020-04-14,7917,195.4304078510817,2293740.6209250344,False,84,6457.510985331998,4587481.24185007
84,2020-04-15,8273,195.4304078510817,2293740.6209250344,False,85,6848.770516323541,4587481.24185007
85,2020-04-16,8807,195.4304078510817,2293740.6209250344,False,86,7263.698809163746,4587481.24185007
86,2020-04-17,9252,195.4304078510817,2293740.6209250344,False,87,7703.722984439598,4587481.24185007
87,2020-04-18,9730,195.4304078510817,2293740.6209250344,False,88,8170.355626195166,4587481.24185007
88,2020-04-19,10088,195.4304078510817,2293740.6209250344,False,89,8665.199826818902,4587481.24185007
89,2020-04-20,10507,195.4304078510817,2293740.6209250344,False,90,9189.954520576724,4587481.24185007
90,2020-04-21,10832,195.4304078510817,2293740.6209250344,False,91,9746.42012115092,4587481.24185007
91,2020-04-22,11296,195.4304078510817,2293740.6209250344,False,92,10336.504479213581,4587481.24185007
92,2020-04-23,11812,195.4304078510817,2293740.6209250344,False,93,10962.22917674016,4587481.24185007
93,2020-04-24,12306,195.4304078510817,2293740.6209250344,False,94,11625.736175451799,4587481.24185007
94,2020-04-25,12858,195.4304078510817,2293740.6209250344,False,95,12329.294837459085,4587481.24185007
95,2020-04-26,13331,195.4304078510817,2293740.6209250344,False,96,13075.309336861568,4587481.24185007
96,2020-04-27,13813,195.4304078510817,2293740.6209250344,False,97,13866.326481730117,4587481.24185007
97,2020-04-28,14365,195.4304078510817,2293740.6209250344,False,98,14705.04396655791,4587481.24185007
98,2020-04-29,14885,195.4304078510817,2293740.6209250344,False,99,15594.319075902222,4587481.24185007
99,2020-04-30,16023,195.4304078510817,2293740.6209250344,False,100,16537.177860545267,4587481.24185007
100,2020-05-01,17008,195.4304078510817,2293740.6209250344,False,101,17536.824808068566,4587481.24185007
101,2020-05-02,18435,195.4304078510817,2293740.6209250344,False,102,18596.65303024956,4587481.24185007
102,2020-05-03,19663,195.4304078510817,2293740.6209250344,False,103,19720.254990139965,4587481.24185007
103,2020-05-04,20643,195.4304078510817,2293740.6209250344,False,104,20911.433792056818,4587481.24185007
104,2020-05-05,22016,195.4304078510817,2293740.6209250344,False,105,22174.21505799358,4587481.24185007
105,2020-05-06,23048,195.4304078510817,2293740.6209250344,False,106,23512.859414120187,4587481.24185007
106,2020-05-07,24581,195.4304078510817,2293740.6209250344,False,107,24931.87561106763,4587481.24185007
107,2020-05-08,25972,195.4304078510817,2293740.6209250344,False,108,26436.034301559004,4587481.24185007
108,2020-05-09,27219,195.4304078510817,2293740.6209250344,False,109,28030.382498628747,4587481.24185007
109,2020-05-10,28866,195.4304078510817,2293740.6209250344,False,110,29720.258737134784,4587481.24185007
110,2020-05-11,30063,195.4304078510817,2293740.6209250344,False,111,31511.30896047941,4587481.24185007
111,2020-05-12,31721,195.4304078510817,2293740.6209250344,False,112,33409.50315337776,4587481.24185007
112,2020-05-13,34381,195.4304078510817,2293740.6209250344,False,113,35421.15274010358,4587481.24185007
113,2020-05-14,37040,195.4304078510817,2293740.6209250344,False,114,37552.928765855155,4587481.24185007
114,2020-05-15,39542,195.4304078510817,2293740.6209250344,False,115,39811.88087666734,4587481.24185007
115,2020-05-16,41428,195.4304078510817,2293740.6209250344,False,116,42205.45711058998,4587481.24185007
116,2020-05-17,43781,195.4304078510817,2293740.6209250344,False,117,44741.52450959852,4587481.24185007
117,2020-05-18,46059,195.4304078510817,2293740.6209250344,False,118,47428.39055782592,4587481.24185007
118,2020-05-19,49579,195.4304078510817,2293740.6209250344,False,119,50274.825447133844,4587481.24185007
119,2020-05-20,53617,195.4304078510817,2293740.6209250344,False,120,53290.08516568978,4587481.24185007
120,2020-05-21,57581,195.4304078510817,2293740.6209250344,False,121,56483.935398997426,4587481.24185007
121,2020-05-22,61857,195.4304078510817,2293740.6209250344,False,122,59866.676225642586,4587481.24185007
122,2020-05-23,65393,195.4304078510817,2293740.6209250344,False,123,63449.16758175974,4587481.24185007
