,Report_Date,UK_turks and caicos islands_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,74.79505733230216,6.035287839886367,True,1,0.00014079014454286524,12.069857069188858
1,2020-01-23,0,0,74.79505733230216,6.035287839886367,True,2,0.0001642179963591018,12.069857069188858
2,2020-01-24,0,0,74.79505733230216,6.035287839886367,True,3,0.00019154424271599802,12.069857069188858
3,2020-01-25,0,0,74.79505733230216,6.035287839886367,True,4,0.00022341755416328149,12.069857069188858
4,2020-01-26,0,0,74.79505733230216,6.035287839886367,True,5,0.00026059452827974136,12.069857069188858
5,2020-01-27,0,0,74.79505733230216,6.035287839886367,True,6,0.0003039576438776389,12.069857069188858
6,2020-01-28,0,0,74.79505733230216,6.035287839886367,True,7,0.0003545362009345926,12.069857069188858
7,2020-01-29,0,0,74.79505733230216,6.035287839886367,True,8,0.0004135307423933199,12.069857069188858
8,2020-01-30,0,0,74.79505733230216,6.035287839886367,True,9,0.00048234153627777827,12.069857069188858
9,2020-01-31,0,0,74.79505733230216,6.035287839886367,True,10,0.0005626017924880883,12.069857069188858
10,2020-02-01,0,0,74.79505733230216,6.035287839886367,True,11,0.0006562164003874546,12.069857069188858
11,2020-02-02,0,0,74.79505733230216,6.035287839886367,True,12,0.000765407103473022,12.069857069188858
12,2020-02-03,0,0,74.79505733230216,6.035287839886367,True,13,0.0008927651790351679,12.069857069188858
13,2020-02-04,0,0,74.79505733230216,6.035287839886367,True,14,0.0010413128672405818,12.069857069188858
14,2020-02-05,0,0,74.79505733230216,6.035287839886367,True,15,0.0012145749995582497,12.069857069188858
15,2020-02-06,0,0,74.79505733230216,6.035287839886367,True,16,0.0014166625155499206,12.069857069188858
16,2020-02-07,0,0,74.79505733230216,6.035287839886367,True,17,0.0016523698351553471,12.069857069188858
17,2020-02-08,0,0,74.79505733230216,6.035287839886367,True,18,0.0019272883769271838,12.069857069188858
18,2020-02-09,0,0,74.79505733230216,6.035287839886367,True,19,0.0022479388883530566,12.069857069188858
19,2020-02-10,0,0,74.79505733230216,6.035287839886367,True,20,0.0026219256906363283,12.069857069188858
20,2020-02-11,0,0,74.79505733230216,6.035287839886367,True,21,0.0030581164464630805,12.069857069188858
21,2020-02-12,0,0,74.79505733230216,6.035287839886367,True,22,0.0035668516460380323,12.069857069188858
22,2020-02-13,0,0,74.79505733230216,6.035287839886367,True,23,0.004160188686137154,12.069857069188858
23,2020-02-14,0,0,74.79505733230216,6.035287839886367,True,24,0.00485218620276063,12.069857069188858
24,2020-02-15,0,0,74.79505733230216,6.035287839886367,True,25,0.0056592352254796596,12.069857069188858
25,2020-02-16,0,0,74.79505733230216,6.035287839886367,True,26,0.00660044476774947,12.069857069188858
26,2020-02-17,0,0,74.79505733230216,6.035287839886367,True,27,0.007698090670974833,12.069857069188858
27,2020-02-18,0,0,74.79505733230216,6.035287839886367,True,28,0.008978137901169954,12.069857069188858
28,2020-02-19,0,0,74.79505733230216,6.035287839886367,True,29,0.010470848077104637,12.069857069188858
29,2020-02-20,0,0,74.79505733230216,6.035287839886367,True,30,0.012211485810040138,12.069857069188858
30,2020-02-21,0,0,74.79505733230216,6.035287839886367,True,31,0.014241139479535161,12.069857069188858
31,2020-02-22,0,0,74.79505733230216,6.035287839886367,True,32,0.01660767437782547,12.069857069188858
32,2020-02-23,0,0,74.79505733230216,6.035287839886367,True,33,0.01936683874387565,12.069857069188858
33,2020-02-24,0,0,74.79505733230216,6.035287839886367,True,34,0.02258354608776709,12.069857069188858
34,2020-02-25,0,0,74.79505733230216,6.035287839886367,True,35,0.02633336037626836,12.069857069188858
35,2020-02-26,0,0,74.79505733230216,6.035287839886367,True,36,0.03070421409416609,12.069857069188858
36,2020-02-27,0,0,74.79505733230216,6.035287839886367,True,37,0.03579839287119747,12.069857069188858
37,2020-02-28,0,0,74.79505733230216,6.035287839886367,True,38,0.04173482419296571,12.069857069188858
38,2020-02-29,0,0,74.79505733230216,6.035287839886367,True,39,0.04865171156628847,12.069857069188858
39,2020-03-01,0,0,74.79505733230216,6.035287839886367,True,40,0.05670955918341613,12.069857069188858
40,2020-03-02,0,0,74.79505733230216,6.035287839886367,True,41,0.06609463532510373,12.069857069188858
41,2020-03-03,0,0,74.79505733230216,6.035287839886367,True,42,0.0770229250255713,12.069857069188858
42,2020-03-04,0,0,74.79505733230216,6.035287839886367,True,43,0.08974462328047494,12.069857069188858
43,2020-03-05,0,0,74.79505733230216,6.035287839886367,True,44,0.10454921846512212,12.069857069188858
44,2020-03-06,0,0,74.79505733230216,6.035287839886367,True,45,0.12177121049410863,12.069857069188858
45,2020-03-07,0,0,74.79505733230216,6.035287839886367,True,46,0.1417964980606375,12.069857069188858
46,2020-03-08,0,0,74.79505733230216,6.035287839886367,True,47,0.16506945203296994,12.069857069188858
47,2020-03-09,0,0,74.79505733230216,6.035287839886367,True,48,0.19210066517295327,12.069857069188858
48,2020-03-10,0,0,74.79505733230216,6.035287839886367,True,49,0.22347532853196386,12.069857069188858
49,2020-03-11,0,0,74.79505733230216,6.035287839886367,True,50,0.2598621282071732,12.069857069188858
50,2020-03-12,0,0,74.79505733230216,6.035287839886367,True,51,0.3020224779280087,12.069857069188858
51,2020-03-13,0,0,74.79505733230216,6.035287839886367,True,52,0.3508197979330162,12.069857069188858
52,2020-03-14,0,0,74.79505733230216,6.035287839886367,True,53,0.4072284133018605,12.069857069188858
53,2020-03-15,0,0,74.79505733230216,6.035287839886367,True,54,0.47234147028004436,12.069857069188858
54,2020-03-16,0,0,74.79505733230216,6.035287839886367,True,55,0.5473770537353568,12.069857069188858
55,2020-03-17,0,0,74.79505733230216,6.035287839886367,True,56,0.6336814327121842,12.069857069188858
56,2020-03-18,0,0,74.79505733230216,6.035287839886367,True,57,0.7327280702131808,12.069857069188858
57,2020-03-19,0,0,74.79505733230216,6.035287839886367,True,58,0.8461107236932273,12.069857069188858
58,2020-03-20,0,0,74.79505733230216,6.035287839886367,True,59,0.9755286644095162,12.069857069188858
59,2020-03-21,0,0,74.79505733230216,6.035287839886367,True,60,1.1227618060410236,12.069857069188858
60,2020-03-22,0,0,74.79505733230216,6.035287839886367,True,61,1.289633428675227,12.069857069188858
61,2020-03-23,0,0,74.79505733230216,6.035287839886367,True,62,1.4779583113649304,12.069857069188858
62,2020-03-24,0,0,74.79505733230216,6.035287839886367,True,63,1.6894745642768507,12.069857069188858
63,2020-03-25,0,0,74.79505733230216,6.035287839886367,True,64,1.9257584071247553,12.069857069188858
64,2020-03-26,0,0,74.79505733230216,6.035287839886367,True,65,2.1881226821436135,12.069857069188858
65,2020-03-27,0,0,74.79505733230216,6.035287839886367,True,66,2.4775020636556717,12.069857069188858
66,2020-03-28,4,4,74.79505733230216,6.035287839886367,True,67,2.7943306613276935,12.069857069188858
67,2020-03-29,4,4,74.79505733230216,6.035287839886367,True,68,3.138420764624192,12.069857069188858
68,2020-03-30,5,5,74.79505733230216,6.035287839886367,True,69,3.508854383013766,12.069857069188858
69,2020-03-31,5,5,74.79505733230216,6.035287839886367,True,70,3.9039013409782277,12.069857069188858
70,2020-04-01,6,6,74.79505733230216,6.035287839886367,True,71,4.3209782216520365,12.069857069188858
71,2020-04-02,5,5,74.79505733230216,6.035287839886367,True,72,4.756660727809771,12.069857069188858
72,2020-04-03,5,5,74.79505733230216,6.035287839886367,True,73,5.20675768207029,12.069857069188858
73,2020-04-04,5,5,74.79505733230216,6.035287839886367,True,74,5.666448128903087,12.069857069188858
74,2020-04-05,5,4,74.79505733230216,6.035287839886367,True,75,6.130474734132011,12.069857069188858
75,2020-04-06,8,7,74.79505733230216,6.035287839886367,True,76,6.593378409241201,12.069857069188858
76,2020-04-07,8,7,74.79505733230216,6.035287839886367,True,77,7.049752583485371,12.069857069188858
