,Report_Date,Jordan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
27,2020-02-18,0,66.7229355118194,214.6856566945419,True,28,0.5376725605635668,411.7899747169371
28,2020-02-19,0,66.7229355118194,214.6856566945419,True,29,0.6387813323973968,411.7899747169371
29,2020-02-20,0,66.7229355118194,214.6856566945419,True,30,0.758869858376796,411.7899747169371
30,2020-02-21,0,66.7229355118194,214.6856566945419,True,31,0.90148711221114,411.7899747169371
31,2020-02-22,0,66.7229355118194,214.6856566945419,True,32,1.070839997275349,411.7899747169371
32,2020-02-23,0,66.7229355118194,214.6856566945419,True,33,1.2719129829438365,411.7899747169371
33,2020-02-24,0,66.7229355118194,214.6856566945419,True,34,1.5106085345627103,411.7899747169371
34,2020-02-25,0,66.7229355118194,214.6856566945419,True,35,1.793911552416398,411.7899747169371
35,2020-02-26,0,66.7229355118194,214.6856566945419,True,36,2.1300813620596193,411.7899747169371
36,2020-02-27,0,66.7229355118194,214.6856566945419,True,37,2.5288750789974164,411.7899747169371
37,2020-02-28,0,66.7229355118194,214.6856566945419,True,38,3.0018063561301833,411.7899747169371
38,2020-02-29,0,66.7229355118194,214.6856566945419,True,39,3.562443541069623,411.7899747169371
39,2020-03-01,0,66.7229355118194,214.6856566945419,True,40,4.226751019944976,411.7899747169371
40,2020-03-02,0,66.7229355118194,214.6856566945419,True,41,5.013476861328916,411.7899747169371
41,2020-03-03,1,66.7229355118194,214.6856566945419,True,42,5.944588602286166,411.7899747169371
42,2020-03-04,1,66.7229355118194,214.6856566945419,True,43,7.045756876180097,411.7899747169371
43,2020-03-05,1,66.7229355118194,214.6856566945419,True,44,8.346883227852656,411.7899747169371
44,2020-03-06,1,66.7229355118194,214.6856566945419,True,45,9.88266346714323,411.7899747169371
45,2020-03-07,1,66.7229355118194,214.6856566945419,True,46,11.693170759556843,411.7899747169371
46,2020-03-08,1,66.7229355118194,214.6856566945419,True,47,13.824432757803258,411.7899747169371
47,2020-03-09,1,66.7229355118194,214.6856566945419,True,48,16.32896383953997,411.7899747169371
48,2020-03-10,1,66.7229355118194,214.6856566945419,True,49,19.266196429173114,411.7899747169371
49,2020-03-11,1,66.7229355118194,214.6856566945419,True,50,22.70273422732807,411.7899747169371
50,2020-03-12,1,66.7229355118194,214.6856566945419,True,51,26.712325330158585,411.7899747169371
51,2020-03-13,1,66.7229355118194,214.6856566945419,True,52,31.375426119076785,411.7899747169371
52,2020-03-14,1,66.7229355118194,214.6856566945419,True,53,36.778200505664785,411.7899747169371
53,2020-03-15,8,66.7229355118194,214.6856566945419,True,54,43.01077900342836,411.7899747169371
54,2020-03-16,17,66.7229355118194,214.6856566945419,True,55,50.16459643826784,411.7899747169371
55,2020-03-17,34,66.7229355118194,214.6856566945419,True,56,58.32864722313425,411.7899747169371
56,2020-03-18,52,66.7229355118194,214.6856566945419,True,57,67.5845565724157,411.7899747169371
57,2020-03-19,69,66.7229355118194,214.6856566945419,True,58,78.00047817627424,411.7899747169371
58,2020-03-20,85,66.7229355118194,214.6856566945419,True,59,89.6240021669159,411.7899747169371
59,2020-03-21,85,66.7229355118194,214.6856566945419,True,60,102.47448834530492,411.7899747169371
60,2020-03-22,112,66.7229355118194,214.6856566945419,True,61,116.53550552645882,411.7899747169371
61,2020-03-23,127,66.7229355118194,214.6856566945419,True,62,131.7483099603081,411.7899747169371
62,2020-03-24,154,66.7229355118194,214.6856566945419,True,63,148.00746142050065,411.7899747169371
63,2020-03-25,172,66.7229355118194,214.6856566945419,True,64,165.1596713243842,411.7899747169371
64,2020-03-26,212,66.7229355118194,214.6856566945419,True,65,183.00673599433037,411.7899747169371
65,2020-03-27,235,66.7229355118194,214.6856566945419,True,66,201.3129135697455,411.7899747169371
66,2020-03-28,246,66.7229355118194,214.6856566945419,True,67,219.81641719923996,411.7899747169371
67,2020-03-29,259,66.7229355118194,214.6856566945419,True,68,238.24396252478584,411.7899747169371
68,2020-03-30,268,66.7229355118194,214.6856566945419,True,69,256.32671259968754,411.7899747169371
69,2020-03-31,274,66.7229355118194,214.6856566945419,True,70,273.81567876404296,411.7899747169371
70,2020-04-01,278,66.7229355118194,214.6856566945419,True,71,290.49474768954633,411.7899747169371
71,2020-04-02,299,66.7229355118194,214.6856566945419,True,72,306.1899787162104,411.7899747169371
72,2020-04-03,310,66.7229355118194,214.6856566945419,True,73,320.7745117989492,411.7899747169371
73,2020-04-04,323,66.7229355118194,214.6856566945419,True,74,334.16915555583586,411.7899747169371
74,2020-04-05,345,66.7229355118194,214.6856566945419,True,75,346.3393176025295,411.7899747169371
