,Report_Date,Jordan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.7229355118194,214.6856566945419,True,1,0.005102283850699392,411.7899747169371
1,2020-01-23,0,66.7229355118194,214.6856566945419,True,2,0.006063179066924612,411.7899747169371
2,2020-01-24,0,66.7229355118194,214.6856566945419,True,3,0.007205033271262169,411.7899747169371
3,2020-01-25,0,66.7229355118194,214.6856566945419,True,4,0.008561924011717955,411.7899747169371
4,2020-01-26,0,66.7229355118194,214.6856566945419,True,5,0.010174345682246644,411.7899747169371
5,2020-01-27,0,66.7229355118194,214.6856566945419,True,6,0.012090417610520526,411.7899747169371
6,2020-01-28,0,66.7229355118194,214.6856566945419,True,7,0.014367319502563876,411.7899747169371
7,2020-01-29,0,66.7229355118194,214.6856566945419,True,8,0.017072996995724773,411.7899747169371
8,2020-01-30,0,66.7229355118194,214.6856566945419,True,9,0.020288188095426613,411.7899747169371
9,2020-01-31,0,66.7229355118194,214.6856566945419,True,10,0.024108830794982244,411.7899747169371
10,2020-02-01,0,66.7229355118194,214.6856566945419,True,11,0.0286489234792909,411.7899747169371
11,2020-02-02,0,66.7229355118194,214.6856566945419,True,12,0.0340439231207094,411.7899747169371
12,2020-02-03,0,66.7229355118194,214.6856566945419,True,13,0.04045478217615306,411.7899747169371
13,2020-02-04,0,66.7229355118194,214.6856566945419,True,14,0.048072743945042816,411.7899747169371
14,2020-02-05,0,66.7229355118194,214.6856566945419,True,15,0.057125038485183945,411.7899747169371
15,2020-02-06,0,66.7229355118194,214.6856566945419,True,16,0.06788164763873362,411.7899747169371
16,2020-02-07,0,66.7229355118194,214.6856566945419,True,17,0.08066333903188855,411.7899747169371
17,2020-02-08,0,66.7229355118194,214.6856566945419,True,18,0.0958512059426876,411.7899747169371
18,2020-02-09,0,66.7229355118194,214.6856566945419,True,19,0.11389799368556912,411.7899747169371
19,2020-02-10,0,66.7229355118194,214.6856566945419,True,20,0.13534154480248017,411.7899747169371
20,2020-02-11,0,66.7229355118194,214.6856566945419,True,21,0.1608207562188817,411.7899747169371
21,2020-02-12,0,66.7229355118194,214.6856566945419,True,22,0.19109451315265694,411.7899747169371
22,2020-02-13,0,66.7229355118194,214.6856566945419,True,23,0.22706414869401745,411.7899747169371
23,2020-02-14,0,66.7229355118194,214.6856566945419,True,24,0.2698000765548742,411.7899747169371
24,2020-02-15,0,66.7229355118194,214.6856566945419,True,25,0.32057335966959855,411.7899747169371
25,2020-02-16,0,66.7229355118194,214.6856566945419,True,26,0.38089311144344307,411.7899747169371
26,2020-02-17,0,66.7229355118194,214.6856566945419,True,27,0.45255078193362386,411.7899747169371
