,Report_Date,Czechia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.88838630969158,4250.48473606173,False,1,0.09955461667902965,8500.969472123457
1,2020-01-23,0,72.88838630969158,4250.48473606173,False,2,0.11658926601247098,8500.969472123457
2,2020-01-24,0,72.88838630969158,4250.48473606173,False,3,0.13653864322908835,8500.969472123457
3,2020-01-25,0,72.88838630969158,4250.48473606173,False,4,0.15990145788264148,8500.969472123457
4,2020-01-26,0,72.88838630969158,4250.48473606173,False,5,0.18726174220437322,8500.969472123457
5,2020-01-27,0,72.88838630969158,4250.48473606173,False,6,0.21930344629623708,8500.969472123457
6,2020-01-28,0,72.88838630969158,4250.48473606173,False,7,0.2568275290684337,8500.969472123457
7,2020-01-29,0,72.88838630969158,4250.48473606173,False,8,0.3007719713564935,8500.969472123457
8,2020-01-30,0,72.88838630969158,4250.48473606173,False,9,0.35223521039288175,8500.969472123457
9,2020-01-31,0,72.88838630969158,4250.48473606173,False,10,0.4125035799097482,8500.969472123457
10,2020-02-01,0,72.88838630969158,4250.48473606173,False,11,0.4830834396968259,8500.969472123457
11,2020-02-02,0,72.88838630969158,4250.48473606173,False,12,0.565738794860355,8500.969472123457
12,2020-02-03,0,72.88838630969158,4250.48473606173,False,13,0.6625353411535867,8500.969472123457
13,2020-02-04,0,72.88838630969158,4250.48473606173,False,14,0.7758920318673438,8500.969472123457
14,2020-02-05,0,72.88838630969158,4250.48473606173,False,15,0.9086414477036548,8500.969472123457
15,2020-02-06,0,72.88838630969158,4250.48473606173,False,16,1.0641004682431627,8500.969472123457
16,2020-02-07,0,72.88838630969158,4250.48473606173,False,17,1.2461529971971368,8500.969472123457
17,2020-02-08,0,72.88838630969158,4250.48473606173,False,18,1.4593467895489793,8500.969472123457
18,2020-02-09,0,72.88838630969158,4250.48473606173,False,19,1.7090067737906138,8500.969472123457
19,2020-02-10,0,72.88838630969158,4250.48473606173,False,20,2.001367664626364,8500.969472123457
20,2020-02-11,0,72.88838630969158,4250.48473606173,False,21,2.343729129781563,8500.969472123457
21,2020-02-12,0,72.88838630969158,4250.48473606173,False,22,2.7446373192201587,8500.969472123457
22,2020-02-13,0,72.88838630969158,4250.48473606173,False,23,3.2140971978426407,8500.969472123457
23,2020-02-14,0,72.88838630969158,4250.48473606173,False,24,3.7638208567956113,8500.969472123457
24,2020-02-15,0,72.88838630969158,4250.48473606173,False,25,4.407517828635369,8500.969472123457
25,2020-02-16,0,72.88838630969158,4250.48473606173,False,26,5.161234414088877,8500.969472123457
26,2020-02-17,0,72.88838630969158,4250.48473606173,False,27,6.043750160892485,8500.969472123457
27,2020-02-18,0,72.88838630969158,4250.48473606173,False,28,7.077040937304999,8500.969472123457
28,2020-02-19,0,72.88838630969158,4250.48473606173,False,29,8.286819534415901,8500.969472123457
29,2020-02-20,0,72.88838630969158,4250.48473606173,False,30,9.703166432506517,8500.969472123457
30,2020-02-21,0,72.88838630969158,4250.48473606173,False,31,11.361265296723586,8500.969472123457
31,2020-02-22,0,72.88838630969158,4250.48473606173,False,32,13.302259942757695,8500.969472123457
32,2020-02-23,0,72.88838630969158,4250.48473606173,False,33,15.574251945406651,8500.969472123457
33,2020-02-24,0,72.88838630969158,4250.48473606173,False,34,18.233460754207172,8500.969472123457
34,2020-02-25,0,72.88838630969158,4250.48473606173,False,35,21.345571118858985,8500.969472123457
35,2020-02-26,0,72.88838630969158,4250.48473606173,False,36,24.987295779414104,8500.969472123457
36,2020-02-27,0,72.88838630969158,4250.48473606173,False,37,29.24818467674211,8500.969472123457
37,2020-02-28,0,72.88838630969158,4250.48473606173,False,38,34.232715276321855,8500.969472123457
38,2020-02-29,0,72.88838630969158,4250.48473606173,False,39,40.06270179693266,8500.969472123457
39,2020-03-01,3,72.88838630969158,4250.48473606173,False,40,46.88006392950693,8500.969472123457
40,2020-03-02,3,72.88838630969158,4250.48473606173,False,41,54.84999763174389,8500.969472123457
41,2020-03-03,5,72.88838630969158,4250.48473606173,False,42,64.1645912374826,8500.969472123457
42,2020-03-04,8,72.88838630969158,4250.48473606173,False,43,75.04692865408023,8500.969472123457
43,2020-03-05,12,72.88838630969158,4250.48473606173,False,44,87.75571677947205,8500.969472123457
44,2020-03-06,18,72.88838630969158,4250.48473606173,False,45,102.59046503382474,8500.969472123457
45,2020-03-07,19,72.88838630969158,4250.48473606173,False,46,119.89722919825738,8500.969472123457
46,2020-03-08,31,72.88838630969158,4250.48473606173,False,47,140.0749071711918,8500.969472123457
47,2020-03-09,31,72.88838630969158,4250.48473606173,False,48,163.58203775138614,8500.969472123457
48,2020-03-10,41,72.88838630969158,4250.48473606173,False,49,190.94400141951306,8500.969472123457
49,2020-03-11,91,72.88838630969158,4250.48473606173,False,50,222.7604499487218,8500.969472123457
50,2020-03-12,94,72.88838630969158,4250.48473606173,False,51,259.71269466783065,8500.969472123457
51,2020-03-13,141,72.88838630969158,4250.48473606173,False,52,302.57065636367,8500.969472123457
52,2020-03-14,189,72.88838630969158,4250.48473606173,False,53,352.1988188193085,8500.969472123457
53,2020-03-15,253,72.88838630969158,4250.48473606173,False,54,409.56043043072054,8500.969472123457
54,2020-03-16,298,72.88838630969158,4250.48473606173,False,55,475.7189656997571,8500.969472123457
55,2020-03-17,396,72.88838630969158,4250.48473606173,False,56,551.8355988739918,8500.969472123457
56,2020-03-18,464,72.88838630969158,4250.48473606173,False,57,639.161174322496,8500.969472123457
