,Report_Date,Bulgaria_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,98.01201496557323,1389.1634849487366,True,1,2.6971919336405668,2627.7155170451247
1,2020-01-23,0,0,98.01201496557323,1389.1634849487366,True,2,2.896896239063801,2627.7155170451247
2,2020-01-24,0,0,98.01201496557323,1389.1634849487366,True,3,3.111370388333965,2627.7155170451247
3,2020-01-25,0,0,98.01201496557323,1389.1634849487366,True,4,3.3417041930741536,2627.7155170451247
4,2020-01-26,0,0,98.01201496557323,1389.1634849487366,True,5,3.5890674873846624,2627.7155170451247
5,2020-01-27,0,0,98.01201496557323,1389.1634849487366,True,6,3.8547159437302074,2627.7155170451247
6,2020-01-28,0,0,98.01201496557323,1389.1634849487366,True,7,4.139997302287455,2627.7155170451247
7,2020-01-29,0,0,98.01201496557323,1389.1634849487366,True,8,4.446358041719162,2627.7155170451247
8,2020-01-30,0,0,98.01201496557323,1389.1634849487366,True,9,4.775350521008823,2627.7155170451247
9,2020-01-31,0,0,98.01201496557323,1389.1634849487366,True,10,5.128640623720189,2627.7155170451247
10,2020-02-01,0,0,98.01201496557323,1389.1634849487366,True,11,5.508015937835071,2627.7155170451247
11,2020-02-02,0,0,98.01201496557323,1389.1634849487366,True,12,5.915394506164525,2627.7155170451247
12,2020-02-03,0,0,98.01201496557323,1389.1634849487366,True,13,6.3528341842149985,2627.7155170451247
13,2020-02-04,0,0,98.01201496557323,1389.1634849487366,True,14,6.822542644312342,2627.7155170451247
14,2020-02-05,0,0,98.01201496557323,1389.1634849487366,True,15,7.326888066729818,2627.7155170451247
15,2020-02-06,0,0,98.01201496557323,1389.1634849487366,True,16,7.868410560515803,2627.7155170451247
16,2020-02-07,0,0,98.01201496557323,1389.1634849487366,True,17,8.449834358653204,2627.7155170451247
17,2020-02-08,0,0,98.01201496557323,1389.1634849487366,True,18,9.074080834082194,2627.7155170451247
18,2020-02-09,0,0,98.01201496557323,1389.1634849487366,True,19,9.744282384952081,2627.7155170451247
19,2020-02-10,0,0,98.01201496557323,1389.1634849487366,True,20,10.463797239203275,2627.7155170451247
20,2020-02-11,0,0,98.01201496557323,1389.1634849487366,True,21,11.236225230175473,2627.7155170451247
21,2020-02-12,0,0,98.01201496557323,1389.1634849487366,True,22,12.065424596345677,2627.7155170451247
