,Report_Date,Iran_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.57273433653828,45746.8780331684,True,1,30.17863370389968,88161.59221528584
1,2020-01-23,0,70.57273433653828,45746.8780331684,True,2,33.862883270848045,88161.59221528584
2,2020-01-24,0,70.57273433653828,45746.8780331684,True,3,37.9967242965447,88161.59221528584
3,2020-01-25,0,70.57273433653828,45746.8780331684,True,4,42.634972328656175,88161.59221528584
4,2020-01-26,0,70.57273433653828,45746.8780331684,True,5,47.839113655590445,88161.59221528584
5,2020-01-27,0,70.57273433653828,45746.8780331684,True,6,53.67811385059327,88161.59221528584
6,2020-01-28,0,70.57273433653828,45746.8780331684,True,7,60.2293234759442,88161.59221528584
7,2020-01-29,0,70.57273433653828,45746.8780331684,True,8,67.57949240415059,88161.59221528584
8,2020-01-30,0,70.57273433653828,45746.8780331684,True,9,75.8259055069704,88161.59221528584
9,2020-01-31,0,70.57273433653828,45746.8780331684,True,10,85.07765388806642,88161.59221528584
10,2020-02-01,0,70.57273433653828,45746.8780331684,True,11,95.45705740024036,88161.59221528584
11,2020-02-02,0,70.57273433653828,45746.8780331684,True,12,107.10125590203002,88161.59221528584
12,2020-02-03,0,70.57273433653828,45746.8780331684,True,13,120.16398857837704,88161.59221528584
13,2020-02-04,0,70.57273433653828,45746.8780331684,True,14,134.81758268169577,88161.59221528584
14,2020-02-05,0,70.57273433653828,45746.8780331684,True,15,151.25517524594989,88161.59221528584
15,2020-02-06,0,70.57273433653828,45746.8780331684,True,16,169.69319368642496,88161.59221528584
16,2020-02-07,0,70.57273433653828,45746.8780331684,True,17,190.37412371566992,88161.59221528584
17,2020-02-08,0,70.57273433653828,45746.8780331684,True,18,213.5695956683402,88161.59221528584
18,2020-02-09,0,70.57273433653828,45746.8780331684,True,19,239.5838231116961,88161.59221528584
19,2020-02-10,0,70.57273433653828,45746.8780331684,True,20,268.75743048909527,88161.59221528584
20,2020-02-11,0,70.57273433653828,45746.8780331684,True,21,301.47170944958714,88161.59221528584
21,2020-02-12,0,70.57273433653828,45746.8780331684,True,22,338.1533463854336,88161.59221528584
22,2020-02-13,0,70.57273433653828,45746.8780331684,True,23,379.2796664322694,88161.59221528584
23,2020-02-14,0,70.57273433653828,45746.8780331684,True,24,425.384441651322,88161.59221528584
24,2020-02-15,0,70.57273433653828,45746.8780331684,True,25,477.06431313520557,88161.59221528584
25,2020-02-16,0,70.57273433653828,45746.8780331684,True,26,534.9858781315218,88161.59221528584
26,2020-02-17,0,70.57273433653828,45746.8780331684,True,27,599.8934936705256,88161.59221528584
27,2020-02-18,0,70.57273433653828,45746.8780331684,True,28,672.6178472441914,88161.59221528584
28,2020-02-19,2,70.57273433653828,45746.8780331684,True,29,754.0853423483135,88161.59221528584
29,2020-02-20,5,70.57273433653828,45746.8780331684,True,30,845.3283415863741,88161.59221528584
30,2020-02-21,18,70.57273433653828,45746.8780331684,True,31,947.4963018277855,88161.59221528584
31,2020-02-22,28,70.57273433653828,45746.8780331684,True,32,1061.86782373942,88161.59221528584
32,2020-02-23,43,70.57273433653828,45746.8780331684,True,33,1189.8636208122164,88161.59221528584
33,2020-02-24,61,70.57273433653828,45746.8780331684,True,34,1333.0603895245074,88161.59221528584
34,2020-02-25,95,70.57273433653828,45746.8780331684,True,35,1493.205531038843,88161.59221528584
35,2020-02-26,139,70.57273433653828,45746.8780331684,True,36,1672.2326341049195,88161.59221528584
36,2020-02-27,245,70.57273433653828,45746.8780331684,True,37,1872.2775766931113,88161.59221528584
37,2020-02-28,388,70.57273433653828,45746.8780331684,True,38,2095.6950381604665,88161.59221528584
38,2020-02-29,593,70.57273433653828,45746.8780331684,True,39,2345.075132153528,88161.59221528584
39,2020-03-01,978,70.57273433653828,45746.8780331684,True,40,2623.259770633008,88161.59221528584
40,2020-03-02,1501,70.57273433653828,45746.8780331684,True,41,2933.3582491362117,88161.59221528584
41,2020-03-03,2336,70.57273433653828,45746.8780331684,True,42,3278.761400818625,88161.59221528584
42,2020-03-04,2922,70.57273433653828,45746.8780331684,True,43,3663.153500813326,88161.59221528584
43,2020-03-05,3513,70.57273433653828,45746.8780331684,True,44,4090.5209131252186,88161.59221528584
44,2020-03-06,4747,70.57273433653828,45746.8780331684,True,45,4565.156261633244,88161.59221528584
45,2020-03-07,5823,70.57273433653828,45746.8780331684,True,46,5091.656679526774,88161.59221528584
46,2020-03-08,6566,70.57273433653828,45746.8780331684,True,47,5674.914456098322,88161.59221528584
47,2020-03-09,7161,70.57273433653828,45746.8780331684,True,48,6320.098169579602,88161.59221528584
48,2020-03-10,8042,70.57273433653828,45746.8780331684,True,49,7032.622189060499,88161.59221528584
49,2020-03-11,9000,70.57273433653828,45746.8780331684,True,50,7818.10227411898,88161.59221528584
50,2020-03-12,10075,70.57273433653828,45746.8780331684,True,51,8682.294932305153,88161.59221528584
51,2020-03-13,11364,70.57273433653828,45746.8780331684,True,52,9631.018254949744,88161.59221528584
52,2020-03-14,12729,70.57273433653828,45746.8780331684,True,53,10670.052191012803,88161.59221528584
53,2020-03-15,13938,70.57273433653828,45746.8780331684,True,54,11805.01669152181,88161.59221528584
54,2020-03-16,14991,70.57273433653828,45746.8780331684,True,55,13041.226917885026,88161.59221528584
55,2020-03-17,16169,70.57273433653828,45746.8780331684,True,56,14383.525802274537,88161.59221528584
56,2020-03-18,17361,70.57273433653828,45746.8780331684,True,57,15836.095704925227,88161.59221528584
57,2020-03-19,18407,70.57273433653828,45746.8780331684,True,58,17402.25272717322,88161.59221528584
58,2020-03-20,19644,70.57273433653828,45746.8780331684,True,59,19084.229359249275,88161.59221528584
59,2020-03-21,20610,70.57273433653828,45746.8780331684,True,60,20882.953456607327,88161.59221528584
60,2020-03-22,21638,70.57273433653828,45746.8780331684,True,61,22797.833866298777,88161.59221528584
61,2020-03-23,23049,70.57273433653828,45746.8780331684,True,62,24826.56511340691,88161.59221528584
62,2020-03-24,24811,70.57273433653828,45746.8780331684,True,63,26964.965096927015,88161.59221528584
63,2020-03-25,27017,70.57273433653828,45746.8780331684,True,64,29206.860396952452,88161.59221528584
64,2020-03-26,29406,70.57273433653828,45746.8780331684,True,65,31544.03324257702,88161.59221528584
65,2020-03-27,32332,70.57273433653828,45746.8780331684,True,66,33966.24219572658,88161.59221528584
66,2020-03-28,35408,70.57273433653828,45746.8780331684,True,67,36461.32508059711,88161.59221528584
67,2020-03-29,38309,70.57273433653828,45746.8780331684,True,68,39015.38774529707,88161.59221528584
68,2020-03-30,41495,70.57273433653828,45746.8780331684,True,69,41613.076228273225,88161.59221528584
69,2020-03-31,44605,70.57273433653828,45746.8780331684,True,70,44237.92338442051,88161.59221528584
70,2020-04-01,47593,70.57273433653828,45746.8780331684,True,71,46872.75473137237,88161.59221528584
71,2020-04-02,50468,70.57273433653828,45746.8780331684,True,72,49500.13298671304,88161.59221528584
72,2020-04-03,53183,70.57273433653828,45746.8780331684,True,73,52102.81718612672,88161.59221528584
73,2020-04-04,55743,70.57273433653828,45746.8780331684,True,74,54664.210898762794,88161.59221528584
74,2020-04-05,58226,70.57273433653828,45746.8780331684,True,75,57168.77508452996,88161.59221528584
75,2020-04-06,60500,70.57273433653828,45746.8780331684,True,76,59602.38442230562,88161.59221528584
76,2020-04-07,62589,70.57273433653828,45746.8780331684,True,77,61952.61101941096,88161.59221528584
77,2020-04-08,64586,70.57273433653828,45746.8780331684,True,78,64208.92560920455,88161.59221528584
78,2020-04-09,66220,70.57273433653828,45746.8780331684,True,79,66362.81287665662,88161.59221528584
79,2020-04-10,68192,70.57273433653828,45746.8780331684,True,80,68407.80367900174,88161.59221528584
80,2020-04-11,70029,70.57273433653828,45746.8780331684,True,81,70339.43205457473,88161.59221528584
81,2020-04-12,71686,70.57273433653828,45746.8780331684,True,82,72155.12865711926,88161.59221528584
82,2020-04-13,73303,70.57273433653828,45746.8780331684,True,83,73854.06446854593,88161.59221528584
83,2020-04-14,74877,70.57273433653828,45746.8780331684,True,84,75436.95939335493,88161.59221528584
84,2020-04-15,76389,70.57273433653828,45746.8780331684,True,85,76905.86984217701,88161.59221528584
85,2020-04-16,77995,70.57273433653828,45746.8780331684,True,86,78263.9679804039,88161.59221528584
86,2020-04-17,79494,70.57273433653828,45746.8780331684,True,87,79515.32328891888,88161.59221528584
87,2020-04-18,80868,70.57273433653828,45746.8780331684,True,88,80664.69477374856,88161.59221528584
88,2020-04-19,82211,70.57273433653828,45746.8780331684,True,89,81717.33983179588,88161.59221528584
