,Report_Date,Netherlands_aruba_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.9231180709176,51.69017840393781,True,1,0.0012159950104412114,102.90113429278443
1,2020-01-23,0,70.9231180709176,51.69017840393781,True,2,0.0014303086565030886,102.90113429278443
2,2020-01-24,0,70.9231180709176,51.69017840393781,True,3,0.0016823935031233695,102.90113429278443
3,2020-01-25,0,70.9231180709176,51.69017840393781,True,4,0.001978906210246284,102.90113429278443
4,2020-01-26,0,70.9231180709176,51.69017840393781,True,5,0.0023276764930899364,102.90113429278443
5,2020-01-27,0,70.9231180709176,51.69017840393781,True,6,0.002737913806551009,102.90113429278443
6,2020-01-28,0,70.9231180709176,51.69017840393781,True,7,0.0032204504327004607,102.90113429278443
7,2020-01-29,0,70.9231180709176,51.69017840393781,True,8,0.0037880273779027623,102.90113429278443
8,2020-01-30,0,70.9231180709176,51.69017840393781,True,9,0.004455630611610753,102.90113429278443
9,2020-01-31,0,70.9231180709176,51.69017840393781,True,10,0.0052408865013910556,102.90113429278443
10,2020-02-01,0,70.9231180709176,51.69017840393781,True,11,0.006164526852407371,102.90113429278443
11,2020-02-02,0,70.9231180709176,51.69017840393781,True,12,0.007250935784438672,102.90113429278443
12,2020-02-03,0,70.9231180709176,51.69017840393781,True,13,0.008528792822314208,102.90113429278443
13,2020-02-04,0,70.9231180709176,51.69017840393781,True,14,0.010031829091039689,102.90113429278443
14,2020-02-05,0,70.9231180709176,51.69017840393781,True,15,0.011799716458593063,102.90113429278443
15,2020-02-06,0,70.9231180709176,51.69017840393781,True,16,0.01387911293159445,102.90113429278443
16,2020-02-07,0,70.9231180709176,51.69017840393781,True,17,0.016324891668065965,102.90113429278443
17,2020-02-08,0,70.9231180709176,51.69017840393781,True,18,0.019201585727339158,102.90113429278443
18,2020-02-09,0,70.9231180709176,51.69017840393781,True,19,0.022585086245558373,102.90113429278443
19,2020-02-10,0,70.9231180709176,51.69017840393781,True,20,0.02656463823957075,102.90113429278443
20,2020-02-11,0,70.9231180709176,51.69017840393781,True,21,0.03124518585546516,102.90113429278443
21,2020-02-12,0,70.9231180709176,51.69017840393781,True,22,0.03675012776563698,102.90113429278443
22,2020-02-13,0,70.9231180709176,51.69017840393781,True,23,0.04322455377875878,102.90113429278443
23,2020-02-14,0,70.9231180709176,51.69017840393781,True,24,0.05083904578439258,102.90113429278443
24,2020-02-15,0,70.9231180709176,51.69017840393781,True,25,0.059794140158116175,102.90113429278443
25,2020-02-16,0,70.9231180709176,51.69017840393781,True,26,0.07032556497933382,102.90113429278443
26,2020-02-17,0,70.9231180709176,51.69017840393781,True,27,0.0827103841607456,102.90113429278443
27,2020-02-18,0,70.9231180709176,51.69017840393781,True,28,0.09727420217156121,102.90113429278443
28,2020-02-19,0,70.9231180709176,51.69017840393781,True,29,0.11439960777924232,102.90113429278443
29,2020-02-20,0,70.9231180709176,51.69017840393781,True,30,0.13453606345109909,102.90113429278443
30,2020-02-21,0,70.9231180709176,51.69017840393781,True,31,0.15821147902687466,102.90113429278443
31,2020-02-22,0,70.9231180709176,51.69017840393781,True,32,0.1860457442021188,102.90113429278443
32,2020-02-23,0,70.9231180709176,51.69017840393781,True,33,0.2187665343240518,102.90113429278443
33,2020-02-24,0,70.9231180709176,51.69017840393781,True,34,0.2572277478571437,102.90113429278443
34,2020-02-25,0,70.9231180709176,51.69017840393781,True,35,0.3024309811537205,102.90113429278443
35,2020-02-26,0,70.9231180709176,51.69017840393781,True,36,0.35555049589881604,102.90113429278443
36,2020-02-27,0,70.9231180709176,51.69017840393781,True,37,0.4179621850991857,102.90113429278443
37,2020-02-28,0,70.9231180709176,51.69017840393781,True,38,0.4912770920340694,102.90113429278443
38,2020-02-29,0,70.9231180709176,51.69017840393781,True,39,0.5773800790151518,102.90113429278443
39,2020-03-01,0,70.9231180709176,51.69017840393781,True,40,0.6784742729579228,102.90113429278443
40,2020-03-02,0,70.9231180709176,51.69017840393781,True,41,0.7971319237852953,102.90113429278443
41,2020-03-03,0,70.9231180709176,51.69017840393781,True,42,0.9363522870984698,102.90113429278443
42,2020-03-04,0,70.9231180709176,51.69017840393781,True,43,1.0996270671665602,102.90113429278443
43,2020-03-05,0,70.9231180709176,51.69017840393781,True,44,1.2910138068574726,102.90113429278443
44,2020-03-06,0,70.9231180709176,51.69017840393781,True,45,1.5152173568557379,102.90113429278443
45,2020-03-07,0,70.9231180709176,51.69017840393781,True,46,1.777679157484701,102.90113429278443
46,2020-03-08,0,70.9231180709176,51.69017840393781,True,47,2.084673472324894,102.90113429278443
47,2020-03-09,0,70.9231180709176,51.69017840393781,True,48,2.443408862138197,102.90113429278443
48,2020-03-10,0,70.9231180709176,51.69017840393781,True,49,2.8621320085701916,102.90113429278443
49,2020-03-11,0,70.9231180709176,51.69017840393781,True,50,3.3502294110118593,102.90113429278443
50,2020-03-12,0,70.9231180709176,51.69017840393781,True,51,3.9183204091511903,102.90113429278443
51,2020-03-13,2,70.9231180709176,51.69017840393781,True,52,4.578332366226885,102.90113429278443
52,2020-03-14,2,70.9231180709176,51.69017840393781,True,53,5.343545662468836,102.90113429278443
53,2020-03-15,2,70.9231180709176,51.69017840393781,True,54,6.228592451916988,102.90113429278443
54,2020-03-16,2,70.9231180709176,51.69017840393781,True,55,7.249389118365836,102.90113429278443
55,2020-03-17,3,70.9231180709176,51.69017840393781,True,56,8.422978418944007,102.90113429278443
